"exporterId","importerId","year","conttype"
"2","20",1920,1
"2","20",1921,1
"2","20",1922,1
"2","20",1923,1
"2","20",1924,1
"2","20",1925,1
"2","20",1926,1
"2","20",1927,1
"2","20",1928,1
"2","20",1929,1
"2","20",1930,1
"2","20",1931,1
"2","20",1932,1
"2","20",1933,1
"2","20",1934,1
"2","20",1935,1
"2","20",1936,1
"2","20",1937,1
"2","20",1938,1
"2","20",1939,1
"2","20",1940,1
"2","20",1941,1
"2","20",1942,1
"2","20",1943,1
"2","20",1944,1
"2","20",1945,1
"2","20",1946,1
"2","20",1947,1
"2","20",1948,1
"2","20",1949,1
"2","20",1950,1
"2","20",1951,1
"2","20",1952,1
"2","20",1953,1
"2","20",1954,1
"2","20",1955,1
"2","20",1956,1
"2","20",1957,1
"2","20",1958,1
"2","20",1959,1
"2","20",1960,1
"2","20",1961,1
"2","20",1962,1
"2","20",1963,1
"2","20",1964,1
"2","20",1965,1
"2","20",1966,1
"2","20",1967,1
"2","20",1968,1
"2","20",1969,1
"2","20",1970,1
"2","20",1971,1
"2","20",1972,1
"2","20",1973,1
"2","20",1974,1
"2","20",1975,1
"2","20",1976,1
"2","20",1977,1
"2","20",1978,1
"2","20",1979,1
"2","20",1980,1
"2","20",1981,1
"2","20",1982,1
"2","20",1983,1
"2","20",1984,1
"2","20",1985,1
"2","20",1986,1
"2","20",1987,1
"2","20",1988,1
"2","20",1989,1
"2","20",1990,1
"2","20",1991,1
"2","20",1992,1
"2","20",1993,1
"2","20",1994,1
"2","20",1995,1
"2","20",1996,1
"2","20",1997,1
"2","20",1998,1
"2","20",1999,1
"2","20",2000,1
"2","20",2001,1
"2","20",2002,1
"2","20",2003,1
"2","20",2004,1
"2","20",2005,1
"2","20",2006,1
"2","20",2007,1
"2","20",2008,1
"2","20",2009,1
"2","20",2010,1
"2","20",2011,1
"2","20",2012,1
"2","20",2013,1
"2","20",2014,1
"2","20",2015,1
"2","20",2016,1
"2","31",1973,4
"2","31",1974,4
"2","31",1975,4
"2","31",1976,4
"2","31",1977,4
"2","31",1978,4
"2","31",1979,4
"2","31",1980,4
"2","31",1981,4
"2","31",1982,4
"2","31",1983,4
"2","31",1984,4
"2","31",1985,4
"2","31",1986,4
"2","31",1987,4
"2","31",1988,4
"2","31",1989,4
"2","31",1990,4
"2","31",1991,4
"2","31",1992,4
"2","31",1993,4
"2","31",1994,4
"2","31",1995,4
"2","31",1996,4
"2","31",1997,4
"2","31",1998,4
"2","31",1999,4
"2","31",2000,4
"2","31",2001,4
"2","31",2002,4
"2","31",2003,4
"2","31",2004,4
"2","31",2005,4
"2","31",2006,4
"2","31",2007,4
"2","31",2008,4
"2","31",2009,4
"2","31",2010,4
"2","31",2011,4
"2","31",2012,4
"2","31",2013,4
"2","31",2014,4
"2","31",2015,4
"2","31",2016,4
"2","40",1902,4
"2","40",1903,4
"2","40",1904,4
"2","40",1905,4
"2","40",1906,4
"2","40",1909,4
"2","40",1910,4
"2","40",1911,4
"2","40",1912,4
"2","40",1913,4
"2","40",1914,4
"2","40",1915,4
"2","40",1916,4
"2","40",1917,4
"2","40",1918,4
"2","40",1919,4
"2","40",1920,4
"2","40",1921,4
"2","40",1922,4
"2","40",1923,4
"2","40",1924,4
"2","40",1925,4
"2","40",1926,4
"2","40",1927,4
"2","40",1928,4
"2","40",1929,4
"2","40",1930,4
"2","40",1931,4
"2","40",1932,4
"2","40",1933,4
"2","40",1934,4
"2","40",1935,4
"2","40",1936,4
"2","40",1937,4
"2","40",1938,4
"2","40",1939,4
"2","40",1940,4
"2","40",1941,4
"2","40",1942,4
"2","40",1943,4
"2","40",1944,4
"2","40",1945,4
"2","40",1946,4
"2","40",1947,4
"2","40",1948,4
"2","40",1949,4
"2","40",1950,4
"2","40",1951,4
"2","40",1952,4
"2","40",1953,4
"2","40",1954,4
"2","40",1955,4
"2","40",1956,4
"2","40",1957,4
"2","40",1958,4
"2","40",1959,4
"2","40",1960,4
"2","40",1961,4
"2","40",1962,4
"2","40",1963,4
"2","40",1964,4
"2","40",1965,4
"2","40",1966,4
"2","40",1967,4
"2","40",1968,4
"2","40",1969,4
"2","40",1970,4
"2","40",1971,4
"2","40",1972,4
"2","40",1973,4
"2","40",1974,4
"2","40",1975,4
"2","40",1976,4
"2","40",1977,4
"2","40",1978,4
"2","40",1979,4
"2","40",1980,4
"2","40",1981,4
"2","40",1982,4
"2","40",1983,4
"2","40",1984,4
"2","40",1985,4
"2","40",1986,4
"2","40",1987,4
"2","40",1988,4
"2","40",1989,4
"2","40",1990,4
"2","40",1991,4
"2","40",1992,4
"2","40",1993,4
"2","40",1994,4
"2","40",1995,4
"2","40",1996,4
"2","40",1997,4
"2","40",1998,4
"2","40",1999,4
"2","40",2000,4
"2","40",2001,4
"2","40",2002,4
"2","40",2003,4
"2","40",2004,4
"2","40",2005,4
"2","40",2006,4
"2","40",2007,4
"2","40",2008,4
"2","40",2009,4
"2","40",2010,4
"2","40",2011,4
"2","40",2012,4
"2","40",2013,4
"2","40",2014,4
"2","40",2015,4
"2","40",2016,4
"2","70",1831,1
"2","70",1832,1
"2","70",1833,1
"2","70",1834,1
"2","70",1835,1
"2","70",1836,1
"2","70",1837,1
"2","70",1838,1
"2","70",1839,1
"2","70",1840,1
"2","70",1841,1
"2","70",1842,1
"2","70",1843,1
"2","70",1844,1
"2","70",1845,1
"2","70",1846,1
"2","70",1847,1
"2","70",1848,1
"2","70",1849,1
"2","70",1850,1
"2","70",1851,1
"2","70",1852,1
"2","70",1853,1
"2","70",1854,1
"2","70",1855,1
"2","70",1856,1
"2","70",1857,1
"2","70",1858,1
"2","70",1859,1
"2","70",1860,1
"2","70",1861,1
"2","70",1862,1
"2","70",1863,1
"2","70",1864,1
"2","70",1865,1
"2","70",1866,1
"2","70",1867,1
"2","70",1868,1
"2","70",1869,1
"2","70",1870,1
"2","70",1871,1
"2","70",1872,1
"2","70",1873,1
"2","70",1874,1
"2","70",1875,1
"2","70",1876,1
"2","70",1877,1
"2","70",1878,1
"2","70",1879,1
"2","70",1880,1
"2","70",1881,1
"2","70",1882,1
"2","70",1883,1
"2","70",1884,1
"2","70",1885,1
"2","70",1886,1
"2","70",1887,1
"2","70",1888,1
"2","70",1889,1
"2","70",1890,1
"2","70",1891,1
"2","70",1892,1
"2","70",1893,1
"2","70",1894,1
"2","70",1895,1
"2","70",1896,1
"2","70",1897,1
"2","70",1898,1
"2","70",1899,1
"2","70",1900,1
"2","70",1901,1
"2","70",1902,1
"2","70",1903,1
"2","70",1904,1
"2","70",1905,1
"2","70",1906,1
"2","70",1907,1
"2","70",1908,1
"2","70",1909,1
"2","70",1910,1
"2","70",1911,1
"2","70",1912,1
"2","70",1913,1
"2","70",1914,1
"2","70",1915,1
"2","70",1916,1
"2","70",1917,1
"2","70",1918,1
"2","70",1919,1
"2","70",1920,1
"2","70",1921,1
"2","70",1922,1
"2","70",1923,1
"2","70",1924,1
"2","70",1925,1
"2","70",1926,1
"2","70",1927,1
"2","70",1928,1
"2","70",1929,1
"2","70",1930,1
"2","70",1931,1
"2","70",1932,1
"2","70",1933,1
"2","70",1934,1
"2","70",1935,1
"2","70",1936,1
"2","70",1937,1
"2","70",1938,1
"2","70",1939,1
"2","70",1940,1
"2","70",1941,1
"2","70",1942,1
"2","70",1943,1
"2","70",1944,1
"2","70",1945,1
"2","70",1946,1
"2","70",1947,1
"2","70",1948,1
"2","70",1949,1
"2","70",1950,1
"2","70",1951,1
"2","70",1952,1
"2","70",1953,1
"2","70",1954,1
"2","70",1955,1
"2","70",1956,1
"2","70",1957,1
"2","70",1958,1
"2","70",1959,1
"2","70",1960,1
"2","70",1961,1
"2","70",1962,1
"2","70",1963,1
"2","70",1964,1
"2","70",1965,1
"2","70",1966,1
"2","70",1967,1
"2","70",1968,1
"2","70",1969,1
"2","70",1970,1
"2","70",1971,1
"2","70",1972,1
"2","70",1973,1
"2","70",1974,1
"2","70",1975,1
"2","70",1976,1
"2","70",1977,1
"2","70",1978,1
"2","70",1979,1
"2","70",1980,1
"2","70",1981,1
"2","70",1982,1
"2","70",1983,1
"2","70",1984,1
"2","70",1985,1
"2","70",1986,1
"2","70",1987,1
"2","70",1988,1
"2","70",1989,1
"2","70",1990,1
"2","70",1991,1
"2","70",1992,1
"2","70",1993,1
"2","70",1994,1
"2","70",1995,1
"2","70",1996,1
"2","70",1997,1
"2","70",1998,1
"2","70",1999,1
"2","70",2000,1
"2","70",2001,1
"2","70",2002,1
"2","70",2003,1
"2","70",2004,1
"2","70",2005,1
"2","70",2006,1
"2","70",2007,1
"2","70",2008,1
"2","70",2009,1
"2","70",2010,1
"2","70",2011,1
"2","70",2012,1
"2","70",2013,1
"2","70",2014,1
"2","70",2015,1
"2","70",2016,1
"2","365",1959,2
"2","365",1960,2
"2","365",1961,2
"2","365",1962,2
"2","365",1963,2
"2","365",1964,2
"2","365",1965,2
"2","365",1966,2
"2","365",1967,2
"2","365",1968,2
"2","365",1969,2
"2","365",1970,2
"2","365",1971,2
"2","365",1972,2
"2","365",1973,2
"2","365",1974,2
"2","365",1975,2
"2","365",1976,2
"2","365",1977,2
"2","365",1978,2
"2","365",1979,2
"2","365",1980,2
"2","365",1981,2
"2","365",1982,2
"2","365",1983,2
"2","365",1984,2
"2","365",1985,2
"2","365",1986,2
"2","365",1987,2
"2","365",1988,2
"2","365",1989,2
"2","365",1990,2
"2","365",1991,2
"2","365",1992,2
"2","365",1993,2
"2","365",1994,2
"2","365",1995,2
"2","365",1996,2
"2","365",1997,2
"2","365",1998,2
"2","365",1999,2
"2","365",2000,2
"2","365",2001,2
"2","365",2002,2
"2","365",2003,2
"2","365",2004,2
"2","365",2005,2
"2","365",2006,2
"2","365",2007,2
"2","365",2008,2
"2","365",2009,2
"2","365",2010,2
"2","365",2011,2
"2","365",2012,2
"2","365",2013,2
"2","365",2014,2
"2","365",2015,2
"2","365",2016,2
"20","2",1920,1
"20","2",1921,1
"20","2",1922,1
"20","2",1923,1
"20","2",1924,1
"20","2",1925,1
"20","2",1926,1
"20","2",1927,1
"20","2",1928,1
"20","2",1929,1
"20","2",1930,1
"20","2",1931,1
"20","2",1932,1
"20","2",1933,1
"20","2",1934,1
"20","2",1935,1
"20","2",1936,1
"20","2",1937,1
"20","2",1938,1
"20","2",1939,1
"20","2",1940,1
"20","2",1941,1
"20","2",1942,1
"20","2",1943,1
"20","2",1944,1
"20","2",1945,1
"20","2",1946,1
"20","2",1947,1
"20","2",1948,1
"20","2",1949,1
"20","2",1950,1
"20","2",1951,1
"20","2",1952,1
"20","2",1953,1
"20","2",1954,1
"20","2",1955,1
"20","2",1956,1
"20","2",1957,1
"20","2",1958,1
"20","2",1959,1
"20","2",1960,1
"20","2",1961,1
"20","2",1962,1
"20","2",1963,1
"20","2",1964,1
"20","2",1965,1
"20","2",1966,1
"20","2",1967,1
"20","2",1968,1
"20","2",1969,1
"20","2",1970,1
"20","2",1971,1
