"key";"source";"source_nom";"target";"target_nom";"distance_km";"premiere_annee";"derniere_annee";"n_annees";"conttype"
"501-5011";"5011";"Kenya Protectorate";"501";"Kenya (British East Africa Protectorate)";0,701469056876812;1928;1928;1;NA
"810-8153";"8153";"Tonkin";"810";"French Indochina";1,34488031709961;1892;1900;9;NA
"581-5814";"5814";"Moheli";"581";"Comoros";4,07252464296248;1902;1903;2;NA
"1062-1073";"1073";"Sint Maarten";"1062";"Anguilla";21,829878166137;2010;2025;16;NA
"231-6067";"6067";"Captaincy-general of north Africa";"231";"Gibraltar";28,0779480481365;1860;1913;52;NA
"960-9601";"9601";"Society Is.";"960";"French Polynesia";28,5508323196344;1883;1903;16;NA
"6030-6067";"6067";"Captaincy-general of north Africa";"6030";"Tetuan";36,0088102059981;1860;1862;3;NA
"4345-4347";"4347";"Cotonou";"4345";"Ouidah";36,8776457186084;1886;1886;1;NA
"1081-93";"1081";"Mosquito Coast";"93";"Nicaragua";54,6679350823411;1867;1867;1;NA
"231-6030";"6030";"Tetuan";"231";"Gibraltar";63,8408875663958;1860;1862;3;NA
"1064-1075";"1075";"St. Kitts";"1064";"St. Barthelemy";65,0024453794119;1833;1833;1;NA
"4344-4347";"4347";"Cotonou";"4344";"Grand Popo";65,2043574755304;1885;1885;1;NA
"4344-460";"4344";"Grand Popo";"460";"German Togoland";71,5291857666867;1885;1885;1;NA
"2248-276";"2248";"Holstein";"276";"Lübeck";74,43613840419;1844;1867;15;NA
"5813-5814";"5814";"Moheli";"5813";"Anjouan";76,0847550975371;1902;1903;2;NA
"212-2556";"2556";"Rhineland";"212";"Luxemburg";76,9182999030904;1920;1920;1;NA
"581-5813";"5813";"Anjouan";"581";"Comoros";79,4323460768807;1902;1903;2;NA
"640-6402";"6402";"Western Anatolia";"640";"Turkey (Ottoman Empire)";86,511057822634;1918;1923;6;NA
"4341-4345";"4345";"Ouidah";"4341";"Old Dahomey";91,7646967804098;1886;1886;1;NA
"1075-58";"1075";"St. Kitts";"58";"Antigua and Barbuda (Antigua)";98,0433125634545;1833;1833;1;NA
"4345-460";"4345";"Ouidah";"460";"German Togoland";99,731405362647;1886;1886;1;NA
"2556-256";"2556";"Rhineland";"256";"Saar";100,177630450234;1920;1920;1;NA
"4341-4344";"4344";"Grand Popo";"4341";"Old Dahomey";101,881006098071;1885;1885;1;NA
"4341-4347";"4347";"Cotonou";"4341";"Old Dahomey";102,735633485861;1885;1892;4;NA
"2247-390";"2247";"Schleswig";"390";"Denmark";104,07717212832;1845;1867;13;NA
"1058-1064";"1064";"St. Barthelemy";"1058";"Barbuda";112,305342648594;1856;1859;4;NA
"2247-2248";"2248";"Holstein";"2247";"Schleswig";114,501779331178;1845;1867;13;NA
"2248-2249";"2249";"Heligoland";"2248";"Holstein";116,080796309784;1844;1867;15;NA
"2249-257";"2249";"Heligoland";"257";"Oldenburg";117,631523273066;1841;1867;25;NA
"8223-8225";"8225";"Trengganu";"8223";"Kelantan";124,079904482061;1910;1910;1;NA
"602-6067";"6067";"Captaincy-general of north Africa";"602";"Spanish Morocco";124,097248805228;1913;1913;1;NA
"2248-280";"2248";"Holstein";"280";"Mecklenburg Schwerin";129,222905188814;1844;1867;15;NA
"2248-246";"2248";"Holstein";"246";"Bremen";130,477757468726;1844;1867;15;NA
"4341-460";"4341";"Old Dahomey";"460";"German Togoland";134,850598481554;1885;1892;3;NA
"1064-58";"1064";"St. Barthelemy";"58";"Antigua and Barbuda (Antigua)";135,933188116801;1833;1833;1;NA
"4347-460";"4347";"Cotonou";"460";"German Togoland";136,461599736589;1885;1892;3;NA
"5201-530";"5201";"Italian East Africa";"530";"Ethiopia (Abyssinia)";136,670920369269;1936;1936;1;NA
"2247-2249";"2249";"Heligoland";"2247";"Schleswig";140,41933071826;1845;1867;13;NA
"522-6802";"6802";"Perim I.";"522";"Djibouti (Afar and Issas) (French Somaliland)";143,877990208557;1892;1937;46;NA
"2248-257";"2248";"Holstein";"257";"Oldenburg";148,821820357165;1844;1867;15;NA
"1058-65";"1058";"Barbuda";"65";"Guadeloupe";155,956033417897;1856;1859;4;NA
"1022-1024";"1024";"Prince Edward Is.";"1022";"Nova Scotia";156,620918591348;1842;1867;26;NA
"211-2556";"2556";"Rhineland";"211";"Belgium";160,586355037338;1920;1920;1;NA
"821-8218";"8218";"Manjung (Dindings)";"821";"Federated Malay States";163,064209820114;1910;1910;1;NA
"2247-276";"2247";"Schleswig";"276";"Lübeck";171,625800696754;1845;1867;13;NA
"1075-65";"1075";"St. Kitts";"65";"Guadeloupe";172,987088088504;1833;1833;1;NA
