exporterId;exportateur;importerId;importateur;distance_km;premiere_annee;derniere_annee;n_annees;conttype;Comment
681;Aden;6203;Tripolitania (Regency of Tripoli);3933,121765;1912;1934;23;0;
681;Aden;7506;Hyderabad;3625,475082;1867;1904;3;0;
681;Aden;5200;Italian Somaliland;1172,018145;1893;1936;41;5;
681;Aden;5201;Italian East Africa;803,040898;1936;1938;3;4;Contguité maritime
681;Aden;6802;Perim I.;175,7851143;1892;1937;46;3;
681;Aden;6811;West Aden Protectorate;143,9266101;1937;1938;2;1;
700;Afghanistan;1069;Aruba;13144,74679;2021;2021;1;0;
700;Afghanistan;1062;Anguilla;12173,76185;2021;2021;1;0;
339;Albania;1062;Anguilla;8129,068325;2018;2024;4;0;
339;Albania;6631;West Bank;1695,946236;2022;2023;2;0;
615;Algeria (Regency of Algiers);8151;Cochin China;10923,35776;1885;1886;2;0;
615;Algeria (Regency of Algiers);1163;Falkland Is.;10638,20429;1922;2008;5;0;
615;Algeria (Regency of Algiers);8153;Tonkin;10291,00191;1885;1886;2;0;
615;Algeria (Regency of Algiers);5803;St. Marie de Madagascar;7262,015465;1891;1892;2;0;
615;Algeria (Regency of Algiers);5801;Nossi Be;6862,384921;1878;1895;4;0;
615;Algeria (Regency of Algiers);1055;Windward Is.;6616,864905;1922;1927;3;0;
615;Algeria (Regency of Algiers);1062;Anguilla;6576,772543;2018;2018;1;0;
615;Algeria (Regency of Algiers);1063;Leeward Is.;6503,203499;1922;1923;2;0;
615;Algeria (Regency of Algiers);5200;Italian Somaliland;5548,757439;1935;1936;2;0;
615;Algeria (Regency of Algiers);1029;St. Pierre and Miquelon;5346,70068;1886;1938;35;0;
615;Algeria (Regency of Algiers);5201;Italian East Africa;4480,932479;1936;1938;3;0;
615;Algeria (Regency of Algiers);5403;Cabinda (Portuguese Congo);3865,241732;1932;1938;7;0;
615;Algeria (Regency of Algiers);6631;West Bank;3327,373147;2022;2022;1;0;
615;Algeria (Regency of Algiers);4383;Loos Is.;2580,90808;1900;1900;1;0;
615;Algeria (Regency of Algiers);2556;Rhineland;2529,025528;1920;1920;1;0;
615;Algeria (Regency of Algiers);4781;Lagos;2412,26322;1900;1900;1;0;
615;Algeria (Regency of Algiers);3343;Fiume;2264,98227;1923;1923;1;0;
615;Algeria (Regency of Algiers);6203;Tripolitania (Regency of Tripoli);1288,985964;1912;1931;21;0;
615;Algeria (Regency of Algiers);6067;Captaincy-general of north Africa;1061,577456;1860;1883;23;3;if we look at distance btw Chafarinas and Algerian border (sea)
615;Algeria (Regency of Algiers);6030;Tetuan;1034,994001;1860;1862;3;0;
991;American Samoa;1062;Anguilla;12343,28174;2004;2004;1;0;
3271;Ancona;585;Reunion (Bourbon I.);8385,569713;1838;1839;2;0;
3271;Ancona;120;French Guiana;7833,807839;1838;1839;2;0;
3271;Ancona;66;Martinique;7661,15632;1838;1839;2;0;
3271;Ancona;65;Guadeloupe;7586,800456;1838;1839;2;0;
3271;Ancona;751;French India;7201,399985;1838;1839;2;0;
3271;Ancona;1029;St. Pierre and Miquelon;5300,474879;1838;1839;2;0;
3271;Ancona;433;Senegal;4193,348271;1838;1839;2;0;
3271;Ancona;615;Algeria (Regency of Algiers);2068,074577;1838;1839;2;0;
3271;Ancona;640;Turkey (Ottoman Empire);1942,283592;1838;1839;2;5;
3271;Ancona;350;Greece;977,7930069;1838;1839;2;0;
3271;Ancona;220;France;975,9408742;1838;1839;2;0;
3271;Ancona;3349;Ionian Is.;886,2720377;1839;1839;1;0;
3271;Ancona;300;Austria-Hungary (Austrian Empire);556,5293681;1838;1839;2;4;via Zadar
3271;Ancona;324;Kingdom of Sardinia;492,073835;1839;1839;1;0;
3271;Ancona;329;Two Sicilies;315,6773388;1838;1839;2;0;
3271;Ancona;337;Tuscany;204,0886539;1839;1839;1;0;
540;Angola;1069;Aruba;10030,31219;2008;2008;1;0;
540;Angola;1065;Curacao;9919,346671;2015;2015;1;0;
540;Angola;6631;West Bank;5296,780755;2008;2008;1;0;
1062;Anguilla;860;East Timor (Portuguese Timor);18612,81217;2005;2005;1;0;
1062;Anguilla;850;Indonesia (Dutch East Indies);18227,47546;2007;2025;18;0;
1062;Anguilla;900;Australia;18215,43508;2000;2023;10;0;
1062;Anguilla;835;Brunei;17505,09857;2012;2025;5;0;
1062;Anguilla;830;Singapore;17429,80597;2000;2025;17;0;
1062;Anguilla;820;Malaysia (British Malaya);17108,21669;2021;2022;2;0;
1062;Anguilla;840;Philippines;16607,661;2016;2023;8;0;
1062;Anguilla;986;Palau;16585,09212;2011;2013;2;0;
1062;Anguilla;713;Republic of China (Taiwan) (Formosa);15316,2792;2016;2025;10;0;
1062;Anguilla;780;Sri Lanka (Ceylon);15192,09805;2016;2023;8;0;
1062;Anguilla;775;Myanmar (Burma);15011,54109;2014;2024;5;0;
1062;Anguilla;930;New Caledonia;14979,4745;2002;2004;3;0;
1062;Anguilla;781;Maldive Islands;14658,6054;2016;2025;2;0;
1062;Anguilla;935;Vanuatu (New Hebrides);14628,6037;2000;2011;11;0;
1062;Anguilla;760;Bhutan;14206,91813;2024;2025;2;0;
1062;Anguilla;750;India;14164,00609;2001;2023;8;0;
1062;Anguilla;920;New Zealand;14081,33749;2016;2025;10;0;
1062;Anguilla;732;South Korea (Republic of South Korea);13889,68411;2001;2004;3;0;
1062;Anguilla;710;People's Republic of China (China);13852,25187;2004;2025;21;0;
1062;Anguilla;590;Mauritius;13818,15262;2007;2015;3;0;
1062;Anguilla;790;Nepal;13785,92871;2011;2015;3;0;
1062;Anguilla;740;Japan;13779,37137;2000;2025;25;0;
1062;Anguilla;950;Fiji;13611,17125;2000;2025;19;0;
1062;Anguilla;591;Seychelles;12989,5214;2005;2016;7;0;
1062;Anguilla;712;Mongolia;12786,85518;2021;2021;1;0;
1062;Anguilla;770;Pakistan;12751,86114;2004;2025;18;0;
1062;Anguilla;580;Madagascar (Malagasy Republic);12733,95321;2022;2022;1;0;
1062;Anguilla;990;Samoa (Western Samoa) (German Samoa);12486,05335;2001;2001;1;0;
1062;Anguilla;698;Oman (Sultanate of Muscat and Oman);12176,79534;2024;2025;2;0;
1062;Anguilla;703;Kyrgyzstan;12149,69256;2012;2025;12;0;
1062;Anguilla;702;Tajikistan;12127,0213;2010;2025;16;0;
1062;Anguilla;696;United Arab Emirates (Trucial Oman);11756,60857;2008;2025;17;0;
1062;Anguilla;501;Kenya (British East Africa Protectorate);11503,14419;2005;2025;6;0;
1062;Anguilla;541;Mozambique (Portuguese East Africa);11483,12198;2012;2025;11;0;
1062;Anguilla;679;Yemen;11421,64722;2015;2015;1;0;
1062;Anguilla;692;Bahrain;11329,95269;2010;2024;14;0;
1062;Anguilla;705;Kazakhstan;11205,06519;2015;2023;7;0;
1062;Anguilla;553;Malawi (Nyasaland) (British Central Africa Protectorate);11198,62135;2001;2023;5;0;
1062;Anguilla;512;Tanzania (Tanganyika);11070,57785;2003;2019;5;0;
1062;Anguilla;530;Ethiopia (Abyssinia);11062,29113;2019;2019;1;0;
1062;Anguilla;690;Kuwait;10914,89307;2010;2022;11;0;
1062;Anguilla;670;Saudi Arabia (Emirate of Nejd) (Emirate of Diriyah);10855,69008;2007;2025;6;0;
1062;Anguilla;560;South Africa;10714,53632;2017;2025;9;0;
1062;Anguilla;551;Zambia (Northern Rhodesia);10609,83524;2019;2025;6;0;
1062;Anguilla;516;Burundi;10448,90355;2014;2014;1;0;
1062;Anguilla;365;Russia (USSR);10426,63788;2017;2020;4;0;
1062;Anguilla;517;Rwanda;10410,6474;2014;2025;9;0;
1062;Anguilla;373;Azerbaijan;10365,43931;2015;2025;8;0;
1062;Anguilla;960;French Polynesia;10268,96388;2015;2022;6;0;
1062;Anguilla;371;Armenia;10152,12207;2016;2025;10;0;
1062;Anguilla;625;Sudan (Anglo-Egyptian Sudan) (Mahdist State);10017,39326;2002;2002;1;0;
