"year","cor","ic_bas","ic_haut","n"
1833,0.257944967778465,0.171497684144669,0.340450461121181,470
1834,0.226313600246282,0.138799474122913,0.31032047316274,471
1835,0.084572914006563,-0.00563091569590358,0.173411514837152,473
1836,0.141676000779027,0.0612457353121263,0.220278222925372,584
1837,0.179637320555647,0.0972666345102992,0.259563812999068,547
1838,0.0881721360284777,-0.00388937914406744,0.17875161492726,454
1839,0.272167660378734,0.205377794122593,0.336434128248027,768
1840,0.111859099002337,0.0271067098335177,0.195014823237332,532
1841,0.0988977334186076,0.00938699296510644,0.186836161533751,479
1842,0.11814705340202,0.036229263296796,0.198487699520896,568
1843,0.132753696014809,0.0549621677373446,0.208943355257929,626
1844,0.207319342642722,0.125208091230119,0.286609789879534,541
1845,0.189226910605246,0.111581640939193,0.264575815948043,611
1846,0.209134005106829,0.132825423416176,0.282977880498266,624
1847,0.0166555919026218,-0.0701866156626665,0.103247236201448,511
1848,0.0240888224396699,-0.0593340131427217,0.10717752103497,554
1849,0.105371199545373,0.0175790405436561,0.191550998217165,497
1850,0.0542667227395649,-0.0240738204393368,0.131944851533999,628
1851,0.133191279602943,0.0534503083215719,0.211244335301624,596
1852,0.112596099280778,0.0362426524128396,0.187642612199834,654
1853,0.0729445242782433,-0.00602332046881204,0.151008221902867,617
1854,0.0608589792579754,-0.0203759035056294,0.141295568877522,584
1855,0.131441228142985,0.058685866800462,0.202807631196519,715
1856,0.051799045638688,-0.0190612508907207,0.122141569045583,767
1857,0.109776913384804,0.0357529814470528,0.182602824005045,696
1858,0.0636094091007492,-0.0096540994954452,0.136193648085184,717
1859,0.0897518068758211,0.0197684006063539,0.15886000685361,782
1860,-0.00287017805420048,-0.0751704712636917,0.0694601346110088,735
1861,0.0961377509725468,0.0224050195595469,0.168830306384524,704
1862,0.236855636225599,0.171330429110791,0.300294658016511,824
1863,0.200316346219051,0.12795758977144,0.270553849013001,697
1864,0.19544881519485,0.126904295878407,0.262135569876365,778
1865,0.0727759371995454,0.00295070608354009,0.141894958020623,788
1866,0.265975070371213,0.205265115364127,0.324646021716248,932
1867,0.100316553841412,0.0372811848935529,0.162556769948784,960
1868,0.069140863827014,-0.00420137511947598,0.141743240464695,715
1869,0.128839835711206,0.0552646266819008,0.201023427451315,700
1870,0.159004661215858,0.0923150147674392,0.224274171940387,839
1871,0.077972210861389,0.00879203686577748,0.146409548714634,802
1872,0.0142146749867894,-0.055948876400477,0.0842385212883062,782
1873,0.0769813862207876,0.0121255003714245,0.141192278820909,912
1874,0.0162274797090768,-0.0494289233599745,0.0817442379243553,893
1875,0.0845437311366535,0.0223559623395904,0.146079779535567,990
1876,0.0857791659972727,0.0219235488963159,0.14893775430679,939
1877,0.0679797390747506,0.00402129877931221,0.131384269281516,939
1878,0.120187260339181,0.0610000953216014,0.17853218092743,1081
1879,-0.0133128807503797,-0.0701585106747312,0.0436189340630427,1187
1880,0.0441823645866564,-0.0132109847335899,0.101285545963359,1168
1881,0.117267462686277,0.0602641137736796,0.173508426561868,1166
1882,0.121875582024334,0.0658801953981796,0.17710576909177,1206
1883,0.0775759880445974,0.0223807652971233,0.132299738526188,1257
1884,0.106470797803415,0.0493880991130621,0.162860208230853,1167
1885,0.143532603883646,0.0922555175587115,0.194050432538268,1423
1886,0.0784860454215956,0.0269557804084217,0.129600294127686,1441
1887,0.0824660945941433,0.0305404450389474,0.133947824803191,1418
1888,0.0707252697793149,0.0168138082065503,0.124226688886636,1319
1889,0.0936325787375952,0.0416688362149408,0.145091149118466,1412
1890,0.100848071840095,0.050305679306922,0.15087523712846,1489
1891,0.0541543250779462,0.00485219598764715,0.103193820539734,1580
1892,0.0659190103363124,0.0152720080455558,0.11622861919882,1495
1893,0.111195828665083,0.0611596142773575,0.160674568713605,1514
1894,0.094834460470042,0.0444680299264831,0.144720012185549,1502
1895,0.0922686607662366,0.0422676771367475,0.141808611906049,1525
1896,0.0763563021010649,0.0268436083677643,0.12549526673848,1561
1897,0.0402323257380532,-0.00798213936443722,0.0882601618771886,1654
1898,0.0995293702828797,0.0522761794063873,0.146337867736365,1703
1899,0.0354181872291614,-0.0106228728803459,0.0813093906168729,1814
1900,0.0397087249171717,-0.00537766020073416,0.08463399451621,1891
1901,0.0455096918623309,0.000552807871607696,0.0902829856291699,1901
1902,-0.00113055668407878,-0.0448936548476754,0.0426368724177463,2006
1903,0.016970832708274,-0.0261211531166395,0.0599998655464265,2071
1904,0.0200219975880109,-0.0228025246547768,0.0627731779282142,2097
1905,0.0195216999151502,-0.0220982755791125,0.0610741275811827,2220
1906,0.031302156871,-0.00977931231326099,0.0722781375051813,2278
1907,0.0479361417623181,0.00792340660354485,0.0877956193227568,2398
1908,0.087436516472406,0.0475500363262536,0.127044599090064,2395
1909,0.0340943187406231,-0.00454666237460752,0.0726336353639846,2574
1910,0.0490230945797783,0.0110670408144713,0.0868380828744612,2664
1911,0.0829165677729739,0.0455160194588045,0.12008499233125,2726
1912,0.0725246011589557,0.0355642005858405,0.109286874254835,2798
1913,0.0488667296699497,0.0120881133351416,0.0855133045305664,2837
1914,0.0197444134826925,-0.0185127734116033,0.0579438687529669,2627
1915,0.106261067437747,0.0646532660653094,0.147500045360866,2189
1916,0.15274565972098,0.110191723618235,0.194740625762063,2051
1917,0.0900606109018008,0.0466196083920656,0.13316160559245,2019
1918,0.108455718547126,0.0656793169517559,0.150834222782963,2070
1919,0.0485075493696618,0.0108536076698777,0.0860241197728156,2707
1920,0.0577354306954075,0.0221013537627853,0.0932229986487278,3018
1921,0.127552823975652,0.0937424628931329,0.161069316978874,3281
1922,0.103919806870716,0.0709666511934695,0.136646372223261,3486
1923,0.0613551047222568,0.0281955173895186,0.0943798061163897,3482
1924,0.0793679578131117,0.0482610058793614,0.110321100726949,3940
1925,0.109916283892529,0.0794983472879696,0.140129716980534,4080
1926,0.128897426151558,0.0987457042268824,0.158812689316091,4119
1927,0.0509358750630546,0.0210911702918004,0.0806898824533434,4304
1928,0.0579748455135529,0.0287559707249573,0.0870947317629051,4485
1929,0.0689000099342852,0.0394881319704429,0.0981925999945291,4417
1930,0.0405068965093205,0.0114337433241481,0.0695116218217715,4541
1931,0.0339106956050703,0.00492452816366588,0.0628399261133209,4571
1932,-0.00825036266178074,-0.0368411472735802,0.0203539174722245,4697
1933,0.0624930949856092,0.0343185453324031,0.0905683918364299,4819
1934,0.0878451618056835,0.0603332457673935,0.11522371234877,5022
1935,0.0909977356248127,0.0639384707102049,0.117923294051724,5186
1936,0.082875646291989,0.0557287039581836,0.109900147105833,5165
1937,0.0349011987160779,0.00793698679097147,0.0618146931811934,5281
1938,0.0296437160112107,0.00257394239892166,0.0566700769392256,5242
1948,0.104842154413778,0.0658790161689682,0.143486064592187,2496
1949,0.129806821568831,0.0888503422608897,0.170325092010638,2238
1950,0.113019660083861,0.0735624265290293,0.152123617337186,2427
1951,0.0989940725854878,0.0607249289749447,0.136972611129868,2592
1952,0.0663695260664326,0.0300938629667127,0.102470586333711,2908
1953,0.0766110576378266,0.0407140976239134,0.112310504008258,2963
1954,0.0690510924790099,0.0329404195479206,0.104981722239503,2933
1955,0.0691726459369632,0.034665028376838,0.103515523495736,3211
1956,0.0845831773547141,0.0509791406814047,0.11799590493285,3373
1957,0.0298865388972249,-0.00443180102291131,0.0641345626010897,3263
1958,0.0440884311261071,0.0109254599241584,0.0771545219272214,3490
1959,0.0279228162072333,-0.00560906749553343,0.0613919763465477,3418
1960,0.0124303173358496,-0.0183610398960957,0.0431981184014723,4054
1961,0.00961711745053363,-0.0209368941890695,0.0401531819031234,4117
1962,0.0598171347215474,0.0294004812735405,0.0901231125240477,4138
1963,-0.0201908277262969,-0.0495604826722317,0.00921371509155206,4445
1964,-0.0852848672651105,-0.113007254933494,-0.0574297990596861,4903
1965,-0.0655084184069229,-0.0927080113878662,-0.0382111294324844,5130
1966,-0.0652554986906792,-0.0918054258698346,-0.038612858433449,5385
1967,-0.0572739111255379,-0.0836148914606398,-0.0308529484022304,5484
1968,-0.0209625092357981,-0.0472676531029828,0.00537168990315302,5541
1969,-0.0638535920772497,-0.0881572719700519,-0.0394739339254439,6431
1970,-0.0205798764809259,-0.0443760368775745,0.00323962366933021,6772
1971,0.0723637694696884,0.049028433331247,0.0956201491764713,7005
1972,-0.144270607161178,-0.166641042072828,-0.121751727833899,7312
1973,-0.0554408434730119,-0.0775922486819331,-0.0332347277688972,7762
1974,-0.0490194378006908,-0.0710420176154414,-0.026949091809312,7866
1975,-0.0892007434659919,-0.111248397960714,-0.067065324647414,7747
1976,-0.104360578456439,-0.125906992750133,-0.0827157513819333,8059
1977,-0.0820603484403146,-0.103560535062726,-0.0604835090577603,8170
1978,-0.0804546694710476,-0.101797580360254,-0.05903772774432,8296
1979,-0.126715175934707,-0.147543996473737,-0.105774010304913,8527
1980,0.025495681314164,0.00444819288126505,0.046520590294013,8670
1981,0.0111874610546123,-0.00862869157420334,0.030994830296238,9785
1982,-0.0287420752626471,-0.0486171852047811,-0.00884421314146462,9698
1983,0.0451286191149912,0.0252164950686433,0.0650049482581537,9667
1984,0.02538448226509,0.00553648039104903,0.0452124913150846,9749
1985,0.0174902860205313,-0.00213703253350847,0.0371041340794009,9973
1986,-0.00501762750835891,-0.0244546224275683,0.0144231595329427,10166
1987,-0.0167491772126733,-0.0358681073807057,0.00238200901346525,10497
1988,0.0467534840728573,0.0280398308385052,0.0654343768059307,10941
1989,-0.010251090867599,-0.0285244428437888,0.00802911038844516,11498
1990,-0.0264059739648314,-0.044518824715799,-0.00827576821233558,11682
1991,0.0474889034414612,0.0293200044721035,0.065626432780531,11605
1992,0.0823345262979495,0.0650803283896318,0.0995395072159395,12766
1993,0.0600416819349995,0.0436026474303218,0.0764482118753299,14141
1994,0.0518226979333744,0.0358374188133163,0.0677814653586714,14978
1995,0.0554427839604916,0.0397839020258656,0.0710744402733122,15598
1996,0.0900520149283762,0.0747674032665357,0.10529432420855,16223
1997,0.0744961165623366,0.0595925366125101,0.0893664923078124,17142
1998,0.109005956077543,0.0944117859217929,0.12355328436704,17667
1999,0.054375649020131,0.0399820740358152,0.0687466620616956,18462
2000,-0.0202203572842275,-0.0342009487116373,-0.00623185373025864,19627
2001,0.069962355103232,0.0561163220485054,0.0837814832569304,19881
2002,0.0264401332084559,0.0127130182178828,0.0401572840426807,20373
2003,0.0301849318152569,0.0166209256647188,0.0437378299567079,20859
2004,0.0495738186460932,0.0361896695955337,0.062940186738063,21368
2005,-0.0139125426612762,-0.0272604911899091,-0.00055963379793273,21545
2006,0.0884550253419757,0.0753375212072144,0.10154192029337,22029
2007,-0.0132706124304161,-0.0263719574708047,-0.000164709327394603,22365
2008,-0.0846577123490589,-0.0974809365538294,-0.0718063843127203,22978
2010,0.106277385273708,0.0936387233032773,0.118881799824794,23573
2011,-0.0499026693585786,-0.0625751303124413,-0.0372141201265752,23772
2012,-0.0905923862425503,-0.103198696168823,-0.0779569773253453,23723
2013,-0.0614043530295215,-0.0739293294962127,-0.0488600081220341,24266
2014,-0.0619937683891598,-0.0744769382638584,-0.0494911728715183,24425
2015,-0.078612310050661,-0.0910094672562836,-0.0661907910327299,24639
2016,-0.0534788267158117,-0.06587388014492,-0.0410672715243866,24828
2017,-0.0682762105048121,-0.0805494287859028,-0.0559822918848492,25223
2018,-0.115408534130007,-0.127598617410054,-0.103183589452896,25096
2019,-0.065063291007705,-0.077299213305807,-0.0528077722867467,25401
2020,-0.0888105984464291,-0.10110883325846,-0.0764852257095393,24945
2021,-0.0527621621021347,-0.0649488976490789,-0.0405596904057829,25689
2022,-0.00976292819218662,-0.0220204735206383,0.00249755182786669,25557
2023,-0.0805444255002269,-0.0927159084886373,-0.068348874676937,25545
2024,-0.0779586866535568,-0.0901491718968144,-0.0657448445045385,25488
2025,0.0983710750448395,0.085987438199872,0.110724320555321,24628
