"year","moyenne","n_blocs"
1833,0.222305298222468,5
1834,0.455009369994488,4
1835,0.340989502196783,5
1836,0.358887920712376,4
1837,0.477973005107573,4
1838,0.40787742420892,3
1839,0.425349105249661,5
1840,0.575393576592934,4
1841,0.353087849733437,5
1842,0.391096110809615,4
1843,0.593215437556998,3
1844,0.544140331950376,4
1845,0.151582766790808,7
1846,0.518734260893161,5
1847,0.343820021647292,5
1848,0.419000849257473,3
1849,0.282899149290097,6
1850,0.333410896403088,3
1851,0.279762324029727,5
1852,0.291828711027882,4
1853,0.215474922722524,4
1854,0.248630975009881,4
1855,0.318257608045417,5
1856,0.325404210050731,5
1857,0.340213776420422,5
1858,0.514049643727065,4
1859,0.355119258491116,5
1860,0.38511186765842,6
1861,0.608895920001445,6
1862,0.561186861043749,5
1863,0.364703145660411,8
1864,0.0612212187720841,11
1865,0.351982875771818,8
1866,0.126261928012946,9
1867,0.222738549377879,13
1868,0.42945312174654,10
1869,0.257752386682348,11
1870,0.254935412062575,13
1871,0.364531240022388,8
1872,0.256335562705495,5
1873,0.3631683357091,6
1874,0.292938144548555,10
1875,0.40592204877543,8
1876,0.448067352574076,8
1877,0.401167376221268,10
1878,0.436574147762971,10
1879,0.431708292289841,7
1880,0.42339762344797,7
1881,0.397130311568732,9
1882,0.474758360276173,8
1883,0.464146930369266,6
1884,0.521892726465077,5
1885,0.497310945306244,8
1886,0.510239954834222,7
1887,0.431058999222394,8
1888,0.468962553953635,10
1889,0.531937376549416,6
1890,0.512390479538129,6
1891,0.637798983811146,6
1892,0.458088552863388,6
1893,0.55982613132361,6
1894,0.504087925856111,7
1895,0.474031643543299,7
1896,0.528779399698768,7
1897,0.465826662898113,10
1898,0.392779158006244,9
1899,0.292406921637719,10
1900,0.430173116922824,11
1901,0.453657688492993,10
1902,0.494906753928944,8
1903,0.465435441346648,10
1904,0.525346020467033,7
1905,0.513193918083268,6
1906,0.463641199629811,10
1907,0.526183600664322,7
1908,0.518247810768222,8
1909,0.578304590896233,4
1910,0.511623462424076,7
1911,0.509579266297495,7
1912,0.553541143845006,6
1913,0.569703342649268,6
1914,0.546195157613215,6
1915,0.517227714535463,7
1916,0.289937350769724,7
1917,0.287616631645562,7
1918,0.401035638190134,5
1919,0.423931173036095,10
1920,0.473963892947855,8
1921,0.535632041960062,10
1922,0.611668805963079,6
1923,0.532675560428763,6
1924,0.584790269671996,7
1925,0.579053709718561,7
1926,0.607801091136075,11
1927,0.591813303811713,10
1928,0.567297065736399,9
1929,0.562690685415979,9
1930,0.58263932143605,9
1931,0.67499387780379,10
1932,0.643773398966785,5
1933,0.705839450356795,5
1934,0.613874869675914,13
1935,0.712715724509896,9
1936,0.706245444332431,9
1937,0.66149680029631,11
1938,0.713066981784859,7
1948,0.649512290432473,9
1949,0.690435371432619,11
1950,0.703593900901274,9
1951,0.24341747882118,16
1952,0.65842505784287,5
1953,0.631759443400811,8
1954,0.628342778320989,9
1955,0.63404055118943,8
1956,0.593637792751618,11
1957,0.560335334620062,5
1958,0.571957363832929,8
1959,0.563075935510516,10
1960,0.523731658746856,7
1961,0.563565932939174,5
1962,0.510384772482024,10
1963,0.511452345845966,6
1964,0.530128926608015,4
1965,0.510582428594843,5
1966,0.536837801349227,5
1967,0.567129337930038,5
1968,0.56743215903647,6
1969,0.540612617830694,5
1970,0.581859088264976,5
1971,0.708041414833842,6
1972,0.495917524502877,4
1973,0.514619785754651,6
1974,0.511847371511076,7
1975,0.542357468155754,7
1976,0.521103589671213,6
1977,0.538557079332434,7
1978,0.516609325176903,6
1979,0.441293806473002,7
1980,0.516617226907504,12
1981,0.538383105724703,11
1982,0.504885949243427,12
1983,0.549537768390808,12
1984,0.526070600696167,13
1985,0.516231656503869,12
1986,0.416986369667961,11
1987,0.246922170599175,3
1988,0.427745917066476,4
1989,0.529697496937428,7
1990,0.432093616906437,3
1991,0.461565649003128,12
1992,0.4922517464561,10
1993,0.696285469851325,6
1994,0.655025031911704,4
1995,0.545875471882986,9
1996,0.561524806060005,11
1997,0.573327588469738,10
1998,0.569653964659604,11
1999,0.501687641948977,11
2000,0.605867904127365,5
2001,0.588557397494923,12
2002,0.602528513860268,10
2003,0.615317625329161,10
2004,0.634280919868277,9
2005,0.539245194008837,3
2006,0.662304437728968,10
2007,0.629824815786563,5
2008,0.523539821384375,4
2010,0.697318784222254,9
2011,0.627456008655431,5
2012,0.628446118747627,5
2013,0.658152841968401,4
2014,0.620496558054378,5
2015,0.624180492352111,5
2016,0.631954783648092,5
2017,0.623207686157428,5
2018,0.618784341461879,5
2019,0.620007087611722,5
2020,0.603134850103553,5
2021,0.598494617954288,5
2022,0.592681321170352,5
2023,0.581335421439557,5
2024,0.579436980732266,5
2025,0.619935105153445,6
