"year","cor","ic_bas","ic_haut","n"
1833,0.445941346314386,0.337701418586012,0.542540971876888,237
1834,0.513774118529559,0.41225582480382,0.602690685294429,232
1835,0.492063492063492,0.393181328691444,0.579693741207125,256
1836,0.37960256227075,0.273400982176497,0.476660924271746,274
1837,0.571669168383383,0.487088439013594,0.64562599707582,280
1838,0.483193202134603,0.379802134377177,0.574661467864191,240
1839,0.428088922490948,0.325338992456142,0.52084767531223,270
1840,0.622785978723556,0.543039680769375,0.691398695169459,265
1841,0.611341749745321,0.527266506533389,0.683562367629318,250
1842,0.489170742211771,0.391764429116901,0.575733129418965,265
1843,0.368350234754973,0.263437654957967,0.464651364535172,285
1844,0.490916457890233,0.387274074140918,0.582306191668709,235
1845,0.446615643859205,0.340794186766103,0.541261768188399,247
1846,0.481613668970864,0.380483882129225,0.571360885017156,251
1847,0.541615631007588,0.447425195118568,0.623922228539995,249
1848,0.253414288088974,0.138219760982629,0.361843838842601,270
1849,0.748165890043611,0.687418102033064,0.798517483618806,246
1850,0.647253998320094,0.573691122663242,0.71045855757771,281
1851,0.609650039490949,0.530020683148441,0.678621581748842,278
1852,0.528470790776677,0.442720402248723,0.604642315760467,307
1853,0.589359390973609,0.510865856511329,0.65810710622578,305
1854,0.68508393217091,0.617049580054986,0.742952748520298,277
1855,0.5395936253402,0.455291151882048,0.614306799411639,308
1856,0.386805390650792,0.293050291778557,0.473192445244223,344
1857,0.474055996898359,0.386674355299825,0.553001323693739,336
1858,0.405584384520679,0.310797504369155,0.492383460340052,327
1859,0.355524649779203,0.261236751216788,0.443092295509361,356
1860,0.546510432213986,0.467312172704622,0.617007210186384,340
1861,0.523296221769194,0.436193854209822,0.600683552271488,302
1862,0.445342458283361,0.354128246254333,0.528163402114127,328
1863,0.441827884156367,0.351729029809753,0.523815807370632,338
1864,0.462463911903134,0.373835234342632,0.542723359607955,335
1865,0.459619407771257,0.371821082532444,0.539267830836627,343
1866,0.543015316216714,0.465797325079466,0.612025926942417,360
1867,0.537080496581284,0.464010938858536,0.602890714973572,406
1868,0.471283860348436,0.380749364693469,0.552868500700084,316
1869,0.55745606516257,0.47399777062088,0.630987518014204,299
1870,0.374969718229567,0.281746638965272,0.461179653396343,354
1871,0.472756802994145,0.385111677380632,0.551950253496486,335
1872,0.464279779566696,0.375402438865347,0.544696801993278,332
1873,0.399290908754086,0.309574764357753,0.481960696451935,367
1874,0.493011298300891,0.410206863646325,0.567753673716723,357
1875,0.587159540221952,0.51739505364731,0.649170708771805,383
1876,0.470650279280939,0.388666876266934,0.545239684701247,382
1877,0.45386333952074,0.370960337979516,0.529589303045582,387
1878,0.378921207978734,0.293037072773024,0.458739279887376,412
1879,0.450815538804948,0.371139097297932,0.523902261949392,420
1880,0.336915683704673,0.250116384919791,0.418342649555028,428
1881,0.412791766572196,0.331349825495975,0.488127912296288,432
1882,0.387068791044272,0.303515314138742,0.464714917472093,429
1883,0.517206234807397,0.447151637297865,0.580954293388916,463
1884,0.294464829190511,0.205196307559114,0.378874378485377,426
1885,0.351686290395535,0.273440026504481,0.425308761929996,513
1886,0.3559785859725,0.276768891769791,0.430383425559049,498
1887,0.369660362370231,0.291008434932875,0.443349153775334,495
1888,0.350907193099761,0.267799956357525,0.428831204395929,457
1889,0.320596517327212,0.239391829917926,0.397347165579401,497
1890,0.417779851516201,0.34495232934486,0.485607234960432,531
1891,0.35032366366212,0.273605979421678,0.42261211085667,534
1892,0.431862891633134,0.359860743348921,0.498751529993906,529
1893,0.473844666255628,0.405222026841677,0.537157716079802,533
1894,0.419856281735312,0.346448058973552,0.488153586150764,521
1895,0.457394653048609,0.386184535969229,0.523185197756948,514
1896,0.394791915460613,0.32281642259565,0.462227394274483,565
1897,0.449736745734342,0.383209511476796,0.511621879752259,595
1898,0.374576229836029,0.303328774654459,0.441658772628861,595
1899,0.443425581384532,0.377210090767994,0.505130685185503,608
1900,0.543489768439564,0.48562371162302,0.596613618057463,622
1901,0.561158432682631,0.506663716156553,0.611187000112412,663
1902,0.464726444494659,0.40229796355028,0.522853096400641,652
1903,0.332947585394923,0.264535095422399,0.398025782503657,683
1904,0.413990080788287,0.349980138168398,0.474151999868119,686
1905,0.536427129861147,0.48125711876027,0.587364149856782,695
1906,0.501639460507656,0.444507682618172,0.554706653288798,711
1907,0.45296601522477,0.394239754401643,0.508007999017429,752
1908,0.529567693886097,0.475421758636409,0.579716807573858,734
1909,0.296987413183391,0.231703957013359,0.359607767152043,782
1910,0.462047450716701,0.405727287971318,0.514872094861312,800
1911,0.438368201834537,0.381061066434595,0.492319812879809,812
1912,0.372984354527024,0.314031877666334,0.429071705995813,862
1913,0.364914891166596,0.305728104870198,0.421292276235669,866
1914,0.416247671884088,0.356623167799542,0.472495095617454,784
1915,0.438843789013281,0.377408021534371,0.496433557617935,709
1916,0.420659987107689,0.356366001043976,0.480989052731172,672
1917,0.358118201059036,0.290142122015109,0.422498658918745,668
1918,0.436097199787541,0.372613210429872,0.495518342616123,669
1919,0.569702590892055,0.521367790861771,0.614393454762123,813
1920,0.552227210321314,0.504666178347187,0.59644632198533,884
1921,0.578316404585717,0.533679634691152,0.619739855997884,922
1922,0.449063411850295,0.39764943156794,0.497666196677694,981
1923,0.536458792388147,0.490012407686035,0.579867864331847,968
1924,0.484333456201794,0.437067633020274,0.528931574436721,1069
1925,0.459074934016195,0.410201437763981,0.505319191132171,1060
1926,0.480947726935277,0.433581212942804,0.525663834587354,1073
1927,0.462564619632173,0.415877812766503,0.506819680528706,1150
1928,0.45706965055966,0.410935653217994,0.500868717732225,1191
1929,0.468911874988855,0.423088418895647,0.512342861473523,1176
1930,0.476972810128178,0.432406132548718,0.519214714461319,1219
1931,0.29272592922094,0.240597714560796,0.343170372300779,1222
1932,0.50680754327917,0.464359361437832,0.546932594912306,1247
1933,0.178252026792359,0.124950432469521,0.230527668720989,1293
1934,0.396036607107011,0.349314943417155,0.440793828311362,1307
1935,0.390808934285661,0.344396275939235,0.435315962872488,1336
1936,0.438779671089384,0.393769981842927,0.481690324057205,1298
1937,0.513865623766239,0.473783835215352,0.551822812993819,1369
1938,0.321359156067788,0.273223575181724,0.36788941734813,1380
