id,label,blockLouvain,blockIntraMax,year,cafFob
2,United States of America,3,3,1844,fob
5,Virgin Islands (Danish West Indies),3,1,1844,fob
6,Puerto Rico,3,2,1844,fob
7,Texas,3,1,1844,fob
20,Canada (Province of Canada),3,1,1844,fob
21,Newfoundland and Labrador (Newfoundland),3,1,1844,fob
30,Bermuda,3,4,1844,fob
31,Bahamas,3,3,1844,fob
40,Cuba,3,2,1844,fob
41,Haiti,3,7,1844,fob
54,Dominica,3,1,1844,fob
65,Guadeloupe,1,1,1844,fob
66,Martinique,1,1,1844,fob
68,Netherlands Antilles,3,3,1844,fob
70,Mexico,0,8,1844,fob
90,Guatemala,0,1,1844,fob
91,Honduras,3,3,1844,fob
100,Colombia (New Granada) (Gran Colombia),1,1,1844,fob
101,Venezuela,0,3,1844,fob
110,Guyana (British Guiana),3,3,1844,fob
120,French Guiana,1,2,1844,fob
130,Ecuador,6,1,1844,fob
135,Peru,6,1,1844,fob
140,Brazil,0,5,1844,fob
145,Bolivia,6,1,1844,fob
155,Chile,6,1,1844,fob
160,Argentina (La Plata),3,1,1844,fob
165,Uruguay,3,1,1844,fob
200,United Kingdom,3,2,1844,fob
210,Netherlands,4,3,1844,fob
211,Belgium,1,2,1844,fob
212,Luxemburg,1,2,1844,fob
220,France,1,2,1844,fob
225,Switzerland,1,2,1844,fob
230,Spain,2,2,1844,fob
231,Gibraltar,3,1,1844,fob
235,Portugal,0,1,1844,fob
239,Prussia,0,1,1844,fob
240,Hanover,0,1,1844,fob
246,Bremen,0,1,1844,fob
248,Hamburg,0,1,1844,fob
257,Oldenburg,3,2,1844,fob
276,Lübeck,0,1,1844,fob
280,Mecklenburg Schwerin,3,1,1844,fob
300,Austria-Hungary (Austrian Empire),2,2,1844,fob
324,Kingdom of Sardinia,2,1,1844,fob
327,Papal States,2,1,1844,fob
329,Two Sicilies,2,1,1844,fob
337,Tuscany,2,1,1844,fob
338,Malta,2,2,1844,fob
350,Greece,2,5,1844,fob
365,Russia (USSR),5,1,1844,fob
380,Sweden,0,1,1844,fob
385,Norway,0,1,1844,fob
390,Denmark,0,1,1844,fob
402,Cape Verde,3,3,1844,fob
420,Gambia,3,6,1844,fob
433,Senegal,1,2,1844,fob
451,Sierra Leone,3,1,1844,fob
561,Cape Colony (Cape of Good Hope),7,2,1844,fob
562,Natal,7,1,1844,fob
580,Madagascar (Malagasy Republic),3,1,1844,fob
585,Reunion (Bourbon I.),1,3,1844,fob
590,Mauritius,7,2,1844,fob
600,Morocco,0,5,1844,fob
615,Algeria (Regency of Algiers),1,2,1844,fob
630,Iran (Persia),5,1,1844,fob
640,Turkey (Ottoman Empire),2,5,1844,fob
651,Egypt Arab Republic (Egypt),2,2,1844,fob
681,Aden,4,1,1844,fob
710,People's Republic of China (China),0,1,1844,fob
720,Hong Kong,7,1,1844,fob
740,Japan,4,1,1844,fob
750,India,4,2,1844,fob
751,French India,1,1,1844,fob
775,Myanmar (Burma),4,1,1844,fob
780,Sri Lanka (Ceylon),4,1,1844,fob
781,Maldive Islands,4,1,1844,fob
800,Thailand (Siam),4,1,1844,fob
840,Philippines,4,1,1844,fob
850,Indonesia (Dutch East Indies),4,1,1844,fob
901,New South Wales,7,1,1844,fob
902,Western Australia,3,1,1844,fob
903,South Australia,7,1,1844,fob
906,Tasmania,3,1,1844,fob
920,New Zealand,7,1,1844,fob
1022,Nova Scotia,3,1,1844,fob
1023,New Brunswick,3,1,1844,fob
1024,Prince Edward Is.,3,1,1844,fob
1029,St. Pierre and Miquelon,1,2,1844,fob
1055,Windward Is.,3,1,1844,fob
1063,Leeward Is.,3,1,1844,fob
1064,St. Barthelemy,3,3,1844,fob
1163,Falkland Is.,3,3,1844,fob
2003,Channel Is.,3,1,1844,fob
2248,Holstein,0,1,1844,fob
2249,Heligoland,3,1,1844,fob
2901,Congress Poland,5,1,1844,fob
3349,Ionian Is.,2,2,1844,fob
4050,St. Helena,7,1,1844,fob
4070,Ascension I.,3,1,1844,fob
7010,Kokand,5,1,1844,fob
7020,Bokhara,5,1,1844,fob
7030,Khiva,5,1,1844,fob
8401,Sulu Sultanate,4,1,1844,fob
