id,label,blockLouvainTibi,blockLouvainProximity,blockIntraMax,year,cafFob
2,United States of America,0,3,3,1850,caf
3,Alaska,3,4,1,1850,caf
4,Hawaii (Sandwich Is.),0,3,1,1850,caf
5,Virgin Islands (Danish West Indies),3,4,2,1850,caf
6,Puerto Rico,2,3,2,1850,caf
10,Greenland,0,4,2,1850,caf
20,Canada (Province of Canada),0,0,1,1850,caf
21,Newfoundland and Labrador (Newfoundland),0,0,1,1850,caf
30,Bermuda,0,3,3,1850,caf
31,Bahamas,0,3,2,1850,caf
40,Cuba,2,3,2,1850,caf
41,Haiti,0,3,4,1850,caf
42,Dominican Republic (Santo Domingo),0,3,3,1850,caf
51,Jamaica,0,4,1,1850,caf
54,Dominica,0,0,1,1850,caf
65,Guadeloupe,1,2,3,1850,caf
66,Martinique,1,2,3,1850,caf
68,Netherlands Antilles,0,3,1,1850,caf
70,Mexico,2,2,1,1850,caf
80,Belize (British Honduras),0,0,1,1850,caf
90,Guatemala,2,2,2,1850,caf
100,Colombia (New Granada) (Gran Colombia),0,3,2,1850,caf
101,Venezuela,3,4,4,1850,caf
110,Guyana (British Guiana),0,0,3,1850,caf
115,Surinam (Dutch Guiana),3,4,4,1850,caf
120,French Guiana,1,2,2,1850,caf
130,Ecuador,2,2,2,1850,caf
135,Peru,2,2,3,1850,caf
140,Brazil,1,2,5,1850,caf
145,Bolivia,2,2,2,1850,caf
155,Chile,2,2,3,1850,caf
160,Argentina (La Plata),2,2,1,1850,caf
165,Uruguay,2,2,1,1850,caf
200,United Kingdom,0,0,1,1850,caf
210,Netherlands,3,4,5,1850,caf
211,Belgium,0,3,5,1850,caf
212,Luxemburg,0,3,4,1850,caf
220,France,1,2,2,1850,caf
225,Switzerland,1,2,2,1850,caf
230,Spain,2,2,2,1850,caf
231,Gibraltar,2,2,5,1850,caf
235,Portugal,2,2,5,1850,caf
239,Prussia,3,4,4,1850,caf
240,Hanover,3,4,5,1850,caf
246,Bremen,3,4,5,1850,caf
247,Frankfurt,3,4,4,1850,caf
248,Hamburg,3,4,5,1850,caf
257,Oldenburg,0,0,5,1850,caf
276,Lübeck,3,4,5,1850,caf
280,Mecklenburg Schwerin,3,4,5,1850,caf
300,Austria-Hungary (Austrian Empire),1,1,1,1850,caf
324,Kingdom of Sardinia,2,2,5,1850,caf
327,Papal States,1,1,1,1850,caf
329,Two Sicilies,1,1,1,1850,caf
337,Tuscany,1,1,2,1850,caf
338,Malta,1,1,1,1850,caf
342,Kingdom of Serbia,1,1,1,1850,caf
350,Greece,1,1,4,1850,caf
365,Russia (USSR),3,4,5,1850,caf
380,Sweden,3,4,2,1850,caf
385,Norway,3,4,2,1850,caf
390,Denmark,3,4,5,1850,caf
402,Cape Verde,2,2,3,1850,caf
411,Equatorial Guinea (Spanish Guinea),0,0,1,1850,caf
420,Gambia,0,3,4,1850,caf
433,Senegal,1,2,4,1850,caf
451,Sierra Leone,0,0,1,1850,caf
452,Ghana (Gold Coast),0,0,1,1850,caf
511,Zanzibar,4,3,,1850,caf
541,Mozambique (Portuguese East Africa),4,3,1,1850,caf
561,Cape Colony (Cape of Good Hope),4,3,2,1850,caf
580,Madagascar (Malagasy Republic),4,3,,1850,caf
585,Reunion (Bourbon I.),1,2,1,1850,caf
590,Mauritius,4,3,1,1850,caf
600,Morocco,2,2,2,1850,caf
615,Algeria (Regency of Algiers),1,2,1,1850,caf
616,Tunisia (Regency of Tunis),1,1,1,1850,caf
630,Iran (Persia),3,4,5,1850,caf
640,Turkey (Ottoman Empire),1,1,5,1850,caf
651,Egypt Arab Republic (Egypt),1,1,1,1850,caf
681,Aden,4,0,1,1850,caf
710,People's Republic of China (China),4,0,4,1850,caf
720,Hong Kong,4,3,1,1850,caf
750,India,4,0,1,1850,caf
751,French India,1,2,1,1850,caf
775,Myanmar (Burma),4,0,1,1850,caf
780,Sri Lanka (Ceylon),0,0,1,1850,caf
781,Maldive Islands,4,0,1,1850,caf
800,Thailand (Siam),4,0,,1850,caf
815,Vietnam,4,3,,1850,caf
840,Philippines,2,2,2,1850,caf
850,Indonesia (Dutch East Indies),3,4,1,1850,caf
901,New South Wales,0,0,1,1850,caf
902,Western Australia,0,0,1,1850,caf
903,South Australia,4,3,1,1850,caf
906,Tasmania,0,3,1,1850,caf
920,New Zealand,0,0,1,1850,caf
1019,Rupert's Land,0,0,1,1850,caf
1022,Nova Scotia,0,0,1,1850,caf
1023,New Brunswick,0,0,1,1850,caf
1024,Prince Edward Is.,0,0,1,1850,caf
1029,St. Pierre and Miquelon,1,2,2,1850,caf
1055,Windward Is.,0,0,1,1850,caf
1063,Leeward Is.,0,0,1,1850,caf
1064,St. Barthelemy,0,3,3,1850,caf
1163,Falkland Is.,0,0,1,1850,caf
2003,Channel Is.,0,0,1,1850,caf
2247,Schleswig,3,4,1,1850,caf
2248,Holstein,3,4,1,1850,caf
2249,Heligoland,3,4,1,1850,caf
2901,Congress Poland,3,4,4,1850,caf
3349,Ionian Is.,1,1,4,1850,caf
3362,Wallachia,1,1,1,1850,caf
4050,St. Helena,4,3,1,1850,caf
4070,Ascension I.,0,0,1,1850,caf
4341,Old Dahomey,4,3,,1850,caf
7010,Kokand,3,4,5,1850,caf
7020,Bokhara,3,4,5,1850,caf
7030,Khiva,3,4,5,1850,caf
9974,Crozet Is.,4,3,,1850,caf
