id,label,blockLouvain,blockIntraMax,year,cafFob
2,United States of America,5,5,1912,caf
3,Alaska,5,2,1912,caf
4,Hawaii (Sandwich Is.),8,5,1912,caf
5,Virgin Islands (Danish West Indies),5,1,1912,caf
6,Puerto Rico,2,1,1912,caf
10,Greenland,0,1,1912,caf
11,Faeroe Is.,0,1,1912,caf
20,Canada (Province of Canada),5,5,1912,caf
21,Newfoundland and Labrador (Newfoundland),5,5,1912,caf
30,Bermuda,5,5,1912,caf
31,Bahamas,5,5,1912,caf
40,Cuba,2,2,1912,caf
41,Haiti,4,1,1912,caf
42,Dominican Republic (Santo Domingo),5,1,1912,caf
51,Jamaica,5,5,1912,caf
52,Trinidad and Tobago,5,5,1912,caf
53,Barbados,5,5,1912,caf
65,Guadeloupe,4,1,1912,caf
66,Martinique,4,1,1912,caf
68,Netherlands Antilles,8,1,1912,caf
70,Mexico,11,2,1912,caf
80,Belize (British Honduras),11,5,1912,caf
90,Guatemala,11,1,1912,caf
91,Honduras,11,1,1912,caf
92,El Salvador,11,1,1912,caf
93,Nicaragua,11,1,1912,caf
94,Costa Rica,11,1,1912,caf
95,Panama,5,5,1912,caf
100,Colombia (New Granada) (Gran Colombia),5,5,1912,caf
101,Venezuela,5,5,1912,caf
110,Guyana (British Guiana),5,5,1912,caf
115,Surinam (Dutch Guiana),8,1,1912,caf
120,French Guiana,5,5,1912,caf
130,Ecuador,2,5,1912,caf
135,Peru,2,5,1912,caf
140,Brazil,2,5,1912,caf
145,Bolivia,2,5,1912,caf
150,Paraguay,2,5,1912,caf
155,Chile,2,5,1912,caf
160,Argentina (La Plata),2,4,1912,caf
165,Uruguay,2,5,1912,caf
200,United Kingdom,0,1,1912,caf
210,Netherlands,1,1,1912,caf
211,Belgium,7,1,1912,caf
212,Luxemburg,7,6,1912,caf
220,France,4,1,1912,caf
225,Switzerland,3,1,1912,caf
230,Spain,2,5,1912,caf
231,Gibraltar,3,5,1912,caf
232,Andorra,2,2,1912,caf
235,Portugal,1,5,1912,caf
255,Germany (Zollverein),1,1,1912,caf
300,Austria-Hungary (Austrian Empire),3,1,1912,caf
325,Italy,3,1,1912,caf
338,Malta,3,1,1912,caf
341,Montenegro,3,1,1912,caf
342,Kingdom of Serbia,3,1,1912,caf
350,Greece,3,1,1912,caf
351,Crete,3,1,1912,caf
352,Cyprus,3,1,1912,caf
355,Bulgaria,3,1,1912,caf
360,Romania,3,1,1912,caf
365,Russia (USSR),10,1,1912,caf
380,Sweden,0,1,1912,caf
385,Norway,0,1,1912,caf
390,Denmark,0,1,1912,caf
395,Iceland,0,1,1912,caf
402,Cape Verde,1,5,1912,caf
403,Sao Tome-Principe,1,1,1912,caf
404,Guinea-Bissau (Portuguese Guinea),1,5,1912,caf
411,Equatorial Guinea (Spanish Guinea),1,5,1912,caf
420,Gambia,1,5,1912,caf
430,French West Africa,1,1,1912,caf
450,Liberia,1,5,1912,caf
451,Sierra Leone,1,3,1912,caf
452,Ghana (Gold Coast),1,5,1912,caf
460,German Togoland,1,5,1912,caf
470,Kamerun,1,1,1912,caf
480,French Equatorial Africa,7,1,1912,caf
490,Democratic Republic of the Congo (Zaire) (Kinshasa) (Belgian Congo) (Congo Free State),7,1,1912,caf
500,Uganda,6,1,1912,caf
501,Kenya (British East Africa Protectorate),6,1,1912,caf
510,German East Africa,6,1,1912,caf
511,Zanzibar,6,5,1912,caf
521,Somaliland Republic (British Somaliland),6,1,1912,caf
522,Djibouti (Afar and Issas) (French Somaliland),6,5,1912,caf
530,Ethiopia (Abyssinia),6,1,1912,caf
531,Eritrea,6,5,1912,caf
540,Angola,7,1,1912,caf
541,Mozambique (Portuguese East Africa),7,1,1912,caf
551,Zambia (Northern Rhodesia),7,1,1912,caf
552,Zimbabwe (Rhodesia) (Southern Rhodesia),7,1,1912,caf
553,Malawi (Nyasaland) (British Central Africa Protectorate),6,5,1912,caf
560,South Africa,7,5,1912,caf
565,Namibia (South West Africa) (German South West Africa),7,1,1912,caf
572,Eswatini (Swaziland),0,1,1912,caf
580,Madagascar (Malagasy Republic),6,5,1912,caf
581,Comoros,4,1,1912,caf
585,Reunion (Bourbon I.),6,1,1912,caf
590,Mauritius,6,5,1912,caf
591,Seychelles,6,5,1912,caf
600,Morocco,4,5,1912,caf
615,Algeria (Regency of Algiers),4,5,1912,caf
616,Tunisia (Regency of Tunis),4,1,1912,caf
625,Sudan (Anglo-Egyptian Sudan) (Mahdist State),6,3,1912,caf
630,Iran (Persia),10,5,1912,caf
640,Turkey (Ottoman Empire),3,5,1912,caf
651,Egypt Arab Republic (Egypt),3,5,1912,caf
670,Saudi Arabia (Emirate of Nejd) (Emirate of Diriyah),6,1,1912,caf
681,Aden,6,5,1912,caf
692,Bahrain,6,1,1912,caf
698,Oman (Sultanate of Muscat and Oman),6,1,1912,caf
700,Afghanistan,10,1,1912,caf
710,People's Republic of China (China),8,5,1912,caf
713,Republic of China (Taiwan) (Formosa),8,5,1912,caf
720,Hong Kong,8,5,1912,caf
721,Macao,8,1,1912,caf
730,Korea (Chosen),8,5,1912,caf
740,Japan,8,5,1912,caf
750,India,6,5,1912,caf
751,French India,8,5,1912,caf
752,Portuguese India,7,3,1912,caf
780,Sri Lanka (Ceylon),10,5,1912,caf
781,Maldive Islands,10,5,1912,caf
800,Thailand (Siam),8,1,1912,caf
810,French Indochina,8,5,1912,caf
811,Cambodia (Kampuchea),8,1,1912,caf
821,Federated Malay States,8,1,1912,caf
823,Sabah (North Borneo),8,5,1912,caf
824,Sarawak,8,5,1912,caf
827,Straits Settlements,8,1,1912,caf
835,Brunei,8,5,1912,caf
840,Philippines,8,5,1912,caf
850,Indonesia (Dutch East Indies),8,1,1912,caf
860,East Timor (Portuguese Timor),9,,1912,caf
900,Australia,9,1,1912,caf
911,Papua (British New Guinea),9,5,1912,caf
912,New Guinea (German New Guinea) (Kaiser Wilhelmsland),1,5,1912,caf
920,New Zealand,9,1,1912,caf
930,New Caledonia,9,1,1912,caf
935,Vanuatu (New Hebrides),9,5,1912,caf
945,Gilbert and Ellice Is.,9,5,1912,caf
950,Fiji,9,5,1912,caf
955,Tonga (Haʻapai),9,5,1912,caf
960,French Polynesia,9,1,1912,caf
990,Samoa (Western Samoa) (German Samoa),9,5,1912,caf
1029,St. Pierre and Miquelon,5,1,1912,caf
1032,Turks and Caicos Is.,5,2,1912,caf
1055,Windward Is.,5,5,1912,caf
1063,Leeward Is.,5,5,1912,caf
1163,Falkland Is.,2,5,1912,caf
2003,Channel Is.,0,5,1912,caf
3504,Samos,3,1,1912,caf
4050,St. Helena,6,5,1912,caf
4070,Ascension I.,1,5,1912,caf
4783,Southern Nigeria (Niger Coast Protectorate),1,5,1912,caf
4784,Northern Nigeria (British Nigeria),0,5,1912,caf
5200,Italian Somaliland,6,5,1912,caf
5403,Cabinda (Portuguese Congo),7,1,1912,caf
6067,Captaincy-general of north Africa,2,4,1912,caf
6203,Tripolitania (Regency of Tripoli),4,1,1912,caf
6802,Perim I.,6,1,1912,caf
7104,Kwangtung Territory,8,5,1912,caf
7120,Kiauchau,1,1,1912,caf
8151,Cochin China,8,5,1912,caf
8221,Johore,8,,1912,caf
8401,Sulu Sultanate,8,1,1912,caf
9004,Norfolk I.,9,5,1912,caf
9253,Niue I.,9,5,1912,caf
9321,Wallis and Futuna Is.,9,,1912,caf
9462,Malden I.,9,5,1912,caf
9973,Kerguelen Is.,9,5,1912,caf
