key,source,target,TIBI,proximity,observedTradeValues,coMembershipScore,bridgeNessEdgeScore,ambiguityScore,maxObservedTradeValue,sourceCited,sourceReporting,sourceLabel,sourceGphStatus,sourceBlockLouvainTibi,sourceBlockLouvainProximity,sourceBlockIntraMax,sourceBlockAn,sourceMeanAmbiguityScore,targetCited,targetReporting,targetLabel,targetGphStatus,targetBlockLouvainTibi,targetBlockLouvainProximity,targetBlockIntraMax,targetBlockAn,targetMeanAmbiguityScore
100-1029,100,1029,-1,,0,0,1,0,0,,,Colombia (New Granada) (Gran Colombia),,1,1,1,LA,0.05600000000000001,,,St. Pierre and Miquelon,,3,6,4,LA,0
100-120,100,120,-1,,0,0,1,0,0,,,Colombia (New Granada) (Gran Colombia),,1,1,1,LA,0.05600000000000001,,,French Guiana,,3,6,4,LA,0
100-2,2,100,0.9425521669752204,1.5213575349788382,318565.3691050795|52196.47404505387,1,0,0,318565.3691050795,,,United States of America,,1,1,4,NAM,0.10690909090909091,,,Colombia (New Granada) (Gran Colombia),,1,1,1,LA,0.05600000000000001
100-200,100,200,-0.03012949306680199,-0.04109762568688454,50626.640548481875,0,1,0,50626.640548481875,,,Colombia (New Granada) (Gran Colombia),,1,1,1,LA,0.05600000000000001,,,United Kingdom,,4,5,2,WE,0
100-220,100,220,-0.4119228815740695,-0.813930137079903,8384.524975514201|21369.423915946933,0,1,0,21369.423915946933,,,Colombia (New Granada) (Gran Colombia),,1,1,1,LA,0.05600000000000001,,,France,,3,6,1,WE,0
100-230,100,230,0.47219602129717764,1.0226549445939122,14887.365328109698|2752.0078354554357,0.7,0.30000000000000004,0.8400000000000001,14887.365328109698,,,Colombia (New Granada) (Gran Colombia),,1,1,1,LA,0.05600000000000001,,,Spain,,1,1,3,EESU,0.17379310344827587
100-324,100,324,-0.6586175463838517,-1.5463064707468663,1543.5847208619,0,1,0,1543.5847208619,,,Colombia (New Granada) (Gran Colombia),,1,1,1,LA,0.05600000000000001,,,Kingdom of Sardinia,,5,6,1,LA,0
100-433,100,433,-1,,0,0,1,0,0,,,Colombia (New Granada) (Gran Colombia),,1,1,1,LA,0.05600000000000001,,,Senegal,,3,6,1,WE,0
100-51,51,100,,6.27346068302661,82943.1929480901,1,0,0,82943.1929480901,,,Jamaica,,1,1,,LA,0,,,Colombia (New Granada) (Gran Colombia),,1,1,1,LA,0.05600000000000001
100-585,100,585,-1,,0,0,1,0,0,,,Colombia (New Granada) (Gran Colombia),,1,1,1,LA,0.05600000000000001,,,Reunion (Bourbon I.),,3,6,1,WE,0
100-615,100,615,-1,,0,0,1,0,0,,,Colombia (New Granada) (Gran Colombia),,1,1,1,LA,0.05600000000000001,,,Algeria (Regency of Algiers),,5,6,1,WE,0
100-65,65,100,-0.9987296898535529,-7.347847431826976,1,0,1,0,1,,,Guadeloupe,,3,6,4,NAM,0,,,Colombia (New Granada) (Gran Colombia),,1,1,1,LA,0.05600000000000001
100-66,66,100,-1,,0,0,1,0,0,,,Martinique,,3,6,4,NAM,0,,,Colombia (New Granada) (Gran Colombia),,1,1,1,LA,0.05600000000000001
100-68,68,100,-0.8589065074511356,-2.5691668327804904,65.81782566111654,0,1,0,65.81782566111654,,,Netherlands Antilles,,2,2,3,LA,0,,,Colombia (New Granada) (Gran Colombia),,1,1,1,LA,0.05600000000000001
100-751,100,751,-1,,0,0,1,0,0,,,Colombia (New Granada) (Gran Colombia),,1,1,1,LA,0.05600000000000001,,,French India,,6,5,4,LA,0
101-1029,101,1029,-0.8627370021536156,-2.601446677904436,91,0,1,0,91,,,Venezuela,,1,1,4,LA,0,,,St. Pierre and Miquelon,,3,6,4,LA,0
101-120,101,120,-0.8079826656706222,-2.2380913165789824,31,0,1,0,31,,,Venezuela,,1,1,4,LA,0,,,French Guiana,,3,6,4,LA,0
101-2,2,101,0.743280794129519,1.602790015353507,130381.97845249755,1,0,0,130381.97845249755,,,United States of America,,1,1,4,NAM,0.10690909090909091,,,Venezuela,,1,1,4,LA,0
101-200,101,200,-0.0031329374378705195,-0.004585737679134467,114714.98530852106,0,1,0,114714.98530852106,,,Venezuela,,1,1,4,LA,0,,,United Kingdom,,4,5,2,WE,0
101-210,101,210,-0.3980857675392257,-0.8279023126042713,4129.285014691479,0,1,0,4129.285014691479,,,Venezuela,,1,1,4,LA,0,,,Netherlands,,2,2,3,WE,0
101-220,101,220,-0.6525913255921362,-1.4778857429616452,9429.970617042116,0,1,0,9429.970617042116,,,Venezuela,,1,1,4,LA,0,,,France,,3,6,1,WE,0
101-433,101,433,-0.8718282746240569,-2.676828058455703,20,0,1,0,20,,,Venezuela,,1,1,4,LA,0,,,Senegal,,3,6,1,WE,0
101-5,5,101,0.9919937372645042,4.554331311582122,163189.03036238984,1,0,0,163189.03036238984,,,Virgin Islands (Danish West Indies),,1,1,4,LA,0,,,Venezuela,,1,1,4,LA,0
101-585,101,585,-0.9050072153564219,-2.9891298525506054,123,0,1,0,123,,,Venezuela,,1,1,4,LA,0,,,Reunion (Bourbon I.),,3,6,1,WE,0
101-615,101,615,-0.853497444835337,-2.532375405398896,60,0,1,0,60,,,Venezuela,,1,1,4,LA,0,,,Algeria (Regency of Algiers),,5,6,1,WE,0
101-65,65,101,-0.8273624532265534,-2.3485647606819917,324,0,1,0,324,,,Guadeloupe,,3,6,4,NAM,0,,,Venezuela,,1,1,4,LA,0
101-66,66,101,-0.8257905955862475,-2.340894033180974,224,0,1,0,224,,,Martinique,,3,6,4,NAM,0,,,Venezuela,,1,1,4,LA,0
101-68,68,101,0.7176281993792456,1.7639385395165923,10953.966699314398,0,1,0,10953.966699314398,,,Netherlands Antilles,,2,2,3,LA,0,,,Venezuela,,1,1,4,LA,0
101-751,101,751,-0.8649660257799536,-2.6212887595377037,12,0,1,0,12,,,Venezuela,,1,1,4,LA,0,,,French India,,6,5,4,LA,0
1029-220,220,1029,0.9998610394245065,1.7723255001554623,297747.30656219396,1,0,0,297747.30656219396,,,France,,3,6,1,WE,0,,,St. Pierre and Miquelon,,3,6,4,LA,0
1049-200,200,1049,,1.3252802562744619,38251,1,0,0,38251,,,United Kingdom,,4,5,2,WE,0,,,Tobago,,4,5,2,LA,0
1064-2,2,1064,,1.6291465420623021,6728.515012850248,1,0,0,6728.515012850248,,,United States of America,,1,1,4,NAM,0.10690909090909091,,,St. Barthelemy,,1,1,4,NAM,0
1075-2,2,1075,0.9682363625328662,2.580830158112709,9026,1,0,0,9026,,,United States of America,,1,1,4,NAM,0.10690909090909091,,,St. Kitts,,1,1,2,LA,0
1075-200,200,1075,-0.1812782538301211,-0.28150396154617224,2264,0,1,0,2264,,,United Kingdom,,4,5,2,WE,0,,,St. Kitts,,1,1,2,LA,0
110-2,2,110,,1.6291465420623021,1556.238116132807,1,0,0,1556.238116132807,,,United States of America,,1,1,4,NAM,0.10690909090909091,,,Guyana (British Guiana),,1,1,4,NAM,0
120-220,120,220,0.9997975516607622,1.7721915811224538,70519.09892262488,1,0,0,70519.09892262488,,,French Guiana,,3,6,4,LA,0,,,France,,3,6,1,WE,0
135-2,2,135,0.7966703518732113,1.2703904120957665,136783.05020999187,0.7,0.30000000000000004,0.8400000000000001,136783.05020999187,,,United States of America,,1,1,4,NAM,0.10690909090909091,,,Peru,,1,1,1,WE,0.28
135-220,135,220,-0.6950140008249409,-1.4458621412573263,7835.455435847209,0,1,0,7835.455435847209,,,Peru,,1,1,1,WE,0.28,,,France,,3,6,1,WE,0
135-230,135,230,0.917090740639212,2.852208321918854,51192.94809010774,1,0,0,51192.94809010774,,,Peru,,1,1,1,WE,0.28,,,Spain,,1,1,3,EESU,0.17379310344827587
140-165,140,165,0.7925041575454796,4.468232463523478,109010.77375122429|16172.38001958864,1,0,0,109010.77375122429,,,Brazil,,3,4,2,LA,0.12,,,Uruguay,,3,4,2,LA,0.12
140-2,2,140,0.2301454033457808,0.39978778789791963,1063476.671054556|53708.12928501469,0,1,0,1063476.671054556,,,United States of America,,1,1,4,NAM,0.10690909090909091,,,Brazil,,3,4,2,LA,0.12
140-200,140,200,0.7544232682948339,1.0040747162730939,875572.9676787463,0,1,0,875572.9676787463,,,Brazil,,3,4,2,LA,0.12,,,United Kingdom,,4,5,2,WE,0
140-210,140,210,-0.6228639831915459,-1.3974445352107183,6503.4280117531835,0,1,0,6503.4280117531835,,,Brazil,,3,4,2,LA,0.12,,,Netherlands,,2,2,3,WE,0
140-211,140,211,0.15492149561512664,0.29893924778515674,302091.08716944174,1,0,0,302091.08716944174,,,Brazil,,3,4,2,LA,0.12,,,Belgium,,3,4,1,WE,0.12
140-220,140,220,0.041899120393859034,0.10947918609241444,254652.3016650343|128383.93731635652,0,1,0,254652.3016650343,,,Brazil,,3,4,2,LA,0.12,,,France,,3,6,1,WE,0
