key,source,target,TIBI,proximity,observedTradeValues,coMembershipScore,bridgeNessEdgeScore,ambiguityScore,maxObservedTradeValue,sourceCited,sourceReporting,sourceLabel,sourceGphStatus,sourceBlockLouvainTibi,sourceBlockLouvainProximity,sourceBlockIntraMax,sourceBlockAn,sourceMeanAmbiguityScore,targetCited,targetReporting,targetLabel,targetGphStatus,targetBlockLouvainTibi,targetBlockLouvainProximity,targetBlockIntraMax,targetBlockAn,targetMeanAmbiguityScore
100-2,2,100,0.6801473963338173,1.2942134045872984,91933.38765958336,0.9,0.09999999999999998,0.35999999999999993,91933.38765958336,,,United States of America,,1,1,4,NAM,0.28527272727272723,,,Colombia (New Granada) (Gran Colombia),,1,1,1,LA,0.32499999999999996
100-200,100,200,0.5286821955337776,0.7563705297471153,121826,0.25,0.75,0.75,121826,,,Colombia (New Granada) (Gran Colombia),,1,1,1,LA,0.32499999999999996,,,United Kingdom,,4,0,2,WE,0.3172222222222223
100-220,100,220,-0.29571305542497106,-0.5318104370866289,23506.366307541626,0.05,0.95,0.19,23506.366307541626,,,Colombia (New Granada) (Gran Colombia),,1,1,1,LA,0.32499999999999996,,,France,,3,3,1,WE,0.2576470588235294
100-246,100,246,0.8631096646080125,2.5506050979691657,9402.54652301665,1,0,0,9402.54652301665,,,Colombia (New Granada) (Gran Colombia),,1,1,1,LA,0.32499999999999996,,,Bremen,,1,1,3,WE,0.255
101-1029,101,1029,-0.7893776262625681,-2.1350509262671875,79,0,1,0,79,,,Venezuela,,1,1,4,LA,0.12214285714285714,,,St. Pierre and Miquelon,,3,3,4,LA,0
101-120,101,120,-0.8963097052782413,-2.9022146940859916,17,0,1,0,17,,,Venezuela,,1,1,4,LA,0.12214285714285714,,,French Guiana,,3,3,4,LA,0.11999999999999998
101-2,2,101,0.6711335607156618,1.3014307606603104,185731.63565132226,0.9,0.09999999999999998,0.35999999999999993,185731.63565132226,,,United States of America,,1,1,4,NAM,0.28527272727272723,,,Venezuela,,1,1,4,LA,0.12214285714285714
101-200,101,200,-0.47411801231664874,-0.5294399386965516,63580.80313418218,0.15,0.85,0.51,63580.80313418218,,,Venezuela,,1,1,4,LA,0.12214285714285714,,,United Kingdom,,4,0,2,WE,0.3172222222222223
101-210,101,210,-0.8061278315232958,-2.1609174299561222,2362.3898139079333,0.3,0.7,0.84,2362.3898139079333,,,Venezuela,,1,1,4,LA,0.12214285714285714,,,Netherlands,,0,0,3,WE,0.27545454545454545
101-220,101,220,-0.1912442190426408,-0.1737088327895508,32893.24191968658,0,1,0,32893.24191968658,,,Venezuela,,1,1,4,LA,0.12214285714285714,,,France,,3,3,1,WE,0.2576470588235294
101-433,101,433,-0.8020031395275897,-2.2046006242330094,34,0,1,0,34,,,Venezuela,,1,1,4,LA,0.12214285714285714,,,Senegal,,3,3,1,WE,0.06333333333333334
101-5,5,101,0.984475706231927,4.239323337228813,123247.79627815867,1,0,0,123247.79627815867,,,Virgin Islands (Danish West Indies),,1,1,4,LA,0.11999999999999998,,,Venezuela,,1,1,4,LA,0.12214285714285714
101-585,101,585,-0.46365050945091113,-1.0000196105893144,409,0,1,0,409,,,Venezuela,,1,1,4,LA,0.12214285714285714,,,Reunion (Bourbon I.),,3,3,1,WE,0.144
101-615,101,615,-0.8113709648580908,-2.2539732788517206,247,0,1,0,247,,,Venezuela,,1,1,4,LA,0.12214285714285714,,,Algeria (Regency of Algiers),,3,3,1,WE,0.15
101-65,65,101,-0.7553595187592491,-1.9637056415674283,272,0,1,0,272,,,Guadeloupe,,3,3,4,NAM,0.12000000000000001,,,Venezuela,,1,1,4,LA,0.12214285714285714
101-66,66,101,-0.7541798703163326,-1.9581938286423848,276,0,1,0,276,,,Martinique,,3,3,4,NAM,0.12000000000000001,,,Venezuela,,1,1,4,LA,0.12214285714285714
101-68,68,101,0.9143240987013334,2.9839942055957707,23522.037218413323,1,0,0,23522.037218413323,,,Netherlands Antilles,,1,1,3,LA,0.39999999999999997,,,Venezuela,,1,1,4,LA,0.12214285714285714
101-751,101,751,-0.5657449789049034,-1.2797588589341256,26,0,1,0,26,,,Venezuela,,1,1,4,LA,0.12214285714285714,,,French India,,5,4,4,LA,0
1025-211,211,1025,,3.530686385434906,144.05484818805093,1,0,0,144.05484818805093,,,Belgium,,3,1,1,WE,0.35,,,Quebec (Lower Canada),,3,1,1,WE,0
1029-220,220,1029,0.9998389038064701,1.8185427821233344,188050.930460333,1,0,0,188050.930460333,,,France,,3,3,1,WE,0.2576470588235294,,,St. Pierre and Miquelon,,3,3,4,LA,0
1049-200,200,1049,,1.388288277284892,81810,1,0,0,81810,,,United Kingdom,,4,0,2,WE,0.3172222222222223,,,Tobago,,4,0,2,LA,0
1064-2,2,1064,,2.2811936580823047,20928.76992833114,1,0,0,20928.76992833114,,,United States of America,,1,1,4,NAM,0.28527272727272723,,,St. Barthelemy,,1,1,4,NAM,0
1075-2,2,1075,-0.2237889329031533,-0.29847535618661364,7783,0.15,0.85,0.51,7783,,,United States of America,,1,1,4,NAM,0.28527272727272723,,,St. Kitts,,4,0,2,LA,0.255
1075-200,200,1075,0.9129060649664481,1.297629844826947,82017,1,0,0,82017,,,United Kingdom,,4,0,2,WE,0.3172222222222223,,,St. Kitts,,4,0,2,LA,0.255
110-2,2,110,,2.281193658082305,992.9166927850562,1,0,0,992.9166927850562,,,United States of America,,1,1,4,NAM,0.28527272727272723,,,Guyana (British Guiana),,1,1,4,NAM,0
120-2,2,120,-0.8183553376201849,-2.2064705030930636,980.5888129714369,0,1,0,980.5888129714369,,,United States of America,,1,1,4,NAM,0.28527272727272723,,,French Guiana,,3,3,4,LA,0.11999999999999998
120-220,120,220,0.9955480152201923,1.80745496516576,86190.0097943193,0.9,0.09999999999999998,0.35999999999999993,86190.0097943193,,,French Guiana,,3,3,4,LA,0.11999999999999998,,,France,,3,3,1,WE,0.2576470588235294
135-200,135,200,0.7311441491468245,1.042659150079535,387524,0.25,0.75,0.75,387524,,,Peru,,1,1,1,WE,0.3133333333333333,,,United Kingdom,,4,0,2,WE,0.3172222222222223
135-220,135,220,0.28935755481936853,0.46909637497970613,152791.38099902056,0.05,0.95,0.19,152791.38099902056,,,Peru,,1,1,1,WE,0.3133333333333333,,,France,,3,3,1,WE,0.2576470588235294
135-230,135,230,0.670607043743265,1.5367260051968163,48987.26738491675,1,0,0,48987.26738491675,,,Peru,,1,1,1,WE,0.3133333333333333,,,Spain,,1,1,3,EESU,0.28814814814814815
140-165,140,165,0.7249650151149184,5.02345645775247,85030.36238981392|5210.577864838394,1,0,0,85030.36238981392,,,Brazil,,4,1,2,LA,0.23384615384615384,,,Uruguay,,1,1,2,LA,0.4855555555555556
140-2,2,140,0.1275646501442207,0.22527006180360715,517051.1293591592|21245.83741429971,0.75,0.25,0.75,517051.1293591592,,,United States of America,,1,1,4,NAM,0.28527272727272723,,,Brazil,,4,1,2,LA,0.23384615384615384
140-200,140,200,0.7244162693566948,1.0116247474344915,2575680|331866.79725759063,0.25,0.75,0.75,2575680,,,Brazil,,4,1,2,LA,0.23384615384615384,,,United Kingdom,,4,0,2,WE,0.3172222222222223
140-210,140,210,-0.9668332627431196,-4.003617780191661,693.437806072478,0,1,0,693.437806072478,,,Brazil,,4,1,2,LA,0.23384615384615384,,,Netherlands,,0,0,3,WE,0.27545454545454545
140-211,140,211,-0.8430819647334737,-2.397725489092352,10758.041136141039,0.7,0.30000000000000004,0.8400000000000001,10758.041136141039,,,Brazil,,4,1,2,LA,0.23384615384615384,,,Belgium,,3,1,1,WE,0.35
140-220,140,220,-0.16340014518820867,-0.12014065184176112,501469.14789422136|64313.41821743389,0.05,0.95,0.19,501469.14789422136,,,Brazil,,4,1,2,LA,0.23384615384615384,,,France,,3,3,1,WE,0.2576470588235294
140-230,140,230,-0.4338783973803054,-0.8915885647418944,8266.405484818806,0.85,0.15000000000000002,0.51,8266.405484818806,,,Brazil,,4,1,2,LA,0.23384615384615384,,,Spain,,1,1,3,EESU,0.28814814814814815
140-235,140,235,0.8347821680288526,2.2516092073048113,82123.40842311458,1,0,0,82123.40842311458,,,Brazil,,4,1,2,LA,0.23384615384615384,,,Portugal,,4,1,3,EESU,0.30399999999999994
140-248,140,248,0.9874797415217758,4.350872986332398,215670.91087169442|103034.97723882232,1,0,0,215670.91087169442,,,Brazil,,4,1,2,LA,0.23384615384615384,,,Hamburg,,4,1,1,WE,0.29928571428571427
140-300,140,300,0.7501026547625456,1.8131037794839582,23937.316356513224|102628.79529872675,0,1,0,102628.79529872675,,,Brazil,,4,1,2,LA,0.23384615384615384,,,Austria-Hungary (Austrian Empire),,6,3,1,WE,0.03571428571428571
140-324,140,324,0.4732425851623976,1.011989664891684,93002.93829578845|48540.64642507346,0,1,0,93002.93829578845,,,Brazil,,4,1,2,LA,0.23384615384615384,,,Kingdom of Sardinia,,6,3,1,LA,0.08666666666666666
140-380,140,380,0.8694290172224877,2.54897583082734,16643.861374681786|33966.69931439765,0,1,0,33966.69931439765,,,Brazil,,4,1,2,LA,0.23384615384615384,,,Sweden,,0,0,3,EESU,0.19043478260869565
140-750,140,750,-0.9921281997934197,-5.431539501914327,1020.4813591316658,0,1,0,1020.4813591316658,,,Brazil,,4,1,2,LA,0.23384615384615384,,,India,,5,4,2,WE,0.018947368421052633
155-165,155,165,-0.8812212104289748,-2.7505590757937552,266.4054848188051,0.25,0.75,0.75,266.4054848188051,,,Chile,,4,0,2,LA,0.252,,,Uruguay,,1,1,2,LA,0.4855555555555556
155-2,2,155,0.20105091845200473,0.3540038268152665,152560.64690026955,0.15,0.85,0.51,152560.64690026955,,,United States of America,,1,1,4,NAM,0.28527272727272723,,,Chile,,4,0,2,LA,0.252
155-200,155,200,0.8464031807357392,1.212484300383787,816817,1,0,0,816817,,,Chile,,4,0,2,LA,0.252,,,United Kingdom,,4,0,2,WE,0.3172222222222223
155-220,155,220,-0.4133905378042502,-0.7745451444947182,78354.55435847209,0,1,0,78354.55435847209,,,Chile,,4,0,2,LA,0.252,,,France,,3,3,1,WE,0.2576470588235294
155-901,155,901,-0.9330331253068355,-3.3511238507351915,120,0,1,0,120,,,Chile,,4,0,2,LA,0.252,,,New South Wales,,5,4,2,AS,0
160-2,2,160,0.10595530336544694,0.18738732769276162,103301.57337177961,0.4,0.6,0.96,103301.57337177961,,,United States of America,,1,1,4,NAM,0.28527272727272723,,,Argentina (La Plata),,4,1,2,LA,0.45166666666666666
160-200,160,200,0.6858755102519842,0.975231882539106,515362,0.75,0.25,0.75,515362,,,Argentina (La Plata),,4,1,2,LA,0.45166666666666666,,,United Kingdom,,4,0,2,WE,0.3172222222222223
160-220,160,220,0.08634211987032275,0.1418951314251925,156709.10871694417,0,1,0,156709.10871694417,,,Argentina (La Plata),,4,1,2,LA,0.45166666666666666,,,France,,3,3,1,WE,0.2576470588235294
160-230,160,230,0.39885080661806477,0.8125914125090248,33782.566111655244,0.5,0.5,1,33782.566111655244,,,Argentina (La Plata),,4,1,2,LA,0.45166666666666666,,,Spain,,1,1,3,EESU,0.28814814814814815
160-324,160,324,0.007629753286684436,0.014634748707483857,28940.254652301668,0,1,0,28940.254652301668,,,Argentina (La Plata),,4,1,2,LA,0.45166666666666666,,,Kingdom of Sardinia,,6,3,1,LA,0.08666666666666666
160-901,160,901,-0.8196297399380642,-2.3021943917692016,274,0,1,0,274,,,Argentina (La Plata),,4,1,2,LA,0.45166666666666666,,,New South Wales,,5,4,2,AS,0
165-2,2,165,0.31036224572259336,0.6361390945010249,106961.80215475026,0.75,0.25,0.75,106961.80215475026,,,United States of America,,1,1,4,NAM,0.28527272727272723,,,Uruguay,,1,1,2,LA,0.4855555555555556
165-200,165,200,-0.2009425371119643,-0.02717051204322441,117688.54064642508,0.25,0.75,0.75,117688.54064642508,,,Uruguay,,1,1,2,LA,0.4855555555555556,,,United Kingdom,,4,0,2,WE,0.3172222222222223
165-220,165,220,0.322316843779465,0.7443707877625575,92278.15866797259,0.05,0.95,0.19,92278.15866797259,,,Uruguay,,1,1,2,LA,0.4855555555555556,,,France,,3,3,1,WE,0.2576470588235294
165-230,165,230,0.49146186846569806,1.0388104506405371,34436.82664054848,0.85,0.15000000000000002,0.51,34436.82664054848,,,Uruguay,,1,1,2,LA,0.4855555555555556,,,Spain,,1,1,3,EESU,0.28814814814814815
165-231,165,231,0.07982218873673394,0.15852135066078019,2546.523016650343,0.35,0.65,0.9099999999999999,2546.523016650343,,,Uruguay,,1,1,2,LA,0.4855555555555556,,,Gibraltar,,1,1,1,WE,0.724
165-324,165,324,-0.5474923166133239,-1.1757811667208236,3290.891283055828,0,1,0,3290.891283055828,,,Uruguay,,1,1,2,LA,0.4855555555555556,,,Kingdom of Sardinia,,6,3,1,LA,0.08666666666666666
165-40,40,165,0.7972860496904223,2.0899544851551415,42186.09206660138,0.85,0.15000000000000002,0.51,42186.09206660138,,,Cuba,,1,1,1,LA,0.2176470588235294,,,Uruguay,,1,1,2,LA,0.4855555555555556
2-200,2,200,0.6084206222995354,0.8317886258148104,6181214.191688084|7579699,0.15,0.85,0.51,7579699,,,United States of America,,1,1,4,NAM,0.28527272727272723,,,United Kingdom,,4,0,2,WE,0.3172222222222223
2-210,2,210,-0.22339491250655613,-0.2890329060159307,341493.3450343718|244348.6777668952,0.2,0.8,0.6400000000000001,341493.3450343718,,,United States of America,,1,1,4,NAM,0.28527272727272723,,,Netherlands,,0,0,3,WE,0.27545454545454545
2-211,2,211,-0.39879191836403377,-0.7392627113696936,134585.34444931988,0.75,0.25,0.75,134585.34444931988,,,United States of America,,1,1,4,NAM,0.28527272727272723,,,Belgium,,3,1,1,WE,0.35
2-220,2,220,0.3689299364752752,0.6960649270265299,4231145.935357493|2258004.346100002,0.1,0.9,0.36000000000000004,4231145.935357493,,,United States of America,,1,1,4,NAM,0.28527272727272723,,,France,,3,3,1,WE,0.2576470588235294
