key,source,target,proximity,observedTradeValues,coMembershipScore,bridgeNessEdgeScore,ambiguityScore,sourceCommunityId,maxObservedTradeValue,sourceCited,sourceReporting,sourceLabel,sourceGphStatus,sourceCommunity,sourceMeanAmbiguityScore,targetCited,targetLabel,targetGphStatus,targetCommunity,targetMeanAmbiguityScore
2-5,2,5,2.784654177416163,0.0018586195899967124,1,0,0,4,0.0018586195899967124,1,1,United States of America,Sovereign,4,0,1,Virgin Islands (Danish West Indies),Colony of,4,0
2-68,2,68,0.7957104821534626,0.0005695531949158949,1,0,0,4,0.0005695531949158949,1,1,United States of America,Sovereign,4,0,1,Netherlands Antilles,Colony of,4,0
2-200,2,200,1.424043526688398,0.07469061868532585|0.08335580991179395,0,1,0,bridge,0.08335580991179395,1,1,United States of America,Sovereign,4,0,1,United Kingdom,Sovereign,1,0
2-231,2,231,0.002479386489110391,0.0008900773273110301,0,1,0,bridge,0.0008900773273110301,1,1,United States of America,Sovereign,4,0,1,Gibraltar,Colony of,1,0
110-2,2,110,6.26155151116144,0.00014723735774861772,1,0,0,4,0.00014723735774861772,1,1,United States of America,Sovereign,4,0,1,Guyana (British Guiana),Colony of,4,0
2-41,2,41,1.1602842812692922,0.001478292498248777|0.0014897812921182629,1,0,0,4,0.0014897812921182629,1,1,United States of America,Sovereign,4,0,1,Haiti,Sovereign (unrecognized),4,0
2-40,2,40,2.7960576044235492,0.006448200353908122,1,0,0,4,0.006448200353908122,1,1,United States of America,Sovereign,4,0,1,Cuba,Colony of,4,0
2-6,2,6,2.361401698283017,0.0008331315363850622,1,0,0,4,0.0008331315363850622,1,1,United States of America,Sovereign,4,0,1,Puerto Rico,Colony of,4,0
2-402,2,402,6.031400917437511,0.00009417866109240635,1,0,0,4,0.00009417866109240635,1,1,United States of America,Sovereign,4,0,1,Cape Verde,Colony of,4,0
2-70,2,70,1.4785943235259245,0.0021027848802715006,0,1,0,bridge,0.0021027848802715006,1,1,United States of America,Sovereign,4,0,1,Mexico,Sovereign,1,0
2-89,2,89,3.9088618043327434,0.00012099736953828591,1,0,0,4,0.00012099736953828591,1,1,United States of America,Sovereign,4,0,1,United States of Central America,Sovereign (unrecognized),4,0
100-2,2,100,0.8243954145340813,0.0005516577079227225,0,1,0,bridge,0.0005516577079227225,1,1,United States of America,Sovereign,4,0,1,Colombia (New Granada) (Gran Colombia),Sovereign,1,0
140-2,2,140,0.20666364155357853,0.0024280200476107317|0.0028965106011305556,0,1,0,bridge,0.0028965106011305556,1,1,United States of America,Sovereign,4,0,1,Brazil,Sovereign,3,0
160-2,2,160,0.7524282119474281,0.00037808507630755685|0.0011212341159900186,0,1,0,bridge,0.0011212341159900186,1,1,United States of America,Sovereign,4,0,1,Argentina (La Plata),Sovereign,1,0
380-385,380,385,6.3021243885567895,0.00035822554634556904,1,0,0,3,0.00035822554634556904,1,1,Sweden,Sovereign,3,0,1,Norway,Sovereign (limited),3,0
239-380,380,239,7.429685910608459,0.0002758283392335933|0.00035112291247382197,1,0,0,3,0.00035112291247382197,1,1,Sweden,Sovereign,3,0,1,Prussia,Sovereign,3,0
380-390,380,390,14.07554885628389,0.0014084557432505192,1,0,0,3,0.0014084557432505192,1,1,Sweden,Sovereign,3,0,1,Denmark,Sovereign,3,0
200-380,380,200,0.13968378876600784,0.002583541963126997|0.0007601143050568201,0,1,0,bridge,0.002583541963126997,1,1,Sweden,Sovereign,3,0,1,United Kingdom,Sovereign,1,0
220-380,380,220,0.2787477507450973,0.0006718233704235449|0.0007136866785045173,0,1,0,bridge,0.0007136866785045173,1,1,Sweden,Sovereign,3,0,1,France,Sovereign,0,0
235-380,380,235,3.9690480406885094,0.0005675940330006872,1,0,0,3,0.0005675940330006872,1,1,Sweden,Sovereign,3,0,1,Portugal,Sovereign,3,0
2-380,380,2,0.6096412363912231,0.0025158448111959313|0.00015309217844902118,0,1,0,bridge,0.0025158448111959313,1,1,Sweden,Sovereign,3,0,1,United States of America,Sovereign,4,0
140-380,380,140,15.821746345803305,0.00021267465782491224|0.0009330792500447948,1,0,0,3,0.0009330792500447948,1,1,Sweden,Sovereign,3,0,1,Brazil,Sovereign,3,0
200-248,248,200,0.12488828430851928,0.027836423745670635,0,1,0,bridge,0.027836423745670635,1,1,Hamburg,Sovereign (unrecognized),3,0,1,United Kingdom,Sovereign,1,0
239-248,248,239,5.608755889023468,0.03509435293766213|0.00031446921910322797,1,0,0,3,0.03509435293766213,1,1,Hamburg,Sovereign (unrecognized),3,0,1,Prussia,Sovereign,3,0
240-248,248,240,7.887418244070309,0.02527825349583111,1,0,0,3,0.02527825349583111,1,1,Hamburg,Sovereign (unrecognized),3,0,1,Hanover,Sovereign (unrecognized),3,0
140-248,248,140,2.9944127121575557,0.003273442898740719|0.0009636535796864048,1,0,0,3,0.003273442898740719,1,1,Hamburg,Sovereign (unrecognized),3,0,1,Brazil,Sovereign,3,0
220-248,248,220,0.027630577454581084,0.0020303064361456282|0.002494481446710323,0,1,0,bridge,0.002494481446710323,1,1,Hamburg,Sovereign (unrecognized),3,0,1,France,Sovereign,0,0
2-248,248,2,0.46797872498450377,0.006405470103777765|0.003134354561349534,0,1,0,bridge,0.006405470103777765,1,1,Hamburg,Sovereign (unrecognized),3,0,1,United States of America,Sovereign,4,0
