"target","source","key","proximity","observedTradeValues","coMembershipScore","bridgeNessEdgeScore","ambiguityScore","maxObservedTradeValue","sourceCited","sourceReporting","sourceLabel","sourceGphStatus","sourceBlockLouvain","sourceBlockIntraMax","sourceBlockAn","sourceMeanAmbiguityScore","targetCited","targetReporting","targetLabel","targetGphStatus","targetBlockLouvain","targetBlockIntraMax","targetBlockAn","targetMeanAmbiguityScore","export","import"
"100","2","100-2",0.654329295332401,"0.0009515326316342115",0,1,0,0.000951532631634212,NA,NA,"United States of America",NA,3,2,"NAM",0,NA,NA,"Colombia (New Granada) (Gran Colombia)",NA,5,3,"WE",0,493489.294373896,NA
"100","51","100-51",0.867666884855304,"0.000020820409831629615",1,0,0,2.08204098316296e-05,NA,NA,"Jamaica",NA,5,1,"LA",0,NA,NA,"Colombia (New Granada) (Gran Colombia)",NA,5,3,"WE",0,10798,NA
"101","2","101-2",1.1900761988158,"0.000741559662002998",1,0,0,0.000741559662002998,NA,NA,"United States of America",NA,3,2,"NAM",0,NA,NA,"Venezuela",NA,3,3,"WE",0,384591.912217976,NA
"1019","200","1019-200",1.28754235927228,"0.0001406100728432819",1,0,0,0.000140610072843282,NA,NA,"United Kingdom",NA,0,1,"WE",0.00614457831325301,NA,NA,"Rupert's Land",NA,0,1,"WE",0,72924,NA
"1022","200","1022-200",1.28389325524867,"0.00012353417457796316|0.0017790479102844396",0,1,0,0.00177904791028444,NA,NA,"United Kingdom",NA,0,1,"WE",0.00614457831325301,NA,NA,"Nova Scotia",NA,3,1,"WE",0,922660,64068
"1023","200","1023-200",1.27594459541267,"0.0011603107578394387|0.0009376993524049783",0,1,0,0.00116031075783944,NA,NA,"United Kingdom",NA,0,1,"WE",0.00614457831325301,NA,NA,"New Brunswick",NA,2,1,"AF",0,486315,601767
"1023","561","1023-561",0.638270901507675,"0.0000073521228642344615",1,0,0,7.35212286423446e-06,NA,NA,"Cape Colony (Cape of Good Hope)",NA,2,1,"AF",0,NA,NA,"New Brunswick",NA,2,1,"AF",0,3813,NA
"1023","562","1023-562",2.51670692342296,"0.0000035864013971875424",1,0,0,3.58640139718754e-06,NA,NA,"Natal",NA,2,1,"AF",0,NA,NA,"New Brunswick",NA,2,1,"AF",0,1860,NA
"1024","200","1024-200",1.28754235927228,"0.00004232146465960719|0.0002077413368456913",1,0,0,0.000207741336845691,NA,NA,"United Kingdom",NA,0,1,"WE",0.00614457831325301,NA,NA,"Prince Edward Is.",NA,0,1,"WE",0,107740,21949
"1029","2","1029-2",0.32538739343256,"0.00007070283876271801",0,1,0,7.0702838762718e-05,NA,NA,"United States of America",NA,3,2,"NAM",0,NA,NA,"St. Pierre and Miquelon",NA,5,6,"WE",0,36668.3105248017,NA
