key,source,target,proximity,observedTradeValues,coMembershipScore,bridgeNessEdgeScore,ambiguityScore,maxObservedTradeValue,sourceCited,sourceReporting,sourceLabel,sourceGphStatus,sourceBlockLouvain,sourceBlockIntraMax,sourceBlockAn,sourceMeanAmbiguityScore,targetCited,targetReporting,targetLabel,targetGphStatus,targetBlockLouvain,targetBlockIntraMax,targetBlockAn,targetMeanAmbiguityScore
10-390,10,390,4.770278660346705,0.00003697251314341945,1,0,0,0.00003697251314341945,,,Greenland,,3,3,WE,0,,,Denmark,,3,7,LA,0
100-2,2,100,1.323553417412087,0.0007152113815756375,1,0,0,0.0007152113815756375,,,United States of America,,4,2,WE,0.00475,,,Colombia (New Granada) (Gran Colombia),,4,1,AS,0
100-200,100,200,0.3252648405694645,0.0007897101738302284,0,1,0,0.0007897101738302284,,,Colombia (New Granada) (Gran Colombia),,4,1,AS,0,,,United Kingdom,,1,9,AF,0.014328358208955224
100-220,100,220,0.663608366337806,0.0005259355305655761,0,1,0,0.0005259355305655761,,,Colombia (New Granada) (Gran Colombia),,4,1,AS,0,,,France,,2,9,AF,0.21256410256410257
101-1048,101,1048,4.9582922248805925,0.0005291143453389499,1,0,0,0.0005291143453389499,,,Venezuela,,4,1,AS,0,,,Trinidad,,4,6,LA,0
101-110,101,110,0.47138974530176025,0.0000053957454953902715,1,0,0,0.0000053957454953902715,,,Venezuela,,4,1,AS,0,,,Guyana (British Guiana),,4,1,AS,0.011176470588235295
101-2,2,101,1.3197152734618096,0.0008283470749491754,1,0,0,0.0008283470749491754,,,United States of America,,4,2,WE,0.00475,,,Venezuela,,4,1,AS,0
101-220,101,220,0.27368643168967594,0.0004140343538494961,0,1,0,0.0004140343538494961,,,Venezuela,,4,1,AS,0,,,France,,2,9,AF,0.21256410256410257
101-230,101,230,0.5517091376604706,0.00008916212351361212,0,1,0,0.00008916212351361212,,,Venezuela,,4,1,AS,0,,,Spain,,2,3,WE,0.1580769230769231
101-255,101,255,0.47893959738408676,0.00028369145186188046,0,1,0,0.00028369145186188046,,,Venezuela,,4,1,AS,0,,,Germany (Zollverein),,3,5,WE,0
101-31,31,101,2.8677479988726087,0.000004938287778014924,1,0,0,0.000004938287778014924,,,Bahamas,,4,6,LA,0,,,Venezuela,,4,1,AS,0
1029-21,21,1029,2.274181837093407,0.000008292037884751295,0.05,0.95,0.19,0.000008292037884751295,,,Newfoundland and Labrador (Newfoundland),,4,6,LA,0.019,,,St. Pierre and Miquelon,,2,3,WE,0.19000000000000009
1029-220,220,1029,2.000714787922739,0.0007161675309829121,0.95,0.050000000000000044,0.19000000000000017,0.0007161675309829121,,,France,,2,9,AF,0.21256410256410257,,,St. Pierre and Miquelon,,2,3,WE,0.19000000000000009
1032-1048,1032,1048,7.343437193557195,1.2617092667209126e-7,1,0,0,1.2617092667209126e-7,,,Turks and Caicos Is.,,4,6,LA,0,,,Trinidad,,4,6,LA,0
1032-1055,1032,1055,4.847846038745621,1.1418821296580328e-7,1,0,0,1.1418821296580328e-7,,,Turks and Caicos Is.,,4,6,LA,0,,,Windward Is.,,4,6,LA,0.011875
1032-1063,1032,1063,9.451462560039811,4.863572033728658e-8,1,0,0,4.863572033728658e-8,,,Turks and Caicos Is.,,4,6,LA,0,,,Leeward Is.,,4,6,LA,0.015833333333333335
