"target","source","key","proximity","observedTradeValues","coMembershipScore","bridgeNessEdgeScore","ambiguityScore","sourceCommunityId","maxObservedTradeValue","sourceCited","sourceReporting","sourceLabel","sourceGphStatus","sourceCommunity","sourceMeanAmbiguityScore","targetCited","targetLabel","targetGphStatus","targetCommunity","targetMeanAmbiguityScore","export","import"
"10","230","10-230",22.86090679295,"7278",0.2,0.8,0.64,"bridge",7278,1,1,"Spain","Sovereign",2,0.163684210526316,1,"Greenland","Colony of",0,0.64,7278,NA
"10","390","10-390",25.4449732393055,"32832.04262096996",0.8,0.2,0.64,"0",32832.04262097,1,1,"Denmark","Sovereign",0,0.1515,1,"Greenland","Colony of",0,0.64,32832.04262097,NA
"100","1032","100-1032",18.4196563616976,"6",1,0,0,"2",6,1,1,"Turks and Caicos Is.","Dependency of",2,0.135,1,"Colombia (New Granada) (Gran Colombia)","Sovereign",2,0.17,6,NA
"100","1048","100-1048",18.4601889322896,"385",0.9,0.1,0.36,"2",385,1,1,"Trinidad","Colony of",2,0.1875,1,"Colombia (New Granada) (Gran Colombia)","Sovereign",2,0.17,385,NA
"100","155","100-155",21.4215247435988,"53164.1417855567",1,0,0,"2",53164.1417855567,1,1,"Chile","Sovereign",2,0.115,1,"Colombia (New Granada) (Gran Colombia)","Sovereign",2,0.17,53164.1417855567,NA
"100","2","100-2",22.0660863664811,"1274294.1284741394",0.9,0.1,0.36,"2",1274294.12847414,1,1,"United States of America","Sovereign",2,0.11126582278481,1,"Colombia (New Granada) (Gran Colombia)","Sovereign",2,0.17,1274294.12847414,NA
"100","20","100-20",18.3723376099055,"4451.096156228066",0.9,0.1,0.36,"2",4451.09615622807,1,1,"Canada (Province of Canada)","Colony of",2,0.0984782608695652,1,"Colombia (New Granada) (Gran Colombia)","Sovereign",2,0.17,4451.09615622807,NA
"100","200","100-200",21.2333234862481,"1016608",0,1,0,"bridge",1016608,1,1,"United Kingdom","Sovereign",1,0.138541666666667,1,"Colombia (New Granada) (Gran Colombia)","Sovereign",2,0.17,1016608,NA
"100","210","100-210",10.5352660634003,"6",0,1,0,"bridge",6,1,1,"Netherlands","Sovereign",0,0.0239473684210526,1,"Colombia (New Granada) (Gran Colombia)","Sovereign",2,0.17,6,NA
"100","211","100-211",20.2839281584553,"84812.16000012959",0,1,0,"bridge",84812.1600001296,1,1,"Belgium","Sovereign",0,0.0476,1,"Colombia (New Granada) (Gran Colombia)","Sovereign",2,0.17,84812.1600001296,NA
"100","220","100-220",21.7028573458677,"964438.7998094935",0.4,0.6,0.96,"bridge",964438.799809494,1,1,"France","Sovereign",3,0.54536231884058,1,"Colombia (New Granada) (Gran Colombia)","Sovereign",2,0.17,964438.799809494,NA
