key,source,target,proximity,observedTradeValues,coMembershipScore,bridgeNessEdgeScore,ambiguityScore,sourceCommunityId,maxObservedTradeValue,sourceCited,sourceReporting,sourceLabel,sourceGphStatus,sourceCommunity,sourceMeanAmbiguityScore,targetCited,targetReporting,targetLabel,targetGphStatus,targetCommunity,targetMeanAmbiguityScore
200-420,420,200,1.679673402407042,0.000009073278143282606|0.00003625288295144346,0,1,0,bridge,0.00003625288295144346,1,1,Gambia,Colony of,0,0.23600000000000004,1,1,United Kingdom,Sovereign,1,0.1331944444444445
420-451,420,451,5.49281992575444,8.055827171519672e-10|6.605778280646131e-8,1,0,0,0,6.605778280646131e-8,1,1,Gambia,Colony of,0,0.23600000000000004,1,1,Sierra Leone,Colony of,0,0.2433333333333333
220-420,420,220,2.003889048445812,0.00004173724057564342,0.05,0.95,0.19,bridge,0.00004173724057564342,1,1,Gambia,Colony of,0,0.23600000000000004,1,1,France,Sovereign,2,0.037073170731707336
231-420,420,231,3.9200780864625506,0.0000028163171791632772,0.45,0.55,0.9900000000000001,bridge,0.0000028163171791632772,1,1,Gambia,Colony of,0,0.23600000000000004,1,,Gibraltar,Colony of,3,0.36750000000000005
300-325,325,300,1.3398453491282258,0.002641145855346053|0.0003136730612086187,1,0,0,3,0.002641145855346053,1,1,Italy,Sovereign,3,0.10166666666666668,1,,Austria-Hungary (Austrian Empire),Sovereign,3,0.09
220-325,325,220,0.7296245016078827,0.005366078613043004|0.0038010897620211373,0,1,0,bridge,0.005366078613043004,1,1,Italy,Sovereign,3,0.10166666666666668,1,1,France,Sovereign,2,0.037073170731707336
255-325,325,255,0.3667765769646152,0.003464493915703248|0.0033617951054319317,0.75,0.25,0.75,3,0.003464493915703248,1,1,Italy,Sovereign,3,0.10166666666666668,1,1,Germany (Zollverein),Sovereign,3,0.369
200-325,325,200,0.07689325635085444,0.0036532349378410613|0.0046728896933413665,0,1,0,bridge,0.0046728896933413665,1,1,Italy,Sovereign,3,0.10166666666666668,1,1,United Kingdom,Sovereign,1,0.1331944444444445
325-350,325,350,0.8606113640490065,0.0001688022592851375|0.00002278036055035427,1,0,0,3,0.0001688022592851375,1,1,Italy,Sovereign,3,0.10166666666666668,1,1,Greece,Sovereign,3,0.05833333333333335
325-338,325,338,2.666878969711563,0.00028827734222384375|0.000011070317699102332,0.95,0.050000000000000044,0.19000000000000017,3,0.00028827734222384375,1,1,Italy,Sovereign,3,0.10166666666666668,1,1,Malta,Colony of,3,0.31909090909090915
325-360,325,360,0.5468179148351997,0.000006268268258582266|0.00033521908026127656,1,0,0,3,0.00033521908026127656,1,1,Italy,Sovereign,3,0.10166666666666668,1,1,Romania,Sovereign,3,0.105
325-365,325,365,0.4330587204754568,0.000386648205397474|0.001862192772313011,0.85,0.15000000000000002,0.51,3,0.001862192772313011,1,1,Italy,Sovereign,3,0.10166666666666668,1,1,Russia (USSR),Sovereign,3,0.35176470588235287
225-325,325,225,2.3069136456248436,0.005792005866271896|0.0016341631116046766,1,0,0,3,0.005792005866271896,1,1,Italy,Sovereign,3,0.10166666666666668,1,1,Switzerland,Sovereign,3,0.10714285714285714
325-651,325,651,0.9535809832769033,0.0002472658584415618|0.0005334885771504121,1,0,0,3,0.0005334885771504121,1,1,Italy,Sovereign,3,0.10166666666666668,1,1,Egypt Arab Republic (Egypt),Occupied by,3,0.169
160-325,325,160,0.7087507020728523,0.0008989767643212959|0.0004389513646879539,0,1,0,bridge,0.0008989767643212959,1,1,Italy,Sovereign,3,0.10166666666666668,1,1,Argentina (La Plata),Sovereign,1,0.09090909090909091
150-325,325,150,1.8273069409828198,0.000013324007403921099,0,1,0,bridge,0.000013324007403921099,1,1,Italy,Sovereign,3,0.10166666666666668,1,,Paraguay,Sovereign,1,0
165-325,325,165,0.7791156490138063,0.00021233364990504052|0.00006358810788082579,0,1,0,bridge,0.00021233364990504052,1,1,Italy,Sovereign,3,0.10166666666666668,1,1,Uruguay,Sovereign,1,0.15384615384615385
300-342,342,300,4.557672493910279,0.0010656881697446558|0.00039275602547240003,1,0,0,3,0.0010656881697446558,1,1,Kingdom of Serbia,Sovereign,3,0,1,,Austria-Hungary (Austrian Empire),Sovereign,3,0.09
342-355,342,355,3.2117992983937653,0.000021000479741482074|0.000008520075848232857,1,0,0,3,0.000021000479741482074,1,1,Kingdom of Serbia,Sovereign,3,0,1,1,Bulgaria,Vassal of,3,0
342-360,342,360,1.6283392371000478,0.00000497904556917613|0.000020461801015659966,1,0,0,3,0.000020461801015659966,1,1,Kingdom of Serbia,Sovereign,3,0,1,1,Romania,Sovereign,3,0.105
342-640,342,640,1.5565172056980976,0.000042419238531399624|0.00002267533911233879,1,0,0,3,0.000042419238531399624,1,1,Kingdom of Serbia,Sovereign,3,0,1,1,Turkey (Ottoman Empire),Sovereign,3,0.046666666666666676
200-338,338,200,0.9868445405020214,0.0000028050390211231495|0.0006758847052732176,0,1,0,bridge,0.0006758847052732176,1,1,Malta,Colony of,3,0.31909090909090915,1,1,United Kingdom,Sovereign,1,0.1331944444444445
231-338,338,231,2.9107511726872337,5.606855711377691e-7,0.6,0.4,0.96,3,5.606855711377691e-7,1,1,Malta,Colony of,3,0.31909090909090915,1,,Gibraltar,Colony of,3,0.36750000000000005
338-352,338,352,5.306706068477535,6.444661737215737e-9|0.000003727431232262152,0.95,0.050000000000000044,0.19000000000000017,3,0.000003727431232262152,1,1,Malta,Colony of,3,0.31909090909090915,1,1,Cyprus,Protectorate of,3,0.09400000000000001
338-750,338,750,1.1030469967189003,5.63907902006377e-7|0.0002080503351264885,0,1,0,bridge,0.0002080503351264885,1,1,Malta,Colony of,3,0.31909090909090915,1,1,India,Colony of,9,0.036
338-615,338,615,1.752772271985569,0.00000117937309791048|0.0000223194747614124,0.6,0.4,0.96,3,0.0000223194747614124,1,1,Malta,Colony of,3,0.31909090909090915,1,1,Algeria (Regency of Algiers),Colony of,3,0.47000000000000003
338-350,338,350,1.066945430324525,2.4650831144850195e-7,0.95,0.050000000000000044,0.19000000000000017,3,2.4650831144850195e-7,1,1,Malta,Colony of,3,0.31909090909090915,1,1,Greece,Sovereign,3,0.05833333333333335
338-365,338,365,1.081097147860464,0.000001789199214794519,0.8,0.19999999999999996,0.6399999999999999,3,0.000001789199214794519,1,1,Malta,Colony of,3,0.31909090909090915,1,1,Russia (USSR),Sovereign,3,0.35176470588235287
