key,source,target,proximity,observedTradeValues,coMembershipScore,bridgeNessEdgeScore,ambiguityScore,maxObservedTradeValue,sourceCited,sourceReporting,sourceLabel,sourceGphStatus,sourceBlockLouvain,sourceBlockIntramax,sourceBlockAN,sourceMeanAmbiguityScore,targetCited,targetReporting,targetLabel,targetGphStatus,targetBlockLouvain,targetBlockIntramax,targetBlockAN,targetMeanAmbiguityScore
2-681,681,2,1.4756646905713642,0.00011427001707598857|0.00005585440315866585,0,1,0,0.00011427001707598857,,,Aden,,1,,,0,,,United States of America,,0,,,0.5798113207547171
160-2,160,2,0.1436713237770512,0.0014360216268693112|0.002714728902798525,0.4,0.6,0.96,0.002714728902798525,,,Argentina (La Plata),,0,,,0.35333333333333333,,,United States of America,,0,,,0.5798113207547171
2-30,30,2,2.2843984914384245,0.000030858708725983637|0.00007369791497183771,0.6,0.4,0.96,0.00007369791497183771,,,Bermuda,,4,,,0.08,,,United States of America,,0,,,0.5798113207547171
145-2,145,2,0.8691972027319801,8.914501217667267e-9|0.0002740009496127953,0.4,0.6,0.96,0.0002740009496127953,,,Bolivia,,0,,,0.47777777777777775,,,United States of America,,0,,,0.5798113207547171
140-2,140,2,1.3718608973204123,0.00633402629939643|0.0014482253543585681,0.4,0.6,0.96,0.00633402629939643,,,Brazil,,0,,,0.3021428571428571,,,United States of America,,0,,,0.5798113207547171
110-2,110,2,0.8496499425123274,0.000051119432058694014|0.00015158181557494503,0.6,0.4,0.96,0.00015158181557494503,,,Guyana (British Guiana),,4,,,0.045714285714285714,,,United States of America,,0,,,0.5798113207547171
2-80,80,2,1.9369327801397047,0.00005483871700150858|0.0000744874068755883,0.45,0.55,0.9900000000000001,0.0000744874068755883,,,Belize (British Honduras),,0,,,0.265,,,United States of America,,0,,,0.5798113207547171
2-750,750,2,0.1580192396398031,0.0028130643323020215|0.0007725559329405866,0,1,0,0.0028130643323020215,,,India,,1,,,0,,,United States of America,,0,,,0.5798113207547171
2-20,20,2,1.5547773443043738,0.0051237100244875475|0.011632815200991001,0.6,0.4,0.96,0.011632815200991001,,,Canada (Province of Canada),,4,,,0.12411764705882353,,,United States of America,,0,,,0.5798113207547171
155-2,155,2,0.3524298030553442,0.0008857896072870127|0.0003712000400563607,0.4,0.6,0.96,0.0008857896072870127,,,Chile,,0,,,0.35764705882352943,,,United States of America,,0,,,0.5798113207547171
2-710,710,2,0.49841578414175236,0.0018603351539910312|0.0013340874794792836,0,1,0,0.0018603351539910312,,,People's Republic of China (China),,5,,,0,,,United States of America,,0,,,0.5798113207547171
100-2,100,2,1.6277728005447618,0.0004528504604653457|0.00022609242218721328,1,0,0,0.0004528504604653457,,,Colombia (New Granada) (Gran Colombia),,0,,,0.26666666666666666,,,United States of America,,0,,,0.5798113207547171
