"target","source","key","proximity","observedTradeValues","coMembershipScore","bridgeNessEdgeScore","ambiguityScore","sourceCommunityId","maxObservedTradeValue","sourceCited","sourceReporting","sourceLabel","sourceGphStatus","sourceCommunity","sourceMeanAmbiguityScore","targetCited","targetReporting","targetLabel","targetGphStatus","targetCommunity","targetMeanAmbiguityScore","export","import"
"10","390","10-390",4.27072131390895,"0.00001283318826858002",1,0,0,"8",1.283318826858e-05,1,1,"Denmark","Sovereign",8,0.258518518518518,1,NA,"Greenland","Colony of",8,0,50871.7866432934,NA
"100","20","100-20",0.777292123115063,"0.00004082747618787907|0.00018601597929128846",0,1,0,"bridge",0.000186015979291288,1,1,"Canada (Province of Canada)","Sovereign",4,0.0296666666666667,1,1,"Colombia (New Granada) (Gran Colombia)","Sovereign",1,0.03,161843.387188439,737382.24770833
"100","220","100-220",0.150584754166447,"0.0001035854077440594|0.00020135261236140385",0,1,0,"bridge",0.000201352612361404,1,1,"France","Sovereign",3,0.3068,1,1,"Colombia (New Granada) (Gran Colombia)","Sovereign",1,0.03,410620.856783972,798177.89015048
"100","255","100-255",0.90243319299828,"0.0005736421955417551|0.0003785451541328198",0,1,0,"bridge",0.000573642195541755,1,1,"Germany (Zollverein)","Sovereign",6,0.267910447761194,1,1,"Colombia (New Granada) (Gran Colombia)","Sovereign",1,0.03,2273963.63011664,1500583.32449199
"100","52","100-52",1.03758769549287,"0.000007159027413594237|7.668866165451743e-8",0,1,0,"bridge",7.15902741359424e-06,1,1,"Trinidad and Tobago","Colony of",4,0.0304347826086957,1,1,"Colombia (New Granada) (Gran Colombia)","Sovereign",1,0.03,28378.9583333333,304
"100","740","100-740",0.186836815234699,"0.0001157568104516972|6.799735992450909e-7",0.1,0.9,0.36,"bridge",0.000115756810451697,1,1,"Japan","Sovereign",1,0.411052631578948,1,1,"Colombia (New Granada) (Gran Colombia)","Sovereign",1,0.03,458869.272433613,2695.46983492482
"100","94","100-94",1.27927724424765,"0.000004036926152173833|4.815063693276138e-7",1,0,0,"1",4.03692615217383e-06,1,1,"Costa Rica","Sovereign",1,0.0392857142857143,1,1,"Colombia (New Granada) (Gran Colombia)","Sovereign",1,0.03,16002.6987534285,1908.72983199299
"101","255","101-255",0.552596251256181,"0.00028658293447080425|0.00014819657957260905",0,1,0,"bridge",0.000286582934470804,1,1,"Germany (Zollverein)","Sovereign",6,0.267910447761194,1,1,"Venezuela","Sovereign",1,0.07,1136037.71665237,587463.11668642
"101","52","101-52",1.58433144794578,"0.0000017035267810235252|0.000051116659510896954",0,1,0,"bridge",5.1116659510897e-05,1,1,"Trinidad and Tobago","Colony of",4,0.0304347826086957,1,1,"Venezuela","Sovereign",1,0.07,6752.91666666667,202630.534371795
"1029","2","1029-2",0.952793051214273,"0.000011636682714657463",0,1,0,"bridge",1.16366827146575e-05,1,1,"United States of America","Sovereign",1,0.0350769230769231,1,NA,"St. Pierre and Miquelon","Colony of",4,0,46128.7427493851,NA
"1029","20","1029-20",2.47391576037781,"0.000017961846845544467",1,0,0,"4",1.79618468455445e-05,1,1,"Canada (Province of Canada)","Sovereign",4,0.0296666666666667,1,NA,"St. Pierre and Miquelon","Colony of",4,0,71202.2002110904,NA
"1029","220","1029-220",1.39533002700304,"0.000008150982904450576",0,1,0,"bridge",8.15098290445058e-06,1,1,"France","Sovereign",3,0.3068,1,NA,"St. Pierre and Miquelon","Colony of",4,0,32311.1493862797,NA
"1029","53","1029-53",1.12447964588729,"3.0271840126783193e-8",1,0,0,"4",3.02718401267832e-08,1,1,"Barbados","Colony of",4,0.0135714285714286,1,NA,"St. Pierre and Miquelon","Colony of",4,0,120,NA
"1032","31","1032-31",7.2911248833501,"3.783980015847899e-9",1,0,0,"4",3.7839800158479e-09,1,1,"Bahamas","Colony of",4,0.103846153846154,1,1,"Turks and Caicos Is.","Dependency of",4,0,15,NA
"1032","51","1032-51",6.88253980711519,"8.198623367670448e-8",1,0,0,"4",8.19862336767045e-08,1,1,"Jamaica","Colony of",4,0.0675,1,1,"Turks and Caicos Is.","Dependency of",4,0,325,NA
"1032","53","1032-53",5.34854758302199,"4.793041353407339e-9",1,0,0,"4",4.79304135340734e-09,1,1,"Barbados","Colony of",4,0.0135714285714286,1,1,"Turks and Caicos Is.","Dependency of",4,0,19,NA
"1033","140","1033-140",3.95477122252257,"0.0000020372932404612374",0.95,0.05,0.19,"1",2.03729324046124e-06,1,1,"Brazil","Sovereign",1,0.0580952380952381,1,1,"Cayman Is.","Dependency of",4,0.114,8075.99365718926,NA
"1033","51","1033-51",4.68913130091477,"2.8329397051981273e-7",0.05,0.95,0.19,"bridge",2.83293970519813e-07,1,1,"Jamaica","Colony of",4,0.0675,1,1,"Cayman Is.","Dependency of",4,0.114,1123,NA
"1033","80","1033-80",8.13335079233901,"4.6025893276062543e-7",1,0,0,"4",4.60258932760625e-07,1,1,"Belize (British Honduras)","Colony of",4,0.187142857142857,1,1,"Cayman Is.","Dependency of",4,0.114,1824.50329084584,NA
"1033","91","1033-91",2.6804213852529,"2.229912243559201e-8",0.95,0.05,0.19,"1",2.2299122435592e-08,1,1,"Honduras","Sovereign",1,0.125,1,1,"Cayman Is.","Dependency of",4,0.114,88.3955082037952,NA
"1055","21","1055-21",2.13677149877912,"0.0000017456761139778309",1,0,0,"4",1.74567611397783e-06,1,1,"Newfoundland and Labrador (Newfoundland)","Colony of",4,0,NA,NA,"Windward Is.","Colony of",4,0.0135714285714286,6920,NA
"1055","65","1055-65",1.01440509347634,"2.4494963969255404e-7",1,0,0,"4",2.44949639692554e-07,1,1,"Guadeloupe","Colony of",4,0.068,NA,NA,"Windward Is.","Colony of",4,0.0135714285714286,971,NA
"1055","720","1055-720",0.522375846204499,"0.000027154092859058914",0,1,0,"bridge",2.71540928590589e-05,1,1,"Hong Kong","Colony of",3,0.176666666666667,NA,NA,"Windward Is.","Colony of",4,0.0135714285714286,107641,NA
"1063","1055","1055-1063",1.88856975681254,"1.4126858725832157e-7",1,0,0,"4",1.41268587258322e-07,NA,NA,"Windward Is.","Colony of",4,0.0135714285714286,1,1,"Leeward Is.","Colony of",4,0,560,NA
"1063","110","1063-110",2.85471497726619,"0.00000165738324694138",1,0,0,"4",1.65738324694138e-06,1,1,"Guyana (British Guiana)","Colony of",4,0.0635294117647059,1,1,"Leeward Is.","Colony of",4,0,6570,NA
"1063","20","1063-20",0.912493085203104,"0.000017883341820231562",1,0,0,"4",1.78833418202316e-05,1,1,"Canada (Province of Canada)","Sovereign",4,0.0296666666666667,1,1,"Leeward Is.","Colony of",4,0,70891,NA
"1063","30","1063-30",1.9904300630785,"1.8919900079239497e-8",1,0,0,"4",1.89199000792395e-08,1,1,"Bermuda","Colony of",4,0.0135714285714286,1,1,"Leeward Is.","Colony of",4,0,75,NA
"1063","41","1063-41",1.9201326169232,"4.629855073218241e-7",0,1,0,"bridge",4.62985507321824e-07,1,1,"Haiti","Sovereign",1,0.0963636363636364,1,1,"Leeward Is.","Colony of",4,0,1835.31165089179,NA
"1063","52","1063-52",3.87622130872809,"0.000008549272182472354",1,0,0,"4",8.54927218247235e-06,1,1,"Trinidad and Tobago","Colony of",4,0.0304347826086957,1,1,"Leeward Is.","Colony of",4,0,33890,NA
"1063","53","1063-53",3.24056830151062,"0.0000011919537049920884",1,0,0,"4",1.19195370499209e-06,1,1,"Barbados","Colony of",4,0.0135714285714286,1,1,"Leeward Is.","Colony of",4,0,4725,NA
"1063","65","1063-65",0.962959651544649,"2.613468864278949e-7",1,0,0,"4",2.61346886427895e-07,1,1,"Guadeloupe","Colony of",4,0.068,1,1,"Leeward Is.","Colony of",4,0,1036,NA
"1063","720","1063-720",0.471168709226178,"0.000028978728022700772",0,1,0,"bridge",2.89787280227008e-05,1,1,"Hong Kong","Colony of",3,0.176666666666667,1,1,"Leeward Is.","Colony of",4,0,114874,NA
"11","200","11-200",1.52794793496686,"0.000056205473298063964",0,1,0,"bridge",5.6205473298064e-05,1,1,"United Kingdom","Sovereign",0,0.0483783783783784,1,NA,"Faeroe Is.","Colony of",8,0.128,222803,NA
"11","380","11-380",0.374436164418578,"0.000002832107732024052",1,0,0,"8",2.83210773202405e-06,1,1,"Sweden","Sovereign",8,0.188333333333333,1,NA,"Faeroe Is.","Colony of",8,0.128,11226.7019916704,NA
"11","385","11-385",1.54261509351609,"0.0000047603320221079335",0.8,0.2,0.64,"3",4.76033202210793e-06,1,1,"Norway","Sovereign",3,0.3128125,1,NA,"Faeroe Is.","Colony of",8,0.128,18870.3375896711,NA
"11","390","11-390",3.24351745825354,"0.00004025722711469395",1,0,0,"8",4.0257227114694e-05,1,1,"Denmark","Sovereign",8,0.258518518518518,1,NA,"Faeroe Is.","Colony of",8,0.128,159582.874167241,NA
"11","395","11-395",5.22611316748501,"0.000011729347210117568",1,0,0,"8",1.17293472101176e-05,1,1,"Iceland","Sovereign (unrecognized)",8,0.198,1,NA,"Faeroe Is.","Colony of",8,0.128,46496.072234763,NA
"110","1055","1055-110",2.90603218715854,"1.2487134052298066e-7|0.0000015531976638383677",1,0,0,"4",1.55319766383837e-06,NA,NA,"Windward Is.","Colony of",4,0.0135714285714286,1,1,"Guyana (British Guiana)","Colony of",4,0.0635294117647059,495,6157
"110","20","110-20",2.84149772968718,"0.000047475016951288736|0.00023705431283420938",1,0,0,"4",0.000237054312834209,1,1,"Canada (Province of Canada)","Sovereign",4,0.0296666666666667,1,1,"Guyana (British Guiana)","Colony of",4,0.0635294117647059,188194.771454088,939702.291666667
"110","205","110-205",0.213078377656091,"0.0000020917841527607187",0.95,0.05,0.19,"1",2.09178415276072e-06,1,1,"Ireland","Sovereign",1,0.0422222222222222,1,1,"Guyana (British Guiana)","Colony of",4,0.0635294117647059,8292,NA
"110","51","110-51",1.98272850984018,"1.3496195389857506e-7|0.0000035814109523328416",1,0,0,"4",3.58141095233284e-06,1,1,"Jamaica","Colony of",4,0.0675,1,1,"Guyana (British Guiana)","Colony of",4,0.0635294117647059,535,14197
"110","52","110-52",3.66935565061947,"0.000014277271931462112|0.000012544146017870176",1,0,0,"4",1.42772719314621e-05,1,1,"Trinidad and Tobago","Colony of",4,0.0304347826086957,1,1,"Guyana (British Guiana)","Colony of",4,0.0635294117647059,56596.25,49726
"110","53","110-53",3.50833020248464,"0.0000013864502778066703|0.000007192336948789297",1,0,0,"4",7.1923369487893e-06,1,1,"Barbados","Colony of",4,0.0135714285714286,1,1,"Guyana (British Guiana)","Colony of",4,0.0635294117647059,5496,28511
"110","750","110-750",0.0597522843840512,"0.000012211886708175784",0,1,0,"bridge",1.22118867081758e-05,1,1,"India","Colony of",2,0.465609756097561,1,1,"Guyana (British Guiana)","Colony of",4,0.0635294117647059,48408.8974718306,NA
