key,source,target,proximity,observedTradeValues,coMembershipScore,bridgeNessEdgeScore,ambiguityScore,maxObservedTradeValue,sourceCited,sourceReporting,sourceLabel,sourceGphStatus,sourceBlockLouvain,sourceBlockIntraMax,sourceBlockAn,sourceMeanAmbiguityScore,targetCited,targetReporting,targetLabel,targetGphStatus,targetBlockLouvain,targetBlockIntraMax,targetBlockAn,targetMeanAmbiguityScore
10-101,10,101,0.6108729083078172,0.000007859636706914643,0,1,0,0.000007859636706914643,,,Greenland,,1,1,LA,0.1166666666666667,,,Venezuela,,5,1,LA,0
10-11,10,11,4.3776183247178055,0.0000030229371949671718,1,0,0,0.0000030229371949671718,,,Greenland,,1,1,LA,0.1166666666666667,,,Faeroe Is.,,1,4,WE,0.1207692307692308
10-2,2,10,0.8378352979471148,0.00002720643475470458|0.0000060458743899343436,0,1,0,0.00002720643475470458,,,United States of America,,5,1,AS,0,,,Greenland,,1,1,LA,0.1166666666666667
10-230,10,230,0.5138614897111954,0.000002418349755973728,0.95,0.050000000000000044,0.19000000000000017,0.000002418349755973728,,,Greenland,,1,1,LA,0.1166666666666667,,,Spain,,1,1,ME,0.2338297872340426
10-350,10,350,2.462715470504433,0.0000060458743899343436,0.15,0.85,0.51,0.0000060458743899343436,,,Greenland,,1,1,LA,0.1166666666666667,,,Greece,,0,1,AF,0.22199999999999998
10-390,10,390,4.1146031718619875,0.00004111194585155345|0.00023034781425649903,1,0,0,0.00023034781425649903,,,Greenland,,1,1,LA,0.1166666666666667,,,Denmark,,1,4,WE,0.20400000000000001
100-101,100,101,0.16715403765411563,0.000032043134266652034|0.000024788084998730768,0,1,0,0.000032043134266652034,,,Colombia (New Granada) (Gran Colombia),,1,1,LA,0.15157894736842104,,,Venezuela,,5,1,LA,0
100-130,100,130,2.7207578051753067,0.00003500561271771989|0.00003385689658363235,1,0,0,0.00003500561271771989,,,Colombia (New Granada) (Gran Colombia),,1,1,LA,0.15157894736842104,,,Ecuador,,1,1,LA,0.10571428571428572
100-135,100,135,1.0096476753709756,0.000021765147803763632|0.00003446148402262568,1,0,0,0.00003446148402262568,,,Colombia (New Granada) (Gran Colombia),,1,1,LA,0.15157894736842104,,,Peru,,1,1,LA,0.17666666666666667
100-160,100,160,0.8503891223253156,0.00005078534487544836|0.00002720643475470458,1,0,0,0.00005078534487544836,,,Colombia (New Granada) (Gran Colombia),,1,1,LA,0.15157894736842104,,,Argentina (La Plata),,1,1,LA,0.18346153846153848
100-165,100,165,1.9634366503404879,6.045874389934343e-7|0.000016928448291816176,1,0,0,0.000016928448291816176,,,Colombia (New Granada) (Gran Colombia),,1,1,LA,0.15157894736842104,,,Uruguay,,1,1,LA,0.1921875
100-2,2,100,1.1099218790701504,0.001318000617005686|0.0013427887020044172,0,1,0,0.0013427887020044172,,,United States of America,,5,1,AS,0,,,Colombia (New Granada) (Gran Colombia),,1,1,LA,0.15157894736842104
100-210,100,210,0.5159166272464784,0.00005683121926538281|0.00022732487706153155,0,1,0,0.00022732487706153155,,,Colombia (New Granada) (Gran Colombia),,1,1,LA,0.15157894736842104,,,Netherlands,,4,1,AF,0.046093749999999996
100-225,100,225,0.4562901289114737,0.000006650461828927771|0.0000834330665810939,0.15,0.85,0.51,0.0000834330665810939,,,Colombia (New Granada) (Gran Colombia),,1,1,LA,0.15157894736842104,,,Switzerland,,0,3,WE,0.24571428571428572
100-230,100,230,1.56894735530992,0.00009673399023894944|0.00013603217377352258,0.95,0.050000000000000044,0.19000000000000017,0.00013603217377352258,,,Colombia (New Granada) (Gran Colombia),,1,1,LA,0.15157894736842104,,,Spain,,1,1,ME,0.2338297872340426
100-255,100,255,0.5667493734511339,0.0002539267243772426|0.0004123286333935218,0.3,0.7,0.84,0.0004123286333935218,,,Colombia (New Granada) (Gran Colombia),,1,1,LA,0.15157894736842104,,,Germany (Zollverein),,4,1,AF,0.6673134328358205
100-265,100,265,1.627037309028472,0.00004836699511947472,0.15,0.85,0.51,0.00004836699511947472,,,Colombia (New Granada) (Gran Colombia),,1,1,LA,0.15157894736842104,,,German Democratic Republic,,0,1,LA,0.27096774193548384
100-290,100,290,0.4718070231145911,0.000026601847315711086,0.2,0.8,0.6400000000000001,0.000026601847315711086,,,Colombia (New Granada) (Gran Colombia),,1,1,LA,0.15157894736842104,,,Poland,,0,1,AS,0.3497368421052632
100-375,100,375,1.1789027985359672,0.000028415609632691406|0.00006892296804525153,0.95,0.050000000000000044,0.19000000000000017,0.00006892296804525153,,,Colombia (New Granada) (Gran Colombia),,1,1,LA,0.15157894736842104,,,Finland,,1,1,AF,0.32653846153846167
100-380,100,380,0.3407837595067168,0.00005259910719242868|0.00009975692743391657,1,0,0,0.00009975692743391657,,,Colombia (New Granada) (Gran Colombia),,1,1,LA,0.15157894736842104,,,Sweden,,1,1,LA,0.19206896551724137
100-52,52,100,2.7505509258024983,6.045874389934343e-7|0.00010640738926284434,0,1,0,0.00010640738926284434,,,Trinidad and Tobago,,5,1,LA,0.033684210526315796,,,Colombia (New Granada) (Gran Colombia),,1,1,LA,0.15157894736842104
100-70,70,100,0.39017454195456475,0.000022369735242757128|0.000002418349755973728,0,1,0,0.000022369735242757128,,,Mexico,,5,1,LA,0,,,Colombia (New Granada) (Gran Colombia),,1,1,LA,0.15157894736842104
100-93,93,100,0.43078610692400454,0.000004836699511947472|0.0000012091748779868673,0,1,0,0.000004836699511947472,,,Nicaragua,,5,1,LA,0,,,Colombia (New Granada) (Gran Colombia),,1,1,LA,0.15157894736842104
100-94,94,100,0.9348258055181811,0.000007255049267921199,0,1,0,0.000007255049267921199,,,Costa Rica,,5,1,LA,0,,,Colombia (New Granada) (Gran Colombia),,1,1,LA,0.15157894736842104
100-95,95,100,1.0196657468105732,0.000019951385486783315|0.0000012091748779868673,0,1,0,0.000019951385486783315,,,Panama,,5,1,LA,0,,,Colombia (New Granada) (Gran Colombia),,1,1,LA,0.15157894736842104
101-130,101,130,1.0464820618213502,3.0229371949671715e-7|0.00006287709365531708,0,1,0,0.00006287709365531708,,,Venezuela,,5,1,LA,0,,,Ecuador,,1,1,LA,0.10571428571428572
101-140,101,140,0.5908870454075189,0.000018742210608796493|0.0002617863610841561,0,1,0,0.0002617863610841561,,,Venezuela,,5,1,LA,0,,,Brazil,,1,1,AF,0.18529411764705883
101-155,101,155,0.8675511684963716,0.000029624784510678225|0.0001656569582842008,0,1,0,0.0001656569582842008,,,Venezuela,,5,1,LA,0,,,Chile,,1,1,WE,0.0661904761904762
