"year","cor","ic_bas","ic_haut"
1833,-0.206531011666205,-0.325397399119662,-0.0812387825306203
1834,-0.0753735171283753,-0.202209142580859,0.0539488928460002
1835,-0.172480848100778,-0.288972093641645,-0.0509564048259279
1836,-0.101863612697736,-0.217735310600302,0.0168395996400785
1837,-0.0606683613332946,-0.176633651680354,0.0569581481479692
1838,-0.137259506908188,-0.259381074921718,-0.0108176178634935
1839,-0.155621053645508,-0.26998139084522,-0.03693125035167
1840,-0.0866864754677552,-0.205043309599919,0.0341690760287472
1841,-0.190949652161617,-0.307726448135601,-0.0685055819382308
1842,-0.161891051738548,-0.276986334003524,-0.0422159508342087
1843,-0.1150254759818,-0.228163255599298,0.00117731932805315
1844,-0.146022617416101,-0.268968828765827,-0.0183939473047571
1845,-0.0684594434309913,-0.191641338003618,0.0568457916504967
1846,-0.0710743724151072,-0.193193386071774,0.0532131098268065
1847,-0.0840225424350355,-0.206185178612463,0.040719101049718
1848,-0.167601274553936,-0.281348078408962,-0.0492099552896064
1849,-0.0918835096162931,-0.214491898898557,0.0335757173857957
1850,-0.151189576912284,-0.263539641632292,-0.0347927395838776
1851,-0.13314244005412,-0.246917898760546,-0.0157460731613163
1852,-0.111846941795146,-0.22102025568225,9.47779261464779e-05
1853,-0.108805235362966,-0.218443406428453,0.00354556115204002
1854,-0.114039796836709,-0.228819901460274,0.00386767926070795
1855,-0.125246024740659,-0.233732805122601,-0.013679087268666
1856,-0.115488551017732,-0.218560739099143,-0.00986782563981605
1857,-0.0948274344356387,-0.199794575870435,0.0122915306709837
1858,-0.118228343150644,-0.22381695082219,-0.00989666152757865
1859,-0.108548725722796,-0.210119592119847,-0.00465971159067609
1860,-0.108019150395795,-0.21194627443302,-0.0016762008258198
1861,-0.112757764727556,-0.222787199067032,0.000108320937329059
1862,-0.125542197994593,-0.23069868043703,-0.0174870329348136
1863,-0.125000115671368,-0.228628272770048,-0.0185709245492048
1864,-0.117677527030793,-0.222031825346479,-0.0106578832187323
1865,-0.151521981487148,-0.253352274825269,-0.0463705653870534
1866,-0.133766538173732,-0.233894452925252,-0.030830996367115
1867,-0.116658751661528,-0.21158026214764,-0.0195570744457455
1868,-0.131790972336675,-0.238653457953135,-0.0217748868072917
1869,-0.171794950813573,-0.279773395606419,-0.0595245708289175
1870,-0.081458001399997,-0.18412974893427,0.0229722047781301
1871,-0.176449843895171,-0.278341195516893,-0.0706312554503512
1872,-0.170619983694489,-0.2732396052011,-0.0641605961500672
1873,-0.154340733629268,-0.252717978151578,-0.0528048851186153
1874,-0.169267848430668,-0.268348884281667,-0.066642985090935
1875,-0.148070693532564,-0.244647292362891,-0.0485849889873501
1876,-0.140849317536624,-0.237826053515679,-0.0410922383831922
1877,-0.138287657689734,-0.234738480349439,-0.0391404270718539
1878,-0.192050483115383,-0.283403818472982,-0.0972430607483224
1879,-0.159213589497839,-0.251074784529325,-0.0645101675723086
1880,-0.0755321185064862,-0.169108203015148,0.019393534438201
1881,-0.162414356601697,-0.252885842899109,-0.06912709302073
1882,-0.192081779107254,-0.281636220737875,-0.0992098102517747
1883,-0.190091363492827,-0.27643295171041,-0.10070563787459
