"year","cor","ic_bas","ic_haut"
1833,-0.128616324483508,-0.222016504283102,-0.0328772686968471
1834,-0.162039666343475,-0.25191238646421,-0.0693958523750168
1835,-0.188290315419629,-0.275545521288884,-0.0979578076282701
1836,-0.176580055771857,-0.257126608740904,-0.0935970101249122
1837,-0.180257635001083,-0.26469899120504,-0.093073034746453
1838,-0.176918191316731,-0.266102645060404,-0.0847306028276241
1839,-0.25009700669622,-0.32336315702643,-0.173850179932948
1840,-0.151564325005505,-0.233948541102129,-0.0670191183705518
1841,-0.0612559407753125,-0.150211545465239,0.0286835266271393
1842,-0.167061400762847,-0.248466319353345,-0.0833131946497999
1843,-0.185033462692224,-0.262036226051566,-0.105689546177
1844,-0.162520869304598,-0.245636263509345,-0.0770332883387188
1845,-0.159475406831215,-0.243344283616898,-0.0732395171561128
1846,-0.191927756033277,-0.272121743903672,-0.109086133454916
1847,-0.210917537706373,-0.292232315818034,-0.126574996498162
1848,-0.192074960003442,-0.270901876232966,-0.11068916774695
1849,-0.0563342749907072,-0.143490660370654,0.0316892340572758
1850,-0.0792192592440317,-0.158923370571926,0.00151076540237539
1851,-0.110491877201649,-0.188865874429168,-0.0307191906543181
1852,-0.00723999714329712,-0.0836846043777952,0.069289326177221
1853,-0.0914826657684285,-0.169007051806662,-0.0128332800038128
1854,-0.135053746661816,-0.213645249732585,-0.0547253395152696
1855,-0.120839383439738,-0.194206370803091,-0.0461280406101228
1856,-0.19922062340808,-0.266735440308414,-0.12976004405943
1857,-0.213476179125742,-0.28394872007236,-0.140709668019936
1858,-0.261763071803837,-0.329098347537088,-0.191779265450591
1859,-0.232053826171179,-0.300172252098817,-0.161580639537826
1860,-0.258637321138364,-0.325144030346719,-0.189584747986742
1861,-0.152526146865385,-0.224607378545111,-0.0787848303362103
1862,-0.130670095585533,-0.201907209121574,-0.058057664546324
1863,-0.160241259110683,-0.232466681795395,-0.0862582213964064
1864,-0.203300832480643,-0.272992764751462,-0.131486162943332
1865,-0.125563800002848,-0.195212118397967,-0.0546553827211572
1866,-0.208061730477257,-0.275237818549314,-0.138863789164207
1867,-0.123589344954219,-0.185347647392935,-0.0608585826645983
1868,-0.26821567521153,-0.334995398337396,-0.198754791346211
1869,-0.165003766422702,-0.236067935322831,-0.0921840538035306
1870,-0.0716547897152724,-0.138428113765423,-0.00423295914422082
1871,-0.163861207299099,-0.230351485798104,-0.0958480057831823
1872,-0.15379531578079,-0.22142912523215,-0.084689023117749
1873,-0.108082766658716,-0.171898245762493,-0.0433639579546542
1874,-0.10503333066981,-0.169541187874562,-0.0396293001198024
1875,-0.147328342397104,-0.20766667884021,-0.0858731460714627
1876,-0.123867490206061,-0.186834228054342,-0.0598871676518083
1877,-0.0995384556265205,-0.162579898129345,-0.0356876605501571
1878,-0.039098377526041,-0.0992190755320543,0.021306734398261
1879,-0.0864742108671158,-0.144166155519212,-0.0281964050115244
1880,-0.087447982118247,-0.145513049150387,-0.0287825563629963
1881,-0.225422506342741,-0.27972647883481,-0.169680766340434
1882,-0.128048565032524,-0.184661504382903,-0.0705886611643884
1883,0.011958751146635,-0.0438521931530892,0.0676952844257294
1884,-0.105876123061796,-0.162885113176854,-0.0481625285917333
1885,-0.0483737851712779,-0.100416858992968,0.0039332745710997
1886,-0.0782133118005755,-0.129651552443355,-0.0263552367313946
1887,-0.1443193007475,-0.195251654328658,-0.0926106057144526
1888,-0.0830914929951586,-0.136515688867851,-0.0291853810462105
1889,-0.0458923249561647,-0.0978621419873299,0.00632710611766726
1890,-0.188572091968911,-0.23706864151015,-0.139138047493514
1891,-0.113607866211852,-0.161984803465583,-0.0646861500706815
1892,-0.114380628668292,-0.164077353076905,-0.0641047567554731
1893,-0.111012808795019,-0.160445346936291,-0.0610247920514845
1894,-0.0974544656179836,-0.14727507654119,-0.0471405981475695
1895,-0.0866949962163069,-0.136233937270388,-0.0367235722354838
1896,-0.128249534192557,-0.176910039937051,-0.0789635848000126
1897,-0.131767942157522,-0.178930458812485,-0.0840012421367802
1898,-0.11446192281538,-0.161086434973062,-0.0673276460183858
1899,-0.112823500805861,-0.158076356347319,-0.0670977113585948
1900,-0.108865918593859,-0.153272805651115,-0.0640202272090876
1901,-0.0351348245996964,-0.0799194964053996,0.00979140493989146
1902,-0.0813959791798806,-0.124663307325895,-0.0378196710359592
1903,-0.0646510068063498,-0.107383610333312,-0.021679974057832
1904,-0.0412599975087317,-0.0842662940292891,0.00189972887164962
1905,-0.052035372049696,-0.0934630805562011,-0.0104277890492434
1906,-0.058782741295517,-0.0996649188659202,-0.0177024334671926
1907,-0.0749790467132392,-0.114704172562317,-0.0350145019301256
1908,-0.0768570364858164,-0.11651000480733,-0.0369594385283082
1909,-0.0396674831887497,-0.0781602615768444,-0.0010566081856274
1910,-0.114683217395039,-0.152060808482789,-0.0769780656712022
1911,-0.0596689522251529,-0.09704182500067,-0.0221280487543556
1912,-0.0556127553343928,-0.0925308713193066,-0.0185419455967758
1913,-0.128900715360847,-0.165109842351227,-0.0923445797597719
1914,-0.0521975691828397,-0.0903040613463271,-0.0139384614040296
1915,-0.033026976159951,-0.0748764053438999,0.00893858595064937
1916,-0.115536998255023,-0.158111891974508,-0.0725333125315012
1917,-0.0124763318352863,-0.0561240391721153,0.0312189726271452
1918,-0.0329656023695946,-0.0759929766605175,0.0101843147892621
1919,0.01357751435316,-0.0241504567994457,0.0512668654899469
1920,-0.0108976183133421,-0.0465946133947549,0.0248271748320204
1921,0.0214791793549173,-0.0127288557569552,0.0556369956682301
1922,-0.00728107437911289,-0.0404597625700879,0.0259136527939402
1923,-0.00637883284796011,-0.0395779633007305,0.0268343654083928
1924,-0.0273531513982615,-0.0585218160358969,0.00386879033341125
1925,-0.0142316155607076,-0.0448905734916495,0.0164541257993449
1926,0.0340880153121299,0.00355868912157468,0.0645538570976306
1927,-0.00612902921834784,-0.0359888346521627,0.0237417100109464
1928,-0.0241911752337969,-0.0534112547015802,0.00507029645686614
1929,-0.000972003877457062,-0.0304499033405267,0.0285075849228615
1930,0.0150603159494584,-0.0140228451343267,0.044118016620022
1931,-0.0191933720748175,-0.0481480885435639,0.00979357460009348
1932,0.00891694480231678,-0.0196784196873783,0.0374977328864465
1933,0.00113740455720775,-0.0270897844686309,0.0293627811878653
1934,-0.0243181669388533,-0.0519334941288386,0.00333432251526528
1935,-0.000780065573181324,-0.0279892258270405,0.0264302497554129
1936,-0.0275686329362521,-0.0547924336928992,-0.000303875397622782
1937,-0.0690940323426151,-0.0958819593235435,-0.0422060949050347
1938,-0.0352517356564055,-0.0622590072541524,-0.00819287700632223
