"year","moyenne","n_blocs"
1833,0.175648141440962,8
1834,0.41772396787058,12
1835,0.210694920368558,8
1836,0.295215977891962,9
1837,0.5627828423805,7
1838,0.178115701060909,12
1839,0.250638526601212,10
1840,0.478826705898976,9
1841,0.330739221377079,8
1842,0.404135993934948,10
1843,0.6306849644577,8
1844,0.353295495996924,14
1845,0.574474347958442,10
1846,0.657881751065229,9
1847,0.567830134888193,10
1848,0.057448431958917,14
1849,0.213672173289194,13
1850,0.105617551567632,14
1851,0.173790655962484,12
1852,0.115340749744144,13
1853,0.174622835838768,11
1854,0.213516324276601,9
1855,0.248947528290938,13
1856,0.21909376013409,12
1857,0.273235583250802,13
1858,0.166655492593908,13
1859,0.0551285069763516,12
1860,0.241242212033696,12
1861,0.372775712196616,11
1862,0.226301043474807,11
1863,0.253934302529763,11
1864,0.235341539663751,13
1865,0.167872448381425,13
1866,0.0989030137695938,11
1867,0.196267745522807,10
1868,0.333987163519631,9
1869,0.0366112482093558,13
1870,0.490308152749115,8
1871,0.175875373176176,10
1872,0.0430180771268931,11
1873,0.168791071640359,11
1874,0.181490044520832,11
1875,0.245408018288067,9
1876,0.262443019321658,10
1877,0.28930122120422,13
1878,0.262122032334378,9
1879,0.192393396572926,14
1880,0.451657543706512,10
1881,0.0245564033435296,13
1882,0.0371641872375173,12
1883,0.215901482898569,12
1884,0.410406724581452,6
1885,0.399018071686146,10
1886,0.158331205581237,11
1887,0.0978196727812788,14
1888,0.314405978688849,8
1889,0.102841923734526,10
1890,0.420077287184624,8
1891,0.199764965186849,13
1892,0.218639894368425,15
1893,0.274587527597875,13
1894,0.364597376421494,10
1895,0.440572164689799,8
1896,0.356111399317519,12
1897,0.25214974303015,13
1898,0.226866573531318,12
1899,0.320043032920662,11
1900,0.344142750579259,10
1901,0.375441821869951,10
1902,0.134693234131112,12
1903,0.205346459689854,12
1904,0.146556440168336,10
1905,0.306679952011122,11
1906,0.235461384912463,12
1907,0.169428945124298,11
1908,0.217043134702635,11
1909,0.217760248411956,13
1910,0.180372090368778,11
1911,0.22918542942528,10
1912,0.322098962940936,10
1913,0.307276675143392,10
1914,0.357746473038752,9
1915,0.408385440073291,9
1916,0.0399915657328227,13
1917,0.0366284283810156,11
1918,0.249252801074217,11
1919,0.310183415025796,12
1920,0.26956341180388,12
1921,0.375354172097033,10
1922,0.389872052890086,10
1923,0.431301912021856,11
1924,0.442756254777513,11
1925,0.349344261498773,11
1926,0.3786536240853,11
1927,0.252469297289577,13
1928,0.432284532009465,11
1929,0.441589502789362,11
1930,0.57946356508538,8
1931,0.592094065169909,9
1932,0.690347496957904,8
1933,0.625007525669262,10
1934,0.645576879150134,7
1935,0.575514444974108,10
1936,0.674954717572369,10
1937,0.680737084216623,13
1938,0.589451182459483,12
