year,resolution,modularity,cafFob,nb_communities
1833,0.2,0.4009442708038009,caf,2
1833,0.4,0.5255403923615412,caf,3
1833,0.6000000000000001,0.5539705474523167,caf,5
1833,0.8,0.5625183200989466,caf,6
1833,1,0.5661668413617489,caf,7
1833,1.2,0.5660999105784291,caf,8
1833,1.4,0.5662775670918491,caf,7
1833,1.5999999999999999,0.5392324245968771,caf,9
1833,1.7999999999999998,0.526335969089565,caf,10
1833,1.9999999999999998,0.5065451442963849,caf,11
1833,2.1999999999999997,0.509778736190456,caf,12
1833,2.4,0.4895628763259632,caf,13
1833,2.6,0.4680268848693739,caf,14
1833,2.8000000000000003,0.4626815061244743,caf,15
1833,3.0000000000000004,0.47033772307073046,caf,14
1833,3.2000000000000006,0.44948891269093216,caf,16
1833,3.400000000000001,0.4482910147742424,caf,16
1833,3.600000000000001,0.4482910147742424,caf,16
1833,3.800000000000001,0.4482910147742424,caf,16
1833,0.2,0.4285427026676489,fob,2
1833,0.4,0.5238497640349207,fob,3
1833,0.6000000000000001,0.5517213435033537,fob,5
1833,0.8,0.5678764717001776,fob,6
1833,1,0.5687814864118634,fob,7
1833,1.2,0.5625491649948076,fob,7
1833,1.4,0.5577701969929416,fob,8
1833,1.5999999999999999,0.5443669562726163,fob,9
1833,1.7999999999999998,0.526335969089565,fob,10
1833,1.9999999999999998,0.5050585184519274,fob,11
1833,2.1999999999999997,0.4792258073616846,fob,13
1833,2.4,0.4668054699040513,fob,14
1833,2.6,0.4680268848693739,fob,14
1833,2.8000000000000003,0.4680268848693739,fob,14
1833,3.0000000000000004,0.47033772307073046,fob,14
1833,3.2000000000000006,0.44948891269093216,fob,16
1833,3.400000000000001,0.4482910147742424,fob,16
1833,3.600000000000001,0.4482910147742424,fob,16
1833,3.800000000000001,0.4482910147742424,fob,16
1834,0.2,0.43734136590627193,caf,2
1834,0.4,0.43734136590627193,caf,2
1834,0.6000000000000001,0.5567632661212069,caf,5
1834,0.8,0.5677621634189515,caf,5
1834,1,0.5738531892102109,caf,5
1834,1.2,0.5686250152374376,caf,6
1834,1.4,0.5542311301617006,caf,8
1834,1.5999999999999999,0.5571743946939587,caf,8
1834,1.7999999999999998,0.511129549951968,caf,11
1834,1.9999999999999998,0.5109124917468704,caf,11
1834,2.1999999999999997,0.5125973161093155,caf,11
1834,2.4,0.5077343460427017,caf,12
1834,2.6,0.5017686219158384,caf,13
