key,source,target,meme_intramax,meme_louvain,meme_AN,year,distance_km,conttype,contig_terre,contig_24mi,contig_large,mid_n,mid_hihost,mid_guerre,mid_duration,atop_allie,atop_defense,atop_offense,atop_neutral,atop_nonagg,atop_consul,atop_asymm
"10-101","Greenland","Venezuela",0,"0","0",1867,"7359.07986940942","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-1019","Greenland","Rupert's Land",0,"0","1",1867,"2868.72914197485","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-1022","Greenland","Nova Scotia",1,"0","1",1867,"3241.18066355075","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-1023","Greenland","New Brunswick",0,"0","1",1867,"3131.86438930839","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-1024","Greenland","Prince Edward Is.",1,"0","1",1867,"3094.4226027357","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-1029","Greenland","St. Pierre and Miquelon",0,"0","1",1867,"2924.5759947963","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-1032","Greenland","Turks and Caicos Is.",0,"0","0",1867,"5940.15274900146","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-1048","Greenland","Trinidad",0,"0","0",1867,"6999.48897575822","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-1055","Greenland","Windward Is.",0,"0","0",1867,"6690.82269568208","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-1063","Greenland","Leeward Is.",0,"0","0",1867,"6276.49215190111","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-1064","Greenland","St. Barthelemy",0,"0","0",1867,"6202.27969910678","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
