year,cafFob,louvain_modularity,intramax_modularity,an_modularity,network_density
1833,fob,0.5804689824893466,0.46774811077859496,0.19636092185075718,0.06052093973442288
1833,caf,0.6049218450145238,,0.24153516410906575,0.05661729574773053
1834,fob,0.572522418398368,0.47393018241219,0.1461439673462391,0.06060606060606061
1834,caf,0.5984332446795816,,0.23134238038732505,0.059499489274770175
1835,fob,0.5789126411443829,0.5040649382657516,0.203875380333956,0.06687565308254964
1835,caf,0.599112155916219,,0.26173061092598926,0.056334735857877516
1836,fob,0.5702840424378763,0.3608885090563073,0.12998788474138845,0.06691086691086691
1836,caf,0.6024235083419014,,0.22718945489778347,0.06334735857877513
1837,fob,0.5610795640495789,0.4670637280822039,0.1335820318916115,0.06991260923845194
1837,caf,0.5778665510727504,,0.2011693645507203,0.06163401815575729
1838,fob,0.5921832879994048,0.4317434079523458,0.20262213810471488,0.05263157894736842
1838,caf,0.6065082901631358,,0.2741910048665461,0.04989322461657931
1839,fob,0.6039118871460987,0.46666568331525327,0.15649549696966256,0.05921052631578947
1839,caf,0.5855980059399031,,0.1319440425325703,0.06395960446034084
1840,fob,0.6009372988406747,0.5324007111373005,0.19795544736191817,0.051446321102698506
1840,caf,0.6025787497670401,,0.2153365475875302,0.049103808812546675
1841,fob,0.6331863883667896,0.5269092206566836,0.19758337644290047,0.04950495049504951
1841,caf,0.6512112595207483,,0.21741030050370067,0.04514851485148515
1842,fob,0.6160791809379436,0.514931973283029,0.23786802362531378,0.04672897196261682
1842,caf,0.60696299734159,,0.23115983275798394,0.05526315789473684
1843,fob,0.613273834644323,0.4935336209492174,0.2120399374208021,0.04841997961264016
1843,caf,0.5989163059234568,,0.20735330000817936,0.05207920792079208
1844,fob,0.6275269949656894,0.40937908473177437,0.26406730722548066,0.04304029304029304
1844,caf,0.6083928971519249,,0.2846180793149976,0.049062049062049064
1845,fob,0.6176648421950862,0.4791241033474919,0.22295428394854472,0.044384546271338726
1845,caf,0.6474863105788742,,0.309295241910039,0.04359413668379973
1846,fob,0.6295419783555789,0.5012095506728479,0.19668456783750418,0.044260271557044616
1846,caf,0.6479562526215688,,0.2368623958980374,0.04275578790141897
1847,fob,0.6436571873527336,0.5307144380406418,0.25048439207104556,0.042303771661569824
1847,caf,0.6455455558607017,,0.26719551934968805,0.03949920648915535
1848,fob,0.6179286685315123,0.3095910299579053,0.24025566936077844,0.045037531276063386
1848,caf,0.6189184386482439,,0.23246694138985294,0.03912435957149511
1849,fob,0.6303690634314432,0.5731090069530912,0.17945482584833733,0.0388748419721871
1849,caf,0.5975410542531261,,0.1805538129613279,0.040055891942244994
1850,fob,0.5915646410752673,0.48118586559161813,0.16193275138590252,0.04362676603011955
1850,caf,0.6329158684237516,,0.17017584321791535,0.04187675070028011
1851,fob,0.5949355772110161,0.46535402093176803,0.1617115956333567,0.045536445536445536
1851,caf,0.583513392258936,,0.1736456415120809,0.04361921603300914
1852,fob,0.5788876819747898,0.5253526368795323,0.14984278998926395,0.04683447749809306
1852,caf,0.5736104959782298,,0.13397072086404327,0.04435261707988981
1853,fob,0.5972556841883473,0.5050546159303092,0.12201410073719618,0.04344110525566159
1853,caf,0.585371162405031,,0.10951991459661943,0.040307648483122065
1854,fob,0.5847842160551382,0.524976385943506,0.17051500469511202,0.04377370417193426
1854,caf,0.6103830694721177,,0.16055486724308976,0.03898071625344353
1855,fob,0.5760462606451339,0.39270061164544373,0.18488518455824476,0.0446182819064175
1855,caf,0.5877742156565611,,0.17395040432825798,0.04294811001219347
1856,fob,0.5720205209704098,0.37801828621400857,0.25994897726272376,0.048179271708683476
1856,caf,0.5969549745658482,,0.2529919929829106,0.042756782945736434
1857,fob,0.6023657995549876,0.4213368283636685,0.2940905518708469,0.044059795436664044
1857,caf,0.6013959519772534,,0.3091819577646934,0.046869141357330335
1858,fob,0.6070551620439022,0.406450970064723,0.36038435636814736,0.04430293998103238
1858,caf,0.611283624167504,,0.2903046305662252,0.043092806643474355
1859,fob,0.6005272432499645,0.3398372781534153,0.3303701106346435,0.049035812672176306
1859,caf,0.6123685408457087,,0.3203619363565322,0.045994250718660167
1860,fob,0.6173016877100626,0.45276994722704667,0.30971946327455646,0.046831955922865015
1860,caf,0.5916947051191042,,0.2670841943501799,0.04696774193548387
1861,fob,0.6069699810642656,0.4559619167132668,0.2983976688529898,0.04159779614325069
1861,caf,0.5857280293732047,,0.2725460985275473,0.045548387096774196
1862,fob,0.5860832574472165,0.41410075387821266,0.25482488203483067,0.044438422977916274
1862,caf,0.598663027635478,,0.2854204169115791,0.043950959981494335
1863,fob,0.602879821843471,0.43104654955247973,0.3186231853798393,0.04432205612378704
1863,caf,0.6069784194108474,,0.3302870037330272,0.04317233154442457
1864,fob,0.571137686597284,0.4925497248284524,0.33455742811755257,0.04771400085457912
1864,caf,0.6126072440501946,,0.31312605487424033,0.04154554263565891
1865,fob,0.6068153788568488,0.48867792377763924,0.3519712985272454,0.044258064516129035
1865,caf,0.6102730507032406,,0.314071440085949,0.04464492250751793
1866,fob,0.5922680533554069,0.46842057062595766,0.3505702820102942,0.045714285714285714
1866,caf,0.580648508909162,,0.34301261985535697,0.04639236732259988
1867,fob,0.6003895700702828,0.5231869261234253,0.378779175454764,0.04695813092759658
1867,caf,0.5975694670556781,,0.3255470833836141,0.05307096004770424
1868,fob,0.6172944551791766,0.5126338924126199,0.3207095389876237,0.046566460359563806
1868,caf,0.6148145642312403,,0.3035360677918239,0.045867768595041325
1869,fob,0.6066955422694262,0.5299061620145632,0.3276663952658627,0.0464213631423692
1869,caf,0.6229761519648522,,0.3035297293631549,0.045658263305322126
1870,fob,0.6173553555542365,0.4444675279740129,0.4057813557324872,0.05496040987424313
1870,caf,0.6309907385695284,,0.36853396934658356,0.053744748660002895
1871,fob,0.6310408932351824,0.40159307033838354,0.4108199361496811,0.05293931731984829
1871,caf,0.6104607213911328,,0.3598692498219621,0.050562597920524144
1872,fob,0.604176023788693,0.46020794899318745,0.3905821357733321,0.0564050288820931
1872,caf,0.6185466129196672,,0.34862316123902515,0.054339388293743206
1873,fob,0.6140430280324083,0.39014748563269547,0.39666697171996784,0.060114660114660115
1873,caf,0.6234941375412298,,0.3574268372016975,0.05517241379310345
1874,fob,0.5921668868999092,0.4828857116057468,0.3812279937382323,0.05641592920353982
1874,caf,0.6136874136913933,,0.36430165769951195,0.056071964017991006
1875,fob,0.588941792371817,0.5007071971265283,0.36282924852698195,0.058428680396643784
1875,caf,0.5966006633011668,,0.36271385088257535,0.05736636245110821
1876,fob,0.5827156232126146,0.4337013358575127,0.35383303020975326,0.05827612509534706
1876,caf,0.6107285096012797,,0.36987273260543746,0.053744748660002895
1877,fob,0.6163879808030306,0.5179037132808819,0.33208451191600896,0.05330578512396694
1877,caf,0.6157279629955292,,0.34185572621460275,0.05385674931129476
1878,fob,0.6082318225206887,0.5212681036920169,0.36980872565084516,0.05674931129476584
1878,caf,0.6026909165557169,,0.36686396316697456,0.05858064516129032
1879,fob,0.6066800241433269,0.39828820526618114,0.34875046585004854,0.05419354838709677
1879,caf,0.6275925239077349,,0.3754816344810995,0.05406451612903226
1880,fob,0.6068075655585476,0.412753195937471,0.3531072797253647,0.05434920634920635
1880,caf,0.6189272566212723,,0.38782384863011593,0.057043849127015864
1881,fob,0.6032549416548137,0.5449315225026905,0.3436869697002463,0.054857142857142854
1881,caf,0.6124499594594132,,0.367535527821862,0.05780645161290322
1882,fob,0.6303996875765565,0.5372882005929398,0.34167420112799307,0.052780511811023625
1882,caf,0.6197044302334014,,0.3716238938718788,0.057523809523809526
1883,fob,0.6106623698722543,0.4882131078303494,0.3319368942857513,0.05521765056648777
1883,caf,0.6229312223456729,,0.35738364105922105,0.054626937984496124
1884,fob,0.6219014537748236,0.47867775199146695,0.3769911005768846,0.05080500894454383
1884,caf,0.626060635002972,,0.3858189342273022,0.05173381214229604
1885,fob,0.6269912698766966,0.46857287123376296,0.3397748305242783,0.052723535457348404
1885,caf,0.6372355122217495,,0.3773889364185993,0.05197568389057751
1886,fob,0.6372720568235221,0.5080081789031256,0.3776155528687052,0.050455927051671734
1886,caf,0.6549153981361048,,0.4065826645650334,0.05023145868216291
1887,fob,0.6228597354574836,0.45950655337721474,0.34235816066566144,0.05313439244310863
1887,caf,0.6539385642612359,,0.40148951337765787,0.04818007662835249
1888,fob,0.616878630999886,0.5233304750539687,0.3595907816155663,0.04834444091822702
1888,caf,0.6482211001152,,0.40891735377039645,0.04754769753271401
1889,fob,0.6282945391212977,0.506475726662615,0.3726428188263813,0.046314416177429873
1889,caf,0.6429617614468467,,0.40554145214985304,0.046526392163976055
1890,fob,0.6192988722060087,0.4464799638140695,0.3348067167769802,0.05229981286319314
1890,caf,0.642012831425086,,0.37623117900090525,0.048084987419625386
1891,fob,0.6187719245531718,0.24088755452934063,0.3576775673441707,0.048430981316887355
