variable,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937
nbFlowsIntraReportings,266,308,295,334,275,254,360,332,229,226,245,210,207,209,169,220,194,281,272,282,271,278,392,371,347,374,347,300,376,431,456,430,493,494,476,434,417,493,490,544,560,554,612,517,524,584,617,698,732,733,764,815,819,853,1005,991,933,980,1029,1042,1071,1070,1018,1105,1138,1197,1097,1162,1173,1295,1336,1363,1512,1512,1739,1736,1878,1839,1979,2046,2077,1657,1452,1345,1276,1432,1720,1999,2227,2484,2490,3010,3262,3194,3458,3588,3449,3585,3640,3697,3803,4007,4186,4141,4242
nbFlowsDeadHands,260,218,252,273,280,296,321,332,337,368,403,353,394,379,367,412,418,433,488,447,449,434,419,496,448,446,433,429,421,418,408,419,419,386,476,432,414,473,448,468,495,445,457,479,485,536,495,472,479,509,577,602,549,555,573,575,621,645,609,610,620,633,653,692,681,701,772,761,740,725,740,729,739,813,777,773,783,811,828,919,892,1058,814,778,740,723,1052,1123,1163,1205,1215,1105,1040,1116,1112,1150,1168,1150,1181,1188,1204,1195,1267,1331,1340
ratioFlowsDeadsHands,0.49429657794676807,0.4144486692015209,0.4606946983546618,0.4497528830313015,0.5045045045045045,0.5381818181818182,0.4713656387665198,0.5,0.5954063604240283,0.6195286195286195,0.6219135802469136,0.6269982238010657,0.6555740432612313,0.6445578231292517,0.6847014925373134,0.6518987341772152,0.6830065359477124,0.6064425770308123,0.6421052631578947,0.6131687242798354,0.6236111111111111,0.6095505617977528,0.5166461159062885,0.5720876585928489,0.5635220125786163,0.5439024390243903,0.5551282051282052,0.588477366255144,0.5282308657465495,0.4923439340400471,0.4722222222222222,0.49352179034157834,0.4594298245614035,0.43863636363636366,0.5,0.49884526558891457,0.4981949458483754,0.489648033126294,0.47761194029850745,0.4624505928853755,0.46919431279620855,0.44544544544544545,0.4275023386342376,0.48092369477911645,0.48067393458870167,0.4785714285714286,0.44514388489208634,0.40341880341880343,0.3955408753096614,0.40982286634460546,0.43027591349739003,0.42484121383203954,0.40131578947368424,0.39417613636363635,0.36311787072243346,0.36717752234993617,0.3996138996138996,0.39692307692307693,0.3717948717948718,0.3692493946731235,0.3666469544648137,0.37169700528479155,0.3907839616995811,0.3850862548692265,0.37438152831225946,0.36933614330874603,0.4130551096843232,0.3957358294331773,0.3868269733403032,0.3589108910891089,0.35645472061657035,0.34847036328871894,0.3282985339848956,0.3496774193548387,0.3088235294117647,0.30809087285771225,0.294250281848929,0.3060377358490566,0.29497684360527254,0.30994940978077573,0.30043785786460087,0.38968692449355435,0.3592233009708738,0.3664625529910504,0.36706349206349204,0.3354988399071926,0.3795093795093795,0.3597053171044202,0.3430678466076696,0.326646787747357,0.32793522267206476,0.26852976913730253,0.24174802417480243,0.2589327146171694,0.24332603938730854,0.24271844660194175,0.2529781243231536,0.24287222808870115,0.24496992325243724,0.24319344933469805,0.24046335130816857,0.22971933871587852,0.23234916559691912,0.24323830409356725,0.24005732712289501
valueFlowsIntraReporting,77478809.94759619,82135213.66116525,86428919.44642887,98955755.92875402,73899982.94593321,69210733.73783378,112944830.07772654,114967800.10158283,99975847.90291587,74180541.03087291,76109528.14876847,92051925.68800335,98081196.9722891,105036270.77243872,99790798.33017513,110326043.86684062,122007323.03535195,154071216.7074441,175072130.4415004,178054855.22636408,221519659.38901475,218743191.26119342,250201738.87368038,302597502.81975615,257459244.22626084,256742744.4843787,267746781.13609937,304893860.02586174,285248074.08211017,316560203.20641977,368935271.59777665,363069111.7190553,439463900.6515956,512488292.9564869,458142266.4280462,494601158.7090107,512191797.21188897,565756044.0941117,651904441.180101,726378509.7870964,702074591.7619369,737667061.3415431,723117132.9042081,653248138.556036,672790230.7772903,660659735.3222388,685531219.9888824,986541853.3004497,999448820.9440024,1013739136.0239737,1030900711.3102531,1044665621.5581082,1050912331.6021497,1033400767.7735775,1146976342.6065032,1222126945.6235166,1237172462.0280075,1354717169.3446748,1376678303.155068,1315359063.2078612,1304858988.6378903,1226231036.8106325,1268270017.614073,1351708035.2409525,1484656365.4827232,1571413148.095051,1578488740.4532304,1688731209.0689445,1678550309.3654518,1841511710.0462844,1974061707.4799838,2035009370.406093,2234178479.5287166,2505861404.9337573,2708571816.5801096,2541276688.137245,2720885390.2685814,2915959384.977981,3165891169.4507565,3471092824.6740556,3780732041.4401417,2001045864.080513,2447197134.417706,3123525996.189624,3401007000.375368,3900954319.860987,5244108118.976194,6135668640.68647,3804818584.3497043,3884221464.51195,4195998820.825008,5709109239.899875,5921385207.222238,5415044333.044326,5782789059.594019,6054556075.5318,6151074374.912886,4963327376.739613,4330408203.046115,3795144621.2109365,3684577517.521455,3674741062.6134596,3873725753.9663234,4152330029.6636333,5096789210.956719
valueFlowsDeadHands,76770216.40664862,72607567.09424433,77278361.86214222,83328215.9993443,78302732.62121028,84374343.42350101,85849145.29970922,91491362.54498483,102438792.10073616,96226274.01677755,111849738.88825881,113544723.48172195,132990304.27084538,110454774.49509108,115953569.8959268,77768087.4266749,92662559.04017733,93224037.03049241,103630164.65000674,106647743.96463983,117545783.22685492,122327484.26551317,131417075.20961145,151433345.24262866,171435111.21208644,172769366.5935555,202190021.3860493,208088622.64968944,191186989.9975045,185013131.01844674,210566632.15370888,234339322.21779633,232641798.07999694,220949823.68639478,221522462.204345,193366307.44724408,198159480.1385475,221611930.24821997,222239240.62724158,273375756.96608794,310423012.16447854,305843853.4364901,276095743.48274857,289615298.88139284,272043851.2939991,264475398.7770849,257829233.96990737,257099130.2339853,253744616.78818294,299758913.59829724,306631790.56146395,298213639.7442747,259559887.86859164,254409584.09903392,241486201.6028027,252382624.40501451,274357697.11315227,303237407.449433,264704906.1147978,243214472.043716,232272491.7027542,238635468.50070754,241000227.15985808,244547300.88366914,231485790.83223265,224909821.74375027,296656968.5871764,293079253.7914188,320234111.53791755,266226284.98859134,278684729.95551044,297692797.4780048,292046917.72136295,312333608.2598242,313393233.3026317,299641478.5369195,304253068.56461245,380362227.09221643,377690567.8472496,463246220.56388605,505997944.3618378,760226658.8300757,546825846.3714101,814446306.1027573,700575238.4023536,470712704.3084568,800861427.2392954,1153055508.2036903,862226450.5394976,843055961.4649658,974289663.8935025,555312206.6073072,542935010.986275,550914423.284136,563742608.4204903,615752903.9428711,645629930.6134565,507201870.8756461,444642184.6360111,410486180.65834606,373555153.00735724,400308025.94738346,417249788.0105155,418277765.7179899,529558102.7964522
ratioValueDeadHands,0.49770308585507617,0.4692145684586715,0.47205207516995285,0.45713408106014397,0.514463439955297,0.5493655046633811,0.4318498341648113,0.4431450819240541,0.5060839082533156,0.5646855965817448,0.5950743512221977,0.5522693290005319,0.5755374572605229,0.51257245681816,0.5374581540613217,0.41345302424837505,0.43165141818811364,0.3769746310185302,0.37183104149171625,0.37459350307192313,0.3466757989843973,0.35865729024228193,0.34436739059969,0.333530961362831,0.3997140765279433,0.4022456227368332,0.43024938736633606,0.4056446948526708,0.4012865643439632,0.368865564403193,0.3633579644701367,0.3922598157403431,0.34613870782384654,0.30125216930057297,0.3259290248150561,0.2810689704959474,0.27895984206246427,0.2814591620053213,0.254236511974495,0.2734429509902536,0.3065913548443705,0.29309118774435305,0.276313236155523,0.3071656905781889,0.28792764407653204,0.285877585910266,0.27330935157174874,0.20673098879654805,0.20247841167072056,0.2282142053309484,0.22925184257755934,0.22207032928265946,0.19806592159078332,0.19755205704713874,0.1739234541183269,0.17116377508498032,0.18150990600745953,0.1828985013785998,0.1612694126635706,0.15604940449887567,0.15110775797219386,0.1629059492011447,0.1596799698359897,0.15320061606019716,0.13488730521561124,0.12520567042792602,0.15820475558616115,0.14788460313627325,0.16021443242647684,0.12630900311885596,0.12370887611868228,0.12761714786248526,0.11560604134503213,0.11082753563809888,0.10370511509217885,0.10547346349215923,0.1005749233315965,0.11538990179217874,0.10658440974335759,0.11774435686334443,0.11803821235248003,0.27531750398498867,0.18263916138255112,0.2068186984526656,0.17080609326295654,0.1076735034269646,0.13248394737417366,0.15819716656162158,0.18474783167803036,0.1783385838183051,0.18844009706095663,0.08864540985136456,0.08398949814660343,0.09234298220713427,0.08882688024100811,0.09231250094075334,0.0949916167588018,0.09271532020357046,0.0931177995070009,0.09760395051222677,0.09205099570061114,0.09823391503947686,0.09723891080914664,0.09151469223428868,0.09412111859891555
ratioValueIntraOnBestGuestReportingBilateral,0.5364137786543473,0.5564112432968263,0.5396917492171988,0.5472148295251075,0.4749758265497668,0.47536179291184044,0.5198988861632811,0.5292454053344893,0.43920960422930644,0.42575971257841544,0.41400046106803506,0.4715027588048157,0.4234746700281553,0.48110304838816126,0.4469356773320396,0.5569000777203792,0.5327250993561776,0.590779888610979,0.6095365646904524,0.6003858634979863,0.5929914227764062,0.5879133691715945,0.6371220962239365,0.6143175995917226,0.6017820966367358,0.5924766549770494,0.5832689455209461,0.6034186853114818,0.5594253498381682,0.5987764238293249,0.6235914494563852,0.5835603381758546,0.6369207386302359,0.6681419922377106,0.6576946905310029,0.6953779255165372,0.6874909928279385,0.7526011070243117,0.7694454126685815,0.7593894750142013,0.7038835806705301,0.7395215493052224,0.7333886597586357,0.7112311210910015,0.7140740565020737,0.7120607766362976,0.728370556590433,0.8273407232878166,0.803883176808377,0.7899728499857418,0.7809031435484739,0.8311721105577178,0.8604780783587248,0.8538774904202111,0.8797982616874721,0.8998788692787105,0.8273993170310406,0.8574814392763507,0.872472196993906,0.8713853825109561,0.8802843666391621,0.843411879746371,0.8455267417097038,0.8643785428217957,0.8991646077248711,0.9164358418587196,0.8827501438526772,0.8830344767393336,0.8860249816383678,0.9206902191074401,0.9271210996538114,0.9170692010644528,0.9369321137966412,0.9280078402367591,0.9255257424966785,0.9247547280247921,0.9394162201680664,0.9341561346356134,0.936513288459934,0.931072205803169,0.9195969754514013,0.7125982006650075,0.8326895945841185,0.7898005095506715,0.815322255140439,0.8822750029200347,0.856573204004084,0.8378740995859288,0.8087943399646388,0.8197390091784374,0.809249051852355,0.9107927684171752,0.8982066996206769,0.9068031182029591,0.9107563343044968,0.9077546751451774,0.9064211934266705,0.9131619968404584,0.9138734823758973,0.8943505519703565,0.903237585139035,0.9029517283959055,0.8956851886530753,0.9064393969082339,0.9029862596923774
ratioValueBestGuessReportingBilateralOnBestGuess,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ratioValueBestGuessReportingBilateralOnFedericoTena,0.6942235132722698,0.6632393283787471,0.6783233515560405,0.6796060838504766,0.6869785576804291,0.5555810027123911,0.7586895891973778,0.7385023413734447,0.7779089466121706,0.6455310186347989,0.7097376367183871,0.6605089838995808,0.7789179573444055,0.7133826723917776,0.6719960095634393,0.7353532275611456,0.7415619809327899,0.7279318774787189,0.7566052226230244,0.720787782222084,0.7572389536485641,0.7447417661355895,0.7518273089185223,0.802329750770615,0.6711688591702528,0.7237206163225205,0.6921534341473311,0.7152663160989453,0.7496472075605886,0.7273618038999149,0.7423124308506516,0.7397959622828533,0.7692562276596742,0.7784673616171545,0.7258312196539213,0.7435323665193629,0.7395388672575851,0.734386726203424,0.7492368364687002,0.7571449003303616,0.7519756691935144,0.7742828879021296,0.7765553313494734,0.7370075372043138,0.7476437562249273,0.7406852714814212,0.7331055494950599,0.8634553841230581,0.8810484440808406,0.8784903083774795,0.8973529769361649,0.8896756273007872,0.9305563776748492,0.9034458584808157,0.9395368943247596,0.9309040599834082,0.9448971160983679,0.9737875876662688,0.9790726545968423,0.9865672176452508,0.9794231758920883,0.9798324824018152,0.9647450108483661,0.9595856604251766,0.9735534053139987,0.9939829660998365,0.9448814552882651,0.9655898914225799,0.964862526480152,0.9848297915647856,0.9878468552478651,0.9849747763589357,0.973822508583552,1.005349798163417,1.0228139032281898,1.0297894359298065,1.0303397044918918,1.0059959282917854,1.0293807821189083,1.0304957997039108,1.07906985325157,0.8982952723120542,0.9769573167364982,0.9584555870301669,0.9161977370414061,0.9698611898995351,1.0490364140985318,1.1228848310591903,1.1409308846238757,1.005982949380129,1.0089893946192698,1.0022886685564716,1.0408948678067913,0.9819985628613288,0.9960103746756368,1.00801205167255,1.0091896298673588,1.0108041261908478,1.1726234363603518,1.1851259711262538,1.157600328552712,1.1151007666352502,1.1229139128140058,1.1096725503466442,1.1218336800771398
z_Gambia,1.0087928238794048,,0.9995319014417001,1.0046229532503594,1.0006791672363013,0.9903131451219412,0.9833746683050784,0.9688909597950836,,0.9869837784497634,0.8085347073412341,1.0090346094208233,1.0088766042652688,1.0194080872529347,0.9993201512384331,1.009377740169826,0.7413615701035033,1.0014836135912508,1.005842069084671,1.007018385172733,1.0038023623866488,1.2445451296892918,1.0027934763066852,0.9994878105729579,0.9960471716403689,1.0103340196023027,1.0068363712306934,1.0133742041153977,1.0126667149379907,1.012673271876614,1.0126740937394643,1.011131399272233,1.0126594135448972,0.9909842525008543,1.0113349706040367,1.0144987140499038,1.1985279207452915,1.0084425883787362,0.968891268255982,1.0075478226543628,1.002283270834215,1.0057207688702952,1.0091500775561475,1.0106573759134179,1.0080211665532914,0.9309906358279887,1.00615221905822,0.005108248533506504,0.00004341005972585744,0.0008830723745660926,0.9942187785393465,0.7138393417116509,0.694194030117633,0.4861412528047412,0.32414381056572655,0.6368491489386353,0.8335626416743473,0.7923173105030782,0.7872430165849359,0.8661843903817544,0.8612235606489751,0.7976837466286996,0.5966931583929282,0.6004533564307198,0.7649685972400456,0.8187637580745524,1.0103946176622196,0.795049611045978,0.7459404809232867,0.8037811808723064,0.8561778817543603,0.7754633994378505,0.6461701583436754,0.6904361799638409,0.6931314350848529,0.70792029303274,0.7203441791754561,0.755121137851629,0.3378146801064939,0.7272049173187576,0.7627172456656803,0.7437624180693556,1.0078096978177884,1.0133485211269821,1.0176415723985492,1.012469811341343,1.068190995597401,1.282268722971125,1.216551358756022,0.8496119381104347,1.0441838677503594,1.1892894647759014,1.0592848909137738,1.075177483169836,1.0678252641193064,1.0586241253520339,1.0787425317666783,1.0266768796199457,1.018481130832938,1.016796382143929,0.9867440149811334,1.0228158850409372,1.0474949441101908,1.0252452867570816,1.0540256721723757
