id,year,importerId,importerLabel,importerType,exporterId,exporterLabel,exporterType,value,reportedBy,partial,valueToSplit,newReporters,newPartners,originalReportedTradeFlowIds,status,valueGeneratedBy,notes
451<-200,1835,451,Sierra Leone,GPH-AUTONOMOUS-CITED,200,United Kingdom,GPH-AUTONOMOUS-CITED,59891,451,,,,,,ok,,
451<-British Northern America,1835,451,Sierra Leone,GPH-AUTONOMOUS-CITED,British Northern America,British Northern America,RIC,2239,451,,2239,,21|1022|1023|1024|1025|1026,,split_failed_no_ratio,,
451<-British Colonies (other),1835,451,Sierra Leone,GPH-AUTONOMOUS-CITED,British Colonies (other),British Colonies (other),RIC,4860,451,,4860,,110|231|338|561|590|750|780|901|902|906|1163|2249|4044|4050|4383|7501|9004,,split_failed_no_ratio,,
451<-2,1835,451,Sierra Leone,GPH-AUTONOMOUS-CITED,2,United States of America,GPH-AUTONOMOUS-CITED,1158,451,,,,,,ok,,
451->200,1835,200,United Kingdom,GPH-AUTONOMOUS-CITED,451,Sierra Leone,GPH-AUTONOMOUS-CITED,60547,451,,,,,,ok,,
451->British West Indies,1835,British West Indies,British West Indies,RIC,451,Sierra Leone,GPH-AUTONOMOUS-CITED,4817,451,,4817,,30|31|51|54|1048|1055|1063,,split_failed_no_ratio,,
451->British Colonies (other),1835,British Colonies (other),British Colonies (other),RIC,451,Sierra Leone,GPH-AUTONOMOUS-CITED,1539,451,,1539,,110|231|338|561|590|750|780|901|902|906|1163|2249|4044|4050|4383|7501|9004,,split_failed_no_ratio,,
3291<-British Colonies & United Kingdom,1835,3291,Sicily,GPH,British Colonies & United Kingdom,British Colonies & United Kingdom,RIC,398865,3291,,,,,,ignore_duplicate,,
3291<-220,1835,3291,Sicily,GPH,220,France,GPH-AUTONOMOUS-CITED,24623,3291,,,,,,ignore_duplicate,,
3291<-325,1835,3291,Sicily,GPH,325,Italy,GPH,171761,3291,,,,,,ignore_duplicate,,
3291<-Belgium & Central Europe & Netherlands,1835,3291,Sicily,GPH,Belgium & Central Europe & Netherlands,Belgium & Central Europe & Netherlands,RIC,113060,3291,,,,,,ignore_duplicate,,
3291<-Northern Europe,1835,3291,Sicily,GPH,Northern Europe,Northern Europe,RIC,11579,3291,,,,,,ignore_duplicate,,
3291<-Eastern Europe,1835,3291,Sicily,GPH,Eastern Europe,Eastern Europe,RIC,5365,3291,,,,,,ignore_duplicate,,
3291<-Northern America,1835,3291,Sicily,GPH,Northern America,Northern America,RIC,19833,3291,,,,,,ignore_duplicate,,
3291->British Colonies & United Kingdom,1835,British Colonies & United Kingdom,British Colonies & United Kingdom,RIC,3291,Sicily,GPH,482117,3291,,,,,,ignore_duplicate,,
3291->220,1835,220,France,GPH-AUTONOMOUS-CITED,3291,Sicily,GPH,152290,3291,,,,,,ignore_duplicate,,
3291->325,1835,325,Italy,GPH,3291,Sicily,GPH,75752,3291,,,,,,ignore_duplicate,,
3291->Belgium & Central Europe & Netherlands,1835,Belgium & Central Europe & Netherlands,Belgium & Central Europe & Netherlands,RIC,3291,Sicily,GPH,112127,3291,,,,,,ignore_duplicate,,
3291->Northern Europe,1835,Northern Europe,Northern Europe,RIC,3291,Sicily,GPH,61212,3291,,,,,,ignore_duplicate,,
3291->Eastern Europe,1835,Eastern Europe,Eastern Europe,RIC,3291,Sicily,GPH,7416,3291,,,,,,ignore_duplicate,,
3291->Northern America,1835,Northern America,Northern America,RIC,3291,Sicily,GPH,152739,3291,,,,,,ignore_duplicate,,
3291->Southern America,1835,Southern America,Southern America,RIC,3291,Sicily,GPH,5511,3291,,,,,,ignore_duplicate,,
248->200,1835,200,United Kingdom,GPH-AUTONOMOUS-CITED,248,Hamburg,GPH-AUTONOMOUS-CITED,3757622.251072033,248,,,,,,ok,,
248->239,1835,239,Prussia,GPH-AUTONOMOUS-CITED,248,Hamburg,GPH-AUTONOMOUS-CITED,4907785.514772414,248,,,,,,ok,,
248->240,1835,240,Hanover,GPH-AUTONOMOUS-CITED,248,Hamburg,GPH-AUTONOMOUS-CITED,3526417.2469412643,248,,,,,,ok,,
248->West Indies,1835,West Indies,West Indies,RIC,248,Hamburg,GPH-AUTONOMOUS-CITED,676855.8951965065,248,,676855.8951965065,,5|6|30|31|40|42|51|54|65|66|68|89|1032|1048|1055|1058|1063|1064,,split_failed_no_ratio,,
248->140,1835,140,Brazil,GPH-AUTONOMOUS-CITED,248,Hamburg,GPH-AUTONOMOUS-CITED,432275.069829655,248,,,,,,ok,,
248->2,1835,2,United States of America,GPH-AUTONOMOUS-CITED,248,Hamburg,GPH-AUTONOMOUS-CITED,407726.5037963728,248,,,,,,ok,,
248->220,1835,220,France,GPH-AUTONOMOUS-CITED,248,Hamburg,GPH-AUTONOMOUS-CITED,383925.4101262835,248,,,,,,ok,,
248->41,1835,41,Haiti,GPH-AUTONOMOUS-CITED,248,Hamburg,GPH-AUTONOMOUS-CITED,120500.4130768323,248,,,,,,ok,,
248->210,1835,210,Netherlands,GPH-AUTONOMOUS-CITED,248,Hamburg,GPH-AUTONOMOUS-CITED,239191.1562217239,248,,,,,,ok,,
248->390,1835,390,Denmark,GPH-AUTONOMOUS-CITED,248,Hamburg,GPH-AUTONOMOUS-CITED,134781.06927888587,248,,,,,,ok,,
248->Hanse Towns,1835,Hanse Towns,Hanse Towns,RIC,248,Hamburg,GPH-AUTONOMOUS-CITED,133954.91561430425,248,,133954.91561430425,,246|276,,split_failed_no_ratio,,
248->211,1835,211,Belgium,GPH-AUTONOMOUS-CITED,248,Hamburg,GPH-AUTONOMOUS-CITED,121877.33585113498,248,,,,,,ok,,
248->235,1835,235,Portugal,GPH-AUTONOMOUS-CITED,248,Hamburg,GPH-AUTONOMOUS-CITED,65069.43624847555,248,,,,,,ok,,
248->Norway & Sweden,1835,Norway & Sweden,Norway & Sweden,RIC,248,Hamburg,GPH-AUTONOMOUS-CITED,194146.11117667885,248,,194146.11117667885,,380|385,,split_failed_no_ratio,,
248->230,1835,230,Spain,GPH-AUTONOMOUS-CITED,248,Hamburg,GPH-AUTONOMOUS-CITED,45005.70439435068,248,,,,,,ok,,
248->East Indies,1835,East Indies,East Indies,RIC,248,Hamburg,GPH-AUTONOMOUS-CITED,25020.65384161454,248,,5152.603453102616,,721|750|751|752|775|780|781|790|800|811|815|835|840|850|860|7501|7502|7506|7531|7588|7693|8201|8202|8203|8210|8221|8223|8401|8501|8510|8531|8532|8560,,split_only_partial,,
248->Colombia (New Granada) (Gran Colombia) & Venezuela,1835,Colombia (New Granada) (Gran Colombia) & Venezuela,Colombia (New Granada) (Gran Colombia) & Venezuela,RIC,248,Hamburg,GPH-AUTONOMOUS-CITED,60033.83295959715,248,,60033.83295959715,,100|101,,split_failed_no_ratio,,
248->160,1835,160,Argentina (La Plata),GPH-AUTONOMOUS-CITED,248,Hamburg,GPH-AUTONOMOUS-CITED,99138.43974979346,248,,,,,,ok,,
248<-200,1835,248,Hamburg,GPH-AUTONOMOUS-CITED,200,United Kingdom,GPH-AUTONOMOUS-CITED,6824304.653998977,248,,,,,,ok,,
248<-239,1835,248,Hamburg,GPH-AUTONOMOUS-CITED,239,Prussia,GPH-AUTONOMOUS-CITED,3742161.375349148,248,,,,,,ok,,
248<-240,1835,248,Hamburg,GPH-AUTONOMOUS-CITED,240,Hanover,GPH-AUTONOMOUS-CITED,2697785.121365907,248,,,,,,ok,,
248<-West Indies,1835,248,Hamburg,GPH-AUTONOMOUS-CITED,West Indies,West Indies,RIC,1327353.5544277902,248,,1327353.5544277902,,5|6|30|31|40|42|51|54|65|66|68|89|1032|1048|1055|1058|1063|1064,,split_failed_no_ratio,,
248<-140,1835,248,Hamburg,GPH-AUTONOMOUS-CITED,140,Brazil,GPH-AUTONOMOUS-CITED,916204.4140210078,248,,,,,,ok,,
248<-2,1835,248,Hamburg,GPH-AUTONOMOUS-CITED,2,United States of America,GPH-AUTONOMOUS-CITED,660096.7780007081,248,,,,,,ok,,
248<-220,1835,248,Hamburg,GPH-AUTONOMOUS-CITED,220,France,GPH-AUTONOMOUS-CITED,608088.437782761,248,,,,,,ok,,
248<-41,1835,248,Hamburg,GPH-AUTONOMOUS-CITED,41,Haiti,GPH-AUTONOMOUS-CITED,523978.1265982139,248,,,,,,ok,,
248<-210,1835,248,Hamburg,GPH-AUTONOMOUS-CITED,210,Netherlands,GPH-AUTONOMOUS-CITED,370195.523033951,248,,,,,,ok,,
248<-390,1835,248,Hamburg,GPH-AUTONOMOUS-CITED,390,Denmark,GPH-AUTONOMOUS-CITED,346787.8358708053,248,,,,,,ok,,
248<-Hanse Towns,1835,248,Hamburg,GPH-AUTONOMOUS-CITED,Hanse Towns,Hanse Towns,RIC,234470.2781384004,248,,234470.2781384004,,246|276,,split_failed_no_ratio,,
248<-211,1835,248,Hamburg,GPH-AUTONOMOUS-CITED,211,Belgium,GPH-AUTONOMOUS-CITED,218812.69916204413,248,,,,,,ok,,
248<-235,1835,248,Hamburg,GPH-AUTONOMOUS-CITED,235,Portugal,GPH-AUTONOMOUS-CITED,196231.16566348006,248,,,,,,ok,,
248<-Norway & Sweden,1835,248,Hamburg,GPH-AUTONOMOUS-CITED,Norway & Sweden,Norway & Sweden,RIC,133482.8278059719,248,,133482.8278059719,,380|385,,split_failed_no_ratio,,
248<-230,1835,248,Hamburg,GPH-AUTONOMOUS-CITED,230,Spain,GPH-AUTONOMOUS-CITED,139737.99126637555,248,,,,,,ok,,
248<-East Indies,1835,248,Hamburg,GPH-AUTONOMOUS-CITED,East Indies,East Indies,RIC,97958.22022896259,248,,76901.78036666222,,721|750|751|752|775|780|781|790|800|811|815|835|840|850|860|7501|7502|7506|7531|7588|7693|8201|8202|8203|8210|8221|8223|8401|8501|8510|8531|8532|8560,,split_only_partial,,
248<-Colombia (New Granada) (Gran Colombia) & Venezuela,1835,248,Hamburg,GPH-AUTONOMOUS-CITED,Colombia (New Granada) (Gran Colombia) & Venezuela,Colombia (New Granada) (Gran Colombia) & Venezuela,RIC,53936.032101970966,248,,53936.032101970966,,100|101,,split_failed_no_ratio,,
248<-160,1835,248,Hamburg,GPH-AUTONOMOUS-CITED,160,Argentina (La Plata),GPH-AUTONOMOUS-CITED,43156.693811715646,248,,,,,,ok,,
246->2,1835,2,United States of America,GPH-AUTONOMOUS-CITED,246,Bremen,GPH-AUTONOMOUS-CITED,442188.9138046343,246,,,,,,ok,,
