id,year,importerId,importerLabel,importerType,exporterId,exporterLabel,exporterType,value,reportedBy,partial,valueToSplit,newReporters,newPartners,originalReportedTradeFlowIds,status,notes
220->615,1841,615,Algeria (Regency of Algiers),GPH-AUTONOMOUS-CITED,220,France,GPH-AUTONOMOUS-CITED,1171766.7550769963,220,,,,,,ok,
220<-615,1841,220,France,GPH-AUTONOMOUS-CITED,615,Algeria (Regency of Algiers),GPH-AUTONOMOUS-CITED,71256.08645738491,220,,,,,,ok,
220->200,1841,200,United Kingdom,GPH-AUTONOMOUS-CITED,220,France,GPH-AUTONOMOUS-CITED,4255571.830093821,220,,,,,,ok,
220<-200,1841,220,France,GPH-AUTONOMOUS-CITED,200,United Kingdom,GPH-AUTONOMOUS-CITED,4033886.2277819565,220,,,,,,ok,
220->255,1841,255,Germany (Zollverein),GPH,220,France,GPH-AUTONOMOUS-CITED,1900162.305530264,220,,1900162.305530264,,239|241|242|243|244|245|247|252|254|258|259|261|262|264|266|267|268|269|270|271|272|273|275|277,,split_failed_no_ratio,
220<-255,1841,220,France,GPH-AUTONOMOUS-CITED,255,Germany (Zollverein),GPH,2066426.5072641622,220,,2066426.5072641622,,239|241|242|243|244|245|247|252|254|258|259|261|262|264|266|267|268|269|270|271|272|273|275|277,,split_failed_no_ratio,
220->Africa (other),1841,Africa (other),Africa (other),RIC,220,France,GPH-AUTONOMOUS-CITED,15834.685879418868,220,,15834.685879418868,,403|411|413|481|483|500|511|516|517|520|530|540|541|562|570|572|580|698|4050|4060|4070|4111|4112|4325|4326|4327|4328|4331|4332|4333|4334|4335|4336|4337|4343|4349|4352|4354|4362|4382|4392|4394|4395|4396|4397|4501|4515|4527|4529|4534|4711|4737|4741|4742|4744|4746|4751|4763|4769|4773|4776|4791|4795|4821|4822|4831|4832|4841|4842|4902|4904|4908|4910|5001|5002|5003|5013|5018|5102|5104|5203|5212|5221|5303|5306|5307|5309|5321|5322|5323|5324|5332|5403|5511|5512|5513|5516|5517|5522|5606|5611|5614|5621|5642|5796|5801|5803|5811|5812|5813|5814|5901|5902|5903|6151|6251|6255|restOfTheWorld,,split_failed_no_ratio,
220<-Africa (other),1841,220,France,GPH-AUTONOMOUS-CITED,Africa (other),Africa (other),RIC,11876.01440956415,220,,11876.01440956415,,403|411|413|481|483|500|511|516|517|520|530|540|541|562|570|572|580|698|4050|4060|4070|4111|4112|4325|4326|4327|4328|4331|4332|4333|4334|4335|4336|4337|4343|4349|4352|4354|4362|4382|4392|4394|4395|4396|4397|4501|4515|4527|4529|4534|4711|4737|4741|4742|4744|4746|4751|4763|4769|4773|4776|4791|4795|4821|4822|4831|4832|4841|4842|4902|4904|4908|4910|5001|5002|5003|5013|5018|5102|5104|5203|5212|5221|5303|5306|5307|5309|5321|5322|5323|5324|5332|5403|5511|5512|5513|5516|5517|5522|5606|5611|5614|5621|5642|5796|5801|5803|5811|5812|5813|5814|5901|5902|5903|6151|6251|6255|restOfTheWorld,,split_failed_no_ratio,
220->300,1841,300,Austria-Hungary (Austrian Empire),GPH-AUTONOMOUS-CITED,220,France,GPH-AUTONOMOUS-CITED,106884.12968607736,220,,,,,,ok,
220<-300,1841,220,France,GPH-AUTONOMOUS-CITED,300,Austria-Hungary (Austrian Empire),GPH-AUTONOMOUS-CITED,391908.475515617,220,,,,,,ok,
