year,importerId,importerLabel,importerType,importerReporting,importerReportingByAggregateInto,importerReportingBySplit,exporterId,exporterLabel,exporterType,exporterReporting,exporterReportingByAggregateInto,exporterReportingBySplit,value,reportedBy,partial,valueToSplit,originalReportedTradeFlowId,status,notes
1853,200,United Kingdom,GPH-AUTONOMOUS-CITED,1,,,901,New South Wales,GPH-AUTONOMOUS-CITED,1,,,2980763,901,,,,ok,
1853,British Colonies,British Colonies,RIC,,,,901,New South Wales,GPH-AUTONOMOUS-CITED,1,,,1482660,901,,,,split_failed_no_ratio,
1853,2,United States of America,GPH-AUTONOMOUS-CITED,1,,,901,New South Wales,GPH-AUTONOMOUS-CITED,1,,,3028,901,,,,ok,
1853,901,New South Wales,GPH-AUTONOMOUS-CITED,1,,,200,United Kingdom,GPH-AUTONOMOUS-CITED,1,,,4679435,901,,,,ok,
1853,901,New South Wales,GPH-AUTONOMOUS-CITED,1,,,British Colonies,British Colonies,RIC,,,,629179,901,,,,split_failed_no_ratio,
1853,901,New South Wales,GPH-AUTONOMOUS-CITED,1,,,2,United States of America,GPH-AUTONOMOUS-CITED,1,,,218795,901,,,,ok,
1853,380,Sweden,GPH-AUTONOMOUS-CITED,1,,,385,Norway,GPH-AUTONOMOUS-CITED,1,,,240306.1224489796,380,,,,ok,
1853,380,Sweden,GPH-AUTONOMOUS-CITED,1,,,375,Finland,GPH,1,,,37329.93197278912,380,,,,ignore_resolved,
1853,380,Sweden,GPH-AUTONOMOUS-CITED,1,,,365,Russia (USSR),GPH-AUTONOMOUS-CITED,1,,,270748.29931972787,380,,,,ok,
1853,380,Sweden,GPH-AUTONOMOUS-CITED,1,,,239,Prussia,GPH-AUTONOMOUS-CITED,,1,,40391.15646258504,380,,,,ok,
1853,380,Sweden,GPH-AUTONOMOUS-CITED,1,,,Hanover & Hanse Towns & Mecklenburg Schwerin,Hanover & Hanse Towns & Mecklenburg Schwerin,RIC,,,,961139.4557823129,380,,,,split_failed_no_ratio,
1853,380,Sweden,GPH-AUTONOMOUS-CITED,1,,,390,Denmark,GPH-AUTONOMOUS-CITED,,,,179931.97278911565,380,,,,ok,
1853,380,Sweden,GPH-AUTONOMOUS-CITED,1,,,210,Netherlands,GPH-AUTONOMOUS-CITED,1,,,33418.36734693878,380,,,,ok,
1853,380,Sweden,GPH-AUTONOMOUS-CITED,1,,,211,Belgium,GPH-AUTONOMOUS-CITED,1,,,8333.333333333334,380,,,,ok,
1853,380,Sweden,GPH-AUTONOMOUS-CITED,1,,,200,United Kingdom,GPH-AUTONOMOUS-CITED,1,,,482397.9591836735,380,,,,ok,
1853,380,Sweden,GPH-AUTONOMOUS-CITED,1,,,220,France,GPH-AUTONOMOUS-CITED,1,,,40391.15646258504,380,,,,ok,
1853,380,Sweden,GPH-AUTONOMOUS-CITED,1,,,230,Spain,GPH-AUTONOMOUS-CITED,1,,,17346.938775510203,380,,,,ok,
1853,380,Sweden,GPH-AUTONOMOUS-CITED,1,,,235,Portugal,GPH-AUTONOMOUS-CITED,,,,14030.612244897959,380,,,,ok,
1853,380,Sweden,GPH-AUTONOMOUS-CITED,1,,,325,Italy,GPH,,,,13945.578231292517,380,,,,split_failed_no_ratio,
