id,year,importerId,importerLabel,importerType,importerReporting,importerReportingByAggregateInto,importerReportingBySplit,exporterId,exporterLabel,exporterType,exporterReporting,exporterReportingByAggregateInto,exporterReportingBySplit,value,reportedBy,partial,valueToSplit,newReporter,newPartners,originalReportedTradeFlowId,status,notes
58<-200,1861,58,Antigua and Barbuda (Antigua),GPH,1,,,200,United Kingdom,GPH-AUTONOMOUS-CITED,1,,,107500,58,,,,,,ignore_resolved,
58<-British Northern America,1861,58,Antigua and Barbuda (Antigua),GPH,1,,,British Northern America,British Northern America,RIC,,,,17079,58,,17079,,20|21|1022|1023|1024|1027|1028,,ignore_resolved,
58<-53,1861,58,Antigua and Barbuda (Antigua),GPH,1,,,53,Barbados,GPH,1,,,14475,58,,,,,,ignore_resolved,
58<-1048,1861,58,Antigua and Barbuda (Antigua),GPH,1,,,1048,Trinidad,GPH-AUTONOMOUS-CITED,1,,,2821,58,,,,,,ignore_resolved,
58<-1075,1861,58,Antigua and Barbuda (Antigua),GPH,1,,,1075,St. Kitts,GPH,1,,,1636,58,,,,,,split_failed_error,
58<-1076,1861,58,Antigua and Barbuda (Antigua),GPH,1,,,1076,Nevis,GPH,1,,,706,58,,,,,,split_failed_error,
58<-54,1861,58,Antigua and Barbuda (Antigua),GPH,1,,,54,Dominica,GPH-AUTONOMOUS-CITED,1,,,728,58,,,,,,ignore_resolved,
58<-59,1861,58,Antigua and Barbuda (Antigua),GPH,1,,,59,Montserrat,GPH,1,,,684,58,,,,,,ignore_resolved,
58<-1062,1861,58,Antigua and Barbuda (Antigua),GPH,1,,,1062,Anguilla,GPH,,,,215,58,,,,,,split_failed_error,
58<-Tortola,1861,58,Antigua and Barbuda (Antigua),GPH,1,,,Tortola,Tortola,RIC,,,,114,58,,,,,,split_failed_error,
58<-57,1861,58,Antigua and Barbuda (Antigua),GPH,1,,,57,St. Vincent and the Grenadines,GPH,1,,,98,58,,,,,,split_failed_error,
58<-56,1861,58,Antigua and Barbuda (Antigua),GPH,1,,,56,St. Lucia,GPH,1,,,455,58,,,,,,split_failed_error,
58<-55,1861,58,Antigua and Barbuda (Antigua),GPH,1,,,55,Grenada,GPH,1,,,6,58,,,,,,split_failed_error,
58<-Demerara,1861,58,Antigua and Barbuda (Antigua),GPH,1,,,Demerara,Demerara,RIC,,,,2,58,,,,,,ignore_resolved,
58<-2,1861,58,Antigua and Barbuda (Antigua),GPH,1,,,2,United States of America,GPH-AUTONOMOUS-CITED,1,,,53532,58,,,,,,ignore_resolved,
58<-Margarita I.,1861,58,Antigua and Barbuda (Antigua),GPH,1,,,Margarita I.,Margarita I.,RIC,,,,2,58,,,,,,ignore_resolved,
58<-1065,1861,58,Antigua and Barbuda (Antigua),GPH,1,,,1065,Curacao,GPH,,,,9,58,,,,,,ignore_resolved,
58<-401,1861,58,Antigua and Barbuda (Antigua),GPH,1,,,401,Madeira Isles,GPH,,,,4,58,,,,,,ignore_resolved,
58<-1161,1861,58,Antigua and Barbuda (Antigua),GPH,1,,,1161,Buenos Aires,GPH-AUTONOMOUS-CITED,,,,520,58,,,,,,ignore_resolved,
58<-Nickerie,1861,58,Antigua and Barbuda (Antigua),GPH,1,,,Nickerie,Nickerie,RIC,,,,439,58,,,,,,ignore_resolved,
58<-Danish Colonies,1861,58,Antigua and Barbuda (Antigua),GPH,1,,,Danish Colonies,Danish Colonies,RIC,,,,1392,58,,1392,,5|10|11|395,,ignore_resolved,
58<-Dutch Colonies,1861,58,Antigua and Barbuda (Antigua),GPH,1,,,Dutch Colonies,Dutch Colonies,RIC,,,,756,58,,,,,,ignore_resolved,
58<-French Colonies,1861,58,Antigua and Barbuda (Antigua),GPH,1,,,French Colonies,French Colonies,RIC,,,,4654,58,,4654,,65|66|120|433|585|615|751|930|1029|5801|5803,,ignore_resolved,
58<-Swedish Colonies,1861,58,Antigua and Barbuda (Antigua),GPH,1,,,Swedish Colonies,Swedish Colonies,RIC,,,,850,58,,,,,,ignore_resolved,
58->200,1861,200,United Kingdom,GPH-AUTONOMOUS-CITED,1,,,58,Antigua and Barbuda (Antigua),GPH,1,,,202596,58,,,,,,ignore_resolved,
58->British Northern America,1861,British Northern America,British Northern America,RIC,,,,58,Antigua and Barbuda (Antigua),GPH,1,,,1507,58,,1507,,20|21|1022|1023|1024|1027|1028,,ignore_resolved,
58->53,1861,53,Barbados,GPH,1,,,58,Antigua and Barbuda (Antigua),GPH,1,,,3302,58,,,,,,ignore_resolved,
58->1048,1861,1048,Trinidad,GPH-AUTONOMOUS-CITED,1,,,58,Antigua and Barbuda (Antigua),GPH,1,,,1006,58,,,,,,ignore_resolved,
58->1075,1861,1075,St. Kitts,GPH,1,,,58,Antigua and Barbuda (Antigua),GPH,1,,,2744,58,,,,,,split_failed_error,
58->1076,1861,1076,Nevis,GPH,1,,,58,Antigua and Barbuda (Antigua),GPH,1,,,1177,58,,,,,,split_failed_error,
58->54,1861,54,Dominica,GPH-AUTONOMOUS-CITED,1,,,58,Antigua and Barbuda (Antigua),GPH,1,,,1605,58,,,,,,ignore_resolved,
58->59,1861,59,Montserrat,GPH,1,,,58,Antigua and Barbuda (Antigua),GPH,1,,,4407,58,,,,,,ignore_resolved,
58->1062,1861,1062,Anguilla,GPH,,,,58,Antigua and Barbuda (Antigua),GPH,1,,,49,58,,,,,,split_failed_error,
58->56,1861,56,St. Lucia,GPH,1,,,58,Antigua and Barbuda (Antigua),GPH,1,,,485,58,,,,,,split_failed_error,
58->51,1861,51,Jamaica,GPH-AUTONOMOUS-CITED,1,,,58,Antigua and Barbuda (Antigua),GPH,1,,,2645,58,,,,,,ignore_resolved,
58->2,1861,2,United States of America,GPH-AUTONOMOUS-CITED,1,,,58,Antigua and Barbuda (Antigua),GPH,1,,,3125,58,,,,,,ignore_resolved,
58->401,1861,401,Madeira Isles,GPH,,,,58,Antigua and Barbuda (Antigua),GPH,1,,,1031,58,,,,,,ignore_resolved,
58->Nickerie,1861,Nickerie,Nickerie,RIC,,,,58,Antigua and Barbuda (Antigua),GPH,1,,,48,58,,,,,,ignore_resolved,
58->Danish Colonies,1861,Danish Colonies,Danish Colonies,RIC,,,,58,Antigua and Barbuda (Antigua),GPH,1,,,4006,58,,4006,,5|10|11|395,,ignore_resolved,
58->Dutch Colonies,1861,Dutch Colonies,Dutch Colonies,RIC,,,,58,Antigua and Barbuda (Antigua),GPH,1,,,222,58,,,,,,ignore_resolved,
58->French Colonies,1861,French Colonies,French Colonies,RIC,,,,58,Antigua and Barbuda (Antigua),GPH,1,,,6898,58,,6898,,65|66|120|433|585|615|751|930|1029|5801|5803,,ignore_resolved,
58->Swedish Colonies,1861,Swedish Colonies,Swedish Colonies,RIC,,,,58,Antigua and Barbuda (Antigua),GPH,1,,,44,58,,,,,,ignore_resolved,
58->Spanish Colonies,1861,Spanish Colonies,Spanish Colonies,RIC,,,,58,Antigua and Barbuda (Antigua),GPH,1,,,52,58,,52,,6|40|411|840|6030|6067|9810|9820,,ignore_resolved,
58->100,1861,100,Colombia (New Granada) (Gran Colombia),GPH-AUTONOMOUS-CITED,,,,58,Antigua and Barbuda (Antigua),GPH,1,,,188,58,,,,,,ignore_resolved,
58->1032,1861,1032,Turks and Caicos Is.,GPH-AUTONOMOUS-CITED,1,,,58,Antigua and Barbuda (Antigua),GPH,1,,,31,58,,,,,,ignore_resolved,
58->80,1861,80,Belize (British Honduras),GPH-AUTONOMOUS-CITED,1,,,58,Antigua and Barbuda (Antigua),GPH,1,,,14,58,,,,,,ignore_resolved,
58->42,1861,42,Dominican Republic (Santo Domingo),GPH-AUTONOMOUS-CITED,,,,58,Antigua and Barbuda (Antigua),GPH,1,,,40,58,,,,,,ignore_resolved,
Kanagawa->220,1861,220,France,GPH-AUTONOMOUS-CITED,1,,,Kanagawa,Kanagawa,RIC,1,,,9911.154985192497,Kanagawa,,,,,,ignore_resolved,
Kanagawa->200,1861,200,United Kingdom,GPH-AUTONOMOUS-CITED,1,,,Kanagawa,Kanagawa,RIC,1,,,451609.081934847,Kanagawa,,,,,,ignore_resolved,
Kanagawa->2,1861,2,United States of America,GPH-AUTONOMOUS-CITED,1,,,Kanagawa,Kanagawa,RIC,1,,,85528.13425468905,Kanagawa,,,,,,ignore_resolved,
Kanagawa->210,1861,210,Netherlands,GPH-AUTONOMOUS-CITED,1,,,Kanagawa,Kanagawa,RIC,1,,,88608.0947680158,Kanagawa,,,,,,ignore_resolved,
Kanagawa<-220,1861,Kanagawa,Kanagawa,RIC,1,,,220,France,GPH-AUTONOMOUS-CITED,1,,,1026.6535044422508,Kanagawa,,,,,,ignore_resolved,
Kanagawa<-200,1861,Kanagawa,Kanagawa,RIC,1,,,200,United Kingdom,GPH-AUTONOMOUS-CITED,1,,,181875.61697926951,Kanagawa,,,,,,ignore_resolved,
Kanagawa<-2,1861,Kanagawa,Kanagawa,RIC,1,,,2,United States of America,GPH-AUTONOMOUS-CITED,1,,,126120.43435340573,Kanagawa,,,,,,ignore_resolved,
Kanagawa<-210,1861,Kanagawa,Kanagawa,RIC,1,,,210,Netherlands,GPH-AUTONOMOUS-CITED,1,,,41342.546890424484,Kanagawa,,,,,,ignore_resolved,
90<-200,1861,90,Guatemala,GPH-AUTONOMOUS-CITED,1,,,200,United Kingdom,GPH-AUTONOMOUS-CITED,1,,,115893.38598223099,90,,,,,,ok,
90<-220,1861,90,Guatemala,GPH-AUTONOMOUS-CITED,1,,,220,France,GPH-AUTONOMOUS-CITED,1,,,36525.17275419545,90,,,,,,ok,
90<-255,1861,90,Guatemala,GPH-AUTONOMOUS-CITED,1,,,255,Germany (Zollverein),GPH,,,,15992.102665350443,90,,15992.102665350443,,212|239|240|241|243|244|245|247|252|254|257|258|259|261|262|264|266|267|268|269|270|271|272|273|274|275|277,,split_failed_no_ratio,
90<-Spain & Spanish Colonies,1861,90,Guatemala,GPH-AUTONOMOUS-CITED,1,,,Spain & Spanish Colonies,Spain & Spanish Colonies,RIC,,,,15597.235932872654,90,,15597.235932872654,,6|40|230|411|840|6030|6067|9810|9820,,split_failed_no_ratio,
90<-80,1861,90,Guatemala,GPH-AUTONOMOUS-CITED,1,,,80,Belize (British Honduras),GPH-AUTONOMOUS-CITED,1,,,5725.567620927936,90,,,,,,ok,
90<-2,1861,90,Guatemala,GPH-AUTONOMOUS-CITED,1,,,2,United States of America,GPH-AUTONOMOUS-CITED,1,,,5528.134254689042,90,,,,,,ok,
90<-211,1861,90,Guatemala,GPH-AUTONOMOUS-CITED,1,,,211,Belgium,GPH-AUTONOMOUS-CITED,1,,,2566.6337611056265,90,,,,,,ok,
380<-385,1861,380,Sweden,GPH-AUTONOMOUS-CITED,1,,,385,Norway,GPH-AUTONOMOUS-CITED,,,,311886.63493063964,380,,,,,,ok,
380<-375,1861,380,Sweden,GPH-AUTONOMOUS-CITED,1,,,375,Finland,GPH,1,,,201916.32525557454,380,,,,,,ignore_resolved,
380<-365,1861,380,Sweden,GPH-AUTONOMOUS-CITED,1,,,365,Russia (USSR),GPH-AUTONOMOUS-CITED,1,,,424013.22518756875,380,,,,,,ok,
380<-390,1861,380,Sweden,GPH-AUTONOMOUS-CITED,1,,,390,Denmark,GPH-AUTONOMOUS-CITED,,,,399243.6431189769,380,,,,,,ok,
380<-239,1861,380,Sweden,GPH-AUTONOMOUS-CITED,1,,,239,Prussia,GPH-AUTONOMOUS-CITED,,,,171230.79389827885,380,,,,,,ok,
380<-Hanse Towns & Mecklenburg Schwerin & Oldenburg,1861,380,Sweden,GPH-AUTONOMOUS-CITED,1,,,Hanse Towns & Mecklenburg Schwerin & Oldenburg,Hanse Towns & Mecklenburg Schwerin & Oldenburg,RIC,,,,1501324.1774342472,380,,1501324.1774342472,,246|248|257|276|280,,split_failed_no_ratio,
380<-210,1861,380,Sweden,GPH-AUTONOMOUS-CITED,1,,,210,Netherlands,GPH-AUTONOMOUS-CITED,1,,,260633.5041771025,380,,,,,,ok,
380<-211,1861,380,Sweden,GPH-AUTONOMOUS-CITED,1,,,211,Belgium,GPH-AUTONOMOUS-CITED,1,,,52137.75868455826,380,,,,,,ok,
380<-200,1861,380,Sweden,GPH-AUTONOMOUS-CITED,1,,,200,United Kingdom,GPH-AUTONOMOUS-CITED,1,,,1291667.3577822377,380,,,,,,ok,
380<-220,1861,380,Sweden,GPH-AUTONOMOUS-CITED,1,,,220,France,GPH-AUTONOMOUS-CITED,1,,,83099.73627029806,380,,,,,,ok,
380<-235,1861,380,Sweden,GPH-AUTONOMOUS-CITED,1,,,235,Portugal,GPH-AUTONOMOUS-CITED,1,,,27865.779827165818,380,,,,,,ok,
380<-230,1861,380,Sweden,GPH-AUTONOMOUS-CITED,1,,,230,Spain,GPH-AUTONOMOUS-CITED,1,,,30464.374374540406,380,,,,,,ok,
380<-Gibraltar & Malta,1861,380,Sweden,GPH-AUTONOMOUS-CITED,1,,,Gibraltar & Malta,Gibraltar & Malta,RIC,,,,55.28924568882107,380,,55.28924568882107,,231|338,,split_failed_no_ratio,
380<-325,1861,380,Sweden,GPH-AUTONOMOUS-CITED,1,,,325,Italy,GPH-AUTONOMOUS-CITED,1,,,35772.14196066723,380,,,,,,ok,
380<-300,1861,380,Sweden,GPH-AUTONOMOUS-CITED,1,,,300,Austria-Hungary (Austrian Empire),GPH-AUTONOMOUS-CITED,,1,,4478.428900794506,380,,,,,,ok,
380<-2,1861,380,Sweden,GPH-AUTONOMOUS-CITED,1,,,2,United States of America,GPH-AUTONOMOUS-CITED,1,,,355233.4035506754,380,,,,,,ok,
380<-West Indies,1861,380,Sweden,GPH-AUTONOMOUS-CITED,1,,,West Indies,West Indies,RIC,,,,244323.1766989003,380,,244323.1766989003,,5|6|30|31|40|41|42|51|54|65|66|68|91|1032|1044|1048|1055|1063|1064|1081,,split_failed_no_ratio,
380<-140,1861,380,Sweden,GPH-AUTONOMOUS-CITED,1,,,140,Brazil,GPH-AUTONOMOUS-CITED,,1,,373865.8793478081,380,,,,,,ok,
380<-Asia (other) & Australia & East Indies,1861,380,Sweden,GPH-AUTONOMOUS-CITED,1,,,Asia (other) & Australia & East Indies,Asia (other) & Australia & East Indies,RIC,,,,122963.28241193805,380,,122963.28241193805,,630|670|672|674|678|681|690|692|694|696|698|700|710|720|721|730|740|741|750|751|752|761|775|780|781|790|800|811|815|824|835|840|850|860|901|902|903|904|905|906|6306|6800|6802|6821|6822|6823|6825|6826|6828|6832|6833|6844|6845|6846|6982|7003|7010|7020|7030|7106|7121|7122|7124|7125|7127|7136|7137|7351|7411|7415|7501|7502|7505|7507|7511|7512|7513|7514|7515|7516|7517|7519|7521|7522|7523|7526|7527|7528|7529|7531|7532|7533|7534|7535|7537|7538|7539|7541|7542|7543|7544|7545|7546|7549|7552|7553|7570|7573|7574|7577|7579|7582|7587|7588|7694|7701|7702|7703|7704|7706|7707|7750|7751|7752|7755|7756|7757|7758|7760|7762|7766|7767|7768|7769|7770|7771|7772|7773|7774|7775|7776|7777|7778|7779|7780|7782|7783|7784|7785|7786|7787|7788|7789|7790|7791|7792|7793|7794|7795|7796|7797|8002|8124|8171|8201|8202|8203|8210|8221|8223|8224|8231|8401|8501|8510|8522|8523|8531|8533|8536|8541|8550|8551|8560|8571|8572|8573|8574,,split_failed_no_ratio,
380->385,1861,385,Norway,GPH-AUTONOMOUS-CITED,,,,380,Sweden,GPH-AUTONOMOUS-CITED,1,,,171230.79389827885,380,,,,,,ok,
380->375,1861,375,Finland,GPH,1,,,380,Sweden,GPH-AUTONOMOUS-CITED,1,,,147401.12900639695,380,,,,,,ignore_resolved,
380->365,1861,365,Russia (USSR),GPH-AUTONOMOUS-CITED,1,,,380,Sweden,GPH-AUTONOMOUS-CITED,1,,,11113.138383453033,380,,,,,,ok,
380->390,1861,390,Denmark,GPH-AUTONOMOUS-CITED,,,,380,Sweden,GPH-AUTONOMOUS-CITED,1,,,366457.12042550603,380,,,,,,ok,
380->239,1861,239,Prussia,GPH-AUTONOMOUS-CITED,,,,380,Sweden,GPH-AUTONOMOUS-CITED,1,,,84592.54590389623,380,,,,,,ok,
380->Hanse Towns & Mecklenburg Schwerin & Oldenburg,1861,Hanse Towns & Mecklenburg Schwerin & Oldenburg,Hanse Towns & Mecklenburg Schwerin & Oldenburg,RIC,,,,380,Sweden,GPH-AUTONOMOUS-CITED,1,,,279487.13695699046,380,,279487.13695699046,,246|248|257|276|280,,split_failed_no_ratio,
380->210,1861,210,Netherlands,GPH-AUTONOMOUS-CITED,1,,,380,Sweden,GPH-AUTONOMOUS-CITED,1,,,113287.66441639437,380,,,,,,ok,
380->211,1861,211,Belgium,GPH-AUTONOMOUS-CITED,1,,,380,Sweden,GPH-AUTONOMOUS-CITED,1,,,145244.84842453295,380,,,,,,ok,
