id,year,importerId,importerLabel,importerType,exporterId,exporterLabel,exporterType,value,reportedBy,partial,valueToSplit,newReporters,newPartners,originalReportedTradeFlowId,status,notes
155->255,1880,255,Germany (Zollverein),GPH-AUTONOMOUS-CITED,155,Chile,GPH-AUTONOMOUS-CITED,270005.07485409797,155,,,,,,ok,
155->160,1880,160,Argentina (La Plata),GPH-AUTONOMOUS-CITED,155,Chile,GPH-AUTONOMOUS-CITED,140956.10251205278,155,,,,,,ok,
155->211,1880,211,Belgium,GPH-AUTONOMOUS-CITED,155,Chile,GPH-AUTONOMOUS-CITED,3388.733823902563,155,,,,,,ok,
155->140,1880,140,Brazil,GPH-AUTONOMOUS-CITED,155,Chile,GPH-AUTONOMOUS-CITED,25180.284191829487,155,,,,,,ok,
155->561,1880,561,Cape Colony (Cape of Good Hope),GPH-AUTONOMOUS-CITED,155,Chile,GPH-AUTONOMOUS-CITED,17925.78025881756,155,,,,,,ok,
155->100,1880,100,Colombia (New Granada) (Gran Colombia),GPH-AUTONOMOUS-CITED,155,Chile,GPH-AUTONOMOUS-CITED,38780.89317432124,155,,,,,,ok,
155->94,1880,94,Costa Rica,GPH-AUTONOMOUS-CITED,155,Chile,GPH-AUTONOMOUS-CITED,12.687135244861711,155,,,,,,ok,
155->130,1880,130,Ecuador,GPH-AUTONOMOUS-CITED,155,Chile,GPH-AUTONOMOUS-CITED,74052.77848261863,155,,,,,,ok,
155->230,1880,230,Spain,GPH-AUTONOMOUS-CITED,155,Chile,GPH-AUTONOMOUS-CITED,14212.763258056331,155,,,,,,ok,
155->2,1880,2,United States of America,GPH-AUTONOMOUS-CITED,155,Chile,GPH-AUTONOMOUS-CITED,316028.4191829485,155,,,,,,ok,
155->220,1880,220,France,GPH-AUTONOMOUS-CITED,155,Chile,GPH-AUTONOMOUS-CITED,252123.31895458006,155,,,,,,ok,
155->200,1880,200,United Kingdom,GPH-AUTONOMOUS-CITED,155,Chile,GPH-AUTONOMOUS-CITED,5087186.374016747,155,,,,,,ok,
155->90,1880,90,Guatemala,GPH-AUTONOMOUS-CITED,155,Chile,GPH-AUTONOMOUS-CITED,1232.935803095661,155,,,,,,ok,
155->1163,1880,1163,Falkland Is.,GPH-AUTONOMOUS-CITED,155,Chile,GPH-AUTONOMOUS-CITED,688.1502156812992,155,,,,,,ok,
155->70,1880,70,Mexico,GPH-AUTONOMOUS-CITED,155,Chile,GPH-AUTONOMOUS-CITED,1738.1375285460545,155,,,,,,ok,
155->135,1880,135,Peru,GPH-AUTONOMOUS-CITED,155,Chile,GPH-AUTONOMOUS-CITED,108824.53691956357,155,,,,,,ok,
155->Polynesia,1880,Polynesia,Polynesia,RIC,155,Chile,GPH-AUTONOMOUS-CITED,7.612281146917026,155,,7.612281146917026,,4|955|960|9004|9201|9253|9324|9601|9602|9603|9620|9900|restOfTheWorld,,split_failed_no_ratio,
155->92,1880,92,El Salvador,GPH-AUTONOMOUS-CITED,155,Chile,GPH-AUTONOMOUS-CITED,7438.213651357524,155,,,,,,ok,
155->165,1880,165,Uruguay,GPH-AUTONOMOUS-CITED,155,Chile,GPH-AUTONOMOUS-CITED,60775.057092108604,155,,,,,,ok,
155<-255,1880,155,Chile,GPH-AUTONOMOUS-CITED,255,Germany (Zollverein),GPH-AUTONOMOUS-CITED,607160.8728749049,155,,,,,,ok,
155<-160,1880,155,Chile,GPH-AUTONOMOUS-CITED,160,Argentina (La Plata),GPH-AUTONOMOUS-CITED,185874.52423242832,155,,,,,,ok,
155<-211,1880,155,Chile,GPH-AUTONOMOUS-CITED,211,Belgium,GPH-AUTONOMOUS-CITED,61468.78964729764,155,,,,,,ok,
155<-140,1880,155,Chile,GPH-AUTONOMOUS-CITED,140,Brazil,GPH-AUTONOMOUS-CITED,66183.32910428825,155,,,,,,ok,
155<-710,1880,155,Chile,GPH-AUTONOMOUS-CITED,710,People's Republic of China (China),GPH-AUTONOMOUS-CITED,9861.583354478558,155,,,,,,ok,
155<-94,1880,155,Chile,GPH-AUTONOMOUS-CITED,94,Costa Rica,GPH-AUTONOMOUS-CITED,5911.190053285968,155,,,,,,ok,
155<-130,1880,155,Chile,GPH-AUTONOMOUS-CITED,130,Ecuador,GPH-AUTONOMOUS-CITED,27767.69855366658,155,,,,,,ok,
155<-230,1880,155,Chile,GPH-AUTONOMOUS-CITED,230,Spain,GPH-AUTONOMOUS-CITED,76506.97792438467,155,,,,,,ok,
155<-2,1880,155,Chile,GPH-AUTONOMOUS-CITED,2,United States of America,GPH-AUTONOMOUS-CITED,211504.44049733572,155,,,,,,ok,
155<-220,1880,155,Chile,GPH-AUTONOMOUS-CITED,220,France,GPH-AUTONOMOUS-CITED,558111.5199188023,155,,,,,,ok,
155<-200,1880,155,Chile,GPH-AUTONOMOUS-CITED,200,United Kingdom,GPH-AUTONOMOUS-CITED,1699863.4864247653,155,,,,,,ok,
155<-90,1880,155,Chile,GPH-AUTONOMOUS-CITED,90,Guatemala,GPH-AUTONOMOUS-CITED,5295.356508500381,155,,,,,,ok,
155<-750,1880,155,Chile,GPH-AUTONOMOUS-CITED,750,India,GPH-AUTONOMOUS-CITED,11146.409540725705,155,,,,,,ok,
155<-325,1880,155,Chile,GPH-AUTONOMOUS-CITED,325,Italy,GPH-AUTONOMOUS-CITED,37502.41055569652,155,,,,,,ok,
155<-150,1880,155,Chile,GPH-AUTONOMOUS-CITED,150,Paraguay,GPH-AUTONOMOUS-CITED,18230.778990104034,155,,,,,,ok,
155<-135,1880,155,Chile,GPH-AUTONOMOUS-CITED,135,Peru,GPH-AUTONOMOUS-CITED,166674.19436691195,155,,,,,,ok,
155<-Polynesia,1880,155,Chile,GPH-AUTONOMOUS-CITED,Polynesia,Polynesia,RIC,6815.402182187262,155,,6815.402182187262,,4|955|960|9004|9201|9253|9324|9601|9602|9603|9620|9900|restOfTheWorld,,split_failed_no_ratio,
155<-235,1880,155,Chile,GPH-AUTONOMOUS-CITED,235,Portugal,GPH-AUTONOMOUS-CITED,2150.5962953565086,155,,,,,,ok,
155<-92,1880,155,Chile,GPH-AUTONOMOUS-CITED,92,El Salvador,GPH-AUTONOMOUS-CITED,834.8134991119006,155,,,,,,ok,
