id,year,importerId,importerLabel,importerType,exporterId,exporterLabel,exporterType,value,reportedBy,partial,valueToSplit,newReporters,newPartners,originalReportedTradeFlowIds,status,notes
420<-200,1890,420,Gambia,GPH-AUTONOMOUS-CITED,200,United Kingdom,GPH-AUTONOMOUS-CITED,75445,420,,,,,,ok,
420<-451,1890,420,Gambia,GPH-AUTONOMOUS-CITED,451,Sierra Leone,GPH-AUTONOMOUS-CITED,22621,420,,,,,,ok,
420<-452,1890,420,Gambia,GPH-AUTONOMOUS-CITED,452,Ghana (Gold Coast),GPH-AUTONOMOUS-CITED,2,420,,,,,,ok,
420<-4781,1890,420,Gambia,GPH-AUTONOMOUS-CITED,4781,Lagos,GPH-AUTONOMOUS-CITED,11,420,,,,,,ok,
420<-220,1890,420,Gambia,GPH-AUTONOMOUS-CITED,220,France,GPH-AUTONOMOUS-CITED,13076,420,,,,,,ok,
420<-255,1890,420,Gambia,GPH-AUTONOMOUS-CITED,255,Germany (Zollverein),GPH-AUTONOMOUS-CITED,4304,420,,,,,,ok,
420<-2,1890,420,Gambia,GPH-AUTONOMOUS-CITED,2,United States of America,GPH-AUTONOMOUS-CITED,2025,420,,,,,,ok,
420<-401,1890,420,Gambia,GPH-AUTONOMOUS-CITED,401,Madeira Isles,GPH,13,420,,,,,,ignore_resolved,
420<-Tenerife,1890,420,Gambia,GPH-AUTONOMOUS-CITED,Tenerife,Tenerife,RIC,19,420,,,,,,ignore_resolved,
420<-Gran Canaria,1890,420,Gambia,GPH-AUTONOMOUS-CITED,Gran Canaria,Gran Canaria,RIC,55,420,,,,,,ignore_resolved,
420<-402,1890,420,Gambia,GPH-AUTONOMOUS-CITED,402,Cape Verde,GPH-AUTONOMOUS-CITED,522,420,,,,,,ok,
420<-4338,1890,420,Gambia,GPH-AUTONOMOUS-CITED,4338,Goree,GPH,15663,420,,,,,,ignore_resolved,
420<-Windward Coast of Africa,1890,420,Gambia,GPH-AUTONOMOUS-CITED,Windward Coast of Africa,Windward Coast of Africa,RIC,9605,420,,9605,,437|460|4341|4344|4345|4347|4521|4782|4783,,split_failed_no_ratio,
420<-Leeward Coast of Africa (non British),1890,420,Gambia,GPH-AUTONOMOUS-CITED,Leeward Coast of Africa (non British),Leeward Coast of Africa (non British),RIC,110,420,,110,,404|450|4381|4383,,split_failed_no_ratio,
420->200,1890,200,United Kingdom,GPH-AUTONOMOUS-CITED,420,Gambia,GPH-AUTONOMOUS-CITED,11629,420,,,,,,ok,
420->451,1890,451,Sierra Leone,GPH-AUTONOMOUS-CITED,420,Gambia,GPH-AUTONOMOUS-CITED,1,420,,,,,,ok,
420->220,1890,220,France,GPH-AUTONOMOUS-CITED,420,Gambia,GPH-AUTONOMOUS-CITED,96398,420,,,,,,ok,
420->255,1890,255,Germany (Zollverein),GPH-AUTONOMOUS-CITED,420,Gambia,GPH-AUTONOMOUS-CITED,20649,420,,,,,,ok,
420->2,1890,2,United States of America,GPH-AUTONOMOUS-CITED,420,Gambia,GPH-AUTONOMOUS-CITED,151,420,,,,,,ok,
420->402,1890,402,Cape Verde,GPH-AUTONOMOUS-CITED,420,Gambia,GPH-AUTONOMOUS-CITED,2,420,,,,,,ok,
420->4338,1890,4338,Goree,GPH,420,Gambia,GPH-AUTONOMOUS-CITED,33,420,,,,,,ignore_resolved,
2->160,1890,160,Argentina (La Plata),GPH-AUTONOMOUS-CITED,2,United States of America,GPH-AUTONOMOUS-CITED,1709590.1976089727,2,,,,,,ok,
2->300,1890,300,Austria-Hungary (Austrian Empire),GPH-AUTONOMOUS-CITED,2,United States of America,GPH-AUTONOMOUS-CITED,194261.3286224888,2,,,,,,ok,
2->211,1890,211,Belgium,GPH-AUTONOMOUS-CITED,2,United States of America,GPH-AUTONOMOUS-CITED,5369618.544842036,2,,,,,,ok,
2->145,1890,145,Bolivia,GPH-AUTONOMOUS-CITED,2,United States of America,GPH-AUTONOMOUS-CITED,2259.9728852553308,2,,,,,,ok,
2->140,1890,140,Brazil,GPH-AUTONOMOUS-CITED,2,United States of America,GPH-AUTONOMOUS-CITED,2444948.030072717,2,,,,,,ok,
2->94,1890,94,Costa Rica,GPH-AUTONOMOUS-CITED,2,United States of America,GPH-AUTONOMOUS-CITED,225740.93093956698,2,,,,,,ok,
2->90,1890,90,Guatemala,GPH-AUTONOMOUS-CITED,2,United States of America,GPH-AUTONOMOUS-CITED,272459.6360050943,2,,,,,,ok,
