id,year,importerId,importerLabel,importerType,exporterId,exporterLabel,exporterType,value,reportedBy,partial,valueToSplit,newReporters,newPartners,originalReportedTradeFlowIds,status,notes
30<-200,1917,30,Bermuda,GPH-AUTONOMOUS-CITED,200,United Kingdom,GPH-AUTONOMOUS-CITED,47796,30,,,,,,ok,
30<-20,1917,30,Bermuda,GPH-AUTONOMOUS-CITED,20,Canada (Province of Canada),GPH-AUTONOMOUS-CITED,144123,30,,,,,,ok,
30<-58,1917,30,Bermuda,GPH-AUTONOMOUS-CITED,58,Antigua and Barbuda (Antigua),GPH,64,30,,,,,,ignore_resolved,
30<-53,1917,30,Bermuda,GPH-AUTONOMOUS-CITED,53,Barbados,GPH-AUTONOMOUS-CITED,1640,30,,,,,,ok,
30<-Demerara,1917,30,Bermuda,GPH-AUTONOMOUS-CITED,Demerara,Demerara,RIC,5618,30,,,,,,ignore_resolved,
30<-54,1917,30,Bermuda,GPH-AUTONOMOUS-CITED,54,Dominica,GPH,588,30,,,,,,ignore_resolved,
30<-51,1917,30,Bermuda,GPH-AUTONOMOUS-CITED,51,Jamaica,GPH-AUTONOMOUS-CITED,1328,30,,,,,,ok,
30<-1075,1917,30,Bermuda,GPH-AUTONOMOUS-CITED,1075,St. Kitts,GPH,1828,30,,,,,,ignore_resolved,
30<-1048,1917,30,Bermuda,GPH-AUTONOMOUS-CITED,1048,Trinidad,GPH,3149,30,,,,,,ignore_resolved,
30<-750,1917,30,Bermuda,GPH-AUTONOMOUS-CITED,750,India,GPH-AUTONOMOUS-CITED,55,30,,,,,,ok,
30<-56,1917,30,Bermuda,GPH-AUTONOMOUS-CITED,56,St. Lucia,GPH,206,30,,,,,,ignore_resolved,
30->200,1917,200,United Kingdom,GPH-AUTONOMOUS-CITED,30,Bermuda,GPH-AUTONOMOUS-CITED,197,30,,,,,,ok,
30->20,1917,20,Canada (Province of Canada),GPH-AUTONOMOUS-CITED,30,Bermuda,GPH-AUTONOMOUS-CITED,3737,30,,,,,,ok,
30->53,1917,53,Barbados,GPH-AUTONOMOUS-CITED,30,Bermuda,GPH-AUTONOMOUS-CITED,7331,30,,,,,,ok,
30->Demerara,1917,Demerara,Demerara,RIC,30,Bermuda,GPH-AUTONOMOUS-CITED,4951,30,,,,,,ignore_resolved,
30<-2,1917,30,Bermuda,GPH-AUTONOMOUS-CITED,2,United States of America,GPH-AUTONOMOUS-CITED,467404,30,,,,,,ok,
30<-220,1917,30,Bermuda,GPH-AUTONOMOUS-CITED,220,France,GPH-AUTONOMOUS-CITED,17,30,,,,,,ok,
30<-Tenerife,1917,30,Bermuda,GPH-AUTONOMOUS-CITED,Tenerife,Tenerife,RIC,598,30,,,,,,ignore_resolved,
30<-St. Thomas,1917,30,Bermuda,GPH-AUTONOMOUS-CITED,St. Thomas,St. Thomas,RIC,64,30,,,,,,ignore_resolved,
30<-6,1917,30,Bermuda,GPH-AUTONOMOUS-CITED,6,Puerto Rico,GPH-AUTONOMOUS-CITED,15,30,,,,,,ok,
30->2,1917,2,United States of America,GPH-AUTONOMOUS-CITED,30,Bermuda,GPH-AUTONOMOUS-CITED,171404,30,,,,,,ok,
375<-365,1917,375,Finland,GPH-AUTONOMOUS-CITED,365,Russia (USSR),GPH-AUTONOMOUS-CITED,16353637.42857143,375,,,,,,ok,
375<-380,1917,375,Finland,GPH-AUTONOMOUS-CITED,380,Sweden,GPH-AUTONOMOUS-CITED,16571615.971428571,375,,,,,,ok,
375<-385,1917,375,Finland,GPH-AUTONOMOUS-CITED,385,Norway,GPH-AUTONOMOUS-CITED,54907.65714285714,375,,,,,,ok,
375<-390,1917,375,Finland,GPH-AUTONOMOUS-CITED,390,Denmark,GPH-AUTONOMOUS-CITED,556718.8285714285,375,,,,,,ok,
375<-255,1917,375,Finland,GPH-AUTONOMOUS-CITED,255,Germany (Zollverein),GPH-AUTONOMOUS-CITED,3166.714285714286,375,,,,,,ok,
375<-210,1917,375,Finland,GPH-AUTONOMOUS-CITED,210,Netherlands,GPH-AUTONOMOUS-CITED,25486.22857142857,375,,,,,,ok,
375<-211,1917,375,Finland,GPH-AUTONOMOUS-CITED,211,Belgium,GPH-AUTONOMOUS-CITED,4,375,,,,,,ok,
375<-200,1917,375,Finland,GPH-AUTONOMOUS-CITED,200,United Kingdom,GPH-AUTONOMOUS-CITED,34081.25714285715,375,,,,,,ok,
375<-220,1917,375,Finland,GPH-AUTONOMOUS-CITED,220,France,GPH-AUTONOMOUS-CITED,11242.942857142858,375,,,,,,ok,
375<-230,1917,375,Finland,GPH-AUTONOMOUS-CITED,230,Spain,GPH-AUTONOMOUS-CITED,10.8,375,,,,,,ok,
375<-235,1917,375,Finland,GPH-AUTONOMOUS-CITED,235,Portugal,GPH-AUTONOMOUS-CITED,64.8,375,,,,,,ok,
375<-325,1917,375,Finland,GPH-AUTONOMOUS-CITED,325,Italy,GPH-AUTONOMOUS-CITED,152.71428571428572,375,,,,,,ok,
375<-225,1917,375,Finland,GPH-AUTONOMOUS-CITED,225,Switzerland,GPH-AUTONOMOUS-CITED,20235.571428571428,375,,,,,,ok,
375<-300,1917,375,Finland,GPH-AUTONOMOUS-CITED,300,Austria-Hungary (Austrian Empire),GPH-AUTONOMOUS-CITED,28.571428571428573,375,,,,,,ok,
375<-710,1917,375,Finland,GPH-AUTONOMOUS-CITED,710,People's Republic of China (China),GPH-AUTONOMOUS-CITED,9.628571428571428,375,,,,,,ok,
375<-740,1917,375,Finland,GPH-AUTONOMOUS-CITED,740,Japan,GPH-AUTONOMOUS-CITED,16708.428571428572,375,,,,,,ok,
375<-20,1917,375,Finland,GPH-AUTONOMOUS-CITED,20,Canada (Province of Canada),GPH-AUTONOMOUS-CITED,34.68571428571428,375,,,,,,ok,
375<-United States of America (other),1917,375,Finland,GPH-AUTONOMOUS-CITED,United States of America (other),United States of America (other),RIC,5814.228571428572,375,,,,,,ignore_resolved,
375->365,1917,365,Russia (USSR),GPH-AUTONOMOUS-CITED,375,Finland,GPH-AUTONOMOUS-CITED,12099828.285714285,375,,,,,,ok,
375->380,1917,380,Sweden,GPH-AUTONOMOUS-CITED,375,Finland,GPH-AUTONOMOUS-CITED,440468.4285714286,375,,,,,,ok,
375->200,1917,200,United Kingdom,GPH-AUTONOMOUS-CITED,375,Finland,GPH-AUTONOMOUS-CITED,19000,375,,,,,,ok,
58<-200,1917,58,Antigua and Barbuda (Antigua),GPH,200,United Kingdom,GPH-AUTONOMOUS-CITED,54681,58,,,,,,ignore_duplicate,
58<-20,1917,58,Antigua and Barbuda (Antigua),GPH,20,Canada (Province of Canada),GPH-AUTONOMOUS-CITED,51090,58,,,,,,ignore_duplicate,
58<-750,1917,58,Antigua and Barbuda (Antigua),GPH,750,India,GPH-AUTONOMOUS-CITED,1185,58,,,,,,ignore_duplicate,
