"id","year","importerId","importerLabel","importerType","exporterId","exporterLabel","exporterType","value","reportedBy","partial","valueToSplit","newReporters","newPartners","originalReportedTradeFlowIds","status","notes"
"620->390",1968,"390","Denmark","GPH","620","Libya","GPH",7698744.76987448,"620",NA,NA,NA,NA,NA,"ok",NA
"625->900",1968,"900","Australia","GPH","625","Sudan (Anglo-Egyptian Sudan) (Mahdist State)","GPH",334728.033472803,"625",NA,NA,NA,NA,NA,"ok",NA
"625->380",1968,"380","Sweden","GPH","625","Sudan (Anglo-Egyptian Sudan) (Mahdist State)","GPH",334728.033472803,"625",NA,NA,NA,NA,NA,"ok",NA
"625->310",1968,"310","Hungary","GPH","625","Sudan (Anglo-Egyptian Sudan) (Mahdist State)","GPH",1589958.15899582,"625",NA,NA,NA,NA,NA,"ok",NA
"625->360",1968,"360","Romania","GPH","625","Sudan (Anglo-Egyptian Sudan) (Mahdist State)","GPH",669456.066945607,"625",NA,NA,NA,NA,NA,"ok",NA
"645->694",1968,"694","Qatar","GPH","645","Iraq (Mesopotamia)","GPH",460251.046025105,"645",NA,NA,NA,NA,NA,"ok",NA
"630->516",1968,"516","Burundi","GPH","630","Iran (Persia)","GPH",167364.016736402,"630",NA,NA,NA,NA,NA,"ok",NA
"990->200",1968,"200","United Kingdom","GPH","990","Samoa (Western Samoa) (German Samoa)","GPH",334728.033472803,"990",NA,NA,NA,NA,NA,"ok",NA
"811->830",1968,"830","Singapore","GPH","811","Cambodia (Kampuchea)","GPH",2887029.28870293,"811",NA,NA,NA,NA,NA,"ok",NA
"395->471",1968,"471","Cameroun (French Cameroon)","GPH","395","Iceland","GPH",125523.012552301,"395",NA,NA,NA,NA,NA,"ok",NA
"452->315",1968,"315","Czechoslovakia","GPH","452","Ghana (Gold Coast)","GPH",1004184.10041841,"452",NA,NA,NA,NA,NA,"ok",NA
"630->265",1968,"265","German Democratic Republic","GPH","630","Iran (Persia)","GPH",1046025.10460251,"630",NA,NA,NA,NA,NA,"ok",NA
"230->265",1968,"265","German Democratic Republic","GPH","230","Spain","GPH",2560669.45606695,"230",NA,NA,NA,NA,NA,"ok",NA
"450->461",1968,"461","Togo (French Togoland)","GPH","450","Liberia","GPH",418.410041841004,"450",NA,NA,NA,NA,NA,"ok",NA
"450->651",1968,"651","Egypt Arab Republic (Egypt)","GPH","450","Liberia","GPH",836.820083682008,"450",NA,NA,NA,NA,NA,"ok",NA
"450->338",1968,"338","Malta","GPH","450","Liberia","GPH",418.410041841004,"450",NA,NA,NA,NA,NA,"ok",NA
"450->900",1968,"900","Australia","GPH","450","Liberia","GPH",14225.9414225941,"450",NA,NA,NA,NA,NA,"ok",NA
"630->345",1968,"345","Yugoslavia (Kingdom of Serbs, Croats and Slovenes)","GPH","630","Iran (Persia)","GPH",2301255.23012552,"630",NA,NA,NA,NA,NA,"ok",NA
"380->490",1968,"490","Democratic Republic of the Congo (Zaire) (Kinshasa) (Belgian Congo) (Congo Free State)","GPH","380","Sweden","GPH",711297.071129707,"380",NA,NA,NA,NA,NA,"ok",NA
"950->365",1968,"365","Russia (USSR)","GPH","950","Fiji","GPH",167364.016736402,"950",NA,NA,NA,NA,NA,"ok",NA
"450->666",1968,"666","Israel","GPH","450","Liberia","GPH",131799.163179916,"450",NA,NA,NA,NA,NA,"ok",NA
