id,year,nbGPHAutonomousCited,nbReportingFT,nbReportingBilateral,nbReportingByAggregation,nbReportingBySplit,worldBilateral,worldFT,inFTNotInBilateral,inBilateralNotInFT,reportedNetworkDensity,generatedNetworkDensity,discarded_flows,discarded_value,failed_flows,failed_value,generated_by_aggregation_flows,generated_by_aggregation_value,generated_by_years_ratio_flows,generated_by_years_ratio_value,good_as_reported_flows,good_as_reported_value
,1833,101,89,25,15,0,216198433.55217925,368577377.4204922,"Angola|Australia|Bahamas|Barbados|Belize (British Honduras)|Bermuda|Bolivia|Canada (Province of Canada)|Canary Is.|Ceuta & Melilla|Costa Rica|Dominican Republic (Santo Domingo)|Ecuador|El Salvador|Falkland Is.|Finland|French West Africa & Togo (French Togoland)|Gambia|Germany (Zollverein)|Ghana (Gold Coast)|Grenada|Guatemala|Honduras|Italy|Kenya (British East Africa Protectorate) & Uganda|Leeward Is.|Malawi (Nyasaland) (British Central Africa Protectorate)|Mozambique (Portuguese East Africa)|New Zealand|Nicaragua|Nigeria|Paraguay|Seychelles|South Africa|St. Barthelemy|St. Vincent and the Grenadines|Surinam (Dutch Guiana)|Tanzania (Tanganyika)|Trinidad and Tobago|Turks and Caicos Is.|Yugoslavia (Kingdom of Serbs, Croats and Slovenes)|Zanzibar",Prussia|Gibraltar|Malta|Cape Colony (Cape of Good Hope)|Madeira Isles|Cape Verde|United States of Central America|St. Helena|New South Wales|Maldive Islands|Portuguese India|Tranquebar|Hamburg|Ionian Is.|Papal States|Two Sicilies|Hanover|Mecklenburg Schwerin|Bremen|Oldenburg|Egypt Arab Republic (Egypt)|Greece|Tuscany|Iran (Persia)|Tobago|Congress Poland|Cracow (Free City of Cracow)|Reunion (Bourbon I.)|Senegal|Thailand (Siam)|Japan|Antigua and Barbuda (Antigua)|Quebec (Lower Canada)|Dominica|Parma|Kingdom of Sardinia|Khiva|Bokhara|Kokand|St. Kitts|Western Australia|Myanmar (Burma)|Sindh|Moldavia|Wallachia|Tripolitania (Regency of Tripoli)|Syria|Channel Is.|Isle of Man|Hyderabad|Macao|Saxony|Lübeck|Vietnam,0.019949066213921902,0.03190932216070627,700,79447830.06537336,155,41882281.95920573,321,57832744.05912326,55,4174601.6176741705,404,154191087.8753816
,1834,96,89,23,16,0,245039486.24787423,396058393.12914807,"Angola|Australia|Bahamas|Barbados|Bermuda|Bolivia|Canada (Province of Canada)|Canary Is.|Ceuta & Melilla|Costa Rica|Dominican Republic (Santo Domingo)|Ecuador|El Salvador|Falkland Is.|Finland|French West Africa & Togo (French Togoland)|Gambia|Germany (Zollverein)|Ghana (Gold Coast)|Grenada|Guatemala|Hawaii (Sandwich Is.)|Honduras|Italy|Kenya (British East Africa Protectorate) & Uganda|Malawi (Nyasaland) (British Central Africa Protectorate)|Mozambique (Portuguese East Africa)|New Zealand|Nicaragua|Nigeria|Paraguay|Seychelles|South Africa|St. Barthelemy|St. Lucia|St. Vincent and the Grenadines|Surinam (Dutch Guiana)|Tanzania (Tanganyika)|Trinidad and Tobago|Turks and Caicos Is.|Yugoslavia (Kingdom of Serbs, Croats and Slovenes)|Zanzibar",Hamburg|Ionian Is.|Papal States|Two Sicilies|Tripolitania (Regency of Tripoli)|Egypt Arab Republic (Egypt)|Prussia|Greece|Kingdom of Sardinia|Tuscany|Malta|Lübeck|Gibraltar|Madeira Isles|Cape Colony (Cape of Good Hope)|Cape Verde|St. Helena|Reunion (Bourbon I.)|Thailand (Siam)|Dominica|Moldavia|Senegal|United States of Central America|Hanover|Bremen|Japan|Cocos (Keeling) Is.|Parma|Congress Poland|Iran (Persia)|Khiva|Bokhara|Kokand|Mecklenburg Schwerin|Cracow (Free City of Cracow)|New South Wales|Maldive Islands|Tranquebar|Portuguese India|Oldenburg|Channel Is.|Isle of Man|Syria|Hyderabad|Macao|Myanmar (Burma)|Sindh|Windward Is.|Vietnam,0.019245505452402004,0.03463100071650346,781,95901882.97942595,139,43159706.50596764,326,73442853.53671044,69,7614553.843867905,425,163982078.86729583
,1835,100,89,23,14,0,258171863.92196262,425633307.0321936,"Angola|Australia|Barbados|Bolivia|Canada (Province of Canada)|Canary Is.|Ceuta & Melilla|Costa Rica|Dominican Republic (Santo Domingo)|Ecuador|El Salvador|Falkland Is.|Finland|French West Africa & Togo (French Togoland)|Gambia|Germany (Zollverein)|Ghana (Gold Coast)|Grenada|Guatemala|Hawaii (Sandwich Is.)|Honduras|Italy|Kenya (British East Africa Protectorate) & Uganda|Leeward Is.|Malawi (Nyasaland) (British Central Africa Protectorate)|Morocco|New Zealand|Nicaragua|Nigeria|Paraguay|Seychelles|South Africa|St. Barthelemy|St. Lucia|St. Vincent and the Grenadines|Surinam (Dutch Guiana)|Tanzania (Tanganyika)|Trinidad and Tobago|Turks and Caicos Is.|Yugoslavia (Kingdom of Serbs, Croats and Slovenes)|Zanzibar",Hamburg|Prussia|Hanover|Bremen|Two Sicilies|Papal States|Egypt Arab Republic (Egypt)|Tuscany|Greece|Kingdom of Sardinia|Syria|Parma|Malta|Gibraltar|Ionian Is.|Cape Colony (Cape of Good Hope)|Cape Verde|St. Helena|Reunion (Bourbon I.)|Senegal|Lübeck|Thailand (Siam)|Japan|United States of Central America|Dominica|Ascension I.|Crozet Is.|Madagascar (Malagasy Republic)|Tripolitania (Regency of Tripoli)|Congress Poland|Iran (Persia)|Khiva|Bokhara|Kokand|New South Wales|Maldive Islands|Tranquebar|Portuguese India|Oldenburg|Channel Is.|Isle of Man|Mecklenburg Schwerin|Hyderabad|Macao|Western Australia|Tasmania|New Brunswick|Holstein|Myanmar (Burma)|Sindh|Windward Is.|Vietnam,0.017588636741940854,0.032420591456736036,762,92963043.79524094,151,44787071.24787647,359,72309710.81184174,75,7411846.503847693,397,178450306.60627297
,1836,99,89,23,14,0,301033980.39818174,512219386.347247,"Angola|Australia|Barbados|Bermuda|Bolivia|Canada (Province of Canada)|Canary Is.|Ceuta & Melilla|Costa Rica|Dominican Republic (Santo Domingo)|Ecuador|El Salvador|Falkland Is.|Finland|French West Africa & Togo (French Togoland)|Gambia|Germany (Zollverein)|Ghana (Gold Coast)|Grenada|Guatemala|Honduras|Italy|Kenya (British East Africa Protectorate) & Uganda|Leeward Is.|Malawi (Nyasaland) (British Central Africa Protectorate)|Mozambique (Portuguese East Africa)|New Zealand|Nicaragua|Nigeria|Paraguay|Seychelles|South Africa|St. Barthelemy|St. Lucia|St. Vincent and the Grenadines|Surinam (Dutch Guiana)|Tanzania (Tanganyika)|Trinidad and Tobago|Turks and Caicos Is.|Yugoslavia (Kingdom of Serbs, Croats and Slovenes)|Zanzibar",Two Sicilies|Ionian Is.|Papal States|Greece|Prussia|Gibraltar|Malta|Cape Colony (Cape of Good Hope)|Cape Verde|United States of Central America|Egypt Arab Republic (Egypt)|Hamburg|Hanover|Bremen|Oldenburg|Tuscany|Syria|Macao|Kingdom of Sardinia|Parma|St. Helena|Reunion (Bourbon I.)|Senegal|Thailand (Siam)|Japan|Cocos (Keeling) Is.|New South Wales|Maldive Islands|Ascension I.|South Australia|Lübeck|Bolivia-Peru Confederation|Quebec (Lower Canada)|Mecklenburg Schwerin|Congress Poland|Iran (Persia)|Khiva|Bokhara|Kokand|Western Australia|Portuguese India|Tranquebar|Channel Is.|Isle of Man|Hyderabad|Myanmar (Burma)|Nova Scotia|New Brunswick|Sindh|Windward Is.|Vietnam,0.018669301712779973,0.032196310476853465,861,108564015.4039582,138,48283959.88587043,384,87489128.75794186,79,8470725.838337772,455,205074125.80190176
,1837,99,89,27,10,1,260610241.80044645,440517110.8570493,"Angola|Australia|Barbados|Bolivia|Canada (Province of Canada)|Canary Is.|Ceuta & Melilla|Costa Rica|Dominican Republic (Santo Domingo)|El Salvador|Falkland Is.|Finland|French West Africa & Togo (French Togoland)|Gambia|Germany (Zollverein)|Ghana (Gold Coast)|Grenada|Guatemala|Honduras|Italy|Jamaica|Kenya (British East Africa Protectorate) & Uganda|Leeward Is.|Malawi (Nyasaland) (British Central Africa Protectorate)|Mozambique (Portuguese East Africa)|New Zealand|Nicaragua|Nigeria|Paraguay|Peru|Seychelles|South Africa|St. Barthelemy|St. Lucia|St. Vincent and the Grenadines|Surinam (Dutch Guiana)|Tanzania (Tanganyika)|Trinidad and Tobago|Turks and Caicos Is.|Yugoslavia (Kingdom of Serbs, Croats and Slovenes)|Zanzibar",Two Sicilies|Egypt Arab Republic (Egypt)|Kingdom of Sardinia|Greece|Reunion (Bourbon I.)|Mecklenburg Schwerin|Senegal|Tuscany|Ionian Is.|Papal States|Parma|Hamburg|Prussia|Hanover|Bremen|Gibraltar|Oldenburg|Malta|Cape Colony (Cape of Good Hope)|Cape Verde|Texas|United States of Central America|St. Helena|New South Wales|South Australia|Saxony|Bolivia-Peru Confederation|Thailand (Siam)|Japan|Syria|Quebec (Lower Canada)|Congress Poland|Iran (Persia)|Bokhara|Kokand|Khiva|Wallachia|Lübeck|Maldive Islands|Tranquebar|Portuguese India|Monaco|Channel Is.|Isle of Man|Nova Scotia|Hyderabad|Macao|Myanmar (Burma)|Sindh|Vietnam|Windward Is.,0.018573489430172556,0.03236774105807153,712,75969957.29125977,160,48101073.731343284,325,57736755.20017141,87,7751100.1455188105,519,195122386.4547559
,1838,111,90,18,15,0,232782719.97555095,494635208.3045772,"Australia|Barbados|Bolivia|Canada (Province of Canada)|Canary Is.|Ceuta & Melilla|Costa Rica|Dominican Republic (Santo Domingo)|El Salvador|Falkland Is.|Finland|French West Africa & Togo (French Togoland)|Gambia|Germany (Zollverein)|Ghana (Gold Coast)|Grenada|Guatemala|Honduras|Italy|Jamaica|Kenya (British East Africa Protectorate) & Uganda|Malawi (Nyasaland) (British Central Africa Protectorate)|New Zealand|Nicaragua|Nigeria|Paraguay|Peru|Seychelles|South Africa|St. Barthelemy|St. Lucia|St. Vincent and the Grenadines|Surinam (Dutch Guiana)|Tanzania (Tanganyika)|Trinidad and Tobago|Turks and Caicos Is.|Yugoslavia (Kingdom of Serbs, Croats and Slovenes)",Two Sicilies|Egypt Arab Republic (Egypt)|Kingdom of Sardinia|Greece|Mecklenburg Schwerin|Senegal|Tuscany|Prussia|Gibraltar|Malta|Cape Colony (Cape of Good Hope)|Cape Verde|Texas|United States of Central America|Sulu Sultanate|Hamburg|Mariana Is.|Ionian Is.|St. Helena|Ascension I.|Papal States|Hanover|Syria|Japan|New South Wales|Quebec (Lower Canada)|Bali|Riau|Thailand (Siam)|Congress Poland|Iran (Persia)|Bokhara|Kokand|Khiva|Hyderabad|Prince Edward Is.|Crozet Is.|Madagascar (Malagasy Republic)|New Brunswick|Tasmania|Ancona|Bolivia-Peru Confederation|Parma|Maldive Islands|Tranquebar|Portuguese India|Monaco|Western Australia|Macao|Channel Is.|Isle of Man|Bremen|Oldenburg|Myanmar (Burma)|Moldavia|Sindh|Windward Is.|Vietnam,0.015546983820850745,0.023747841105354058,1018,110953590.79539669,134,43500386.60490625,437,76462598.21851067,81,10075777.487133896,327,146244344.26990637
,1839,104,90,29,15,0,299482941.0332016,547215955.7041011,"Angola|Australia|Barbados|Bolivia|Canada (Province of Canada)|Canary Is.|Ceuta & Melilla|Costa Rica|El Salvador|Falkland Is.|Finland|French West Africa & Togo (French Togoland)|Gambia|Germany (Zollverein)|Ghana (Gold Coast)|Grenada|Hawaii (Sandwich Is.)|Honduras|Italy|Kenya (British East Africa Protectorate) & Uganda|Malawi (Nyasaland) (British Central Africa Protectorate)|Mozambique (Portuguese East Africa)|New Zealand|Nicaragua|Nigeria|Paraguay|Seychelles|South Africa|St. Barthelemy|St. Lucia|St. Vincent and the Grenadines|Surinam (Dutch Guiana)|Tanzania (Tanganyika)|Trinidad and Tobago|Turks and Caicos Is.|Yugoslavia (Kingdom of Serbs, Croats and Slovenes)|Zanzibar",Two Sicilies|Egypt Arab Republic (Egypt)|Kingdom of Sardinia|Greece|Mecklenburg Schwerin|Senegal|Tuscany|Malta|Ionian Is.|Papal States|Prussia|Gibraltar|Cape Colony (Cape of Good Hope)|Cape Verde|Texas|United States of Central America|Syria|Ancona|Hamburg|New South Wales|St. Helena|Crozet Is.|Tasmania|South Australia|Ascension I.|Dominica|Hanover|Bremen|Oldenburg|Bolivia-Peru Confederation|Quebec (Lower Canada)|Bali|Riau|Thailand (Siam)|Congress Poland|Iran (Persia)|Bokhara|Kokand|Wallachia|Maldive Islands|Tranquebar|Portuguese India|Monaco|Natal|Channel Is.|Isle of Man|Parma|Myanmar (Burma)|Sindh|Windward Is.|Vietnam,0.017168915227167656,0.02981705868377287,1046,120347373.71652514,174,58120751.50144107,383,66056709.06638699,99,13962985.461356714,457,219463246.50545782
,1840,112,90,25,14,0,301312817.4826457,564488388.427834,"Australia|Barbados|Canada (Province of Canada)|Canary Is.|Ceuta & Melilla|Costa Rica|El Salvador|Falkland Is.|Finland|French West Africa & Togo (French Togoland)|Gambia|Germany (Zollverein)|Ghana (Gold Coast)|Grenada|Honduras|Italy|Jamaica|Kenya (British East Africa Protectorate) & Uganda|Malawi (Nyasaland) (British Central Africa Protectorate)|Nicaragua|Nigeria|Paraguay|Seychelles|South Africa|St. Barthelemy|St. Lucia|St. Vincent and the Grenadines|Surinam (Dutch Guiana)|Tanzania (Tanganyika)|Trinidad and Tobago|Turks and Caicos Is.|Yugoslavia (Kingdom of Serbs, Croats and Slovenes)|Zanzibar",Two Sicilies|Egypt Arab Republic (Egypt)|Kingdom of Sardinia|Greece|Mecklenburg Schwerin|Senegal|Tuscany|Hamburg|New South Wales|South Australia|St. Helena|Crozet Is.|Cocos (Keeling) Is.|Lombok|Tasmania|Prussia|Hanover|Greenland|Bremen|Gibraltar|Malta|Ionian Is.|Cape Colony (Cape of Good Hope)|Cape Verde|Dominica|Iran (Persia)|Syria|Papal States|Parma|Japan|Texas|United States of Central America|Quebec (Lower Canada)|Luxemburg|Bali|Riau|Thailand (Siam)|Congress Poland|Khiva|Bokhara|Kokand|Maldive Islands|Tranquebar|Portuguese India|Monaco|Myanmar (Burma)|Natal|Western Australia|Lübeck|Channel Is.|Isle of Man|Oldenburg|Sindh|Windward Is.|Vietnam,0.016009148084619784,0.02598116169544741,999,129539113.80504355,173,51566954.64039426,319,61639253.51619879,94,18288589.286298264,504,221384974.68014848
,1841,113,90,31,9,0,287826914.1905204,559176082.8150343,"Angola|Australia|Barbados|Bolivia|Canada (Province of Canada)|Canary Is.|Ceuta & Melilla|Costa Rica|Dominican Republic (Santo Domingo)|El Salvador|Finland|French West Africa & Togo (French Togoland)|Gambia|Germany (Zollverein)|Ghana (Gold Coast)|Grenada|Honduras|Italy|Kenya (British East Africa Protectorate) & Uganda|Malawi (Nyasaland) (British Central Africa Protectorate)|Nicaragua|Nigeria|Paraguay|Seychelles|South Africa|St. Barthelemy|St. Lucia|St. Vincent and the Grenadines|Surinam (Dutch Guiana)|Tanzania (Tanganyika)|Trinidad and Tobago|Turks and Caicos Is.|Yugoslavia (Kingdom of Serbs, Croats and Slovenes)",Two Sicilies|Egypt Arab Republic (Egypt)|Kingdom of Sardinia|Greece|Hanover|Mecklenburg Schwerin|Senegal|Texas|Tuscany|Gibraltar|Malta|Ionian Is.|New South Wales|Cape Colony (Cape of Good Hope)|Western Australia|South Australia|Madagascar (Malagasy Republic)|East Timor (Portuguese Timor)|Cape Verde|Portuguese India|Maldive Islands|Papal States|St. Helena|Hamburg|Prussia|Greenland|Bremen|Crozet Is.|Lombok|Tasmania|Dominica|Iran (Persia)|United States of Central America|Channel Is.|Quebec (Lower Canada)|Luxemburg|Congress Poland|Khiva|Bokhara|Kokand|Tranquebar|Monaco|Myanmar (Burma)|Thailand (Siam)|Lübeck|Natal|Heligoland|Oldenburg|Ascension I.|Parma|Bavaria|Frankfurt|Saxony|Sindh|Windward Is.|Vietnam,0.015045297670405522,0.028899761064967572,701,112559043.57648537,268,69720532.57828364,210,45880534.80938636,95,12950496.282515232,484,228995883.09861863
,1842,111,90,28,12,0,253562478.06381062,513632495.55664134,"Angola|Australia|Barbados|Belize (British Honduras)|Bolivia|Canada (Province of Canada)|Canary Is.|Ceuta & Melilla|Costa Rica|Dominican Republic (Santo Domingo)|El Salvador|Finland|French West Africa & Togo (French Togoland)|Gambia|Germany (Zollverein)|Ghana (Gold Coast)|Grenada|Italy|Kenya (British East Africa Protectorate) & Uganda|Malawi (Nyasaland) (British Central Africa Protectorate)|Nicaragua|Nigeria|Paraguay|Seychelles|South Africa|St. Barthelemy|St. Lucia|St. Vincent and the Grenadines|Surinam (Dutch Guiana)|Tanzania (Tanganyika)|Trinidad and Tobago|Turks and Caicos Is.|Yugoslavia (Kingdom of Serbs, Croats and Slovenes)",Two Sicilies|Egypt Arab Republic (Egypt)|Kingdom of Sardinia|Greece|Hanover|Mecklenburg Schwerin|Senegal|Texas|Tuscany|Hamburg|Prussia|Greenland|Gibraltar|Malta|Cape Colony (Cape of Good Hope)|Maldive Islands|New South Wales|St. Helena|Dominica|Cape Verde|Ionian Is.|Papal States|Iran (Persia)|Crozet Is.|Madagascar (Malagasy Republic)|Bremen|Tasmania|East Timor (Portuguese Timor)|Nova Scotia|Channel Is.|Congress Poland|Khiva|Bokhara|Kokand|Sulu Sultanate|Western Australia|South Australia|Liberia|Luxemburg|Monaco|Lübeck|Myanmar (Burma)|Thailand (Siam)|Natal|Heligoland|Oldenburg|Ascension I.|Modena|Parma|Bavaria|Frankfurt|Saxony|Windward Is.|Vietnam,0.01723242344752357,0.03035043804755945,635,80596925.18015648,264,52552686.36267968,253,43372764.43506315,110,14989367.433900395,485,195200346.1948469
