GPH_code,GPH_name,continent,lat,lng,region_AndersonNorheim,subregion_AndersonNorheim,Comment,period_1,period_2,period_3,period_4,period_5,period_6,period_7,period_8,period_9,period_10,period_11
6151,Abdelkader Emirate,Africa,NA,NA,AF,,,1816-1832 | Part of | 615,1832-1847 | Sovereign (unrecognized) | NA,1847-1847 | Dissolved into | 615,NA,NA,NA,NA,NA,NA,NA,NA
4741,Abuja (Suleja),Africa,9.18333333,7.18333333,AF,,,1828-1902 | Sovereign (unrecognized) | NA,1902-1914 | Part of | 4784,1914-2022 | Part of | 475,NA,NA,NA,NA,NA,NA,NA,NA
8531,Aceh,Asia,5.55,95.31667,AS,DA,,1816-1903 | Sovereign (unrecognized) | NA,1873-1903 | Occupied by | 210,1903-1903 | Dissolved into | 850,NA,NA,NA,NA,NA,NA,NA,NA
681,Aden,Asia,12.8,45.033333333333,ME,,,1816-1839 | Part of | 6821,1839-1937 | Dependency of | 750,1937-1963 | Colony of | 200,1963-1967 | Part of | 6801,1967-1990 | Part of | 680,1990-2022 | Part of | 679,NA,NA,NA,NA,NA
682,Aden Protectorate,Asia,,,ME,,,,,,,,,,,,,
700,Afghanistan,Asia,33,66,AS,DA,,1816-1879 | Sovereign (unrecognized) | NA,1855-1895 | Occupied by | 365,1879-1919 | Protectorate of | 200,1919-2022 | Sovereign | NA,1979-1989 | Occupied by | 365,NA,NA,NA,NA,NA,NA
5902,Agalega Is.,Africa,-10.415,56.635,AF,,,1816-2022 | Possession of | 590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4361,Aïr,Africa,19.508,9.558,AF,,,1816-1893 | Sovereign (unrecognized) | NA,1893-1904 | Occupied by | 220,1904-2022 | Part of | 436,NA,NA,NA,NA,NA,NA,NA,NA
4349,Ajuda,Africa,6.35888889,2.09,AF,,,1816-1961 | Possession of | 235,1961-2022 | Part of | 434,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Alaska,America,64,-150,NAM,,,1816-1867 | Colony of | 365,1867-1959 | Colony of | 2,1959-2022 | Part of | 2,NA,NA,NA,NA,NA,NA,NA,NA
6825,Alawi,Asia,13.468,44.656,ME,,,1816-1872 | Protectorate of | 200,1872-1937 | Part of | 682,1937-1959 | Part of | 6811,1959-1962 | Part of | 6803,1962-1967 | Part of | 6801,1967-1967 | Dissolved into | 680,NA,NA,NA,NA,NA
339,Albania,Europe,41,20,EESU,,Could be EESU but followed historical reality and put it with Ottoman Empire so WE,1816-1912 | Part of | 640,1912-1939 | Sovereign | NA,1914-1919 | Occupied by | 325,1914-1918 | Occupied by | 300,1939-1943 | Occupied by | 325,1939-1944 | Occupied by | 255,1944-2022 | Sovereign | NA,NA,NA,NA,NA
615,Algeria (Regency of Algiers),Africa,28,1,AF,,,1816-1831 | Part of | 640,1831-1962 | Colony of | 220,1962-2022 | Sovereign | NA,NA,NA,NA,NA,NA,NA,NA,NA
5203,Alula (Majeerteen),Africa,11.966666666667,50.75,AF,,,1816-1889 | Sovereign (unrecognized) | NA,1889-1889 | Dissolved into | 5200,NA,NA,NA,NA,NA,NA,NA,NA,NA
7706,Amb,Asia,34.364606,72.859433,AS,DA,,1816-1845 | Sovereign (unrecognized) | NA,1845-1948 | Vassal of | 750,1948-1969 | Vassal of | 770,1969-1969 | Dissolved into | 770,NA,NA,NA,NA,NA,NA,NA
5796,Ambohimanga (Merina),Africa,-18.9236111111111,47.5322222222222,AF,,,1816-1896 | Sovereign (unrecognized) | NA,1896-1896 | Part of | 580,NA,NA,NA,NA,NA,NA,NA,NA,NA
991,American Samoa,Oceania,-14.295833,-170.7075,AS,DA,,1900-2022 | Colony of | 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
