"key","source","target","distance_km"
"2-5","5","2",4022.62599991536
"2-6","6","2",3902.81297822677
"2-40","40","2",2682.34558986739
"2-41","41","2",3385.76443646815
"2-54","54","2",4516.31314920843
"2-58","58","2",4345.49988943021
"2-65","65","2",4433.56090634826
"2-66","66","2",4600.61755379048
"2-68","68","2",4200.68992884497
"2-70","70","2",1900.85233705762
"2-89","89","2",2914.58583343659
"100-2","100","2",4732.51400555514
"101-2","101","2",4733.55361954103
"110-2","110","2",5458.45028280323
"120-2","120","2",6065.48918195939
"135-2","135","2",5954.4077347895
"140-2","140","2",7624.69872473407
"155-2","155","2",8590.57244219865
"160-2","160","2",8954.77792457516
"165-2","165","2",9216.68608387248
"2-200","200","2",6890.00205219437
"2-210","210","2",7447.65964642216
"2-211","211","2",7507.65996688055
"2-220","220","2",7585.84632388849
"2-225","225","2",7975.96480656412
"2-230","230","2",7659.81291020798
"2-231","231","2",7787.10408769661
"2-235","235","2",7346.80897699142
"2-239","239","2",7850.28493452187
"2-240","240","2",7670.4167232189
"2-246","246","2",7564.96408327625
"2-248","248","2",7602.64034880863
"2-280","280","2",7669.69155259538
"2-300","300","2",8330.08416085875
"2-324","324","2",8063.86485132546
"2-327","327","2",8586.75174968056
"2-329","329","2",8777.75471047336
"2-335","335","2",8243.55351281847
"2-337","337","2",8391.52140506914
"2-338","338","2",9177.5997755043
"2-350","350","2",9482.54595763377
"2-365","365","2",8159.368889391
"2-380","380","2",7315.55714010147
"2-385","385","2",6885.59306700264
"2-390","390","2",7434.63510980196
"2-401","401","2",7105.2831210776
"2-402","402","2",7654.62547970956
"2-433","433","2",8519.77706728368
"2-451","451","2",9114.434661919
"2-561","561","2",14423.644311736
"2-585","585","2",16817.4288799336
"2-590","590","2",16880.5874053119
"2-600","600","2",8007.76809865577
"2-615","615","2",8813.47357604531
"2-616","616","2",9024.21337991994
"2-630","630","2",11521.1062148915
"2-640","640","2",10119.7737014318
"2-651","651","2",10827.960659383
"2-652","652","2",10598.2077950797
"2-710","710","2",11316.0628565069
"2-740","740","2",10001.0927495972
"2-750","750","2",13063.8399444984
"2-751","751","2",14272.7364584344
"2-752","752","2",14894.5861030739
"2-775","775","2",12990.0556346355
"2-780","780","2",14824.4402208191
"2-781","781","2",15165.3730235088
"2-800","800","2",13711.1978251061
"2-815","815","2",13238.6205331234
"2-840","840","2",12844.9590643043
"2-850","850","2",14437.4055063987
"2-901","901","2",14192.4449058727
"2-902","902","2",16070.9339109133
"1025-2","1025","2",2442.77668297186
"1029-2","1029","2",3466.87910003608
"1049-2","1049","2",4899.34268192531
"1064-2","1064","2",4209.79366060894
"1075-2","1075","2",4260.5834803656
"2-2901","2901","2",8248.37625136862
"2-2903","2903","2",8369.46849717834
"2-3349","3349","2",9406.89039250198
"2-4050","4050","2",11387.0317462005
"2-6203","6203","2",9323.26840786853
"2-7010","7010","2",11029.3113759232
"2-7020","7020","2",11009.4524964213
"2-7030","7030","2",10749.980291329
"2-7504","7504","2",13034.3275633128
"2-7693","7693","2",12682.3912976296
"5-6","6","5",176.401229349512
"40-5","40","5",1585.17561817116
"41-5","41","5",843.389941253812
"5-54","54","5",494.355134730394
"5-58","58","5",344.102021258055
"5-65","65","5",417.466743378094
"5-66","66","5",578.063017946033
"5-68","68","5",391.360612342857
"5-70","70","5",3895.60970025297
"5-89","89","5",2770.25259765284
"100-5","100","5",1840.05861775253
"101-5","101","5",1173.95656722406
"110-5","110","5",1525.26534912064
"120-5","120","5",2050.86478245624
"135-5","135","5",3322.09409471232
"140-5","140","5",3826.4149004381
"155-5","155","5",5751.94214565197
"160-5","160","5",5826.39061815393
"165-5","165","5",5791.16557336406
"200-5","200","5",6624.10550585571
"210-5","210","5",7086.27585607321
"211-5","211","5",7012.99521527686
"220-5","220","5",6791.08322164454
"225-5","225","5",7264.24093098406
"230-5","230","5",6298.00949086508
"231-5","231","5",6113.26720742909
"235-5","235","5",5796.62774719803
"239-5","239","5",7618.51076294508
"240-5","240","5",7371.12128330547
"246-5","246","5",7304.98115892039
"248-5","248","5",7390.13861306774
"280-5","280","5",7483.77929393773
"300-5","300","5",7864.90162902603
"324-5","324","5",7225.46567917148
"327-5","327","5",7631.81778419716
"329-5","329","5",7794.64515172314
"335-5","335","5",7434.79173169933
"337-5","337","5",7500.39179958429
"338-5","338","5",7895.90888495496
"350-5","350","5",8578.51560797238
"365-5","365","5",10443.0516766693
"380-5","380","5",7694.90568816892
"385-5","385","5",7510.1027876852
"390-5","390","5",7396.52086837184
"401-5","401","5",5018.5895137631
"402-5","402","5",4387.2142773658
"433-5","433","5",5401.39689397024
"451-5","451","5",5794.21051548956
"5-561","561","5",10478.3447476168
"5-585","585","5",13817.168349239
"5-590","590","5",14004.9664094852
"5-600","600","5",6046.57266622446
"5-615","615","5",6746.7615547797
"5-616","616","5",7520.29327624777
"5-630","630","5",11362.8184592149
"5-640","640","5",9640.32992706055
"5-651","651","5",9467.916213846
"5-652","652","5",10009.5290165651
"5-710","710","5",13881.2407460452
"5-740","740","5",13705.0893176143
"5-750","750","5",14274.8244763792
"5-751","751","5",14896.3050152896
"5-752","752","5",17357.7591910515
"5-775","775","5",15086.1037928266
"5-780","780","5",15343.7974940824
"5-781","781","5",14828.3078015454
"5-800","800","5",16116.7942609795
"5-815","815","5",16135.6535268507
"5-840","840","5",16552.9500388098
"5-850","850","5",18193.170747186
"5-901","901","5",16506.1545761139
"5-902","902","5",18993.8764409123
"1025-5","1025","5",3799.9667621131
"1029-5","1029","5",3269.18371762236
"1049-5","1049","5",906.929657275533
"1064-5","1064","5",216.992589227664
"1075-5","1075","5",248.200965930956
"2901-5","2901","5",8137.3155757106
"2903-5","2903","5",8097.34486144666
"3349-5","3349","5",8399.2199760329
"4050-5","4050","5",7518.47835553991
"5-6203","6203","5",7830.92932409571
"5-7010","7010","5",12046.818832561
"5-7020","7020","5",11699.4828504146
"5-7030","7030","5",11320.148312757
"5-7504","7504","5",14612.3411574076
"5-7693","7693","5",12943.6387668043
"40-6","40","6",1420.81762348994
"41-6","41","6",669.767947992509
"54-6","54","6",634.382808800032
"58-6","58","6",509.036377630471
"6-65","65","6",569.90754826895
"6-66","66","6",709.477323642476
"6-68","68","6",365.696940552451
"6-70","70","6",3727.13423721072
"6-89","89","6",2593.96390141598
"100-6","100","6",1748.36834901003
"101-6","101","6",1142.30761608728
"110-6","110","6",1597.0125568221
"120-6","120","6",2162.82347340436
"135-6","135","6",3250.17348416853
"140-6","140","6",3883.76658884957
"155-6","155","6",5725.17880709406
"160-6","160","6",5822.48600640567
"165-6","165","6",5813.46644309874
"200-6","200","6",6737.1186304876
"210-6","210","6",7206.61924171288
"211-6","211","6",7137.39579652551
"220-6","220","6",6923.87592902846
"225-6","225","6",7397.63841194108
"230-6","230","6",6445.02648742005
"231-6","231","6",6267.91895654874
"235-6","235","6",5945.97676068598
"239-6","239","6",7738.37603252497
"240-6","240","6",7491.49085448243
"246-6","246","6",7423.46375406064
"248-6","248","6",7507.60079341949
"280-6","280","6",7601.01971351335
"300-6","300","6",7994.34345728706
"324-6","324","6",7362.59585418184
"327-6","327","6",7774.87568170097
"329-6","329","6",7939.40146321126
"335-6","335","6",7572.33037571897
"337-6","337","6",7640.81980283055
"338-6","338","6",8049.11247961528
"350-6","350","6",8725.12311437732
"365-6","365","6",10476.4979540121
"380-6","380","6",7792.81241660084
"385-6","385","6",7596.6240242468
"390-6","390","6",7507.74200833577
"401-6","401","6",5178.15601533246
"402-6","402","6",4563.6000994807
"433-6","433","6",5577.79269772772
"451-6","451","6",5969.58598736509
"561-6","561","6",10620.604931609
"585-6","585","6",13986.3640808871
"590-6","590","6",14175.360652078
"6-600","600","6",6208.06852723453
"6-615","615","6",6913.04884952519
"6-616","616","6",7677.27986487888
"6-630","630","6",11503.1836244208
"6-640","640","6",9780.56427694734
"6-651","651","6",9628.99973939965
"6-652","652","6",10154.6877146511
"6-710","710","6",13923.2142490058
"6-740","740","6",13650.3141145682
"6-750","750","6",14390.4231497295
"6-751","751","6",15039.0016507032
"6-752","752","6",17456.6263364876
"6-775","775","6",15168.3337333159
"6-780","780","6",15494.0891223321
"6-781","781","6",14993.3589168726
"6-800","800","6",16194.2691406883
"6-815","815","6",16177.4437608948
"6-840","840","6",16512.1347695877
"6-850","850","6",18163.0323379618
"6-901","901","6",16350.9248310204
"6-902","902","6",18879.4994052406
"1025-6","1025","6",3787.82461432318
"1029-6","1029","6",3317.93140141284
"1049-6","1049","6",1000.44434987574
"1064-6","1064","6",389.904703184033
"1075-6","1075","6",411.039573818177
"2901-6","2901","6",8256.71698382006
"2903-6","2903","6",8221.96392889518
"3349-6","3349","6",8547.72020907552
"4050-6","4050","6",7672.22984141863
"6-6203","6203","6",7988.9100595484
"6-7010","7010","6",12151.6579083585
"6-7020","7020","6",11814.3653988954
"6-7030","7030","6",11436.7897501012
"6-7504","7504","6",14715.5360334865
"6-7693","7693","6",13081.4627783111
"40-41","41","40",774.180197027618
"40-54","54","40",2048.75677822387
"40-58","58","40",1928.0428280737
"40-65","65","40",1990.20823868032
"40-66","66","40",2115.39662197634
"40-68","68","40",1622.94175620505
"40-70","70","40",2314.45855727165
"40-89","89","40",1424.14822229996
"100-40","100","40",2114.27680071552
"101-40","101","40",2055.22547887316
"110-40","110","40",2827.77156043907
"120-40","120","40",3491.4163922305
"135-40","135","40",3516.26295949239
"140-40","140","40",4942.37756251374
"155-40","155","40",6188.83688530903
"160-40","160","40",6446.61715341654
"165-40","165","40",6612.07553517531
"200-40","200","40",7242.91700036805
"210-40","210","40",7769.61276378412
"211-40","211","40",7742.27884839343
"220-40","220","40",7618.97992261479
"225-40","225","40",8087.49111340365
"230-40","230","40",7302.47199134382
"231-40","231","40",7215.9436462341
"235-40","235","40",6840.44245938296
"239-40","239","40",8282.67488127483
"240-40","240","40",8047.16936910404
"246-40","246","40",7962.41940309302
"248-40","248","40",8034.3449563593
"280-40","280","40",8123.11641370266
"300-40","300","40",8629.13892736323
"324-40","324","40",8092.50483827308
"327-40","327","40",8560.30344406833
"329-40","329","40",8740.59119092637
"335-40","335","40",8301.87836238592
"337-40","337","40",8400.07455585743
"338-40","338","40",8947.50096051448
"350-40","350","40",9532.62154659337
"365-40","365","40",10180.9425532697
"380-40","380","40",8126.33189604346
"385-40","385","40",7832.57307528834
"390-40","390","40",7974.25018097609
"40-401","401","40",6206.69257492915
"40-402","402","40",5902.19180544006
"40-433","433","40",6901.8943079061
"40-451","451","40",7339.87682943051
"40-561","561","40",11999.0854075669
"40-585","585","40",15397.9360135603
"40-590","590","40",15581.7333359128
"40-600","600","40",7241.30245530629
"40-615","615","40",8001.80641947385
"40-616","616","40",8628.92272457218
"40-630","630","40",12182.0165910521
"40-640","640","40",10494.1120992852
"40-651","651","40",10606.7968814546
"40-652","652","40",10918.2894866108
"40-710","710","40",13590.7527713694
"40-740","740","40",12667.5559776742
"40-750","750","40",14701.7322175011
"40-751","751","40",15635.4878654758
"40-752","752","40",17337.0243958793
"40-775","775","40",15115.1663945969
"40-780","780","40",16171.2523294451
"40-781","781","40",15931.7023615502
"40-800","800","40",16029.6349766697
"40-815","815","40",15728.98950309
"40-840","840","40",15525.1050387181
"40-850","850","40",17114.4074638207
"40-901","901","40",15329.935035506
"40-902","902","40",17908.2104924787
"1025-40","1025","40",3401.3632707941
"1029-40","1029","40",3463.6800711559
"1049-40","1049","40",2334.4043746035
"1064-40","1064","40",1801.50406127097
"1075-40","1075","40",1830.51866279166
"2901-40","2901","40",8783.34339486331
"2903-40","2903","40",8801.92136285398
"3349-40","3349","40",9380.74837951853
"40-4050","4050","40",9084.04308226082
"40-6203","6203","40",8948.38790487795
"40-7010","7010","40",12433.3256498089
"40-7020","7020","40",12206.5127807628
"40-7030","7030","40",11857.1873880874
"40-7504","7504","40",14884.4603010669
"40-7693","7693","40",13689.9132537792
"41-54","54","41",1282.49962756399
"41-58","58","41",1177.48051306519
"41-65","65","41",1230.5047268781
"41-66","66","41",1345.34103393018
"41-68","68","41",849.690078196709
"41-70","70","41",3061.97128500169
"41-89","89","41",1948.80620729206
"100-41","100","41",1670.50910734756
"101-41","101","41",1375.55275783502
"110-41","110","41",2078.24912761968
"120-41","120","41",2724.21302485392
"135-41","135","41",3180.92348130616
"140-41","140","41",4267.072416279
"155-41","155","41",5791.77997389729
"160-41","160","41",5973.30948431319
"165-41","165","41",6058.18203060592
"200-41","200","41",7073.71111935643
"210-41","210","41",7571.34819887997
"211-41","211","41",7519.92424893769
"220-41","220","41",7344.0178884735
"225-41","225","41",7818.12638437055
"230-41","230","41",6931.08258732263
"231-41","231","41",6790.32406350281
"235-41","235","41",6444.87425743616
"239-41","239","41",8098.10964064999
"240-41","240","41",7854.7367151166
"246-41","246","41",7779.01098842048
"248-41","248","41",7858.31606919134
"280-41","280","41",7950.26163907104
"300-41","300","41",8394.51042976389
"324-41","324","41",7799.87482519985
"327-41","327","41",8237.36802122138
"329-41","329","41",8409.143011948
"335-41","335","41",8010.51537588302
"337-41","337","41",8091.7962964408
"338-41","338","41",8558.7464766558
"350-41","350","41",9200.7996071118
"365-41","365","41",10467.4284447455
"380-41","380","41",8059.69660632068
"385-41","385","41",7818.13351430699
"390-41","390","41",7831.99129803565
"401-41","401","41",5728.15820542381
"402-41","402","41",5222.95348680015
"41-433","433","41",6234.31845060031
"41-451","451","41",6636.66845850498
"41-561","561","41",11227.5472974928
"41-585","585","41",14653.1916233467
"41-590","590","41",14843.5941913797
"41-600","600","41",6764.23770299994
"41-615","615","41",7492.81926893376
"41-616","616","41",8206.68043632371
"41-630","630","41",11938.8758625673
"41-640","640","41",10222.3538117167
"41-651","651","41",10174.8781925456
"41-652","652","41",10618.5493502995
"41-710","710","41",13919.4423431276
"41-740","740","41",13299.4428401608
"41-750","750","41",14691.9921250817
"41-751","751","41",15466.6022581452
"41-752","752","41",17620.6025528981
"41-775","775","41",15313.3845417517
"41-780","780","41",15958.4735160347
"41-781","781","41",15547.7505286522
"41-800","800","41",16301.5926981034
"41-815","815","41",16140.3411020154
"41-840","840","41",16175.6219640573
"41-850","850","41",17808.7812652373
"41-901","901","41",15813.1576371313
"41-902","902","41",18420.0079160555
"1025-41","1025","41",3674.20764257235
"1029-41","1029","41",3446.23131656024
"1049-41","1049","41",1562.28247408069
"1064-41","1064","41",1059.3433839878
"1075-41","1075","41",1079.47563136453
"2901-41","2901","41",8611.70940165781
"2903-41","2903","41",8599.82807168027
"3349-41","3349","41",9033.02733222158
"4050-41","4050","41",8311.17168353709
"41-6203","6203","41",8522.47789686176
"41-7010","7010","41",12422.0558354803
"41-7020","7020","41",12131.0316227867
"41-7030","7030","41",11763.3995469002
"41-7504","7504","41",14957.5886439194
"41-7693","7693","41",13497.4857108838
"54-58","58","54",197.132209951455
"54-65","65","54",96.926452826822
"54-66","66","54",91.9511615444393
"54-68","68","54",503.427972897584
"54-70","70","54",4343.31470975001
"54-89","89","54",3136.63362112159
"100-54","100","54",1821.68951803003
"101-54","101","54",1030.80958211869
"110-54","110","54",1100.24306575528
"120-54","120","54",1564.67611600063
"135-54","135","54",3201.25545410523
"140-54","140","54",3400.69820715858
"155-54","155","54",5486.95114146556
"160-54","160","54",5508.30294938871
"165-54","165","54",5419.50286825547
"200-54","200","54",6667.98616949453
"210-54","210","54",7100.47746385432
"211-54","211","54",7011.702400612
"220-54","220","54",6756.3246828754
"225-54","225","54",7224.69571230462
"230-54","230","54",6200.02084590053
"231-54","231","54",5975.50312878493
"235-54","235","54",5689.34432832462
"239-54","239","54",7632.13645776153
"240-54","240","54",7383.911219769
"246-54","246","54",7325.27007617063
"248-54","248","54",7413.89263197475
"280-54","280","54",7507.94688063824
"300-54","300","54",7839.41627586079
"324-54","324","54",7169.78010359502
"327-54","327","54",7547.16131062067
"329-54","329","54",7701.18896513186
"335-54","335","54",7376.36883169909
"337-54","337","54",7428.57998786174
"338-54","338","54",7758.69676912734
"350-54","350","54",8473.02970832426
"365-54","365","54",10706.1072488158
"380-54","380","54",7786.17657820592
"385-54","385","54",7638.61488271581
"390-54","390","54",7443.19750544916
"401-54","401","54",4857.44545316616
"402-54","402","54",4034.43091874238
"433-54","433","54",5052.91722774884
"451-54","451","54",5405.43572895348
"54-561","561","54",9987.73650737143
"54-585","585","54",13374.2400191654
"54-590","590","54",13567.3666778837
"54-600","600","54",5867.35802941189
"54-615","615","54",6530.66021097808
"54-616","616","54",7363.04447220951
"54-630","630","54",11276.9391110788
"54-640","640","54",9561.24439746222
"54-651","651","54",9279.21050427834
"54-652","652","54",9906.07064643027
"54-710","710","54",14110.1726015334
"54-740","740","54",14133.7721729656
"54-750","750","54",14275.7873742609
"54-751","751","54",14783.2853172059
"54-752","752","54",17381.2433286366
"54-775","775","54",15193.5068283713
"54-780","780","54",15191.7475113271
"54-781","781","54",14595.3098847156
"54-800","800","54",16228.9756779966
"54-815","815","54",16348.9593476575
"54-840","840","54",16948.3687159548
"54-850","850","54",18542.1801641712
"54-901","901","54",16627.6779527042
"54-902","902","54",18834.6851733255
"1025-54","1025","54",4180.95061776529
"1029-54","1029","54",3530.11365952785
"1049-54","1049","54",469.410458146822
"1064-54","1064","54",319.214939627354
"1075-54","1075","54",260.15725660491
"2901-54","2901","54",8150.51045048252
"2903-54","2903","54",8090.41865734679
"3349-54","3349","54",8284.91227462088
"4050-54","4050","54",7038.8257412936
"54-6203","6203","54",7666.65148216592
"54-7010","7010","54",12097.3886301705
"54-7020","7020","54",11715.6950358264
"54-7030","7030","54",11331.3775399687
"54-7504","7504","54",14655.0852941386
"54-7693","7693","54",12862.7506441325
"58-65","65","58",100.288419462046
"58-66","66","58",288.773193582509
"58-68","68","58",502.570009485983
"58-70","70","58",4236.13864498496
"58-89","89","58",3079.4247862204
"100-58","100","58",1918.51835445848
"101-58","101","58",1158.57920223466
"110-58","110","58",1296.87643379398
"120-58","120","58",1750.82950885571
"135-58","135","58",3337.39733907332
"140-58","140","58",3597.82992469768
"155-58","155","58",5663.27200929146
"160-58","160","58",5694.85009368329
"165-58","165","58",5613.57912187168
"200-58","200","58",6545.98895289391
"210-58","210","58",6988.42991870226
"211-58","211","58",6904.74525539578
"220-58","220","58",6660.66933775484
"225-58","225","58",7131.13370876396
"230-58","230","58",6127.02716963644
"231-58","231","58",5917.86735757155
"235-58","235","58",5619.38831565394
"239-58","239","58",7520.70164923532
"240-58","240","58",7272.5590876772
"246-58","246","58",7211.40470611256
"248-58","248","58",7298.96590201501
"280-58","280","58",7392.95863013881
"300-58","300","58",7741.4072088547
"324-58","324","58",7081.94892770452
"327-58","327","58",7470.30755523094
"329-58","329","58",7627.77398113678
"335-58","335","58",7289.69986431195
