"exporterId","importerId","year","mid_n","mid_hihost","mid_guerre","mid_duration"
"100","101",1900,1,4,0,106
"100","101",1901,1,4,0,321
"100","101",1902,1,4,0,175
"100","101",1982,1,4,0,12
"100","101",1987,1,4,0,24
"100","101",1988,1,4,0,1
"100","101",1994,1,4,0,3
"100","101",1995,1,4,0,1
"100","101",1997,1,4,0,1
"100","101",2000,1,4,0,42
"100","101",2003,1,4,0,30
"100","101",2006,1,4,0,1
"100","101",2008,1,3,0,75
"100","101",2009,1,3,0,105
"100","101",2010,1,3,0,156
"100","130",1857,1,4,0,30
"100","130",1862,1,4,0,43
"100","130",1863,1,5,1,128
"100","130",2005,1,3,0,1
"100","130",2006,1,3,0,7
"100","130",2007,1,4,0,31
"100","130",2008,1,3,0,2
"100","130",2009,1,3,0,159
"100","135",1852,2,3,0,262
"100","135",1899,1,4,0,214
"100","135",1907,1,4,0,31
"100","135",1911,1,4,0,183
"100","135",1912,1,3,0,104
"100","135",1932,1,4,0,122
"100","135",1933,1,4,0,146
"100","135",1934,1,3,0,108
"100","140",1932,1,3,0,114
"100","140",1933,1,3,0,146
"100","2",1834,1,4,0,212
"100","2",1856,1,3,0,109
"100","2",1896,1,4,0,19
"100","2",1903,1,4,0,60
"100","2",1904,1,4,0,26
"100","200",1836,1,4,0,347
"100","200",1837,1,4,0,28
"100","200",1856,1,3,0,92
"100","200",1857,1,3,0,32
"100","220",1833,1,4,0,100
"100","255",1943,2,4,0,38
"100","255",1944,1,4,0,148
"100","325",1885,1,4,0,184
"100","325",1886,1,4,0,145
"100","325",1898,1,3,0,32
"100","365",2013,1,3,0,1
"100","710",1951,1,5,1,209
"100","710",1952,1,5,1,366
"100","710",1953,1,5,1,209
"100","731",1951,1,5,1,209
"100","731",1952,1,5,1,366
"100","731",1953,1,5,1,209
"100","93",1913,1,3,0,8
"100","93",1914,1,3,0,32
"100","93",1980,1,3,0,1
"100","93",1994,1,4,0,30
"100","93",2001,1,4,0,38
"101","100",1900,1,4,0,106
"101","100",1901,1,4,0,321
"101","100",1902,1,4,0,175
"101","100",1982,1,4,0,12
"101","100",1987,1,4,0,24
"101","100",1988,1,4,0,1
"101","100",1994,1,4,0,3
"101","100",1995,1,4,0,1
"101","100",1997,1,4,0,1
"101","100",2000,1,4,0,42
"101","100",2003,1,4,0,30
"101","100",2006,1,4,0,1
"101","100",2008,1,3,0,75
