key,common_empire,year
"1-531",1,1945
"1-531",1,1946
"1-531",1,1947
"1-531",1,1948
"1-531",1,1949
"1-531",1,1950
"1-531",1,1951
"1-531",1,1952
"1-851",1,1962
"1-851",1,1963
"10-390",1,1817
"10-390",1,1818
"10-390",1,1819
"10-390",1,1820
"10-390",1,1821
"10-390",1,1822
"10-390",1,1823
"10-390",1,1824
"10-390",1,1825
"10-390",1,1827
"10-390",1,1828
"10-390",1,1829
"10-390",1,1830
"10-390",1,1831
"10-390",1,1832
"10-390",1,1833
"10-390",1,1834
"10-390",1,1835
"10-390",1,1836
"10-390",1,1837
"10-390",1,1838
"10-390",1,1839
"10-390",1,1840
"10-390",1,1841
"10-390",1,1842
"10-390",1,1843
"10-390",1,1845
"10-390",1,1846
"10-390",1,1848
"10-390",1,1849
"10-390",1,1852
"10-390",1,1855
"10-390",1,1857
"10-390",1,1858
"10-390",1,1860
"10-390",1,1861
"10-390",1,1862
"10-390",1,1864
"10-390",1,1866
"10-390",1,1867
"10-390",1,1869
"10-390",1,1870
"10-390",1,1871
"10-390",1,1872
"10-390",1,1873
"10-390",1,1874
"10-390",1,1876
"10-390",1,1878
"10-390",1,1879
"10-390",1,1880
"10-390",1,1881
"10-390",1,1882
"10-390",1,1883
"10-390",1,1884
"10-390",1,1885
"10-390",1,1886
"10-390",1,1887
"10-390",1,1888
"10-390",1,1889
"10-390",1,1891
"10-390",1,1893
"10-390",1,1894
"10-390",1,1896
"10-390",1,1897
"10-390",1,1898
"10-390",1,1899
"10-390",1,1900
"10-390",1,1901
"10-390",1,1903
"10-390",1,1904
"10-390",1,1905
"10-390",1,1906
"10-390",1,1910
"10-390",1,1912
"10-390",1,1913
"10-390",1,1914
"10-390",1,1915
"10-390",1,1916
"10-390",1,1917
"10-390",1,1918
"10-390",1,1920
"10-390",1,1922
"10-390",1,1923
"10-390",1,1924
"10-390",1,1926
"10-390",1,1927
"10-390",1,1928
"10-390",1,1929
"10-390",1,1930
"10-390",1,1931
"10-390",1,1932
"10-390",1,1933
"10-390",1,1934
"10-390",1,1935
"10-390",1,1936
"10-390",1,1937
"10-390",1,1938
"10-390",1,1941
"10-390",1,1942
"10-390",1,1946
"10-390",1,1949
"10-390",1,1950
"10-390",1,1951
"10-390",1,1954
"10-390",1,1955
"10-390",1,1956
"10-390",1,1957
"10-390",1,1958
"10-390",1,1959
"10-390",1,1960
"10-390",1,1961
"10-390",1,1963
"10-390",1,1965
"10-390",1,1967
"10-390",1,1968
"10-390",1,1969
"10-390",1,1970
"10-390",1,1972
"10-390",1,1973
