CafFob,value,status,year,importerLabel,exporterLabel
FromExporter,0,imputed zero,1847,Aden,Bahamas
FromExporter,0,imputed zero,1847,Aden,Belgium
FromExporter,0,imputed zero,1847,Aden,Bermuda
FromExporter,0,imputed zero,1847,Aden,Bremen
FromExporter,0,imputed zero,1847,Aden,Cape Colony (Cape of Good Hope)
FromExporter,0,imputed zero,1847,Aden,Chile
FromExporter,0,imputed zero,1847,Aden,Cuba
FromExporter,0,imputed zero,1847,Aden,Dominica
FromExporter,0,imputed zero,1847,Aden,Ecuador
FromExporter,0,imputed zero,1847,Aden,France
FromExporter,0,imputed zero,1847,Aden,French Guiana
FromExporter,0,imputed zero,1847,Aden,French India
FromExporter,0,imputed zero,1847,Aden,Gambia
FromExporter,0,imputed zero,1847,Aden,Ghana (Gold Coast)
FromExporter,0,imputed zero,1847,Aden,Greece
FromExporter,0,imputed zero,1847,Aden,Guadeloupe
FromExporter,0,imputed zero,1847,Aden,Hamburg
FromExporter,,unknown despite gravity,1847,Aden,India
FromExporter,0,imputed zero,1847,Aden,Leeward Is.
FromExporter,0,imputed zero,1847,Aden,Martinique
FromExporter,0,imputed zero,1847,Aden,Moldavia
FromExporter,0,imputed zero,1847,Aden,Netherlands
FromExporter,0,imputed zero,1847,Aden,New South Wales
FromExporter,0,imputed zero,1847,Aden,Papal States
FromExporter,0,imputed zero,1847,Aden,People's Republic of China (China)
FromExporter,0,imputed zero,1847,Aden,Peru
FromExporter,0,imputed zero,1847,Aden,Reunion (Bourbon I.)
FromExporter,0,imputed zero,1847,Aden,Russia (USSR)
FromExporter,0,imputed zero,1847,Aden,Senegal
FromExporter,0,imputed zero,1847,Aden,Shangai
FromExporter,0,imputed zero,1847,Aden,Sierra Leone
FromExporter,0,imputed zero,1847,Aden,South Australia
FromExporter,0,imputed zero,1847,Aden,St. Pierre and Miquelon
FromExporter,0,imputed zero,1847,Aden,Sweden
FromExporter,0,imputed zero,1847,Aden,Tuscany
FromExporter,11488,ok,1847,Aden,United Kingdom
FromExporter,0,imputed zero,1847,Aden,United States of America
FromExporter,0,imputed zero,1847,Aden,Windward Is.
FromExporter,0,imputed zero,1847,Algeria (Regency of Algiers),Bahamas
FromExporter,0,imputed zero,1847,Algeria (Regency of Algiers),Belgium
FromExporter,0,imputed zero,1847,Algeria (Regency of Algiers),Bermuda
FromExporter,0,imputed zero,1847,Algeria (Regency of Algiers),Bremen
FromExporter,0,imputed zero,1847,Algeria (Regency of Algiers),Cape Colony (Cape of Good Hope)
FromExporter,,unknown despite gravity,1847,Algeria (Regency of Algiers),Chile
FromExporter,0,imputed zero,1847,Algeria (Regency of Algiers),Cuba
FromExporter,0,imputed zero,1847,Algeria (Regency of Algiers),Dominica
FromExporter,0,imputed zero,1847,Algeria (Regency of Algiers),Ecuador
FromExporter,2172287.5,ok,1847,Algeria (Regency of Algiers),France
FromExporter,,unknown despite gravity,1847,Algeria (Regency of Algiers),French Guiana
FromExporter,,unknown despite gravity,1847,Algeria (Regency of Algiers),French India
FromExporter,0,imputed zero,1847,Algeria (Regency of Algiers),Gambia
FromExporter,0,imputed zero,1847,Algeria (Regency of Algiers),Ghana (Gold Coast)
FromExporter,0,ok,1847,Algeria (Regency of Algiers),Greece
FromExporter,,unknown despite gravity,1847,Algeria (Regency of Algiers),Guadeloupe
FromExporter,0,imputed zero,1847,Algeria (Regency of Algiers),Hamburg
FromExporter,0,imputed zero,1847,Algeria (Regency of Algiers),India
FromExporter,0,imputed zero,1847,Algeria (Regency of Algiers),Leeward Is.
FromExporter,,unknown despite gravity,1847,Algeria (Regency of Algiers),Martinique
FromExporter,0,imputed zero,1847,Algeria (Regency of Algiers),Moldavia
FromExporter,0,imputed zero,1847,Algeria (Regency of Algiers),Netherlands
FromExporter,0,imputed zero,1847,Algeria (Regency of Algiers),New South Wales
FromExporter,0,imputed zero,1847,Algeria (Regency of Algiers),Papal States
FromExporter,0,imputed zero,1847,Algeria (Regency of Algiers),People's Republic of China (China)
FromExporter,0,imputed zero,1847,Algeria (Regency of Algiers),Peru
FromExporter,,unknown despite gravity,1847,Algeria (Regency of Algiers),Reunion (Bourbon I.)
FromExporter,0,imputed zero,1847,Algeria (Regency of Algiers),Russia (USSR)
FromExporter,,unknown despite gravity,1847,Algeria (Regency of Algiers),Senegal
FromExporter,0,imputed zero,1847,Algeria (Regency of Algiers),Shangai
FromExporter,0,imputed zero,1847,Algeria (Regency of Algiers),Sierra Leone
FromExporter,0,imputed zero,1847,Algeria (Regency of Algiers),South Australia
FromExporter,,unknown despite gravity,1847,Algeria (Regency of Algiers),St. Pierre and Miquelon
FromExporter,,unknown despite gravity,1847,Algeria (Regency of Algiers),Sweden
FromExporter,10306.747,ok,1847,Algeria (Regency of Algiers),Tuscany
FromExporter,,unknown despite gravity,1847,Algeria (Regency of Algiers),United Kingdom
FromExporter,,unknown despite gravity,1847,Algeria (Regency of Algiers),United States of America
FromExporter,0,imputed zero,1847,Algeria (Regency of Algiers),Windward Is.
FromExporter,0,imputed zero,1847,Andaman Is.,Bahamas
FromExporter,0,imputed zero,1847,Andaman Is.,Belgium
FromExporter,0,imputed zero,1847,Andaman Is.,Bermuda
FromExporter,0,imputed zero,1847,Andaman Is.,Bremen
FromExporter,0,imputed zero,1847,Andaman Is.,Cape Colony (Cape of Good Hope)
FromExporter,,unknown despite gravity,1847,Andaman Is.,Chile
FromExporter,0,imputed zero,1847,Andaman Is.,Cuba
FromExporter,0,imputed zero,1847,Andaman Is.,Dominica
FromExporter,0,imputed zero,1847,Andaman Is.,Ecuador
FromExporter,0,imputed zero,1847,Andaman Is.,France
FromExporter,0,imputed zero,1847,Andaman Is.,French Guiana
FromExporter,0,imputed zero,1847,Andaman Is.,French India
FromExporter,,unknown despite gravity,1847,Andaman Is.,Gambia
FromExporter,0,imputed zero,1847,Andaman Is.,Ghana (Gold Coast)
FromExporter,0,imputed zero,1847,Andaman Is.,Greece
FromExporter,0,imputed zero,1847,Andaman Is.,Guadeloupe
FromExporter,,unknown despite gravity,1847,Andaman Is.,Hamburg
FromExporter,0,imputed zero,1847,Andaman Is.,India
FromExporter,0,imputed zero,1847,Andaman Is.,Leeward Is.
FromExporter,0,imputed zero,1847,Andaman Is.,Martinique
FromExporter,0,imputed zero,1847,Andaman Is.,Moldavia
FromExporter,,unknown despite gravity,1847,Andaman Is.,Netherlands
FromExporter,,unknown despite gravity,1847,Andaman Is.,New South Wales
FromExporter,0,imputed zero,1847,Andaman Is.,Papal States
FromExporter,0,imputed zero,1847,Andaman Is.,People's Republic of China (China)
FromExporter,0,imputed zero,1847,Andaman Is.,Peru
FromExporter,0,imputed zero,1847,Andaman Is.,Reunion (Bourbon I.)
FromExporter,0,imputed zero,1847,Andaman Is.,Russia (USSR)
FromExporter,0,imputed zero,1847,Andaman Is.,Senegal
FromExporter,0,imputed zero,1847,Andaman Is.,Shangai
FromExporter,,unknown despite gravity,1847,Andaman Is.,Sierra Leone
FromExporter,,unknown despite gravity,1847,Andaman Is.,South Australia
FromExporter,0,imputed zero,1847,Andaman Is.,St. Pierre and Miquelon
FromExporter,0,imputed zero,1847,Andaman Is.,Sweden
FromExporter,0,imputed zero,1847,Andaman Is.,Tuscany
FromExporter,,unknown despite gravity,1847,Andaman Is.,United Kingdom
FromExporter,,unknown despite gravity,1847,Andaman Is.,United States of America
FromExporter,0,imputed zero,1847,Andaman Is.,Windward Is.
FromExporter,0,imputed zero,1847,Anhalt Bernburg,Bahamas
FromExporter,0,imputed zero,1847,Anhalt Bernburg,Belgium
FromExporter,0,imputed zero,1847,Anhalt Bernburg,Bermuda
FromExporter,,unknown despite gravity,1847,Anhalt Bernburg,Bremen
FromExporter,0,imputed zero,1847,Anhalt Bernburg,Cape Colony (Cape of Good Hope)
FromExporter,,unknown despite gravity,1847,Anhalt Bernburg,Chile
FromExporter,,unknown despite gravity,1847,Anhalt Bernburg,Cuba
FromExporter,0,imputed zero,1847,Anhalt Bernburg,Dominica
FromExporter,0,imputed zero,1847,Anhalt Bernburg,Ecuador
FromExporter,,unknown despite gravity,1847,Anhalt Bernburg,France
FromExporter,0,imputed zero,1847,Anhalt Bernburg,French Guiana
FromExporter,0,imputed zero,1847,Anhalt Bernburg,French India
FromExporter,0,imputed zero,1847,Anhalt Bernburg,Gambia
FromExporter,0,imputed zero,1847,Anhalt Bernburg,Ghana (Gold Coast)
FromExporter,0,imputed zero,1847,Anhalt Bernburg,Greece
FromExporter,0,imputed zero,1847,Anhalt Bernburg,Guadeloupe
FromExporter,0,imputed zero,1847,Anhalt Bernburg,Hamburg
FromExporter,,unknown despite gravity,1847,Anhalt Bernburg,India
FromExporter,0,imputed zero,1847,Anhalt Bernburg,Leeward Is.
FromExporter,0,imputed zero,1847,Anhalt Bernburg,Martinique
FromExporter,0,imputed zero,1847,Anhalt Bernburg,Moldavia
FromExporter,0,imputed zero,1847,Anhalt Bernburg,Netherlands
FromExporter,0,imputed zero,1847,Anhalt Bernburg,New South Wales
FromExporter,0,imputed zero,1847,Anhalt Bernburg,Papal States
FromExporter,0,imputed zero,1847,Anhalt Bernburg,People's Republic of China (China)
FromExporter,,unknown despite gravity,1847,Anhalt Bernburg,Peru
FromExporter,0,imputed zero,1847,Anhalt Bernburg,Reunion (Bourbon I.)
