year,CafFob,status,value,importerLabel,exporterLabel
1903,FromImporter,imputed zero,0,Aden,Aden Protectorate
1903,FromImporter,imputed zero,0,Aden,Afghanistan
1903,FromExporter,imputed zero,0,Aden,Alaska
1903,FromImporter,imputed zero,0,Aden,Alaska
1903,FromExporter,imputed zero,0,Aden,Algeria (Regency of Algiers)
1903,FromImporter,ok thanks to gravity,10.385047,Aden,Algeria (Regency of Algiers)
1903,FromImporter,imputed zero,0,Aden,American Samoa
1903,FromImporter,imputed zero,0,Aden,Andorra
1903,FromImporter,imputed zero,0,Aden,Angola
1903,FromExporter,imputed zero,0,Aden,Anjouan
1903,FromImporter,imputed zero,0,Aden,Annam
1903,FromExporter,imputed zero,0,Aden,Argentina (La Plata)
1903,FromImporter,imputed zero,0,Aden,Argentina (La Plata)
1903,FromImporter,imputed zero,0,Aden,Asante (Ashanti Empire)
1903,FromImporter,imputed zero,0,Aden,Ascension I.
1903,FromExporter,imputed zero,0,Aden,Australia
1903,FromImporter,ok,382.22668,Aden,Australia
1903,FromExporter,imputed zero,0,Aden,Austria-Hungary (Austrian Empire)
1903,FromImporter,ok,85740.305,Aden,Austria-Hungary (Austrian Empire)
1903,FromImporter,imputed zero,0,Aden,Aïr
1903,FromExporter,imputed zero,0,Aden,Bahamas
1903,FromImporter,imputed zero,0,Aden,Bahamas
1903,FromImporter,unknown despite gravity,,Aden,Bahrain
1903,FromImporter,imputed zero,0,Aden,Bali
1903,FromImporter,imputed zero,0,Aden,Baluchistan (Kalat)
1903,FromExporter,imputed zero,0,Aden,Barbados
1903,FromImporter,imputed zero,0,Aden,Barbados
1903,FromImporter,imputed zero,0,Aden,Barotseland_North_Western Rhodesia (Northwestern Rhodesia)
1903,FromExporter,ok,4880.6401,Aden,Belgium
1903,FromImporter,imputed zero,0,Aden,Belgium
1903,FromExporter,imputed zero,0,Aden,Belize (British Honduras)
1903,FromImporter,imputed zero,0,Aden,Belize (British Honduras)
1903,FromExporter,imputed zero,0,Aden,Bermuda
1903,FromImporter,imputed zero,0,Aden,Bermuda
1903,FromImporter,imputed zero,0,Aden,Bhutan
1903,FromImporter,imputed zero,0,Aden,Bolivia
1903,FromImporter,imputed zero,0,Aden,Bosnia-Herzegovina
1903,FromImporter,imputed zero,0,Aden,Botswana (Bechuanaland)
1903,FromImporter,imputed zero,0,Aden,Brazil
1903,FromImporter,imputed zero,0,Aden,Brunei
1903,FromExporter,imputed zero,0,Aden,Bulgaria
1903,FromImporter,imputed zero,0,Aden,Bulgaria
1903,FromImporter,imputed zero,0,Aden,Burkina Faso (Upper Volta)
1903,FromImporter,imputed zero,0,Aden,Cambodia (Kampuchea)
1903,FromExporter,imputed zero,0,Aden,Canada (Province of Canada)
1903,FromImporter,imputed zero,0,Aden,Canada (Province of Canada)
1903,FromExporter,imputed zero,0,Aden,Cape Colony (Cape of Good Hope)
1903,FromImporter,imputed zero,0,Aden,Cape Colony (Cape of Good Hope)
1903,FromImporter,imputed zero,0,Aden,Cape Verde
1903,FromImporter,imputed zero,0,Aden,Captaincy-general of north Africa
1903,FromImporter,imputed zero,0,Aden,Cayman Is.
1903,FromImporter,imputed zero,0,Aden,Channel Is.
1903,FromExporter,imputed zero,0,Aden,Chile
1903,FromImporter,imputed zero,0,Aden,Chile
1903,FromImporter,imputed zero,0,Aden,Cochin China
1903,FromImporter,imputed zero,0,Aden,Cocos (Keeling) Is.
1903,FromImporter,imputed zero,0,Aden,Colombia (New Granada) (Gran Colombia)
1903,FromExporter,imputed zero,0,Aden,Comoros
1903,FromImporter,ok thanks to gravity,.10688897,Aden,Comoros
1903,FromExporter,imputed zero,0,Aden,Congo (Brazzaville) (French Congo) (Middle Congo)
1903,FromImporter,imputed zero,0,Aden,Congo (Brazzaville) (French Congo) (Middle Congo)
1903,FromImporter,imputed zero,0,Aden,Costa Rica
1903,FromImporter,imputed zero,0,Aden,Crete
1903,FromExporter,ok,315.90839,Aden,Cuba
1903,FromImporter,imputed zero,0,Aden,Cuba
1903,FromExporter,imputed zero,0,Aden,Cyprus
1903,FromImporter,imputed zero,0,Aden,Cyprus
1903,FromImporter,imputed zero,0,Aden,Dalian
1903,FromImporter,imputed zero,0,Aden,Democratic Republic of the Congo (Zaire) (Kinshasa) (Belgian Congo) (Congo Free State)
1903,FromExporter,imputed zero,0,Aden,Denmark
1903,FromImporter,imputed zero,0,Aden,Denmark
1903,FromExporter,ok,204995.31,Aden,Djibouti (Afar and Issas) (French Somaliland)
1903,FromImporter,ok,373301.56,Aden,Djibouti (Afar and Issas) (French Somaliland)
1903,FromImporter,imputed zero,0,Aden,Dominican Republic (Santo Domingo)
1903,FromImporter,imputed zero,0,Aden,East Timor (Portuguese Timor)
1903,FromImporter,imputed zero,0,Aden,Ecuador
1903,FromExporter,imputed zero,0,Aden,Egypt Arab Republic (Egypt)
1903,FromImporter,ok,13045.457,Aden,Egypt Arab Republic (Egypt)
1903,FromExporter,imputed zero,0,Aden,El Salvador
1903,FromImporter,imputed zero,0,Aden,El Salvador
1903,FromImporter,imputed zero,0,Aden,"Elobey, Annóbon and Corisco"
1903,FromImporter,imputed zero,0,Aden,Equatorial Guinea (Spanish Guinea)
1903,FromImporter,ok,45147.688,Aden,Eritrea
1903,FromImporter,imputed zero,0,Aden,Eswatini (Swaziland)
1903,FromImporter,ok,41492.891,Aden,Ethiopia (Abyssinia)
1903,FromImporter,imputed zero,0,Aden,Faeroe Is.
1903,FromExporter,imputed zero,0,Aden,Falkland Is.
1903,FromImporter,imputed zero,0,Aden,Falkland Is.
1903,FromImporter,imputed zero,0,Aden,Federated Malay States
1903,FromExporter,imputed zero,0,Aden,Fiji
1903,FromImporter,imputed zero,0,Aden,Fiji
1903,FromExporter,imputed zero,0,Aden,France
1903,FromImporter,ok,11618.176,Aden,France
1903,FromExporter,imputed zero,0,Aden,French Guiana
1903,FromImporter,imputed zero,0,Aden,French Guiana
1903,FromExporter,imputed zero,0,Aden,French India
1903,FromImporter,ok thanks to gravity,2090.7183,Aden,French India
1903,FromExporter,imputed zero,0,Aden,French Indochina
1903,FromImporter,imputed zero,0,Aden,French Indochina
1903,FromImporter,imputed zero,0,Aden,French Polynesia
1903,FromExporter,imputed zero,0,Aden,French West Africa
1903,FromImporter,imputed zero,0,Aden,French West Africa
1903,FromExporter,imputed zero,0,Aden,Gambia
1903,FromImporter,imputed zero,0,Aden,Gambia
1903,FromExporter,imputed zero,0,Aden,German East Africa
1903,FromImporter,ok,505.09726,Aden,German East Africa
1903,FromImporter,imputed zero,0,Aden,German Togoland
1903,FromExporter,unknown despite gravity,,Aden,Germany (Zollverein)
1903,FromImporter,ok,6788.7324,Aden,Germany (Zollverein)
1903,FromExporter,imputed zero,0,Aden,Ghana (Gold Coast)
1903,FromImporter,imputed zero,0,Aden,Ghana (Gold Coast)
1903,FromImporter,imputed zero,0,Aden,Gibraltar
1903,FromExporter,imputed zero,0,Aden,Greece
1903,FromImporter,ok,961.50232,Aden,Greece
1903,FromImporter,imputed zero,0,Aden,Greenland
1903,FromExporter,imputed zero,0,Aden,Guadeloupe
1903,FromImporter,imputed zero,0,Aden,Guadeloupe
1903,FromImporter,imputed zero,0,Aden,Guam
1903,FromImporter,imputed zero,0,Aden,Guangzhou (Canton)
1903,FromImporter,imputed zero,0,Aden,Guatemala
1903,FromImporter,imputed zero,0,Aden,Guinea-Bissau (Portuguese Guinea)
1903,FromExporter,imputed zero,0,Aden,Guyana (British Guiana)
1903,FromImporter,imputed zero,0,Aden,Guyana (British Guiana)
1903,FromImporter,imputed zero,0,Aden,Haiti
1903,FromExporter,imputed zero,0,Aden,Hawaii (Sandwich Is.)
1903,FromImporter,imputed zero,0,Aden,Hawaii (Sandwich Is.)
1903,FromImporter,imputed zero,0,Aden,Honduras
1903,FromImporter,ok,11423.206,Aden,Hong Kong
1903,FromImporter,ok,2885.0437,Aden,Hyderabad
1903,FromExporter,imputed zero,0,Aden,Iceland
1903,FromImporter,imputed zero,0,Aden,Iceland
1903,FromExporter,ok,1008067.8,Aden,India
1903,FromImporter,ok,971954.13,Aden,India
1903,FromExporter,imputed zero,0,Aden,Indonesia (Dutch East Indies)
1903,FromImporter,ok,6.7069082,Aden,Indonesia (Dutch East Indies)
1903,FromExporter,imputed zero,0,Aden,Iran (Persia)
1903,FromImporter,ok,3538.833,Aden,Iran (Persia)
1903,FromImporter,ok thanks to gravity,70881.156,Aden,Italian Somaliland
1903,FromExporter,imputed zero,0,Aden,Italy
1903,FromImporter,ok,15289.604,Aden,Italy
1903,FromExporter,imputed zero,0,Aden,Ivory Coast
1903,FromImporter,imputed zero,0,Aden,Ivory Coast
1903,FromExporter,imputed zero,0,Aden,Jamaica
1903,FromImporter,imputed zero,0,Aden,Jamaica
1903,FromExporter,imputed zero,0,Aden,Japan
1903,FromImporter,ok,3667.1362,Aden,Japan
1903,FromImporter,imputed zero,0,Aden,Johore
1903,FromImporter,imputed zero,0,Aden,Kamerun
1903,FromImporter,imputed zero,0,Aden,Kathiawar
1903,FromImporter,imputed zero,0,Aden,Kelantan
1903,FromExporter,ok,15486,Aden,Kenya (British East Africa Protectorate)
1903,FromImporter,imputed zero,0,Aden,Kenya (British East Africa Protectorate)
1903,FromImporter,imputed zero,0,Aden,Kiauchau
1903,FromExporter,imputed zero,0,Aden,Kingdom of Serbia
1903,FromImporter,imputed zero,0,Aden,Kingdom of Serbia
1903,FromImporter,imputed zero,0,Aden,Korea (Chosen)
1903,FromImporter,unknown despite gravity,,Aden,Kuria Muria Is.
1903,FromImporter,unknown despite gravity,,Aden,Kuwait
1903,FromImporter,imputed zero,0,Aden,Kwanchowan
1903,FromImporter,imputed zero,0,Aden,Kwangtung Territory
1903,FromImporter,imputed zero,0,Aden,Labrador
1903,FromExporter,imputed zero,0,Aden,Lagos
1903,FromImporter,imputed zero,0,Aden,Lagos
1903,FromImporter,imputed zero,0,Aden,Laos
1903,FromExporter,imputed zero,0,Aden,Leeward Is.
1903,FromImporter,imputed zero,0,Aden,Leeward Is.
1903,FromImporter,imputed zero,0,Aden,Lesotho (Basutoland)
1903,FromImporter,imputed zero,0,Aden,Liberia
1903,FromImporter,imputed zero,0,Aden,Loos Is.
1903,FromImporter,imputed zero,0,Aden,Luxemburg
1903,FromImporter,imputed zero,0,Aden,Lüshun Port (Port Arthur)
1903,FromImporter,imputed zero,0,Aden,Macao
1903,FromExporter,imputed zero,0,Aden,Madagascar (Malagasy Republic)
1903,FromImporter,ok thanks to gravity,686.88171,Aden,Madagascar (Malagasy Republic)
1903,FromExporter,imputed zero,0,Aden,Malawi (Nyasaland) (British Central Africa Protectorate)
1903,FromImporter,imputed zero,0,Aden,Malawi (Nyasaland) (British Central Africa Protectorate)
1903,FromImporter,imputed zero,0,Aden,Malden I.
1903,FromImporter,imputed zero,0,Aden,Maldive Islands
1903,FromExporter,imputed zero,0,Aden,Malta
1903,FromImporter,ok,199.06104,Aden,Malta
1903,FromImporter,imputed zero,0,Aden,Manchuria
1903,FromImporter,imputed zero,0,Aden,Manjung (Dindings)
1903,FromImporter,imputed zero,0,Aden,Marquesas Is.
1903,FromImporter,imputed zero,0,Aden,Marshall Is.
1903,FromExporter,imputed zero,0,Aden,Martinique
1903,FromImporter,imputed zero,0,Aden,Martinique
1903,FromImporter,imputed zero,0,Aden,Mashona
1903,FromExporter,imputed zero,0,Aden,Mauritius
1903,FromImporter,ok thanks to gravity,448.91422,Aden,Mauritius
1903,FromExporter,imputed zero,0,Aden,Mexico
1903,FromImporter,imputed zero,0,Aden,Mexico
1903,FromExporter,imputed zero,0,Aden,Moheli
1903,FromImporter,imputed zero,0,Aden,Montenegro
1903,FromImporter,ok thanks to gravity,3.3547175,Aden,Morocco
1903,FromImporter,ok,58.350101,Aden,Mozambique (Portuguese East Africa)
1903,FromExporter,imputed zero,0,Aden,Namibia (South West Africa) (German South West Africa)
1903,FromImporter,imputed zero,0,Aden,Namibia (South West Africa) (German South West Africa)
1903,FromExporter,imputed zero,0,Aden,Natal
1903,FromImporter,imputed zero,0,Aden,Natal
1903,FromImporter,imputed zero,0,Aden,Nauru
1903,FromImporter,imputed zero,0,Aden,Navassa I.
1903,FromImporter,imputed zero,0,Aden,Ndebele (Matabeleland)
1903,FromImporter,imputed zero,0,Aden,Nepal
1903,FromExporter,unknown despite gravity,,Aden,Netherlands
1903,FromImporter,ok,2021.1938,Aden,Netherlands
1903,FromImporter,imputed zero,0,Aden,Netherlands Antilles
1903,FromExporter,imputed zero,0,Aden,New Caledonia
1903,FromImporter,imputed zero,0,Aden,New Caledonia
1903,FromImporter,imputed zero,0,Aden,New Guinea (German New Guinea) (Kaiser Wilhelmsland)
1903,FromExporter,imputed zero,0,Aden,New Zealand
1903,FromImporter,imputed zero,0,Aden,New Zealand
1903,FromExporter,imputed zero,0,Aden,Newfoundland and Labrador (Newfoundland)
1903,FromImporter,imputed zero,0,Aden,Newfoundland and Labrador (Newfoundland)
1903,FromImporter,imputed zero,0,Aden,Nicaragua
1903,FromImporter,imputed zero,0,Aden,Norfolk I.
1903,FromImporter,imputed zero,0,Aden,Northeastern Rhodesia
1903,FromImporter,imputed zero,0,Aden,Northern Nigeria (British Nigeria)
1903,FromExporter,imputed zero,0,Aden,Norway
1903,FromImporter,imputed zero,0,Aden,Norway
1903,FromImporter,unknown despite gravity,,Aden,Oman (Sultanate of Muscat and Oman)
1903,FromImporter,imputed zero,0,Aden,Orange Free State (Orange River Colony)
1903,FromImporter,imputed zero,0,Aden,Palmyra Is.
1903,FromImporter,imputed zero,0,Aden,Panama
1903,FromImporter,imputed zero,0,Aden,Panama Canal Zone
1903,FromImporter,imputed zero,0,Aden,Papua (British New Guinea)
1903,FromImporter,imputed zero,0,Aden,Paraguay
1903,FromExporter,ok thanks to gravity,76849.773,Aden,People's Republic of China (China)
1903,FromImporter,imputed zero,0,Aden,People's Republic of China (China)
1903,FromImporter,ok,1411.9384,Aden,Perim I.
1903,FromImporter,imputed zero,0,Aden,Perlis
1903,FromExporter,imputed zero,0,Aden,Peru
1903,FromImporter,imputed zero,0,Aden,Peru
1903,FromImporter,imputed zero,0,Aden,Philippines
1903,FromImporter,imputed zero,0,Aden,Pitcairn Is.
1903,FromExporter,imputed zero,0,Aden,Portugal
1903,FromImporter,ok,31.32126,Aden,Portugal
1903,FromImporter,imputed zero,0,Aden,Portuguese India
1903,FromExporter,imputed zero,0,Aden,Puerto Rico
1903,FromImporter,imputed zero,0,Aden,Puerto Rico
1903,FromExporter,imputed zero,0,Aden,Republic of China (Taiwan) (Formosa)
1903,FromImporter,imputed zero,0,Aden,Republic of China (Taiwan) (Formosa)
1903,FromExporter,imputed zero,0,Aden,Reunion (Bourbon I.)
1903,FromImporter,imputed zero,0,Aden,Reunion (Bourbon I.)
1903,FromExporter,imputed zero,0,Aden,Romania
1903,FromImporter,imputed zero,0,Aden,Romania
1903,FromExporter,imputed zero,0,Aden,Russia (USSR)
1903,FromImporter,ok,22710.262,Aden,Russia (USSR)
1903,FromImporter,imputed zero,0,Aden,Río de Oro
1903,FromImporter,imputed zero,0,Aden,Sabah (North Borneo)
1903,FromImporter,imputed zero,0,Aden,Samoa (Western Samoa) (German Samoa)
1903,FromImporter,imputed zero,0,Aden,Samos
1903,FromImporter,imputed zero,0,Aden,Sao Tome-Principe
1903,FromExporter,imputed zero,0,Aden,Sarawak
1903,FromImporter,imputed zero,0,Aden,Sarawak
