NetworkType,CafFob,year,var,coef,ci_low,ci_high,r2p
"intramax","caf",1833,"ln_dist",-.29966703,-.37573177,-.22360229,.014642369
"intramax","caf",1834,"ln_dist",-.50425172,-.585491,-.42301244,.041116435
"intramax","caf",1835,"ln_dist",-.51019049,-.5949266,-.42545441,.040680096
"intramax","caf",1836,"ln_dist",-.15934956,-.23596199,-.08273714,.0038044977
"intramax","caf",1837,"ln_dist",-.56059754,-.64639509,-.47479993,.047378931
"intramax","caf",1838,"ln_dist",-.28768545,-.37033761,-.20503332,.011748513
"intramax","caf",1839,"ln_dist",-.32356828,-.39606133,-.25107527,.015996629
"intramax","caf",1840,"ln_dist",-.36025625,-.43857956,-.28193292,.019368852
"intramax","caf",1841,"ln_dist",-.3919225,-.47140479,-.31244022,.02335088
"intramax","caf",1842,"ln_dist",-.49554321,-.57638204,-.41470441,.033957563
"intramax","caf",1843,"ln_dist",-.14030232,-.21435079,-.066253848,.0026245951
"intramax","caf",1844,"ln_dist",-.069380164,-.14531659,.0065562576,.00064106332
"intramax","caf",1845,"ln_dist",-.29797268,-.38911238,-.20683299,.012109834
"intramax","caf",1846,"ln_dist",-.025664328,-.10527319,.053944543,.000087252825
"intramax","caf",1847,"ln_dist",-.10408196,-.18012358,-.028040323,.0016239398
"intramax","caf",1848,"ln_dist",-.035934832,-.1074056,.035535935,.00018772612
"intramax","caf",1849,"ln_dist",-.022599254,-.10887988,.063681372,.000061626131
"intramax","caf",1850,"ln_dist",.02241605,-.054379933,.099212036,.000066335539
"intramax","caf",1851,"ln_dist",-.28458327,-.36118212,-.20798442,.0112867
"intramax","caf",1852,"ln_dist",-.21007763,-.29118946,-.1289658,.0058451425
"intramax","caf",1853,"ln_dist",-.39831403,-.46985501,-.32677305,.021901906
"intramax","caf",1854,"ln_dist",-.30079904,-.37288994,-.22870815,.012683528
"intramax","caf",1855,"ln_dist",.057274751,-.013020409,.12756991,.00040077785
"intramax","caf",1856,"ln_dist",-.18468384,-.25535753,-.11401016,.0047452305
"intramax","caf",1857,"ln_dist",-.4363167,-.51004755,-.36258584,.022553504
"intramax","caf",1858,"ln_dist",-.099279776,-.16448949,-.034070056,.0012426346
"intramax","caf",1859,"ln_dist",-.09562555,-.16819744,-.023053652,.001199004
"intramax","caf",1860,"ln_dist",-.033575997,-.11065003,.043498036,.00012975055
"intramax","caf",1861,"ln_dist",-.024600739,-.086857237,.037655756,.000071053248
"intramax","caf",1862,"ln_dist",-.050246935,-.10936243,.0088685602,.00028304983
"intramax","caf",1863,"ln_dist",-.053157099,-.11375972,.0074455207,.00030853561
"intramax","caf",1864,"ln_dist",-.65199721,-.73350734,-.57048708,.053850446
"intramax","caf",1865,"ln_dist",-.67687076,-.74140352,-.61233807,.053689752
