NetworkType,CafFob,year,var,coef,ci_low,ci_high,r2p
"intramax","fob",1833,"contig_large",-.2010791,-.46009386,.057935651,-.0086813215
"intramax","fob",1834,"contig_large",-.072927587,-.23670901,.09085384,-.011814945
"intramax","fob",1835,"contig_large",-.57995623,-.99237716,-.16753525,.0064487238
"intramax","fob",1836,"contig_large",-.0040506129,-.30304366,.29494244,-.00095419708
"intramax","fob",1837,"contig_large",.08760222,-.12300366,.29820812,-.0023177625
"intramax","fob",1838,"contig_large",.2294486,-.002461625,.46135885,-.0060749119
"intramax","fob",1839,"contig_large",-.16209856,-.42959863,.10540152,-.0019948804
"intramax","fob",1840,"contig_large",.07942231,-.12443758,.28328219,.00020155197
"intramax","fob",1841,"contig_large",.035217356,-.20958702,.28002173,-.00065254275
"intramax","fob",1842,"contig_large",-.028492503,-.32557216,.26858714,-.0024441453
"intramax","fob",1843,"contig_large",-.071559958,-.5348019,.39168197,-.012499766
"intramax","fob",1844,"contig_large",.50189644,.1458896,.8579033,.0090397978
"intramax","fob",1845,"contig_large",-.29931894,-.65984511,.06120719,-.012802931
"intramax","fob",1846,"contig_large",.1146291,-.20064822,.42990643,-.008588776
"intramax","fob",1847,"contig_large",.0079551982,-.24071118,.25662157,-.0062044067
"intramax","fob",1848,"contig_large",.3350856,.14666535,.52350587,-.0047459253
"intramax","fob",1849,"contig_large",-.26107538,-.60521775,.083066992,-.0053409892
"intramax","fob",1850,"contig_large",.3050209,-.044540178,.65458196,-.028255917
"intramax","fob",1851,"contig_large",.077144414,-.2963565,.45064533,-.011473581
"intramax","fob",1852,"contig_large",-.12452098,-.44695061,.19790865,-.0049262103
"intramax","fob",1853,"contig_large",.025437437,-.21457732,.26545221,-.0012474839
"intramax","fob",1854,"contig_large",.064775229,-.19430639,.32385686,-.0047580097
"intramax","fob",1855,"contig_large",.55551308,.20911042,.90191573,-.0027497692
"intramax","fob",1856,"contig_large",-.029441193,-.39599469,.33711231,-.00024166207
"intramax","fob",1857,"contig_large",.078703083,-.20173028,.35913646,-.014793873
"intramax","fob",1858,"contig_large",-.049038794,-.30395079,.20587321,-.0066660191
"intramax","fob",1859,"contig_large",.25732103,.024910327,.4897317,-.012208862
"intramax","fob",1860,"contig_large",.16918761,-.15939951,.49777472,-.050275803
"intramax","fob",1861,"contig_large",.11506841,-.29375646,.52389324,-.02222551
"intramax","fob",1862,"contig_large",.024819039,-.27230531,.32194337,-.016910808
"intramax","fob",1863,"contig_large",.12989271,-.22708175,.48686716,-.037379503
"intramax","fob",1864,"contig_large",.10947064,-.11987697,.33881825,-.018996987
"intramax","fob",1865,"contig_large",-.2907263,-.6599921,.078539513,.0025176597
"intramax","fob",1866,"contig_large",.21986496,-.062999859,.50272977,-.023628563
"intramax","fob",1867,"contig_large",-.49028173,-.85889608,-.12166739,.0071592978
"intramax","fob",1868,"contig_large",-.4451738,-.8417452,-.048602406,.0039822678
"intramax","fob",1869,"contig_large",-.055553336,-.43164805,.32054138,-.0056500142
"intramax","fob",1870,"contig_large",.187904,-.35159072,.72739869,-.035439111
"intramax","fob",1871,"contig_large",.025691917,-.49220338,.54358721,-.018716684
"intramax","fob",1872,"contig_large",.23310451,-.2125091,.67871815,-.0080262097
"intramax","fob",1873,"contig_large",.18036775,-.29551372,.65624923,-.0044998899
"intramax","fob",1874,"contig_large",.18507363,-.28554264,.6556899,-.00050548138
"intramax","fob",1875,"contig_large",-.013178099,-.484236,.45787981,-.0073410957
"intramax","fob",1876,"contig_large",-.53825486,-1.2856791,.20916946,.0055265562
"intramax","fob",1877,"contig_large",-.0079659121,-.50579488,.4898631,-.0085021751
"intramax","fob",1878,"contig_large",-.25029886,-.80746871,.30687103,-.0037256833
"intramax","fob",1879,"contig_large",.21736455,-.15762542,.59235454,-.020181561
"intramax","fob",1880,"contig_large",.19172785,-.28474954,.66820526,-.016723357
"intramax","fob",1881,"contig_large",-.0043246867,-.57790077,.56925142,-.0014752524
"intramax","fob",1882,"contig_large",.20329487,-.22276711,.62935686,-.0038540643
"intramax","fob",1883,"contig_large",.13214092,-.33803761,.60231942,-.035717674
"intramax","fob",1884,"contig_large",-.18418635,-.69798046,.32960778,-.00073147524
"intramax","fob",1885,"contig_large",.018614849,-.4180792,.45530891,-.026278539
"intramax","fob",1886,"contig_large",.1960493,-.13994308,.53204167,-.023623751
"intramax","fob",1887,"contig_large",.26612076,-.19269863,.72494012,-.02289596
"intramax","fob",1888,"contig_large",.1818262,-.29886821,.66252065,-.0053924355
"intramax","fob",1889,"contig_large",-.19460706,-.60709131,.21787718,-.0030524509
"intramax","fob",1890,"contig_large",-.0010045083,-.46365988,.46165088,-.024461018
"intramax","fob",1891,"contig_large",-.30286375,-.84418666,.23845914,-.020715235
"intramax","fob",1892,"contig_large",-.057073087,-.51029682,.39615068,-.0017977166
"intramax","fob",1893,"contig_large",.018506899,-.38059902,.41761282,-.0035241006
"intramax","fob",1894,"contig_large",.072022617,-.29042175,.43446699,-.0028784655
"intramax","fob",1895,"contig_large",.079839312,-.33991262,.49959123,-.0020884343
"intramax","fob",1896,"contig_large",.23847066,-.047113314,.52405465,-.0036415937
"intramax","fob",1897,"contig_large",.062955037,-.29686686,.42277694,-.0037470167
"intramax","fob",1898,"contig_large",-.02194088,-.37452689,.33064511,-.001896066
"intramax","fob",1899,"contig_large",.21741475,-.19281372,.62764323,-.0036446007
"intramax","fob",1900,"contig_large",-.022003209,-.40023193,.35622552,-.0063878135
"intramax","fob",1901,"contig_large",.073533691,-.37714788,.52421528,-.043410871
"intramax","fob",1902,"contig_large",-.11485694,-.48307434,.25336045,-.004817836
"intramax","fob",1903,"contig_large",.19484942,-.1293657,.51906455,-.0082631521
"intramax","fob",1904,"contig_large",.25667417,-.065215722,.57856411,-.0013840529
"intramax","fob",1905,"contig_large",.22595897,-.014101202,.46601915,-.0010752425
"intramax","fob",1906,"contig_large",.26506364,.026314393,.50381291,-.0013476227
"intramax","fob",1907,"contig_large",.35598075,.04935278,.66260874,-.0050729513
"intramax","fob",1908,"contig_large",.4027271,.039088245,.76636595,-.023991678
"intramax","fob",1909,"contig_large",.27441755,-.1035876,.65242273,-.012639867
"intramax","fob",1910,"contig_large",.40894505,.16104291,.65684718,-.01332293
"intramax","fob",1911,"contig_large",.12672584,-.35475406,.60820574,-.017218234
"intramax","fob",1912,"contig_large",-.07272391,-.3079946,.16254678,-.002360258
"intramax","fob",1913,"contig_large",.27098447,-.073756583,.61572552,-.0087120393
"intramax","fob",1914,"contig_large",.25574479,-.029941628,.54143119,-.0073566902
"intramax","fob",1915,"contig_large",.28121451,-.072700456,.63512945,-.0063185226
"intramax","fob",1916,"contig_large",.20613548,-.21036844,.62263942,-.010382536
"intramax","fob",1917,"contig_large",.22611029,-.17358495,.62580556,-.011121168
"intramax","fob",1918,"contig_large",.45730352,.23522198,.67938507,.0039635128
"intramax","fob",1919,"contig_large",-.074850708,-.4714379,.32173648,.00013009289
"intramax","fob",1920,"contig_large",-.26284453,-.54592967,.020240581,.0019544917
"intramax","fob",1921,"contig_large",-.25732917,-.60969019,.09503185,.0017650503
"intramax","fob",1922,"contig_large",-.059870254,-.22454464,.10480414,-.00039249976
"intramax","fob",1923,"contig_large",.032543093,-.1498387,.21492489,-.0006395267
"intramax","fob",1924,"contig_large",.098780669,-.12617856,.32373992,-.0037476604
"intramax","fob",1925,"contig_large",.21723019,-.076558046,.51101846,-.0024061785
"intramax","fob",1926,"contig_large",.15591249,-.11928535,.43111032,-.0040982733
"intramax","fob",1927,"contig_large",.028828178,-.26771533,.32537168,-.0029143575
"intramax","fob",1928,"contig_large",.027383074,-.24000968,.29477584,-.0016394799
"intramax","fob",1929,"contig_large",.24504837,.032366239,.45773053,-.0030091715
"intramax","fob",1930,"contig_large",.028598471,-.30718002,.36437696,-.0067872726
"intramax","fob",1931,"contig_large",.49193963,.071111441,.91276783,-.0093938988
"intramax","fob",1932,"contig_large",.2666944,-.10203664,.63542539,-.0031601088
"intramax","fob",1933,"contig_large",.77540106,.58147311,.96932906,.0046593873
"intramax","fob",1934,"contig_large",.20989291,-.060908474,.48069429,-.0093676988
"intramax","fob",1935,"contig_large",.32992947,.12722714,.53263175,-.0095735183
"intramax","fob",1936,"contig_large",-.028527079,-.32132325,.26426908,-.012757293
"intramax","fob",1937,"contig_large",-.090487123,-.40176457,.22079033,-.012507698
"intramax","fob",1938,"contig_large",.045332506,-.33261955,.42328456,-.0085417107
"intramax","fob",1948,"contig_large",.20203283,-.23063564,.63470131,-.00083432847
"intramax","fob",1949,"contig_large",-.10335621,-.63003033,.42331788,-.00013219359
"intramax","fob",1950,"contig_large",-.39368403,-.91368186,.12631379,-.0003190299
"intramax","fob",1951,"contig_large",.41590467,-.18712641,1.0189357,-.011931302
"intramax","fob",1952,"contig_large",-.28942713,-.86375576,.2849015,-.00262287
"intramax","fob",1953,"contig_large",-.60978079,-1.0778507,-.14171085,-.000085501408
"intramax","fob",1954,"contig_large",-.74111837,-1.2182487,-.26398796,.0009870074
"intramax","fob",1955,"contig_large",-.69632727,-1.1110797,-.28157485,.00023335578
"intramax","fob",1956,"contig_large",-.65307784,-1.07336,-.2327957,.0014356363
"intramax","fob",1957,"contig_large",.41345263,-.032036941,.85894221,.00070039608
"intramax","fob",1958,"contig_large",-.36248669,-.77066082,.045687448,-.0024147497
"intramax","fob",1959,"contig_large",-.20533329,-.66843694,.25777033,-.0021002421
"intramax","fob",1960,"contig_large",.81282032,.46916291,1.1564777,.0014626039
"intramax","fob",1961,"contig_large",.24688418,-.082191348,.57595974,-.0059024286
"intramax","fob",1962,"contig_large",.4668965,.12585352,.80793953,-.0041234978
"intramax","fob",1963,"contig_large",.54240179,.24394234,.84086126,.0011019455
"intramax","fob",1964,"contig_large",.32106072,-.012816506,.65493798,-.00033789634
"intramax","fob",1965,"contig_large",.65954423,.34891731,.97017109,-.0021996126
"intramax","fob",1966,"contig_large",.5717957,.242359,.90123242,-.0013855919
"intramax","fob",1967,"contig_large",.57874185,.26829869,.88918495,-.000048588678
"intramax","fob",1968,"contig_large",.61613649,.31166911,.92060387,.000012118322
"intramax","fob",1969,"contig_large",.72611761,.39512184,1.0571134,-.0005924899
"intramax","fob",1970,"contig_large",.20440365,-.035006192,.4438135,-.00096192083
"intramax","fob",1971,"contig_large",-.11726645,-.50702137,.27248845,-.00018590617
"intramax","fob",1972,"contig_large",.55902529,.21641417,.90163642,.0010565334
"intramax","fob",1973,"contig_large",.13794145,-.11857285,.39445576,-.00017582381
"intramax","fob",1974,"contig_large",.25459984,-.087937713,.59713739,-.00013335446
"intramax","fob",1975,"contig_large",.43498042,.12243751,.74752331,.00019221679
"intramax","fob",1976,"contig_large",.4367674,.076913007,.7966218,-.002739409
"intramax","fob",1977,"contig_large",.60201943,.31200656,.89203233,-.00058459031
"intramax","fob",1978,"contig_large",.51831883,.18947487,.84716284,-.00092035154
"intramax","fob",1979,"contig_large",.48602864,.12218443,.84987289,.00088458671
"intramax","fob",1980,"contig_large",-.10778224,-.48744553,.27188107,-.000067491121
"intramax","fob",1981,"contig_large",.05742912,-.37749761,.49235588,-.00087679789
"intramax","fob",1982,"contig_large",.052127734,-.42355102,.52780646,-.00001702746
"intramax","fob",1983,"contig_large",-.20126747,-.51515198,.11261707,.00011465968
"intramax","fob",1984,"contig_large",.06521903,-.32654428,.45698234,.000016312591
"intramax","fob",1985,"contig_large",.093270727,-.25891197,.44545344,-.00052242848
"intramax","fob",1986,"contig_large",-.085768834,-.37425616,.20271848,.000022376389
"intramax","fob",1987,"contig_large",-.59733552,-2.4003315,1.2056603,.00084727764
"intramax","fob",1988,"contig_large",.075506881,-.63745379,.78846759,.000015541435
"intramax","fob",1989,"contig_large",.091407441,-.45157164,.63438654,-.000011883168
"intramax","fob",1990,"contig_large",-.0079208734,-.839688,.82384628,-.0003941124
"intramax","fob",1991,"contig_large",-.024952156,-.31351462,.2636103,-.00013210117
"intramax","fob",1992,"contig_large",.28634036,.023700288,.54898041,.000057725418
"intramax","fob",1993,"contig_large",-.37935925,-.72872567,-.029992783,.00064900366
"intramax","fob",1994,"contig_large",-.20133457,-.53227359,.12960446,.00016559017
"intramax","fob",1995,"contig_large",.097941428,-.15697831,.35286117,.0000193981
"intramax","fob",1996,"contig_large",.15160698,-.1145163,.41773024,-.00027898513
"intramax","fob",1997,"contig_large",.08810959,-.16312023,.33933941,.00004462558
"intramax","fob",1998,"contig_large",.15035374,-.12947895,.43018642,.00011246754
"intramax","fob",1999,"contig_large",-.02229815,-.23710306,.19250676,-.000025177806
"intramax","fob",2000,"contig_large",.395374,-.35429299,1.145041,.00074960658
"intramax","fob",2001,"contig_large",.011121963,-.31022683,.33247077,-.000013483933
"intramax","fob",2002,"contig_large",-.24184431,-.61677337,.13308477,.00021941526
"intramax","fob",2003,"contig_large",-.06863416,-.43043587,.29316756,-.00006711069
"intramax","fob",2004,"contig_large",-.092334524,-.4617036,.27703455,-.000071326984
"intramax","fob",2005,"contig_large",-.37959316,-1.2672147,.50802827,.00074927177
"intramax","fob",2006,"contig_large",.16683465,-.17048426,.50415355,.00014060253
"intramax","fob",2007,"contig_large",.48161879,.026752666,.93648493,.0010889698
"intramax","fob",2008,"contig_large",.39493793,-.14181659,.93169242,.0007071924
"intramax","fob",2010,"contig_large",.17329356,-.10676028,.45334741,.00016328604
"intramax","fob",2011,"contig_large",.063335061,-.24802625,.37469637,-.000020592637
"intramax","fob",2012,"contig_large",-.0253924,-.36567053,.31488574,-.000097420067
"intramax","fob",2013,"contig_large",-.00362174,-.38287517,.37563169,-.00011421279
"intramax","fob",2014,"contig_large",-.065482095,-.45292053,.32195634,-7.3127144e-06
