NetworkType,CafFob,year,var,coef,ci_low,ci_high,r2p
"intramax","fob",1833,"ln_dist",-.42075226,-.49853569,-.34296879,.024936169
"intramax","fob",1834,"ln_dist",-.31652895,-.39510834,-.23794955,.014468828
"intramax","fob",1835,"ln_dist",-.40811878,-.49035016,-.32588741,.022759125
"intramax","fob",1836,"ln_dist",-.10156061,-.17334306,-.029778151,.0013936252
"intramax","fob",1837,"ln_dist",-.44472727,-.52422941,-.36522514,.026761441
"intramax","fob",1838,"ln_dist",-.16255212,-.23204969,-.093054548,.0034869914
"intramax","fob",1839,"ln_dist",-.32604137,-.39505571,-.257027,.015034671
"intramax","fob",1840,"ln_dist",-.37826613,-.44718754,-.30934471,.019246375
"intramax","fob",1841,"ln_dist",-.41727304,-.48874217,-.34580395,.025156735
"intramax","fob",1842,"ln_dist",-.47498363,-.54454565,-.40542161,.030976627
"intramax","fob",1843,"ln_dist",-.091122456,-.15696989,-.025275016,.0010526493
"intramax","fob",1844,"ln_dist",.08578334,.024018252,.14754842,.00099792553
"intramax","fob",1845,"ln_dist",-.36579639,-.43708327,-.29450953,.019125944
"intramax","fob",1846,"ln_dist",-.1994631,-.2644451,-.13448109,.005705005
"intramax","fob",1847,"ln_dist",-.17844246,-.23835537,-.11852955,.0049834289
"intramax","fob",1848,"ln_dist",-.019042693,-.077053025,.038967643,.000051103852
"intramax","fob",1849,"ln_dist",-.21088609,-.27905369,-.14271848,.0057549281
"intramax","fob",1850,"ln_dist",.0015058727,-.061210673,.064222418,2.8679509e-07
"intramax","fob",1851,"ln_dist",-.19795115,-.25948206,-.13642025,.0052967863
"intramax","fob",1852,"ln_dist",-.2440266,-.30574051,-.18231271,.0079559991
"intramax","fob",1853,"ln_dist",-.3053329,-.36308968,-.24757609,.012753964
"intramax","fob",1854,"ln_dist",-.18512332,-.24636331,-.12388334,.0046698032
"intramax","fob",1855,"ln_dist",-.025490401,-.087103888,.036123086,.000081006328
"intramax","fob",1856,"ln_dist",-.32032973,-.37545353,-.26520592,.014082023
"intramax","fob",1857,"ln_dist",-.24987702,-.30585444,-.19389959,.0075701522
"intramax","fob",1858,"ln_dist",-.11623836,-.1735108,-.058965899,.0016918307
"intramax","fob",1859,"ln_dist",-.20055483,-.2584061,-.14270355,.0049783872
"intramax","fob",1860,"ln_dist",.00021507486,-.060823638,.06125379,5.1764903e-09
"intramax","fob",1861,"ln_dist",-.18911469,-.24820648,-.13002291,.0043259487
"intramax","fob",1862,"ln_dist",-.098892532,-.1565946,-.04119046,.001161474
"intramax","fob",1863,"ln_dist",-.10906179,-.16957058,-.048552983,.0012679738
"intramax","fob",1864,"ln_dist",-.35641494,-.43533787,-.27749205,.014652837
"intramax","fob",1865,"ln_dist",-.18828277,-.25132766,-.12523788,.0039918977
"intramax","fob",1866,"ln_dist",-.095869631,-.1544068,-.037332453,.0010568725
"intramax","fob",1867,"ln_dist",-.2097633,-.27283239,-.14669421,.0054397653
"intramax","fob",1868,"ln_dist",-.52089459,-.59421754,-.44757164,.030881725
"intramax","fob",1869,"ln_dist",-.28782147,-.36125162,-.21439132,.0089549366
"intramax","fob",1870,"ln_dist",.061578933,-.0029808802,.12613875,.0003992893
"intramax","fob",1871,"ln_dist",-.03061823,-.095761202,.034524739,.000098982855
"intramax","fob",1872,"ln_dist",-.16725272,-.23693159,-.097573832,.0028866217
"intramax","fob",1873,"ln_dist",-.09897352,-.16675934,-.031187698,.0010471327
"intramax","fob",1874,"ln_dist",.027695922,-.045196034,.10058788,.000074283249
"intramax","fob",1875,"ln_dist",-.17888734,-.25049004,-.10728465,.0032330255
"intramax","fob",1876,"ln_dist",.060900714,-.0089725209,.13077395,.00035844743
"intramax","fob",1877,"ln_dist",-.013824148,-.084405392,.0567571,.000018304056
"intramax","fob",1878,"ln_dist",-.07064195,-.13861144,-.0026724557,.00049407553
"intramax","fob",1879,"ln_dist",-.13036643,-.19165276,-.069080099,.0017504577
"intramax","fob",1880,"ln_dist",.005660749,-.057923198,.069244698,3.1456113e-06
"intramax","fob",1881,"ln_dist",-.020460479,-.086401239,.045480285,.000040879928
"intramax","fob",1882,"ln_dist",-.15802427,-.22187142,-.094177119,.0025465523
"intramax","fob",1883,"ln_dist",.02698762,-.032337531,.086312771,.000070845839
"intramax","fob",1884,"ln_dist",-.0096651651,-.069930531,.050600205,9.2750442e-06
"intramax","fob",1885,"ln_dist",.11161827,.055972267,.16726427,.0012014564
"intramax","fob",1886,"ln_dist",.052309241,-.0034708921,.10808937,.00026627287
"intramax","fob",1887,"ln_dist",.03855649,-.019762868,.096875846,.00014201039
"intramax","fob",1888,"ln_dist",-.020804206,-.08161816,.040009748,.000040702271
