intra_Louvain_share,intra_IntraMax_share,intra_An_share,CafFob,year
.60141981,.39912429,.19383022,fob,2025
.57600558,.82036942,.18712395,fob,2024
.57637221,.82199717,.18661873,fob,2023
.58781159,.81321251,.19032463,fob,2022
.59223902,.81236285,.18495895,fob,2021
.64136195,.81243002,.1874157,fob,2020
.61127263,.80012834,.19718945,fob,2019
.594899,.8033821,.2000616,fob,2018
.58825314,.80504572,.20108786,fob,2017
.63399208,.81018484,.20592619,fob,2016
.58937472,.80557585,.20181651,fob,2015
.6080752,.77816558,.20860335,fob,2014
.50001997,.77913135,.20990561,fob,2013
.59389871,.79453242,.20613497,fob,2012
.48621413,.79279155,.22546366,fob,2011
.56543332,.27208781,.22601134,fob,2010
.58585656,1,.21563092,fob,2009
.57881391,.73691654,.23029244,fob,2008
.58306289,.59716862,.22962077,fob,2007
.58953148,.24628717,.23925497,fob,2006
.61492246,.72999102,.24543157,fob,2005
.55033273,.3821117,.24645859,fob,2004
.59080952,.42423579,.24921133,fob,2003
.60088021,.35830873,.26303366,fob,2002
.58628583,.39002657,.27264228,fob,2001
.52145708,.73736,.30265415,fob,2000
.52304459,.34778732,.2852343,fob,1999
.53775984,.20098178,.28583226,fob,1998
.54248154,.27587739,.30975312,fob,1997
.57178068,.33020166,.32908472,fob,1996
.46767166,.27841705,.33689329,fob,1995
.4692454,.43378818,.34336653,fob,1994
.50687432,.4681302,.36432207,fob,1993
.39652491,.22489867,.36831591,fob,1992
.48805925,.13015725,.41522321,fob,1991
.4077667,.60838449,.4136751,fob,1990
.48300171,.52002889,.416466,fob,1989
.41117102,.75785214,.42943832,fob,1988
.45008984,.99715865,.41749263,fob,1987
.57679898,.16110921,.43156055,fob,1986
.54063112,.17511696,.40129021,fob,1985
.51217514,.17061061,.42166504,fob,1984
.45133838,.19837712,.41530478,fob,1983
.48484081,.29193372,.40484226,fob,1982
.45267269,.23678744,.41100234,fob,1981
.48073736,.18276601,.39124835,fob,1980
.42004165,.58628988,.40137824,fob,1979
.43285528,.55337578,.43274072,fob,1978
.35735148,.61231774,.42910281,fob,1977
.49155685,.71534401,.42920703,fob,1976
.46690145,.65147597,.4088411,fob,1975
.4977816,.64240843,.401382,fob,1974
.46581075,.40446538,.4061881,fob,1973
.47789386,.72710699,.40958089,fob,1972
.47875661,.19029102,.40680185,fob,1971
.44343963,.45913851,.39634374,fob,1970
.53281486,.6769672,.41396675,fob,1969
.50613022,.70219254,.38899052,fob,1968
.43047938,.69943923,.37618676,fob,1967
.48053172,.69330132,.38563681,fob,1966
.52838284,.59015453,.39424363,fob,1965
.50455725,.78216654,.28908747,fob,1964
.46940055,.61734283,.38515252,fob,1963
.40266198,.24897231,.34395742,fob,1962
.46375403,.57130158,.33795288,fob,1961
.52336985,.56297284,.26945534,fob,1960
.56114686,.23968291,.31172326,fob,1959
.51520103,.22076902,.32964334,fob,1958
.61097044,.62236714,.32448712,fob,1957
.38176945,.19145641,.28207657,fob,1956
.41042989,.14970781,.28357881,fob,1955
.53344381,.30184165,.25619581,fob,1954
.56598938,.49903685,.28877014,fob,1953
.42940214,.79752702,.2615048,fob,1952
.35960305,.15273517,.28933412,fob,1951
.48978144,.25577006,.39082479,fob,1950
.46179765,.31749696,.24748711,fob,1949
.38798729,.44632268,.25821742,fob,1948
.41693535,.3950192,.4538821,fob,1938
.33954903,.49598789,.45006272,fob,1937
.42068118,.51605397,.46665365,fob,1936
.38469487,.3335081,.44302592,fob,1935
.36866128,.43106902,.51482767,fob,1934
.34329462,.6634016,.47790989,fob,1933
.42539611,.51676106,.52550572,fob,1932
.4499236,.63814676,.59392279,fob,1931
.44368371,.47235325,.55166757,fob,1930
.33981213,.4653179,.54875165,fob,1929
.23970151,.44521061,.50635642,fob,1928
.34102938,.34045878,.34615919,fob,1927
.36435547,.33587819,.35348311,fob,1926
.30991337,.35994804,.35971642,fob,1925
.32050467,.32121128,.34148896,fob,1924
.29737264,.35959339,.35152194,fob,1923
.34141499,.56565404,.37307179,fob,1922
.24088433,.27833089,.30850738,fob,1921
.25483885,.40328661,.27385637,fob,1920
.29897934,.29496574,.32642728,fob,1919
.2407511,.34055296,.32889873,fob,1918
.15490465,.31035641,.30501121,fob,1917
.19915192,.2157779,.24119405,fob,1916
.18172438,.24476328,.24031489,fob,1915
.22644781,.25891227,.26645592,fob,1914
.21553499,.29917014,.21408907,fob,1913
.20330241,.60032725,.30392948,fob,1912
.19867885,.36376435,.28429341,fob,1911
.16407192,.29109073,.25390851,fob,1910
.31453922,.42319539,.25264174,fob,1909
.17627943,.41773859,.22157873,fob,1908
.23743813,.53806329,.23664682,fob,1907
.20593283,.12249354,.27495748,fob,1906
.19103779,.26689988,.28004959,fob,1905
.13356614,.27680355,.26890734,fob,1904
.2007129,.2025024,.26194999,fob,1903
.13940045,.35183704,.32533634,fob,1902
.16332474,.40861145,.26323751,fob,1901
.20171568,.28731757,.36612356,fob,1900
.21802177,.32273117,.31439519,fob,1899
