"year","moyenne","n_blocs"
1833,0.189783301738,8
1834,0.366139064999928,7
1835,0.210694920368558,8
1836,0.292712607159935,9
1837,0.383980324812822,7
1838,0.502549652954298,9
1839,0.242328152294541,9
1840,0.61367616177738,6
1841,0.330739221377079,8
1842,0.632588128041663,7
1843,0.658433150322466,8
1844,0.590264860476226,8
1845,0.339250182163088,11
1846,0.657881751065229,9
1847,0.583132175671264,9
1848,0.443416759249357,8
1849,0.236084986312043,11
1850,0.176678441029736,9
1851,0.456777038928866,9
1852,0.211666712485522,8
1853,0.152078346933289,9
1854,0.56875601729907,7
1855,0.550656899733049,9
1856,0.233362337189338,11
1857,0.357035467458447,6
1858,0.298700780414245,9
1859,0.0739466372091029,9
1860,0.250310667149314,8
1861,0.370390775922065,10
1862,0.340645613767348,9
1863,0.242662759866481,9
1864,0.0876672689193118,8
1865,0.470944471477964,7
1866,0.162828520656138,8
1867,0.400069820582161,10
1868,0.333987163519631,9
1869,0.23023878440117,10
1870,0.450347545691082,10
1871,0.177810583603729,9
1872,0.502571274536561,10
1873,0.164179002887718,11
1874,0.411732414318683,8
1875,0.245798080395015,9
1876,0.218205952156464,10
1877,0.327732568554007,11
1878,0.267584978822359,9
1879,0.338692581398464,8
1880,0.21142836390428,8
1881,0.384640003582565,6
1882,0.15201522573427,8
1883,0.155294577692561,11
1884,0.255239430797652,9
1885,0.493761489600326,8
1886,0.450743868978549,9
1887,0.25470058040738,9
1888,0.216769511302325,7
1889,0.264147611390902,9
1890,0.485790513083828,7
1891,0.322529228833933,9
1892,0.410499733810009,10
1893,0.421862170143907,8
1894,0.447478319358017,10
1895,0.335672266502486,10
1896,0.378451021973802,11
1897,0.270204842701226,13
1898,0.219286396337552,12
1899,0.324435926565021,11
1900,0.361514003413996,10
1901,0.28694810333988,10
1902,0.157789478641241,10
1903,0.334082836741045,10
1904,0.146556440168336,10
1905,0.280165067001541,10
1906,0.347440208854294,9
1907,0.340125024621069,7
1908,0.203325890121901,9
1909,0.487398025090845,10
1910,0.184288966831493,9
1911,0.257665349423214,10
1912,0.216651666431562,8
1913,0.285364324621861,10
1914,0.224931970156139,8
1915,0.265845067296551,9
1916,0.268587304391294,8
1917,0.0726301065556772,9
1918,0.265476167109592,8
1919,0.236770700606039,9
1920,0.347562865211024,10
1921,0.343014512547118,10
1922,0.4700649925642,9
1923,0.446577682289012,10
1924,0.500386044160769,9
1925,0.52115044250636,9
1926,0.53307619728838,9
1927,0.539812603054334,8
1928,0.382001285761215,12
1929,0.583777264868329,9
1930,0.625555031867882,8
1931,0.68923045005547,7
1932,0.690290953244366,8
1933,0.476760385541278,8
1934,0.662087686154573,10
1935,0.631738397542492,10
1936,0.689849970545433,10
1937,0.558245746188161,9
1938,0.685396226063905,8
1948,0.534920766050121,7
1949,0.670523531022901,5
1950,0.715346694670235,6
1951,0.504306339435327,7
1952,0.718966295423267,8
1953,0.814510184688122,6
1954,0.773967415657542,7
1955,0.590719150965416,6
1956,0.45813721228035,7
1957,0.683596735320988,3
1958,0.58935692830004,6
1959,0.656525727510632,5
1960,0.679249300692443,7
1961,0.35595895687232,5
1962,0.596694507410457,7
1963,0.670765205498026,7
1964,0.667023352810993,6
1965,0.711253244718402,5
1966,0.701462829628585,6
1967,0.672425981803316,9
1968,0.692797931833105,6
1969,0.67388913497934,5
1970,0.721447896601654,8
1971,0.715975717492995,7
1972,0.706999366013037,6
1973,0.662329911804684,6
1974,0.728244364550854,6
1975,0.683297696416216,7
1976,0.66887555814267,5
1977,0.531263491183547,7
1978,0.586308390315611,5
1979,0.564271561045841,6
1980,0.648546595438795,5
1981,0.566135743107786,5
1982,0.715127428998756,6
1983,0.65957394884432,7
1984,0.706847839682298,5
1985,0.747602225154987,6
1986,0.742865377810204,5
1987,0.589922741773269,5
1988,0.599760489484935,6
1989,0.652576134381253,6
1990,0.550660413650857,6
1991,0.677666329124625,6
1992,0.585440289744259,6
1993,0.727786643447915,6
1994,0.705430343012756,7
1995,0.670752249212108,5
1996,0.761060175201372,5
1997,0.800854020527,7
1998,0.766371007415588,5
1999,0.761620846219902,6
2000,0.798097642464276,7
2001,0.820168208848602,5
2002,0.832206819984517,5
2003,0.822492146047228,6
2004,0.79017113510377,5
2005,0.845737967093412,5
2006,0.823039250302944,5
2007,0.813568987912164,5
2008,0.812531759968311,5
2009,0.817254201864004,5
2010,0.80220546639976,5
2011,0.630768919127246,6
2012,0.833989556152824,5
2013,0.645566802627193,5
2014,0.836584293466445,6
2015,0.833206106920349,5
2016,0.859604064192945,5
2017,0.83116193378378,5
2018,0.818415566234018,6
2019,0.836489682858166,5
2020,0.872926500504884,5
2021,0.835630684550423,5
2022,0.833616653565318,5
2023,0.815333830685889,5
2024,0.818639823696245,5
2025,0.838497629712743,5
