NetworkType,CafFob,year,var,coef,ci_low,ci_high,r2p
"intramax","fob",1833,"ln_dist",-.24975024,-.32568759,-.1738129,.0089247227
"intramax","fob",1834,"ln_dist",-.40596771,-.48283643,-.329099,.024540102
"intramax","fob",1835,"ln_dist",-.46016085,-.54263729,-.37768441,.029706288
"intramax","fob",1836,"ln_dist",-.11897012,-.18977183,-.048168402,.0019482516
"intramax","fob",1837,"ln_dist",-.47874919,-.55838305,-.39911529,.031603426
"intramax","fob",1838,"ln_dist",-.29416612,-.36312616,-.22520606,.011706819
"intramax","fob",1839,"ln_dist",-.30363679,-.37332207,-.23395152,.013256161
"intramax","fob",1840,"ln_dist",-.41114098,-.48074976,-.34153223,.02289406
"intramax","fob",1841,"ln_dist",-.38653043,-.4571791,-.31588179,.021822251
"intramax","fob",1842,"ln_dist",-.50694323,-.57649714,-.43738928,.036032662
"intramax","fob",1843,"ln_dist",-.11261304,-.17922048,-.046005595,.0016601335
"intramax","fob",1844,"ln_dist",-.1235727,-.18434413,-.062801279,.0021646617
"intramax","fob",1845,"ln_dist",-.36642805,-.4465518,-.2863043,.019658359
"intramax","fob",1846,"ln_dist",.053022932,-.014346053,.12039192,.00038009253
"intramax","fob",1847,"ln_dist",-.10808536,-.17240004,-.043770671,.0018254196
"intramax","fob",1848,"ln_dist",.042404793,-.015156884,.099966466,.00026211797
"intramax","fob",1849,"ln_dist",-.055037647,-.12839958,.018324288,.00037932239
"intramax","fob",1850,"ln_dist",-.055061229,-.11655357,.0064311191,.00041559548
"intramax","fob",1851,"ln_dist",-.28780526,-.34957653,-.22603397,.011651597
"intramax","fob",1852,"ln_dist",-.18633218,-.25238276,-.12028161,.0045963712
"intramax","fob",1853,"ln_dist",-.29339355,-.35232794,-.23445913,.011854243
"intramax","fob",1854,"ln_dist",-.31073588,-.37300664,-.24846514,.013744454
"intramax","fob",1855,"ln_dist",.11509944,.052978639,.17722024,.0017070634
"intramax","fob",1856,"ln_dist",-.088678084,-.14490005,-.032456122,.0010882779
"intramax","fob",1857,"ln_dist",-.16868624,-.2238891,-.11348339,.0035365787
"intramax","fob",1858,"ln_dist",-.0053201104,-.063411258,.052771039,3.5472895e-06
"intramax","fob",1859,"ln_dist",.012056479,-.046113092,.070226051,.000018078465
"intramax","fob",1860,"ln_dist",.07926596,.014258204,.14427371,.00073236768
"intramax","fob",1861,"ln_dist",-.0051712058,-.066360362,.056017946,3.2171017e-06
"intramax","fob",1862,"ln_dist",-.013781547,-.074338913,.046775818,.000022411336
"intramax","fob",1863,"ln_dist",-.057831276,-.11957534,.0039127935,.0003703011
"intramax","fob",1864,"ln_dist",-.54362959,-.61864519,-.46861398,.03789369
"intramax","fob",1865,"ln_dist",-.64065635,-.70907462,-.57223809,.050054956
"intramax","fob",1866,"ln_dist",-.30142319,-.36178273,-.24106367,.011350389
"intramax","fob",1867,"ln_dist",-.63574994,-.70094496,-.57055491,.058717869
"intramax","fob",1868,"ln_dist",-.69556558,-.77892566,-.61220545,.057711057
"intramax","fob",1869,"ln_dist",-.48421875,-.56332624,-.40511128,.026583308
"intramax","fob",1870,"ln_dist",-.067165315,-.13608871,.0017580797,.00049854966
"intramax","fob",1871,"ln_dist",-.13741723,-.20492309,-.069911368,.002079023
"intramax","fob",1872,"ln_dist",-.25347903,-.32533428,-.18162382,.0068609058
"intramax","fob",1873,"ln_dist",-.05925126,-.12972412,.011221593,.00037707435
"intramax","fob",1874,"ln_dist",-.31300542,-.38583457,-.24017629,.01023937
"intramax","fob",1875,"ln_dist",-.31794363,-.3883577,-.24752952,.010747123
"intramax","fob",1876,"ln_dist",-.042261012,-.11595459,.031432569,.00017818899
"intramax","fob",1877,"ln_dist",-.3008101,-.3691974,-.23242281,.0094721308
"intramax","fob",1878,"ln_dist",-.45649713,-.52739924,-.38559499,.022477457
"intramax","fob",1879,"ln_dist",-.16943876,-.23431508,-.10456244,.0030438141
"intramax","fob",1880,"ln_dist",-.044741463,-.11531791,.025834983,.00019825166
"intramax","fob",1881,"ln_dist",-.51476258,-.58417863,-.4453465,.028538929
"intramax","fob",1882,"ln_dist",-.53674573,-.60354954,-.46994194,.031405151
"intramax","fob",1883,"ln_dist",-.43472829,-.49623716,-.37321943,.020191913
"intramax","fob",1884,"ln_dist",-.26993302,-.33185861,-.20800744,.0075573879
"intramax","fob",1885,"ln_dist",-.4308036,-.48768711,-.37392011,.019812755
"intramax","fob",1886,"ln_dist",-.5683831,-.62814122,-.50862497,.035090923
"intramax","fob",1887,"ln_dist",-.4281128,-.48920956,-.36701605,.019398583
"intramax","fob",1888,"ln_dist",-.51118708,-.57400942,-.44836476,.027506946
"intramax","fob",1889,"ln_dist",-.24299201,-.29844409,-.18753992,.0061364151
"intramax","fob",1890,"ln_dist",-.42533782,-.48190421,-.36877143,.018858369
"intramax","fob",1891,"ln_dist",.079883829,.029792096,.12997556,.00064656464
"intramax","fob",1892,"ln_dist",-.2630623,-.31515715,-.21096747,.0069916896
"intramax","fob",1893,"ln_dist",-.49201116,-.54872346,-.43529886,.024938373
"intramax","fob",1894,"ln_dist",-.33080247,-.38167164,-.27993333,.011227299
"intramax","fob",1895,"ln_dist",-.32866287,-.38031796,-.27700779,.010977546
"intramax","fob",1896,"ln_dist",-.39427987,-.44960886,-.33895087,.015922444
"intramax","fob",1897,"ln_dist",-.45166275,-.50704169,-.39628381,.020767858
"intramax","fob",1898,"ln_dist",-.47243255,-.53144395,-.41342112,.022274278
"intramax","fob",1899,"ln_dist",-.39661399,-.45009708,-.34313092,.015915159
"intramax","fob",1900,"ln_dist",-.44093573,-.50016367,-.38170785,.019456269
"intramax","fob",1901,"ln_dist",-.56248665,-.61804819,-.50692511,.032138769
"intramax","fob",1902,"ln_dist",-.48088452,-.53707248,-.42469653,.023558833
"intramax","fob",1903,"ln_dist",-.44465113,-.49784362,-.39145866,.019800121
"intramax","fob",1904,"ln_dist",-.39681605,-.44843236,-.34519973,.015548526
"intramax","fob",1905,"ln_dist",-.53587133,-.58854538,-.48319733,.028664157
"intramax","fob",1906,"ln_dist",-.48849314,-.54131848,-.43566778,.023707233
"intramax","fob",1907,"ln_dist",-.727027,-.778561,-.67549306,.052110981
"intramax","fob",1908,"ln_dist",-.64780635,-.69732654,-.59828621,.040872097
"intramax","fob",1909,"ln_dist",.0055272011,-.036640584,.047694989,2.9554931e-06
"intramax","fob",1910,"ln_dist",-.85066807,-.90268433,-.79865187,.069829874
"intramax","fob",1911,"ln_dist",.020498244,-.02327341,.0642699,.00004068519
"intramax","fob",1912,"ln_dist",-.78660727,-.83790493,-.73530954,.057436965
"intramax","fob",1913,"ln_dist",-.15565325,-.20186731,-.10943919,.0023212645
"intramax","fob",1914,"ln_dist",-.73768365,-.78889298,-.68647426,.052223895
"intramax","fob",1915,"ln_dist",-.58848011,-.63787037,-.53908986,.033945419
"intramax","fob",1916,"ln_dist",-.43766281,-.48511934,-.39020628,.019031933
"intramax","fob",1917,"ln_dist",-.64931512,-.69655341,-.60207677,.040392935
"intramax","fob",1918,"ln_dist",-.71400362,-.76368743,-.66431975,.049464162
"intramax","fob",1919,"ln_dist",-.53943598,-.58718026,-.49169165,.029800434
"intramax","fob",1920,"ln_dist",-.55456442,-.59925115,-.50987768,.031927004
"intramax","fob",1921,"ln_dist",-.62235546,-.67438555,-.57032537,.039800808
"intramax","fob",1922,"ln_dist",-.7995379,-.84642792,-.75264782,.063705601
"intramax","fob",1923,"ln_dist",-.99299073,-1.0442808,-.94170064,.09453316
"intramax","fob",1924,"ln_dist",-.56741738,-.61705941,-.51777542,.03351086
"intramax","fob",1925,"ln_dist",-.83198655,-.88016611,-.78380692,.069996536
"intramax","fob",1926,"ln_dist",-.5396769,-.591757,-.48759678,.02956235
"intramax","fob",1927,"ln_dist",-.56993783,-.6184864,-.52138925,.033211831
"intramax","fob",1928,"ln_dist",-.51659912,-.56211287,-.47108543,.027243348
"intramax","fob",1929,"ln_dist",-.6218031,-.6691345,-.57447165,.039864834
"intramax","fob",1930,"ln_dist",-.28226182,-.33007827,-.23444533,.0078709917
"intramax","fob",1931,"ln_dist",.12890287,.087046832,.17075889,.0016292098
"intramax","fob",1932,"ln_dist",-.20672408,-.25602022,-.15742794,.0041191569
"intramax","fob",1933,"ln_dist",.20856726,.16954324,.24759127,.004354212
"intramax","fob",1934,"ln_dist",-.3115724,-.36408111,-.25906372,.0092355795
"intramax","fob",1935,"ln_dist",-.60607338,-.65388966,-.5582571,.037438035
"intramax","fob",1936,"ln_dist",-.34978804,-.39885738,-.30071872,.011991402
"intramax","fob",1937,"ln_dist",-.45711827,-.50607508,-.40816146,.020727025
"intramax","fob",1938,"ln_dist",-.27160114,-.31339225,-.22981007,.0072460566
"intramax","fob",1948,"ln_dist",-.50182062,-.60650849,-.39713275,.027727004
"intramax","fob",1949,"ln_dist",-.6594305,-.76477772,-.55408335,.047797821
"intramax","fob",1950,"ln_dist",-.96501595,-1.0670193,-.86301255,.10215816
"intramax","fob",1951,"ln_dist",-.3439346,-.44499838,-.24287079,.01104419
"intramax","fob",1952,"ln_dist",.20913187,.13091016,.28735358,.0048652864
"intramax","fob",1953,"ln_dist",-.38662434,-.47576138,-.29748732,.016903264
"intramax","fob",1954,"ln_dist",-.37527302,-.46751085,-.28303516,.015640501
