NetworkType,CafFob,year,var,coef,ci_low,ci_high,r2p
"intramax","fob",1833,"atop_herit",.46952546,-1.9298298,2.8688807,-2.7755576e-17
"intramax","fob",1834,"atop_herit",-1.131584,-3.191618,.92844999,0
"intramax","fob",1835,"atop_herit",-1.7848208,-4.1603093,.59066749,0
"intramax","fob",1836,"atop_herit",.48434129,-2.2044373,3.1731198,4.1633363e-17
"intramax","fob",1837,"atop_herit",-.63885754,-2.9599476,1.6822325,2.4286129e-17
"intramax","fob",1838,"atop_herit",-1.6503818,-4.3992262,1.0984623,5.5511151e-17
"intramax","fob",1839,"atop_herit",-1.3019127,-4.3242197,1.7203943,0
"intramax","fob",1840,"atop_herit",-1.0174859,-3.3045774,1.2696056,-3.4694470e-17
"intramax","fob",1841,"atop_herit",-.18934298,-2.5616837,2.1829977,-5.5511151e-17
"intramax","fob",1842,"atop_herit",.22717571,-1.1889884,1.6433399,-1.3877788e-17
"intramax","fob",1843,"atop_herit",1.0446136,-.44423866,2.5334659,-4.1633363e-17
"intramax","fob",1844,"atop_herit",-2.2180765,-4.4949541,.058801133,0
"intramax","fob",1845,"atop_herit",-.45790452,-2.1837766,1.2679677,1.3877788e-17
"intramax","fob",1846,"atop_herit",.69464499,-.65165418,2.0409441,-3.4694470e-17
"intramax","fob",1847,"atop_herit",.97075409,-.43913698,2.380645,-2.7755576e-17
"intramax","fob",1848,"atop_herit",-.53135568,-1.9112276,.84851623,0
"intramax","fob",1849,"atop_herit",-1.7602379,-3.7180841,.19760816,2.7755576e-17
"intramax","fob",1850,"atop_herit",1.3980486,.28173172,2.5143654,2.7755576e-17
"intramax","fob",1851,"atop_herit",-.46679121,-3.1481953,2.214613,-2.7755576e-17
"intramax","fob",1852,"atop_herit",0,0,0,3.9898640e-17
"intramax","fob",1853,"atop_herit",-.62088382,-2.3795283,1.1377608,1.0408341e-17
"intramax","fob",1854,"atop_herit",-.24360947,-1.8539346,1.3667157,-4.1633363e-17
"intramax","fob",1855,"atop_herit",-1.1543278,-3.5119541,1.2032984,1.3877788e-17
"intramax","fob",1856,"atop_herit",.4157103,-1.0776119,1.9090326,4.2500725e-17
"intramax","fob",1857,"atop_herit",-1.9948269,-4.2070689,.21741527,2.7755576e-17
"intramax","fob",1858,"atop_herit",-.93232185,-2.7104738,.84583008,-2.0816682e-17
"intramax","fob",1859,"atop_herit",-.66448498,-2.1201549,.7911849,1.3877788e-17
"intramax","fob",1860,"atop_herit",0,0,0,1.3877788e-17
"intramax","fob",1861,"atop_herit",-1.2794548,-3.6318219,1.0729122,-4.1633363e-17
"intramax","fob",1862,"atop_herit",-1.6565374,-3.7166338,.403559,4.1633363e-17
"intramax","fob",1863,"atop_herit",-2.0660777,-4.6236572,.49150196,0
"intramax","fob",1864,"atop_herit",.90858167,-1.111145,2.9283082,-4.1633363e-17
"intramax","fob",1865,"atop_herit",-1.9178234,-4.7363758,.90072894,0
"intramax","fob",1866,"atop_herit",-1.3622588,-3.4129868,.68846911,-6.9388939e-18
"intramax","fob",1867,"atop_herit",-1.2741538,-3.5742223,1.0259147,3.1225023e-17
"intramax","fob",1868,"atop_herit",-1.1604911,-3.6474891,1.326507,4.5102810e-17
"intramax","fob",1869,"atop_herit",-1.231878,-3.7235985,1.2598425,-3.1225023e-17
"intramax","fob",1870,"atop_herit",.073345512,-2.2261229,2.3728139,8.6736174e-18
"intramax","fob",1871,"atop_herit",.80871499,-1.8841091,3.501539,2.0816682e-17
"intramax","fob",1872,"atop_herit",-1.2125238,-3.9693375,1.5442898,3.4694470e-17
"intramax","fob",1873,"atop_herit",.49466628,-2.107465,3.0967975,1.7347235e-17
"intramax","fob",1874,"atop_herit",0,0,0,4.1633363e-17
"intramax","fob",1875,"atop_herit",.73357928,-1.8495283,3.3166869,-1.7347235e-17
"intramax","fob",1876,"atop_herit",-1.031863,-3.6267226,1.5629966,2.0816682e-17
"intramax","fob",1877,"atop_herit",0,0,0,3.1225023e-17
"intramax","fob",1878,"atop_herit",-.62965494,-3.2531333,1.9938234,-1.2143064e-17
"intramax","fob",1879,"atop_herit",.50717384,-2.1141293,3.1284771,-1.7347235e-17
"intramax","fob",1880,"atop_herit",.93503565,-1.7244222,3.5944934,3.8163916e-17
"intramax","fob",1881,"atop_herit",0,0,0,2.9490299e-17
"intramax","fob",1882,"atop_herit",-1.5063236,-3.6731274,.6604802,2.7755576e-17
"intramax","fob",1883,"atop_herit",.26615331,-2.4016831,2.9339895,-1.7347235e-17
"intramax","fob",1884,"atop_herit",-16.945627,-18.351276,-15.539976,-4.1633363e-17
"intramax","fob",1885,"atop_herit",-.82014328,-2.8775942,1.2373077,6.9388939e-18
"intramax","fob",1886,"atop_herit",-.13587184,-2.3144846,2.0427408,-2.4828230e-17
"intramax","fob",1887,"atop_herit",.26040116,-2.3523996,2.8732018,4.2283885e-18
"intramax","fob",1888,"atop_herit",0,0,0,-1.3877788e-17
"intramax","fob",1889,"atop_herit",-1.6111153,-3.3085263,.086295478,-6.9388939e-18
"intramax","fob",1890,"atop_herit",-.92006421,-3.9730146,2.1328862,3.4694470e-18
"intramax","fob",1891,"atop_herit",-.48711804,-3.4780598,2.5038238,-5.0306981e-17
"intramax","fob",1892,"atop_herit",0,0,0,-1.3877788e-17
"intramax","fob",1893,"atop_herit",-1.7207537,-4.166399,.72489154,4.1633363e-17
"intramax","fob",1894,"atop_herit",-.98439336,-2.9716947,1.0029079,3.8163916e-17
"intramax","fob",1895,"atop_herit",-.32469386,-2.1861861,1.5367984,-1.7347235e-17
"intramax","fob",1896,"atop_herit",.67925572,-.73769951,2.096211,-3.4694470e-18
"intramax","fob",1897,"atop_herit",.83013642,-.63098764,2.2912605,-2.0816682e-17
"intramax","fob",1898,"atop_herit",-.10481051,-1.5795251,1.369904,3.4694470e-17
"intramax","fob",1899,"atop_herit",-.38310066,-2.2033012,1.4370998,-3.3827108e-17
"intramax","fob",1900,"atop_herit",.62883955,-1.215999,2.4736781,-1.3010426e-17
"intramax","fob",1901,"atop_herit",0,0,0,-3.4694470e-17
"intramax","fob",1902,"atop_herit",-1.4929125,-3.8189363,.83311141,1.0408341e-17
"intramax","fob",1903,"atop_herit",-.81430399,-2.6383808,1.0097727,2.9490299e-17
"intramax","fob",1904,"atop_herit",0,0,0,-4.0115480e-18
"intramax","fob",1905,"atop_herit",-2.088835,-4.5213008,.34363082,1.3877788e-17
"intramax","fob",1906,"atop_herit",-.72314841,-2.3774474,.93115056,-4.8572257e-17
"intramax","fob",1907,"atop_herit",-1.1764936,-2.8933184,.54033095,-4.1633363e-17
"intramax","fob",1908,"atop_herit",.12874031,-1.5874541,1.8449347,2.4286129e-17
"intramax","fob",1909,"atop_herit",-.85163844,-2.6266813,.92340451,-3.4694470e-17
"intramax","fob",1910,"atop_herit",-.64622873,-2.5213432,1.2288858,3.4694470e-18
"intramax","fob",1911,"atop_herit",.36561325,-1.6219183,2.3531449,-6.9388939e-18
"intramax","fob",1912,"atop_herit",-1.3981391,-3.1822536,.38597539,-4.1633363e-17
"intramax","fob",1913,"atop_herit",-.14358985,-1.8018826,1.5147029,2.9490299e-17
"intramax","fob",1914,"atop_herit",-.45866325,-2.3263612,1.4090346,2.4286129e-17
"intramax","fob",1915,"atop_herit",.39502019,-1.0312247,1.8212651,4.1633363e-17
"intramax","fob",1916,"atop_herit",-.83423465,-2.6069887,.93851924,-1.3877788e-17
"intramax","fob",1917,"atop_herit",.36050665,-1.1968839,1.9178972,-4.1633363e-17
"intramax","fob",1918,"atop_herit",-1.019668,-3.0826254,1.0432894,2.7755576e-17
"intramax","fob",1919,"atop_herit",-.48927405,-2.0595572,1.081009,4.2067044e-17
"intramax","fob",1920,"atop_herit",-1.1720198,-2.7023392,.35829958,4.5102810e-17
"intramax","fob",1921,"atop_herit",-.81012124,-2.559521,.93927854,4.9439619e-17
"intramax","fob",1922,"atop_herit",-.54922682,-1.9198971,.8214435,-4.6837534e-17
"intramax","fob",1923,"atop_herit",-1.2132347,-3.0031004,.57663107,-2.0816682e-17
"intramax","fob",1924,"atop_herit",-.26638281,-1.6393416,1.106576,-3.3285007e-17
"intramax","fob",1925,"atop_herit",-.64703482,-2.0945408,.80047131,-6.9388939e-18
"intramax","fob",1926,"atop_herit",-.12147239,-1.4288713,1.1859264,-1.1275703e-17
"intramax","fob",1927,"atop_herit",-1.3135022,-2.8212979,.19429348,2.0816682e-17
"intramax","fob",1928,"atop_herit",-1.4430598,-3.1464536,.26033396,-4.8572257e-17
"intramax","fob",1929,"atop_herit",0,0,0,7.8062556e-18
"intramax","fob",1930,"atop_herit",-.68347353,-2.1252828,.75833559,7.8062556e-18
"intramax","fob",1931,"atop_herit",.27612415,-1.0566834,1.6089317,-3.4694470e-17
"intramax","fob",1932,"atop_herit",-.50326109,-1.9640342,.95751202,4.5970172e-17
"intramax","fob",1933,"atop_herit",.33155406,-1.1750422,1.8381503,2.4719810e-17
"intramax","fob",1934,"atop_herit",-.13745134,-1.5396791,1.2647765,8.6736174e-19
"intramax","fob",1935,"atop_herit",-.57986939,-2.1606796,1.0009408,1.7347235e-18
"intramax","fob",1936,"atop_herit",-.93804234,-2.4581857,.58210093,-2.9490299e-17
"intramax","fob",1937,"atop_herit",-1.3404993,-3.0394549,.35845631,-4.1633363e-17
"intramax","fob",1938,"atop_herit",-.68190229,-2.3093159,.94551134,2.0816682e-17
"intramax","fob",1948,"atop_herit",0,0,0,3.8163916e-17
"intramax","fob",1949,"atop_herit",0,0,0,-1.0408341e-17
"intramax","fob",1950,"atop_herit",0,0,0,4.3476507e-17
"intramax","fob",1951,"atop_herit",0,0,0,-6.9388939e-18
"intramax","fob",1952,"atop_herit",0,0,0,-4.5970172e-17
"intramax","fob",1953,"atop_herit",0,0,0,4.5536491e-17
"intramax","fob",1954,"atop_herit",0,0,0,-1.3227267e-17
"intramax","fob",1955,"atop_herit",0,0,0,3.1116602e-17
"intramax","fob",1956,"atop_herit",0,0,0,-2.2551405e-17
"intramax","fob",1957,"atop_herit",0,0,0,1.7347235e-17
"intramax","fob",1958,"atop_herit",0,0,0,3.4694470e-17
"intramax","fob",1959,"atop_herit",0,0,0,-4.8572257e-17
"intramax","fob",1960,"atop_herit",0,0,0,-1.3877788e-17
"intramax","fob",1961,"atop_herit",0,0,0,-3.8163916e-17
"intramax","fob",1962,"atop_herit",0,0,0,2.2551405e-17
"intramax","fob",1963,"atop_herit",0,0,0,4.6837534e-17
"intramax","fob",1964,"atop_herit",0,0,0,5.6378513e-18
"intramax","fob",1965,"atop_herit",0,0,0,1.2143064e-17
"intramax","fob",1966,"atop_herit",0,0,0,-3.1441863e-18
"intramax","fob",1967,"atop_herit",0,0,0,2.4286129e-17
"intramax","fob",1968,"atop_herit",0,0,0,5.2041704e-18
"intramax","fob",1969,"atop_herit",0,0,0,2.4286129e-17
"intramax","fob",1970,"atop_herit",0,0,0,3.8163916e-17
"intramax","fob",1971,"atop_herit",0,0,0,3.1116602e-17
"intramax","fob",1972,"atop_herit",0,0,0,-3.4694470e-17
"intramax","fob",1973,"atop_herit",0,0,0,1.5612511e-17
"intramax","fob",1974,"atop_herit",0,0,0,4.9439619e-17
"intramax","fob",1975,"atop_herit",0,0,0,-4.7704896e-17
"intramax","fob",1976,"atop_herit",0,0,0,8.8904578e-18
"intramax","fob",1977,"atop_herit",0,0,0,-5.2041704e-18
"intramax","fob",1978,"atop_herit",0,0,0,-1.3877788e-17
"intramax","fob",1979,"atop_herit",0,0,0,3.6429193e-17
"intramax","fob",1980,"atop_herit",0,0,0,4.3910188e-17
"intramax","fob",1981,"atop_herit",0,0,0,9.5409791e-18
"intramax","fob",1982,"atop_herit",0,0,0,-3.8163916e-17
"intramax","fob",1983,"atop_herit",0,0,0,-3.8163916e-17
"intramax","fob",1984,"atop_herit",0,0,0,-3.4694470e-18
"intramax","fob",1985,"atop_herit",0,0,0,2.0816682e-17
"intramax","fob",1986,"atop_herit",0,0,0,-1.7347235e-17
"intramax","fob",1987,"atop_herit",0,0,0,1.3877788e-17
"intramax","fob",1988,"atop_herit",0,0,0,-4.8572257e-17
"intramax","fob",1989,"atop_herit",0,0,0,1.3877788e-17
"intramax","fob",1990,"atop_herit",0,0,0,2.9056618e-17
"intramax","fob",1991,"atop_herit",0,0,0,-6.9388939e-18
"intramax","fob",1992,"atop_herit",0,0,0,6.9388939e-18
