NetworkType,CafFob,year,var,coef,ci_low,ci_high,r2p
"intramax","fob",1833,"common_empire",1.6744692,.84248555,2.506453,-.0011165654
"intramax","fob",1834,"common_empire",2.2747192,1.6596731,2.8897655,-.01133165
"intramax","fob",1835,"common_empire",1.9465405,1.4878592,2.4052217,-.017709749
"intramax","fob",1836,"common_empire",1.4146905,.90445256,1.9249284,.0018197011
"intramax","fob",1837,"common_empire",1.8215107,1.3505989,2.2924225,-.020807188
"intramax","fob",1838,"common_empire",1.6984038,1.1688592,2.2279484,-.0056581562
"intramax","fob",1839,"common_empire",1.5383205,1.0388229,2.0378182,-.0072360588
"intramax","fob",1840,"common_empire",1.6684848,1.0855359,2.2514338,-.015286095
"intramax","fob",1841,"common_empire",1.6033086,1.0198851,2.1867323,-.013304205
"intramax","fob",1842,"common_empire",1.3610389,.92490244,1.7971755,-.029315051
"intramax","fob",1843,"common_empire",1.8763404,1.3449243,2.4077563,.0053336299
"intramax","fob",1844,"common_empire",1.3864666,.7867915,1.9861417,.0015835084
"intramax","fob",1845,"common_empire",1.9818034,1.241086,2.7225206,-.0065459101
"intramax","fob",1846,"common_empire",2.1870728,1.3211226,3.0530231,.0075625852
"intramax","fob",1847,"common_empire",2.2533939,1.8094753,2.6973124,.0077530527
"intramax","fob",1848,"common_empire",1.1215938,.60171241,1.6414752,.0013089927
"intramax","fob",1849,"common_empire",2.3185861,1.814469,2.8227034,.011234671
"intramax","fob",1850,"common_empire",2.1051321,1.2824944,2.9277697,.0072235595
"intramax","fob",1851,"common_empire",2.0076895,1.6310143,2.3843644,-.0032661804
"intramax","fob",1852,"common_empire",2.3343339,1.9697344,2.6989331,.0069836574
"intramax","fob",1853,"common_empire",1.9532079,1.589152,2.3172636,-.0042620371
"intramax","fob",1854,"common_empire",2.1132669,1.6479161,2.5786178,-.0036426904
"intramax","fob",1855,"common_empire",1.7768211,1.0658424,2.4877999,.0026416795
"intramax","fob",1856,"common_empire",1.3293488,.88385499,1.7748426,.0019466324
"intramax","fob",1857,"common_empire",1.7334712,1.0973544,2.3695879,.0010446318
"intramax","fob",1858,"common_empire",2.054744,1.3216355,2.7878523,.0056715757
"intramax","fob",1859,"common_empire",2.4476101,1.4046429,3.4905775,.0068636825
"intramax","fob",1860,"common_empire",1.7949151,1.0703233,2.5195067,.0045787892
"intramax","fob",1861,"common_empire",1.8114691,1.0763141,2.5466239,.0053044916
"intramax","fob",1862,"common_empire",1.7309164,.92465109,2.5371816,.0050495761
"intramax","fob",1863,"common_empire",1.9513999,1.4725695,2.4302304,.0056860987
"intramax","fob",1864,"common_empire",1.897084,1.3226068,2.4715612,-.021891888
"intramax","fob",1865,"common_empire",1.1793329,.66975969,1.6889061,-.042104725
"intramax","fob",1866,"common_empire",1.6588295,1.2174327,2.1002262,-.0047966205
"intramax","fob",1867,"common_empire",1.6263317,.83958,2.4130833,-.045743436
"intramax","fob",1868,"common_empire",1.4729393,.27254799,2.6733305,-.046927094
"intramax","fob",1869,"common_empire",1.9574863,1.3152406,2.5997322,-.012425819
"intramax","fob",1870,"common_empire",1.4534994,.76597714,2.1410217,.0034257157
"intramax","fob",1871,"common_empire",1.5522662,.70026886,2.4042635,.0025916339
"intramax","fob",1872,"common_empire",1.3057022,.77530795,1.8360965,-.0028508371
"intramax","fob",1873,"common_empire",1.3157709,.67627293,1.9552689,.0029232225
"intramax","fob",1874,"common_empire",1.6629814,1.1954734,2.1304893,-.004250031
"intramax","fob",1875,"common_empire",1.6594201,1.0641712,2.254669,-.0050232299
"intramax","fob",1876,"common_empire",1.611199,.94685435,2.2755437,.0049281991
"intramax","fob",1877,"common_empire",1.9149797,1.4952574,2.3347023,-.00073366927
"intramax","fob",1878,"common_empire",1.9354583,1.5729014,2.2980151,-.01229
"intramax","fob",1879,"common_empire",1.9988816,1.5565227,2.4412405,.0041254456
"intramax","fob",1880,"common_empire",2.1507611,1.7187096,2.5828128,.0080381464
"intramax","fob",1881,"common_empire",2.1592124,1.7552646,2.5631602,-.015669534
"intramax","fob",1882,"common_empire",1.8499364,1.4377928,2.26208,-.02215633
"intramax","fob",1883,"common_empire",1.1784327,.56064755,1.7962179,-.015621697
"intramax","fob",1884,"common_empire",1.5843325,1.1250973,2.0435677,-.0020158819
"intramax","fob",1885,"common_empire",1.5306551,1.1268409,1.9344692,-.013883262
"intramax","fob",1886,"common_empire",1.9473326,1.5565407,2.3381243,-.024883587
"intramax","fob",1887,"common_empire",1.860008,1.459568,2.260448,-.010590582
"intramax","fob",1888,"common_empire",1.8881277,1.4991057,2.2771497,-.018056642
"intramax","fob",1889,"common_empire",1.8106611,1.4470506,2.1742716,.00040381093
"intramax","fob",1890,"common_empire",1.8783857,1.4826868,2.2740843,-.010485957
"intramax","fob",1891,"common_empire",1.3144042,.2520279,2.3767807,.0012800208
"intramax","fob",1892,"common_empire",1.683543,1.3077102,2.0593758,-.0016341853
"intramax","fob",1893,"common_empire",1.7359042,1.3739182,2.0978904,-.017295783
"intramax","fob",1894,"common_empire",1.5410873,1.2053984,1.876776,-.0065670414
"intramax","fob",1895,"common_empire",1.5664816,1.2300138,1.9029495,-.0061794557
"intramax","fob",1896,"common_empire",1.4732715,1.107583,1.8389598,-.011000869
"intramax","fob",1897,"common_empire",1.5988979,1.2378546,1.9599413,-.015409769
"intramax","fob",1898,"common_empire",1.7511153,1.3462585,2.155972,-.014910451
"intramax","fob",1899,"common_empire",1.7225838,1.383795,2.0613725,-.010376224
"intramax","fob",1900,"common_empire",1.7877742,1.4873527,2.0881958,-.01265244
"intramax","fob",1901,"common_empire",1.7987163,1.4571757,2.1402569,-.025787257
"intramax","fob",1902,"common_empire",1.5771253,1.0060043,2.1482463,-.017264541
"intramax","fob",1903,"common_empire",1.7480965,1.2817172,2.2144759,-.013612591
"intramax","fob",1904,"common_empire",1.7259176,1.313096,2.1387391,-.010130166
"intramax","fob",1905,"common_empire",1.532773,.94247746,2.1230686,-.021043053
"intramax","fob",1906,"common_empire",1.5415103,.88968158,2.1933391,-.018417992
"intramax","fob",1907,"common_empire",1.5820061,1.2174667,1.9465454,-.045788027
"intramax","fob",1908,"common_empire",1.6944073,1.3614351,2.0273795,-.036036253
"intramax","fob",1909,"common_empire",1.2173314,.53302336,1.9016396,.001601322
"intramax","fob",1910,"common_empire",1.6779059,1.383693,1.9721189,-.062622152
"intramax","fob",1911,"common_empire",1.0070972,.32187632,1.6923181,.0010946847
"intramax","fob",1912,"common_empire",1.3077598,.89091098,1.7246084,-.049970571
"intramax","fob",1913,"common_empire",1.3740085,.87005591,1.8779612,.00082495098
"intramax","fob",1914,"common_empire",1.3436886,1.0197557,1.6676215,-.046506289
"intramax","fob",1915,"common_empire",1.6970288,1.3487954,2.0452621,-.028183719
"intramax","fob",1916,"common_empire",1.4735528,.93511307,2.0119927,-.014776168
"intramax","fob",1917,"common_empire",1.3148335,.80943924,1.8202279,-.037203912
"intramax","fob",1918,"common_empire",1.2459862,.92456955,1.5674028,-.041935898
"intramax","fob",1919,"common_empire",.99669212,.31514809,1.6782361,-.025540181
"intramax","fob",1920,"common_empire",1.0709486,.29429445,1.8476026,-.026675483
"intramax","fob",1921,"common_empire",1.5583067,.77358365,2.3430297,-.029910021
"intramax","fob",1922,"common_empire",1.1536233,.57443106,1.7328157,-.056907833
"intramax","fob",1923,"common_empire",1.3473275,.54927778,2.1453772,-.089379176
"intramax","fob",1924,"common_empire",1.6163116,1.0034432,2.2291799,-.025440978
"intramax","fob",1925,"common_empire",1.6869508,1.2447594,2.129142,-.059730288
"intramax","fob",1926,"common_empire",1.5756409,.94288081,2.208401,-.020960761
"intramax","fob",1927,"common_empire",1.7494006,1.2502522,2.248549,-.023828685
"intramax","fob",1928,"common_empire",1.5112879,1.1758153,1.8467604,-.020749621
"intramax","fob",1929,"common_empire",1.7060705,1.3981987,2.0139422,-.030943081
"intramax","fob",1930,"common_empire",1.3042547,.91099608,1.6975131,-.0038030453
"intramax","fob",1931,"common_empire",1.3624598,.79071712,1.9342024,-.00050679233
"intramax","fob",1932,"common_empire",1.314526,.7021699,1.926882,-.00084499689
"intramax","fob",1933,"common_empire",1.1333917,.41251618,1.8542674,-.0039143348
"intramax","fob",1934,"common_empire",1.7938596,1.3722501,2.2154691,-.0025083956
"intramax","fob",1935,"common_empire",1.763101,1.3152142,2.2109878,-.028525548
"intramax","fob",1936,"common_empire",1.5798721,1.1628855,1.9968586,-.0056433566
"intramax","fob",1937,"common_empire",1.7025987,1.3251705,2.0800269,-.013027048
"intramax","fob",1938,"common_empire",1.5404166,1.2321566,1.8486764,-.0029576181
"intramax","fob",1948,"common_empire",2.3112366,1.0927005,3.5297728,.0074377405
"intramax","fob",1949,"common_empire",2.728446,1.8949889,3.5619032,-.0044632424
"intramax","fob",1950,"common_empire",2.7393606,1.9997879,3.4789331,-.036780864
"intramax","fob",1951,"common_empire",1.9666866,.85850352,3.0748696,-.0017326749
"intramax","fob",1952,"common_empire",2.0413628,1.15431,2.9284153,-.017521836
"intramax","fob",1953,"common_empire",2.9476795,2.1454015,3.7499578,.0088663697
"intramax","fob",1954,"common_empire",2.7797086,2.0776935,3.4817235,.0082605043
"intramax","fob",1955,"common_empire",2.3107789,1.5192689,3.1022887,-.0053334166
"intramax","fob",1956,"common_empire",1.9036888,1.1353672,2.6720104,.0011379629
"intramax","fob",1957,"common_empire",1.8338499,1.1334791,2.5342207,-.0037460974
"intramax","fob",1958,"common_empire",1.6269611,.65940303,2.5945191,-.034630481
"intramax","fob",1959,"common_empire",1.5307935,.59816653,2.4634206,-.0193993
"intramax","fob",1960,"common_empire",.75038022,-.088911735,1.5896722,-.012609424
"intramax","fob",1961,"common_empire",1.6029986,1.1212045,2.0847926,-.0051808241
"intramax","fob",1962,"common_empire",2.1916842,1.5772777,2.8060908,.00097776344
"intramax","fob",1963,"common_empire",1.6154304,.85636055,2.3745,-.0057425601
"intramax","fob",1964,"common_empire",.54393619,-.67059845,1.7584709,-.012003441
"intramax","fob",1965,"common_empire",1.0794771,-.32542241,2.4843767,-.0084712403
"intramax","fob",1966,"common_empire",1.1084527,-.37885007,2.5957553,-.0098835584
"intramax","fob",1967,"common_empire",1.0699062,-.35300568,2.4928184,-.010498588
"intramax","fob",1968,"common_empire",1.4501913,.010513877,2.8898687,-.012321028
"intramax","fob",1969,"common_empire",1.7294962,.24484265,3.2141497,-.010292754
"intramax","fob",1970,"common_empire",1.644999,.99736661,2.2926314,-.00097440107
"intramax","fob",1971,"common_empire",.66248888,-1.0617785,2.3867564,-.0039920332
"intramax","fob",1972,"common_empire",.14415328,-.94684607,1.2351526,-.0080711748
"intramax","fob",1973,"common_empire",.69025987,-.084281005,1.4648007,-.0090675773
"intramax","fob",1974,"common_empire",.54599023,-.78548771,1.8774682,-.020835947
"intramax","fob",1975,"common_empire",.82728857,-.55449796,2.2090752,-.012018651
"intramax","fob",1976,"common_empire",.85222483,-.80038339,2.504833,-.0090310564
"intramax","fob",1977,"common_empire",.82091773,-.59961903,2.2414546,-.011932163
"intramax","fob",1978,"common_empire",1.1078141,-.18657874,2.4022069,-.0073826495
"intramax","fob",1979,"common_empire",.58594221,-.60298026,1.7748647,-.012319329
"intramax","fob",1980,"common_empire",-.26054388,-1.3242328,.80314505,-.0035087555
"intramax","fob",1981,"common_empire",-.023759887,-1.1842831,1.1367633,-.00052865513
"intramax","fob",1982,"common_empire",-.42461249,-1.4991888,.6499638,-.00074025861
"intramax","fob",1983,"common_empire",1.0756546,.19774936,1.9535598,-.039120231
"intramax","fob",1984,"common_empire",.20128815,-.8726902,1.2752665,-.0044395891
"intramax","fob",1985,"common_empire",.53559709,-.55393678,1.625131,-.0020228012
"intramax","fob",1986,"common_empire",.92721701,-.12163585,1.9760699,-.046683669
"intramax","fob",1987,"common_empire",-.70956033,-1.713914,.29479328,-.014059076
"intramax","fob",1988,"common_empire",.40808246,-.62342924,1.4395941,-.011609164
"intramax","fob",1989,"common_empire",.84200543,-.26396894,1.9479798,-.010689456
"intramax","fob",1990,"common_empire",-.080710694,-1.1200854,.958664,-.008097549
"intramax","fob",1991,"common_empire",.44658786,-1.2749813,2.1681569,-.084806003
"intramax","fob",1992,"common_empire",.27666259,-1.4471776,2.0005028,-.032522522
"intramax","fob",1993,"common_empire",.26821426,-.60457599,1.1410044,-.15727717
"intramax","fob",1994,"common_empire",.16742356,-.69557422,1.0304214,-.068497322
"intramax","fob",1995,"common_empire",.24709225,-1.4737272,1.9679117,-.094940372
"intramax","fob",1996,"common_empire",.53994662,-1.1843824,2.2642758,-.06546212
"intramax","fob",1997,"common_empire",.87944132,-.63862139,2.3975041,-.080953501
"intramax","fob",1998,"common_empire",1.2147009,.17681229,2.2525897,-.052600499
"intramax","fob",1999,"common_empire",1.1981162,.052641049,2.3435912,-.050752081
"intramax","fob",2000,"common_empire",.43364373,-.63961643,1.5069039,-.013218591
"intramax","fob",2001,"common_empire",.61269277,-.96151745,2.186903,-.023940399
"intramax","fob",2002,"common_empire",.28091615,-1.2900769,1.8519092,-.0033762699
"intramax","fob",2003,"common_empire",.24152718,-1.3327781,1.8158325,-.00098006905
"intramax","fob",2004,"common_empire",.10176264,-1.4731842,1.6767094,-.0092306146
"intramax","fob",2005,"common_empire",-.080564268,-1.1388923,.97776371,-.014887373
"intramax","fob",2006,"common_empire",.77776188,-.80237043,2.3578942,-.02510657
"intramax","fob",2007,"common_empire",2.1156921,.58922499,3.6421592,-.026250664
"intramax","fob",2008,"common_empire",.090427719,-1.0208348,1.2016902,-.0097609349
"intramax","fob",2010,"common_empire",.25039575,-1.4505794,1.9513708,-.034408901
"intramax","fob",2011,"common_empire",.22138336,-1.1838232,1.62659,-.11658563
"intramax","fob",2012,"common_empire",.58007675,-.80461216,1.9647657,-.12592117
"intramax","fob",2013,"common_empire",.14341758,-1.260191,1.5470262,-.13110562
"intramax","fob",2014,"common_empire",.12746409,-1.2757093,1.5306375,-.1268134
"intramax","fob",2015,"common_empire",.0070235832,-1.3963419,1.4103891,-.17402154
"intramax","fob",2016,"common_empire",.4364517,-1.1184911,1.9913945,-.16096301
"intramax","fob",2017,"common_empire",.34237161,-.88484508,1.5695883,-.1186849
"intramax","fob",2018,"common_empire",.50161195,-.77653241,1.7797563,-.14230292
"intramax","fob",2019,"common_empire",.52364659,-.86502159,1.9123148,-.1639764
"intramax","fob",2020,"common_empire",.48096842,-.90799201,1.8699288,-.17862169
"intramax","fob",2021,"common_empire",.19646606,-1.3641429,1.757075,-.22269051
"intramax","fob",2022,"common_empire",.36974633,-1.1899253,1.929418,-.18585569
"intramax","fob",2023,"common_empire",0,0,0,-.16668299
"intramax","fob",2024,"common_empire",0,0,0,-.16862643
"intramax","fob",2025,"common_empire",0,0,0,-.11750709
"louvain","fob",1833,"common_empire",1.8674506,1.2992889,2.4356124,-.090594985
"louvain","fob",1834,"common_empire",2.5573449,1.8028702,3.3118198,-.02454016
"louvain","fob",1835,"common_empire",1.8305984,1.3356913,2.3255053,-.099080071
"louvain","fob",1836,"common_empire",1.6124885,.40992725,2.8150499,-.081682563
"louvain","fob",1837,"common_empire",2.1492953,1.6650119,2.6335785,-.027409511
"louvain","fob",1838,"common_empire",2.357461,1.3000784,3.4148438,-.10643261
"louvain","fob",1839,"common_empire",1.9772354,.78589875,3.1685722,-.087730281
"louvain","fob",1840,"common_empire",2.4212818,1.9726585,2.8699052,-.045136567
"louvain","fob",1841,"common_empire",1.8627555,1.2302433,2.4952679,-.03631179
"louvain","fob",1842,"common_empire",1.4276363,.7889595,2.066313,-.085909009
"louvain","fob",1843,"common_empire",2.2180839,1.8191087,2.617059,-.040870227
"louvain","fob",1844,"common_empire",2.1871018,1.4666686,2.9075351,-.037874799
"louvain","fob",1845,"common_empire",1.9024477,1.4078565,2.3970389,-.036537249
"louvain","fob",1846,"common_empire",2.0816004,1.6050675,2.5581336,-.023615504
"louvain","fob",1847,"common_empire",2.4312983,1.8525726,3.0100238,-.011198791
"louvain","fob",1848,"common_empire",1.9994458,1.2728828,2.7260089,-.055445477
"louvain","fob",1849,"common_empire",2.5338795,2.0645568,3.003202,-.0042589693
"louvain","fob",1850,"common_empire",2.5292907,1.9273902,3.1311913,-.0065787034
