NetworkType,CafFob,year,var,coef,ci_low,ci_high,r2p
"louvain","fob",1833,"contig12",1.2939304,.21597676,2.3718841,-.022757033
"louvain","fob",1834,"contig12",1.3599573,.42093375,2.2989807,-.018785365
"louvain","fob",1835,"contig12",1.0033101,-.074230738,2.0808508,-.034910798
"louvain","fob",1836,"contig12",.71455675,-.277823,1.7069365,-.011677884
"louvain","fob",1837,"contig12",.82119113,-.15029593,1.7926782,-.021198615
"louvain","fob",1838,"contig12",.42615142,-.68132991,1.5336328,-.043409996
"louvain","fob",1839,"contig12",-.27413824,-1.3387412,.79046464,-.011617234
"louvain","fob",1840,"contig12",.18210772,-.73018575,1.0944012,-.021479195
"louvain","fob",1841,"contig12",.79357809,-.053403564,1.6405597,-.0063168001
"louvain","fob",1842,"contig12",1.2108037,.43542504,1.9861825,-.021880785
"louvain","fob",1843,"contig12",1.1626874,.34963337,1.9757415,-.060096204
"louvain","fob",1844,"contig12",.71801144,-.063384809,1.4994076,-.04785268
"louvain","fob",1845,"contig12",1.3857163,.61948884,2.1519437,-.03210929
"louvain","fob",1846,"contig12",1.2728411,.5537414,1.9919406,-.068507053
"louvain","fob",1847,"contig12",1.2067441,.46929276,1.9441954,-.072685443
"louvain","fob",1848,"contig12",1.25789,.51113856,2.0046415,-.03228049
"louvain","fob",1849,"contig12",.85529351,.11877197,1.5918151,-.070112772
"louvain","fob",1850,"contig12",1.3142025,.65621412,1.972191,-.032332569
"louvain","fob",1851,"contig12",1.6799799,.9891476,2.3708122,-.066123396
"louvain","fob",1852,"contig12",1.2163733,.58137655,1.85137,-.059415434
"louvain","fob",1853,"contig12",1.5131817,.83314687,2.1932166,-.061177395
"louvain","fob",1854,"contig12",1.2814118,.63148046,1.9313432,-.048920892
"louvain","fob",1855,"contig12",1.3470657,.69427443,1.9998569,-.053761605
"louvain","fob",1856,"contig12",1.3082591,.63940775,1.9771105,-.032746762
"louvain","fob",1857,"contig12",1.4460926,.75358987,2.1385953,-.036054228
"louvain","fob",1858,"contig12",1.5847933,.85550559,2.314081,-.032226104
"louvain","fob",1859,"contig12",.56373107,-.04137956,1.1688417,-.039396077
"louvain","fob",1860,"contig12",1.1229759,.44044572,1.8055061,-.040345471
"louvain","fob",1861,"contig12",1.3750483,.76708061,1.983016,-.037831999
"louvain","fob",1862,"contig12",.9669317,.35647491,1.5773885,-.054869436
"louvain","fob",1863,"contig12",1.220407,.59585738,1.8449568,-.024359157
"louvain","fob",1864,"contig12",.99423939,.3419044,1.6465744,-.018067928
"louvain","fob",1865,"contig12",.87586147,.25716868,1.4945543,-.021514213
"louvain","fob",1866,"contig12",.90319943,.2717568,1.5346421,-.014775001
"louvain","fob",1867,"contig12",.64539742,.048029102,1.2427658,-.0209691
"louvain","fob",1868,"contig12",.5439173,-.080502711,1.1683372,-.012825622
"louvain","fob",1869,"contig12",.69419253,.057848543,1.3305365,-.020541595
"louvain","fob",1870,"contig12",.32441318,-.36637622,1.0152025,-.0061752237
"louvain","fob",1871,"contig12",.10421135,-.68174082,.89016348,.0030983232
"louvain","fob",1872,"contig12",.27322805,-.4183096,.96476567,.001753377
"louvain","fob",1873,"contig12",.57860285,-.19694415,1.3541498,.000088693931
"louvain","fob",1874,"contig12",.79277849,.0038544592,1.5817025,-.0063984878
"louvain","fob",1875,"contig12",.82716435,.036431402,1.6178973,-.010760747
"louvain","fob",1876,"contig12",1.342219,.55228275,2.1321552,-.00079683686
"louvain","fob",1877,"contig12",.93698657,.25084913,1.623124,.0010263619
"louvain","fob",1878,"contig12",.9784956,.21947826,1.7375129,-.022038469
"louvain","fob",1879,"contig12",-.0094406558,-.71591759,.69703627,-.020891795
"louvain","fob",1880,"contig12",.55498964,-.16666354,1.2766428,-.019923452
"louvain","fob",1881,"contig12",.93760979,.1961524,1.6790671,-.02538296
"louvain","fob",1882,"contig12",.41959244,-.32705712,1.166242,-.025797645
"louvain","fob",1883,"contig12",.49270079,-.30771229,1.2931138,-.012086339
"louvain","fob",1884,"contig12",.84089226,.090375558,1.5914088,-.022633623
"louvain","fob",1885,"contig12",.44801116,-.30455309,1.2005755,-.019338481
"louvain","fob",1886,"contig12",.09284088,-.67973101,.86541277,-.0035014823
"louvain","fob",1887,"contig12",.4130823,-.33451223,1.1606768,-.023251096
"louvain","fob",1888,"contig12",.58374119,-.28335798,1.4508404,.0031653652
"louvain","fob",1889,"contig12",.71288294,-.10643487,1.5322007,-.020580301
"louvain","fob",1890,"contig12",.52642411,-.20402695,1.2568752,-.022615142
"louvain","fob",1891,"contig12",.93542016,.09326008,1.7775801,-.022010103
"louvain","fob",1892,"contig12",1.0963879,.27043197,1.9223437,-.031663172
"louvain","fob",1893,"contig12",.89782637,.12461996,1.6710328,-.0013285456
"louvain","fob",1894,"contig12",.54365039,-.17367159,1.2609724,-.04063924
"louvain","fob",1895,"contig12",.93232995,.22113131,1.6435286,-.026111165
"louvain","fob",1896,"contig12",1.1425288,.38802412,1.8970335,-.021153817
"louvain","fob",1897,"contig12",1.2062817,.37962812,2.0329354,-.0032516178
"louvain","fob",1898,"contig12",.94672281,.16902812,1.7244174,-.0079483269
"louvain","fob",1899,"contig12",.65412337,-.017215,1.3254617,-.017374856
"louvain","fob",1900,"contig12",1.3704841,.65157598,2.0893924,-.037957363
"louvain","fob",1901,"contig12",1.1411617,.40966102,1.8726623,-.025366362
"louvain","fob",1902,"contig12",.53187203,-.2963613,1.3601054,-.0083406651
"louvain","fob",1903,"contig12",1.08445,.33997536,1.8289248,-.013038704
"louvain","fob",1904,"contig12",.97016674,.18179677,1.7585368,-.0046223123
"louvain","fob",1905,"contig12",1.1381483,.42176384,1.8545327,-.0058557787
"louvain","fob",1906,"contig12",.77387667,.032162521,1.5155909,-.0099944957
"louvain","fob",1907,"contig12",.33672607,-.45467848,1.1281306,-.0063023088
"louvain","fob",1908,"contig12",.86613774,.074517526,1.657758,-.000025989111
"louvain","fob",1909,"contig12",.62944531,-.21924675,1.4781374,-.011995723
"louvain","fob",1910,"contig12",-.10094465,-.86533654,.6634472,-.010188041
"louvain","fob",1911,"contig12",.43417242,-.39280945,1.2611543,.000083854902
"louvain","fob",1912,"contig12",.31736976,-.48165143,1.1163909,-.007615529
"louvain","fob",1913,"contig12",.27750495,-.45707527,1.0120852,-.010661405
"louvain","fob",1914,"contig12",.16301699,-.70943743,1.0354713,-.011451571
"louvain","fob",1915,"contig12",.17438371,-.51378781,.86255521,-.012916784
"louvain","fob",1916,"contig12",.53347081,-.34614295,1.4130845,-.0069159991
"louvain","fob",1917,"contig12",.14381067,-.71173841,.99935973,-.013023867
"louvain","fob",1918,"contig12",-.14006154,-1.0587023,.77857924,-.014525427
"louvain","fob",1919,"contig12",.56679887,-.082773238,1.2163709,-.010721083
"louvain","fob",1920,"contig12",.15890354,-.42039639,.73820347,-.010033201
"louvain","fob",1921,"contig12",.11528327,-.49191794,.72248447,-.009876213
"louvain","fob",1922,"contig12",.1051171,-.52026397,.73049819,-.005177869
"louvain","fob",1923,"contig12",.15151475,-.45612648,.75915599,-.0066506905
"louvain","fob",1924,"contig12",-.12582831,-.73376369,.48210707,-.011687132
"louvain","fob",1925,"contig12",-.54116744,-1.2089448,.12660986,-.0058457861
"louvain","fob",1926,"contig12",-.11641432,-.73012578,.49729714,-.013525938
"louvain","fob",1927,"contig12",.24866317,-.29476222,.79208857,-.015343461
"louvain","fob",1928,"contig12",.27004623,-.30823734,.84832978,-.00074515102
"louvain","fob",1929,"contig12",-.088377409,-.70363098,.52687615,-.014646162
"louvain","fob",1930,"contig12",.49681658,-.072836041,1.0664692,-.010157155
