NetworkType,CafFob,year,var,coef,ci_low,ci_high,r2p
"intramax","fob",1833,"contig_large",0,0,0,.12765917
"intramax","fob",1834,"contig_large",0,0,0,.10435548
"intramax","fob",1835,"contig_large",0,0,0,.10609289
"intramax","fob",1836,"contig_large",0,0,0,.013960003
"intramax","fob",1837,"contig_large",0,0,0,-.0063029034
"intramax","fob",1838,"contig_large",0,0,0,.10299668
"intramax","fob",1839,"contig_large",0,0,0,.053011123
"intramax","fob",1840,"contig_large",0,0,0,.0093269879
"intramax","fob",1841,"contig_large",0,0,0,.12226588
"intramax","fob",1842,"contig_large",0,0,0,.00090132013
"intramax","fob",1843,"contig_large",0,0,0,.045041997
"intramax","fob",1844,"contig_large",0,0,0,.042073227
"intramax","fob",1845,"contig_large",0,0,0,-.02683082
"intramax","fob",1846,"contig_large",0,0,0,.033958178
"intramax","fob",1847,"contig_large",0,0,0,.032074969
"intramax","fob",1848,"contig_large",0,0,0,-.008142449
"intramax","fob",1849,"contig_large",0,0,0,.082254983
"intramax","fob",1850,"contig_large",0,0,0,.094362698
"intramax","fob",1851,"contig_large",0,0,0,.12280989
"intramax","fob",1852,"contig_large",0,0,0,-.0044307555
"intramax","fob",1853,"contig_large",0,0,0,.013211056
"intramax","fob",1854,"contig_large",0,0,0,.0030199755
"intramax","fob",1855,"contig_large",0,0,0,.05998224
"intramax","fob",1856,"contig_large",0,0,0,-.010290764
"intramax","fob",1857,"contig_large",0,0,0,.13989811
"intramax","fob",1858,"contig_large",0,0,0,.052310117
"intramax","fob",1859,"contig_large",0,0,0,-.016608326
"intramax","fob",1860,"contig_large",0,0,0,.044884294
"intramax","fob",1861,"contig_large",0,0,0,.028010288
"intramax","fob",1862,"contig_large",0,0,0,-.009353905
"intramax","fob",1863,"contig_large",0,0,0,-.038241759
"intramax","fob",1864,"contig_large",0,0,0,-.015312308
"intramax","fob",1865,"contig_large",0,0,0,.012974246
"intramax","fob",1866,"contig_large",0,0,0,.041951489
"intramax","fob",1867,"contig_large",0,0,0,-.0022984473
"intramax","fob",1868,"contig_large",0,0,0,-.030623233
"intramax","fob",1869,"contig_large",0,0,0,-.0031911095
"intramax","fob",1870,"contig_large",0,0,0,-.021302402
"intramax","fob",1871,"contig_large",0,0,0,-.010886851
"intramax","fob",1872,"contig_large",0,0,0,-.0084301531
"intramax","fob",1873,"contig_large",0,0,0,.0064417678
"intramax","fob",1874,"contig_large",0,0,0,.060443453
"intramax","fob",1875,"contig_large",0,0,0,.0034068869
"intramax","fob",1876,"contig_large",0,0,0,.005421849
"intramax","fob",1877,"contig_large",0,0,0,.013283349
"intramax","fob",1878,"contig_large",0,0,0,-.0041397968
"intramax","fob",1879,"contig_large",0,0,0,-.015410348
"intramax","fob",1880,"contig_large",0,0,0,.011796292
"intramax","fob",1881,"contig_large",0,0,0,.0068903454
"intramax","fob",1882,"contig_large",0,0,0,.021403488
"intramax","fob",1883,"contig_large",0,0,0,-.024022494
"intramax","fob",1884,"contig_large",0,0,0,.032734681
"intramax","fob",1885,"contig_large",0,0,0,-.017006917
"intramax","fob",1886,"contig_large",0,0,0,-.019943122
"intramax","fob",1887,"contig_large",0,0,0,-.020189891
"intramax","fob",1888,"contig_large",0,0,0,.025176063
"intramax","fob",1889,"contig_large",0,0,0,.023541113
"intramax","fob",1890,"contig_large",0,0,0,-.004284068
"intramax","fob",1891,"contig_large",0,0,0,-.0030145985
"intramax","fob",1892,"contig_large",0,0,0,.038454324
"intramax","fob",1893,"contig_large",0,0,0,.060922004
"intramax","fob",1894,"contig_large",0,0,0,.027162353
"intramax","fob",1895,"contig_large",0,0,0,.02694441
"intramax","fob",1896,"contig_large",0,0,0,-.0059298929
"intramax","fob",1897,"contig_large",0,0,0,.035040703
"intramax","fob",1898,"contig_large",0,0,0,.012741886
"intramax","fob",1899,"contig_large",0,0,0,-.0049682395
"intramax","fob",1900,"contig_large",0,0,0,-.0026986892
"intramax","fob",1901,"contig_large",0,0,0,-.026563093
"intramax","fob",1902,"contig_large",0,0,0,.01664266
"intramax","fob",1903,"contig_large",0,0,0,-.001732884
"intramax","fob",1904,"contig_large",0,0,0,-.0040827859
"intramax","fob",1905,"contig_large",0,0,0,.076805145
"intramax","fob",1906,"contig_large",0,0,0,.014797768
"intramax","fob",1907,"contig_large",0,0,0,.0079352129
"intramax","fob",1908,"contig_large",0,0,0,-.019281043
"intramax","fob",1909,"contig_large",0,0,0,.018572312
"intramax","fob",1910,"contig_large",0,0,0,.00067327393
"intramax","fob",1911,"contig_large",0,0,0,-.016780298
"intramax","fob",1912,"contig_large",0,0,0,.048195515
"intramax","fob",1913,"contig_large",0,0,0,-.011039724
"intramax","fob",1914,"contig_large",0,0,0,.0066597201
"intramax","fob",1915,"contig_large",0,0,0,-.0074824956
"intramax","fob",1916,"contig_large",0,0,0,.011400437
"intramax","fob",1917,"contig_large",0,0,0,.014602845
"intramax","fob",1918,"contig_large",0,0,0,.14998204
"intramax","fob",1919,"contig_large",0,0,0,.0026023863
"intramax","fob",1920,"contig_large",0,0,0,.031168217
"intramax","fob",1921,"contig_large",0,0,0,.0019874563
"intramax","fob",1922,"contig_large",0,0,0,-.0019733305
"intramax","fob",1923,"contig_large",0,0,0,.02629216
"intramax","fob",1924,"contig_large",0,0,0,-.0045687826
"intramax","fob",1925,"contig_large",0,0,0,.0049435534
"intramax","fob",1926,"contig_large",0,0,0,-.0031981652
"intramax","fob",1927,"contig_large",0,0,0,.036692306
"intramax","fob",1928,"contig_large",0,0,0,.02967177
"intramax","fob",1929,"contig_large",0,0,0,-.0021261785
"intramax","fob",1930,"contig_large",0,0,0,-.00048893591
"intramax","fob",1931,"contig_large",0,0,0,.0067433533
"intramax","fob",1932,"contig_large",0,0,0,-.001687606
"intramax","fob",1933,"contig_large",0,0,0,-.026662605
"intramax","fob",1934,"contig_large",0,0,0,-.0054193074
"intramax","fob",1935,"contig_large",0,0,0,-.004599819
"intramax","fob",1936,"contig_large",0,0,0,.0038610946
"intramax","fob",1937,"contig_large",0,0,0,.011842011
"intramax","fob",1938,"contig_large",0,0,0,.01699467
"intramax","fob",1948,"contig_large",0,0,0,.016488701
"intramax","fob",1949,"contig_large",0,0,0,-.014870267
"intramax","fob",1950,"contig_large",0,0,0,-.028990397
"intramax","fob",1951,"contig_large",0,0,0,.0055374699
"intramax","fob",1952,"contig_large",0,0,0,.0048336778
"intramax","fob",1953,"contig_large",0,0,0,-.029060636
"intramax","fob",1954,"contig_large",0,0,0,-.037761923
"intramax","fob",1955,"contig_large",0,0,0,-.026608594
"intramax","fob",1956,"contig_large",0,0,0,-.0085163573
"intramax","fob",1957,"contig_large",0,0,0,.014492751
"intramax","fob",1958,"contig_large",0,0,0,.0073756436
"intramax","fob",1959,"contig_large",0,0,0,.027770599
"intramax","fob",1960,"contig_large",0,0,0,.057315268
"intramax","fob",1961,"contig_large",0,0,0,.003567066
"intramax","fob",1962,"contig_large",0,0,0,-.0076582907
"intramax","fob",1963,"contig_large",0,0,0,.0041325637
"intramax","fob",1964,"contig_large",0,0,0,-.0035345331
"intramax","fob",1965,"contig_large",0,0,0,.0030392089
"intramax","fob",1966,"contig_large",0,0,0,-.005454557
"intramax","fob",1967,"contig_large",0,0,0,.024534222
"intramax","fob",1968,"contig_large",0,0,0,.0056380513
"intramax","fob",1969,"contig_large",0,0,0,.019375859
"intramax","fob",1970,"contig_large",0,0,0,.0016035141
"intramax","fob",1971,"contig_large",0,0,0,-.0020983778
"intramax","fob",1972,"contig_large",0,0,0,.02312028
"intramax","fob",1973,"contig_large",0,0,0,.00088192464
"intramax","fob",1974,"contig_large",0,0,0,.00051363191
"intramax","fob",1975,"contig_large",0,0,0,-.0032802131
"intramax","fob",1976,"contig_large",0,0,0,-.006590676
"intramax","fob",1977,"contig_large",0,0,0,.0043390794
"intramax","fob",1978,"contig_large",0,0,0,.01176866
"intramax","fob",1979,"contig_large",0,0,0,.0088248095
"intramax","fob",1980,"contig_large",0,0,0,-.0033400261
"intramax","fob",1981,"contig_large",0,0,0,-.0013003715
"intramax","fob",1982,"contig_large",0,0,0,.01062905
"intramax","fob",1983,"contig_large",0,0,0,.015914749
"intramax","fob",1984,"contig_large",0,0,0,.025570011
"intramax","fob",1985,"contig_large",0,0,0,.014327141
"intramax","fob",1986,"contig_large",0,0,0,-.034865692
"intramax","fob",1987,"contig_large",0,0,0,-.020856721
"intramax","fob",1988,"contig_large",0,0,0,.0088502085
"intramax","fob",1989,"contig_large",0,0,0,.0061979676
"intramax","fob",1990,"contig_large",0,0,0,-.0036250264
"intramax","fob",1991,"contig_large",0,0,0,-.0038847625
"intramax","fob",1992,"contig_large",0,0,0,.015323368
"intramax","fob",1993,"contig_large",0,0,0,.011128996
"intramax","fob",1994,"contig_large",0,0,0,.048125699
"intramax","fob",1995,"contig_large",0,0,0,-.019234158
"intramax","fob",1996,"contig_large",0,0,0,-.01833798
"intramax","fob",1997,"contig_large",0,0,0,-.025477083
"intramax","fob",1998,"contig_large",0,0,0,-.025810026
"intramax","fob",1999,"contig_large",0,0,0,-.0055587059
"intramax","fob",2000,"contig_large",0,0,0,.013885017
"intramax","fob",2001,"contig_large",0,0,0,-.017865611
"intramax","fob",2002,"contig_large",0,0,0,-.011120638
"intramax","fob",2003,"contig_large",0,0,0,-.013763802
"intramax","fob",2004,"contig_large",0,0,0,-.008113835
"intramax","fob",2005,"contig_large",0,0,0,-.013808348
"intramax","fob",2006,"contig_large",0,0,0,-.0016336719
"intramax","fob",2007,"contig_large",0,0,0,.0040856423
"intramax","fob",2008,"contig_large",0,0,0,.0084822513
"intramax","fob",2010,"contig_large",0,0,0,-.004227675
"intramax","fob",2011,"contig_large",0,0,0,.069855697
"intramax","fob",2012,"contig_large",0,0,0,.15549511
"intramax","fob",2013,"contig_large",0,0,0,.13903199
"intramax","fob",2014,"contig_large",0,0,0,.12910777
"louvain","fob",1833,"contig_large",0,0,0,-.074550524
"louvain","fob",1834,"contig_large",0,0,0,-.020480707
"louvain","fob",1835,"contig_large",0,0,0,-.094046585
"louvain","fob",1836,"contig_large",0,0,0,-.07918898
"louvain","fob",1837,"contig_large",0,0,0,-.045502495
"louvain","fob",1838,"contig_large",0,0,0,-.16710526
"louvain","fob",1839,"contig_large",0,0,0,-.1385123
"louvain","fob",1840,"contig_large",0,0,0,.018878242
"louvain","fob",1841,"contig_large",0,0,0,-.033556309
"louvain","fob",1842,"contig_large",0,0,0,-.044731457
"louvain","fob",1843,"contig_large",0,0,0,-.086154722
"louvain","fob",1844,"contig_large",0,0,0,-.057023365
"louvain","fob",1845,"contig_large",0,0,0,-.079092823
"louvain","fob",1846,"contig_large",0,0,0,-.023374727
"louvain","fob",1847,"contig_large",0,0,0,-.088449955
"louvain","fob",1848,"contig_large",0,0,0,-.042515446
"louvain","fob",1849,"contig_large",0,0,0,-.093413718
"louvain","fob",1850,"contig_large",0,0,0,.060384613
"louvain","fob",1851,"contig_large",0,0,0,.027650896
"louvain","fob",1852,"contig_large",0,0,0,.040861595
"louvain","fob",1853,"contig_large",0,0,0,.051647671
"louvain","fob",1854,"contig_large",0,0,0,-.044090666
"louvain","fob",1855,"contig_large",0,0,0,-.086598687
"louvain","fob",1856,"contig_large",0,0,0,-.087866515
"louvain","fob",1857,"contig_large",0,0,0,-.050667163
"louvain","fob",1858,"contig_large",0,0,0,.030352263
"louvain","fob",1859,"contig_large",0,0,0,.081972212
"louvain","fob",1860,"contig_large",0,0,0,-.066590592
"louvain","fob",1861,"contig_large",0,0,0,.043689732
"louvain","fob",1862,"contig_large",0,0,0,-.071886465
"louvain","fob",1863,"contig_large",0,0,0,-.04319407
"louvain","fob",1864,"contig_large",0,0,0,-.049713057
"louvain","fob",1865,"contig_large",0,0,0,-.023627382
"louvain","fob",1866,"contig_large",0,0,0,.043944702
"louvain","fob",1867,"contig_large",0,0,0,-.029168639
"louvain","fob",1868,"contig_large",0,0,0,-.030667024
"louvain","fob",1869,"contig_large",0,0,0,-.05530275
"louvain","fob",1870,"contig_large",0,0,0,-.044637337
"louvain","fob",1871,"contig_large",0,0,0,-.11199892
"louvain","fob",1872,"contig_large",0,0,0,-.03438846
"louvain","fob",1873,"contig_large",0,0,0,-.077224061
"louvain","fob",1874,"contig_large",0,0,0,-.055943038
"louvain","fob",1875,"contig_large",0,0,0,-.054711726
"louvain","fob",1876,"contig_large",0,0,0,-.061545361
"louvain","fob",1877,"contig_large",0,0,0,-.083823346
"louvain","fob",1878,"contig_large",0,0,0,-.08958625
"louvain","fob",1879,"contig_large",0,0,0,-.1202521
"louvain","fob",1880,"contig_large",0,0,0,-.11220592
"louvain","fob",1881,"contig_large",0,0,0,-.033948321
"louvain","fob",1882,"contig_large",0,0,0,-.11292676
"louvain","fob",1883,"contig_large",0,0,0,-.1351646
"louvain","fob",1884,"contig_large",0,0,0,.058079045
"louvain","fob",1885,"contig_large",0,0,0,-.037058074
"louvain","fob",1886,"contig_large",0,0,0,-.12162846
"louvain","fob",1887,"contig_large",0,0,0,-.11822238
