NetworkType,CafFob,year,var,coef,ci_low,ci_high,r2p
"louvain","fob",1833,"ln_dist",-.97422379,-1.0885766,-.85987103,.11877979
"louvain","fob",1834,"ln_dist",-.5756892,-.67815107,-.47322735,.04444243
"louvain","fob",1835,"ln_dist",-.95809978,-1.0743731,-.84182656,.11423596
"louvain","fob",1836,"ln_dist",-.79339182,-.90032595,-.68645763,.081626318
"louvain","fob",1837,"ln_dist",-.73920238,-.83710629,-.64129847,.068332903
"louvain","fob",1838,"ln_dist",-1.1127486,-1.2238243,-1.0016731,.14554343
"louvain","fob",1839,"ln_dist",-1.0173633,-1.1184357,-.91629094,.1340782
"louvain","fob",1840,"ln_dist",-.85042822,-.94257444,-.75828195,.086882055
"louvain","fob",1841,"ln_dist",-.67122787,-.76201892,-.58043683,.058561567
"louvain","fob",1842,"ln_dist",-.76483244,-.85859698,-.67106783,.069255762
"louvain","fob",1843,"ln_dist",-.80235338,-.89380372,-.71090305,.072860986
"louvain","fob",1844,"ln_dist",-.60697937,-.69366103,-.52029777,.042879794
"louvain","fob",1845,"ln_dist",-.69407219,-.79009408,-.59805024,.059202664
"louvain","fob",1846,"ln_dist",-.59292769,-.67994654,-.50590879,.040917259
"louvain","fob",1847,"ln_dist",-.54678977,-.6316058,-.46197364,.038792703
"louvain","fob",1848,"ln_dist",-.76756638,-.85581237,-.67932039,.072008893
"louvain","fob",1849,"ln_dist",-.451534,-.54730451,-.35576355,.02138208
"louvain","fob",1850,"ln_dist",-.54659265,-.63850319,-.45468211,.034610927
"louvain","fob",1851,"ln_dist",-.41107702,-.50825465,-.31389937,.017410766
"louvain","fob",1852,"ln_dist",-.51208246,-.6004678,-.42369708,.028133862
"louvain","fob",1853,"ln_dist",-.40232179,-.49811947,-.30652413,.016484682
"louvain","fob",1854,"ln_dist",-.36479127,-.44654161,-.28304091,.014329873
"louvain","fob",1855,"ln_dist",-.57192421,-.65744925,-.4863992,.036364134
"louvain","fob",1856,"ln_dist",-.71985716,-.81270903,-.62700528,.061832309
"louvain","fob",1857,"ln_dist",-.78136724,-.86512548,-.69760901,.06789358
"louvain","fob",1858,"ln_dist",-1.0960279,-1.1980565,-.9939993,.1362146
