NetworkType,CafFob,year,var,coef,ci_low,ci_high,r2p
"intramax","fob",1833,"mid_herit",-.01726032,-.36363217,.32911155,-.092992038
"intramax","fob",1834,"mid_herit",-.057031557,-.235791,.12172788,-.12354545
"intramax","fob",1835,"mid_herit",-.17959046,-.6333276,.27414665,-.14795883
"intramax","fob",1836,"mid_herit",-.41057909,-.9252243,.10406615,-.028600376
"intramax","fob",1837,"mid_herit",-.0156695,-.3405413,.30920231,.018507885
"intramax","fob",1838,"mid_herit",.11257954,-.13236557,.35752463,-.12429372
"intramax","fob",1839,"mid_herit",-.16602173,-.57772768,.24568419,-.076306395
"intramax","fob",1840,"mid_herit",-.069900155,-.34426051,.2044602,-.003959558
"intramax","fob",1841,"mid_herit",-.056380365,-.35931993,.24655919,-.23444323
"intramax","fob",1842,"mid_herit",-.34286821,-.6575408,-.028195636,-.085993886
"intramax","fob",1843,"mid_herit",.1912666,-.19770454,.58023775,-.061581697
"intramax","fob",1844,"mid_herit",.1497526,-.3050212,.6045264,-.24023901
"intramax","fob",1845,"mid_herit",.07175646,-.20599619,.34950909,-.02205896
"intramax","fob",1846,"mid_herit",.059251424,-.17481604,.2933189,-.042401779
"intramax","fob",1847,"mid_herit",-.14498249,-.32390153,.033936564,-.057897978
"intramax","fob",1848,"mid_herit",-.066512376,-.28799847,.15497372,-.030451478
"intramax","fob",1849,"mid_herit",-.15321481,-.52297956,.21654995,-.11213032
"intramax","fob",1850,"mid_herit",.14150067,-.15645882,.43946016,-.16947903
"intramax","fob",1851,"mid_herit",.1730704,-.10644076,.45258155,-.12786579
"intramax","fob",1852,"mid_herit",-.035221439,-.35561812,.28517523,.0044307555
"intramax","fob",1853,"mid_herit",-.2601667,-.58085555,.060522124,-.013211701
"intramax","fob",1854,"mid_herit",-.25190261,-.59916413,.095358878,-.0095386254
"intramax","fob",1855,"mid_herit",.20498927,-.13723306,.54721159,-.033570457
"intramax","fob",1856,"mid_herit",.31565738,.13683702,.49447772,.013218259
"intramax","fob",1857,"mid_herit",.22432598,.049085367,.39956662,-.15526393
"intramax","fob",1858,"mid_herit",-.030067021,-.24552365,.18538961,-.02382735
"intramax","fob",1859,"mid_herit",.15622742,5.8476535e-06,.31244901,.0065653413
"intramax","fob",1860,"mid_herit",.27020866,.07236471,.4680526,-.044884294
"intramax","fob",1861,"mid_herit",.38047194,.03891401,.72202986,.0022793936
"intramax","fob",1862,"mid_herit",.21491888,-.00031740102,.43015519,-.059065852
"intramax","fob",1863,"mid_herit",.22357839,-.083072081,.53022885,-.028662289
"intramax","fob",1864,"mid_herit",-.086281396,-.33165571,.1590929,-.015240856
"intramax","fob",1865,"mid_herit",-.7601372,-1.1874739,-.33280048,-.10585217
"intramax","fob",1866,"mid_herit",.21045963,-.088158973,.50907826,-.016457193
"intramax","fob",1867,"mid_herit",-.43169343,-.84651661,-.016870264,-.011695382
"intramax","fob",1868,"mid_herit",-.53142583,-1.0030447,-.059806839,.021410998
"intramax","fob",1869,"mid_herit",-.19299203,-.63899738,.25301331,-.0059137391
"intramax","fob",1870,"mid_herit",.22906181,-.26015803,.71828163,.027912958
"intramax","fob",1871,"mid_herit",-.054022416,-.56603837,.45799351,-.0010011212
"intramax","fob",1872,"mid_herit",-.013560519,-.4729529,.44583187,-.0032800713
"intramax","fob",1873,"mid_herit",.13032125,-.30797461,.56861711,.00051889388
"intramax","fob",1874,"mid_herit",-.19217326,-.73502409,.35067758,-.060443453
"intramax","fob",1875,"mid_herit",-.19342422,-.7014392,.31459075,-.0034068869
"intramax","fob",1876,"mid_herit",-.56061053,-1.3822246,.26100352,-.005421849
"intramax","fob",1877,"mid_herit",-.16716708,-.74225414,.40791994,-.013283349
"intramax","fob",1878,"mid_herit",-.28027907,-.90479225,.34423411,.0036244823
"intramax","fob",1879,"mid_herit",.22825281,-.15237582,.60888141,.01455966
"intramax","fob",1880,"mid_herit",.35853222,-.078401782,.79546618,-.0092824148
"intramax","fob",1881,"mid_herit",-.13298275,-.74126077,.47529528,-.0055407668
"intramax","fob",1882,"mid_herit",.026636876,-.46646735,.51974112,-.022743117
"intramax","fob",1883,"mid_herit",.12660961,-.34053788,.59375709,.018445622
