NetworkType,CafFob,year,var,coef,ci_low,ci_high,r2p
"intramax","fob",1833,"mid_n",-.15313619,-.87328368,.5670113,-.002718698
"intramax","fob",1834,"mid_n",0,0,0,.0018485279
"intramax","fob",1835,"mid_n",0,0,0,-.00026356848
"intramax","fob",1836,"mid_n",-.44072375,-2.1039999,1.2225524,-.0022718734
"intramax","fob",1837,"mid_n",0,0,0,-.0032069494
"intramax","fob",1838,"mid_n",-.45578387,-1.4629065,.55133879,-.0027079594
"intramax","fob",1839,"mid_n",.31364173,-.67615169,1.3034352,-.0030208458
"intramax","fob",1840,"mid_n",-.024079982,-1.8445629,1.7964029,.0019198663
"intramax","fob",1841,"mid_n",0,0,0,-.00085513626
"intramax","fob",1842,"mid_n",1.9638618,1.1725684,2.7551551,.00060170615
"intramax","fob",1843,"mid_n",-.93666351,-2.4177027,.54437572,-.00063900248
"intramax","fob",1844,"mid_n",.51136166,-2.3357251,3.3584483,-.00076143048
"intramax","fob",1845,"mid_n",1.3309966,.54238021,2.1196132,.00078624336
"intramax","fob",1846,"mid_n",-2.4158118,-4.4052081,-.42641559,-.00028791514
"intramax","fob",1847,"mid_n",0,0,0,-.0029612449
"intramax","fob",1848,"mid_n",1.8745562,1.0489028,2.7002096,.0037612088
"intramax","fob",1849,"mid_n",-.39109835,-1.1715384,.38934171,-.0024217099
"intramax","fob",1850,"mid_n",-2.187423,-4.1859503,-.18889567,-.00016069307
"intramax","fob",1851,"mid_n",0,0,0,.0007517726
"intramax","fob",1852,"mid_n",-.63580251,-1.8369787,.5653736,.00027435122
"intramax","fob",1853,"mid_n",.24784236,-.43951371,.93519843,-.00020497506
"intramax","fob",1854,"mid_n",.26190647,-.24832906,.77214205,.000070178925
"intramax","fob",1855,"mid_n",1.5601017,.69987869,2.4203248,.002448003
"intramax","fob",1856,"mid_n",-.64055234,-1.1783711,-.10273365,.0016807433
"intramax","fob",1857,"mid_n",.20884602,-.42300019,.84069222,.0025434915
"intramax","fob",1858,"mid_n",-.67881477,-1.4052937,.047664251,-.0010891935
"intramax","fob",1859,"mid_n",-1.2669443,-2.4879332,-.045955528,.0016932569
"intramax","fob",1860,"mid_n",-1.6993569,-3.1394103,-.25930354,.0013890958
"intramax","fob",1861,"mid_n",0,0,0,-.0010028044
"intramax","fob",1862,"mid_n",-.79658723,-1.4893459,-.10382847,.0006459764
"intramax","fob",1863,"mid_n",.21517846,-.37728959,.80764651,-.0020458426
"intramax","fob",1864,"mid_n",0,0,0,.00068670639
"intramax","fob",1865,"mid_n",1.191551,.51836872,1.8647331,.0002546093
"intramax","fob",1866,"mid_n",-1.4073066,-2.5984082,-.21620473,.00052918156
"intramax","fob",1867,"mid_n",.029910265,-2.0428433,2.1026638,-.0010306984
"intramax","fob",1868,"mid_n",1.5347973,-.89563066,3.9652252,.002114255
"intramax","fob",1869,"mid_n",1.2498686,-.1989996,2.6987369,-.0034616773
"intramax","fob",1870,"mid_n",-1.4108136,-2.9136486,.092021458,.00084435509
"intramax","fob",1871,"mid_n",-1.4062381,-3.4497859,.63730991,.00011931369
"intramax","fob",1872,"mid_n",1.1729313,-.67784983,3.0237126,-.0011008346
"intramax","fob",1873,"mid_n",-1.5642359,-2.7468188,-.38165301,-.00059818866
"intramax","fob",1874,"mid_n",0,0,0,-.00028674104
"intramax","fob",1875,"mid_n",.32971823,-1.8839682,2.5434048,-.0019377627
"intramax","fob",1876,"mid_n",-.40272039,-1.2627724,.45733172,-.0016225117
"intramax","fob",1877,"mid_n",-.65949416,-2.1460376,.82704931,-.0016352962
"intramax","fob",1878,"mid_n",-.9316324,-2.3923643,.52909946,-.00078892999
"intramax","fob",1879,"mid_n",0,0,0,-.00087362487
"intramax","fob",1880,"mid_n",.47923124,-.23258725,1.1910497,-.0021177302
"intramax","fob",1881,"mid_n",.064292662,-.5485509,.67713618,-.0012006043
"intramax","fob",1882,"mid_n",.83780968,-.031445902,1.7070652,-.0019473803
"intramax","fob",1883,"mid_n",.43922877,-.23704709,1.1155046,-.0025961581
"intramax","fob",1884,"mid_n",-.5644353,-1.6690478,.54017723,-.00080472563
"intramax","fob",1885,"mid_n",.14926995,-.42937177,.72791171,-.00092419598
"intramax","fob",1886,"mid_n",.30793101,-.36140957,.97727162,-.0010883169
"intramax","fob",1887,"mid_n",.25401106,-.45212314,.96014524,-.0021446638
"intramax","fob",1888,"mid_n",-1.8635563,-3.0226851,-.70442742,.00059226656
"intramax","fob",1889,"mid_n",-2.4026067,-4.3877392,-.41747409,.00043422673
"intramax","fob",1890,"mid_n",-2.4112983,-4.4572072,-.36538959,.000065532491
"intramax","fob",1891,"mid_n",.63984317,-.070688203,1.3503746,.00048553772
"intramax","fob",1892,"mid_n",.64636767,-2.1312208,3.4239562,-.00043837898
"intramax","fob",1893,"mid_n",-1.1446853,-1.7383021,-.55106843,.00089429645
"intramax","fob",1894,"mid_n",1.8983296,-.30845374,4.105113,-.00080131233
"intramax","fob",1895,"mid_n",.30221832,-.20063055,.80506718,-.00091494044
"intramax","fob",1896,"mid_n",.59569299,.21281968,.97856635,.00030613376
"intramax","fob",1897,"mid_n",.36398065,.057365496,.67059582,-.0020181616
"intramax","fob",1898,"mid_n",-.077040069,-.45289275,.2988126,-.00060245616
"intramax","fob",1899,"mid_n",-.36496526,-1.3310591,.60112852,-.0010351347
"intramax","fob",1900,"mid_n",-.91375011,-1.7439771,-.083523251,-.0017236269
"intramax","fob",1901,"mid_n",2.8491518,1.5852158,4.1130881,.0012229473
"intramax","fob",1902,"mid_n",.86141568,.25628355,1.4665477,-.0020845898
"intramax","fob",1903,"mid_n",1.0798451,.60256422,1.557126,-.0014034508
"intramax","fob",1904,"mid_n",-.46527186,-1.2289772,.29843342,-.0013596051
"intramax","fob",1905,"mid_n",-.18611543,-.81791359,.44568273,-.0020641868
"intramax","fob",1906,"mid_n",.13151304,-.55212325,.81514931,-.0018418246
"intramax","fob",1907,"mid_n",.62467355,-.4446637,1.6940109,-.0011687229
"intramax","fob",1908,"mid_n",-.11278005,-1.3360633,1.1105032,-.000079739046
"intramax","fob",1909,"mid_n",-.23826867,-1.231859,.75532162,-.0011604078
"intramax","fob",1910,"mid_n",1.5466819,.85128224,2.2420816,.0018711129
"intramax","fob",1911,"mid_n",-.77648741,-1.1860261,-.36694872,-.00016080703
"intramax","fob",1912,"mid_n",-.21776126,-.98348075,.54795825,-.0011345166
"intramax","fob",1913,"mid_n",.47981799,-.098756544,1.0583925,-.0014514459
"intramax","fob",1914,"mid_n",.11863934,-.14637426,.38365293,-.0012163634
"intramax","fob",1915,"mid_n",-.41765043,-.71231371,-.1229872,-.0004935824
"intramax","fob",1916,"mid_n",-.29079497,-.5826441,.0010541588,-.001724032
"intramax","fob",1917,"mid_n",-.4387719,-.67438167,-.20316213,-.0011247146
"intramax","fob",1918,"mid_n",-.27789858,-.56206673,.0062695895,.00073481654
"intramax","fob",1919,"mid_n",-.13075094,-.59216285,.33066094,-.0011830741
"intramax","fob",1920,"mid_n",.085863583,-.40451071,.57623786,-.0011972971
"intramax","fob",1921,"mid_n",-.80878955,-1.5064187,-.1111604,-.00001509839
"intramax","fob",1922,"mid_n",-.70036858,-1.1596501,-.24108705,.0017293106
"intramax","fob",1923,"mid_n",-.80533606,-1.4228939,-.18777832,.0025973246
"intramax","fob",1924,"mid_n",-.2532663,-2.4223487,1.9158162,-.00086648099
