year,id,importerLabel,exporterLabel,importerReporting,exporterReporting,CafFob,newimporterId,newexporterId,valueToSplit,pred_trade
1833,2->Egypt Arab Republic (Egypt) & Levant & Turkey (Ottoman Empire),Egypt Arab Republic (Egypt) & Levant & Turkey (Ottoman Empire),United States of America,,1,FromExporter,651,2,34937.629,8290.79
1833,2->Egypt Arab Republic (Egypt) & Levant & Turkey (Ottoman Empire),Egypt Arab Republic (Egypt) & Levant & Turkey (Ottoman Empire),United States of America,,1,FromExporter,640,2,34937.629,26646.838
1833,2->French West Indies,French West Indies,United States of America,,1,FromExporter,65,2,128234.81,63717.602
1833,2->French West Indies,French West Indies,United States of America,,1,FromExporter,66,2,128234.81,64517.215
1833,2->Norway & Sweden,Norway & Sweden,United States of America,,1,FromExporter,380,2,51105.75,15723.32
1833,2->Norway & Sweden,Norway & Sweden,United States of America,,1,FromExporter,385,2,51105.75,35382.43
1833,211->Bremen & Hamburg,Bremen & Hamburg,Belgium,,1,FromExporter,246,211,49369.676,9946.4375
1833,211->Bremen & Hamburg,Bremen & Hamburg,Belgium,,1,FromExporter,248,211,49369.676,39423.238
1833,211->Norway & Sweden,Norway & Sweden,Belgium,,1,FromExporter,380,211,8755.4941,2693.7368
1833,211->Norway & Sweden,Norway & Sweden,Belgium,,1,FromExporter,385,211,8755.4941,6061.7573
1833,220->Cape Colony (Cape of Good Hope) & Mauritius,Cape Colony (Cape of Good Hope) & Mauritius,France,,1,FromExporter,561,220,47012.734,5854.0044
1833,220->Cape Colony (Cape of Good Hope) & Mauritius,Cape Colony (Cape of Good Hope) & Mauritius,France,,1,FromExporter,590,220,47012.734,41158.73
1833,220->Papal States & Tuscany,Papal States & Tuscany,France,,1,FromExporter,337,220,333006.84,100362.97
1833,220->Papal States & Tuscany,Papal States & Tuscany,France,,1,FromExporter,327,220,333006.84,232643.88
1833,220->Spanish America,Spanish America,France,,1,FromExporter,6,220,262487.75,13408.556
1833,220->Spanish America,Spanish America,France,,1,FromExporter,40,220,262487.75,249079.19
1833,2301->French Africa,French Africa,Balearic Islands,,1,FromExporter,585,230,11643.486,1630.1536
1833,2301->French Africa,French Africa,Balearic Islands,,1,FromExporter,433,230,11643.486,3292.3672
1833,2301->French Africa,French Africa,Balearic Islands,,1,FromExporter,615,230,11643.486,6720.9658
1833,246->Norway & Sweden,Norway & Sweden,Bremen,,1,FromExporter,380,246,29461.313,9064.1396
1833,246->Norway & Sweden,Norway & Sweden,Bremen,,1,FromExporter,385,246,29461.313,20397.172
1833,329->Norway & Sweden,Norway & Sweden,Two Sicilies,,1,FromExporter,380,329,8791.3809,2704.7776
1833,329->Norway & Sweden,Norway & Sweden,Two Sicilies,,1,FromExporter,385,329,8791.3809,6086.603
1833,365->Norway & Sweden,Norway & Sweden,Russia (USSR),,1,FromExporter,380,365,149268.25,45924.234
1833,365->Norway & Sweden,Norway & Sweden,Russia (USSR),,1,FromExporter,385,365,149268.25,103344.02
1833,365->Portugal & Spain,Portugal & Spain,Russia (USSR),,1,FromExporter,235,365,50550.785,18776.023
1833,365->Portugal & Spain,Portugal & Spain,Russia (USSR),,1,FromExporter,230,365,50550.785,31774.762
1833,Alexandria->Malta & United Kingdom,Malta & United Kingdom,Alexandria,,1,FromExporter,338,651,127236.05,2316.3916
1833,Alexandria->Malta & United Kingdom,Malta & United Kingdom,Alexandria,,1,FromExporter,200,651,127236.05,124919.66
1833,Amsterdam->Norway & Sweden,Norway & Sweden,Amsterdam,,1,FromExporter,385,210,0,0
1833,Amsterdam->Norway & Sweden,Norway & Sweden,Amsterdam,,1,FromExporter,380,210,0,0
1833,Bilbao->Norway & Sweden,Norway & Sweden,Bilbao,,1,FromExporter,380,230,3525.9548,1084.804
1833,Bilbao->Norway & Sweden,Norway & Sweden,Bilbao,,1,FromExporter,385,230,3525.9548,2441.1509
1833,Fiume & Republic of St. Mark & Trieste->Gibraltar & Malta & United Kingdom,Gibraltar & Malta & United Kingdom,Fiume & Republic of St. Mark & Trieste,,1,FromExporter,338,300,221355.53,3821.3572
1833,Fiume & Republic of St. Mark & Trieste->Gibraltar & Malta & United Kingdom,Gibraltar & Malta & United Kingdom,Fiume & Republic of St. Mark & Trieste,,1,FromExporter,231,300,221355.53,11453.897
1833,Fiume & Republic of St. Mark & Trieste->Gibraltar & Malta & United Kingdom,Gibraltar & Malta & United Kingdom,Fiume & Republic of St. Mark & Trieste,,1,FromExporter,200,300,221355.53,206080.28
1833,Livorno->Ionian Is. & Malta,Ionian Is. & Malta,Livorno,,1,FromExporter,338,337,39177.277,19268.652
1833,Livorno->Ionian Is. & Malta,Ionian Is. & Malta,Livorno,,1,FromExporter,3349,337,39177.277,19908.623
