id,newexporterId,newimporterId,year,importerReporting,exporterReporting,pred_trade
2->Egypt Arab Republic (Egypt) & Levant & Turkey (Ottoman Empire),2,651,1837,,1,133.67056
2->Egypt Arab Republic (Egypt) & Levant & Turkey (Ottoman Empire),2,640,1837,,1,86.456383
211<-Cuba & Puerto Rico,6,211,1837,1,,1145.7086
220<-Spanish America,6,220,1837,1,,5626.5205
211<-Cuba & Puerto Rico,40,211,1837,1,,4435.1099
220<-Spanish America,40,220,1837,1,,21780.611
2<-French West Indies,65,2,1837,1,,9768.7881
2<-French West Indies,66,2,1837,1,,6767.874
Crete & Egypt Arab Republic (Egypt)<-Malta & United Kingdom,200,651,1837,1,,349.0304
211->Greece & Ionian Is.,211,3349,1837,,1,0
211->Greece & Ionian Is.,211,350,1837,,1,0
211<-Hanover & Oldenburg,240,211,1837,1,,197.90132
380<-Hanover & Hanse Towns & Mecklenburg Schwerin,240,380,1837,1,,497.86053
220<-Hanover & Hanse Towns,240,220,1837,1,,4256.4268
326<-Hanover & Hanse Towns,240,300,1837,1,,39.883759
365<-Hanse Towns,246,365,1837,1,,3179.1992
40<-Hanse Towns,246,40,1837,1,,46.779572
165<-Hanse Towns,246,165,1837,1,,5.2770119
Rio de Janeiro<-Hanse Towns,246,140,1837,1,,547.84454
380<-Hanover & Hanse Towns & Mecklenburg Schwerin,246,380,1837,1,,56.30048
Málaga<-Hanse Towns,246,230,1837,1,,.17275582
220<-Hanover & Hanse Towns,246,220,1837,1,,481.3374
211<-Hanse Towns,246,211,1837,1,,23.770029
326<-Hanover & Hanse Towns,246,300,1837,1,,4.5102487
326<-Hanover & Hanse Towns,248,300,1837,1,,11.003722
365<-Hanse Towns,248,365,1837,1,,7756.3398
380<-Hanover & Hanse Towns & Mecklenburg Schwerin,248,380,1837,1,,137.35713
220<-Hanover & Hanse Towns,248,220,1837,1,,1174.326
Málaga<-Hanse Towns,248,230,1837,1,,.42147499
165<-Hanse Towns,248,165,1837,1,,12.874406
40<-Hanse Towns,248,40,1837,1,,114.12882
Rio de Janeiro<-Hanse Towns,248,140,1837,1,,1336.5845
211<-Hanse Towns,248,211,1837,1,,57.9921
211<-Hanover & Oldenburg,257,211,1837,1,,37.654678
380<-Hanover & Hanse Towns & Mecklenburg Schwerin,276,380,1837,1,,.34609264
Málaga<-Hanse Towns,276,230,1837,1,,.0010619718
165<-Hanse Towns,276,165,1837,1,,.032439064
326<-Hanover & Hanse Towns,276,300,1837,1,,.027725587
Rio de Janeiro<-Hanse Towns,276,140,1837,1,,3.3677323
40<-Hanse Towns,276,40,1837,1,,.28756529
211<-Hanse Towns,276,211,1837,1,,.1461201
365<-Hanse Towns,276,365,1837,1,,19.543304
220<-Hanover & Hanse Towns,276,220,1837,1,,2.9588969
380<-Hanover & Hanse Towns & Mecklenburg Schwerin,280,380,1837,1,,19.429708
Livorno->Ionian Is. & Malta,337,338,1837,,1,13.94519
Livorno->Ionian Is. & Malta,337,3349,1837,,1,36.971455
Livorno<-Ionian Is. & Malta,338,337,1837,1,,53.579544
Crete & Egypt Arab Republic (Egypt)<-Malta & United Kingdom,338,651,1837,1,,6.4651437
211<-Greece & Ionian Is.,350,211,1837,1,,.38009906
327<-Norway & Sweden,380,327,1837,1,,2.5671017
235<-Norway & Sweden,380,235,1837,1,,85.85054
2<-Norway & Sweden,380,2,1837,1,,1809.3556
248<-Norway & Sweden,380,248,1837,1,,256.78952
Málaga<-Norway & Sweden,380,230,1837,1,,.32975057
211<-Norway & Sweden,380,211,1837,1,,75.985123
3261<-Norway & Sweden,380,300,1837,1,,104.89507
235<-Norway & Sweden,385,235,1837,1,,406.93506
248<-Norway & Sweden,385,248,1837,1,,1217.1927
327<-Norway & Sweden,385,327,1837,1,,12.168166
Málaga<-Norway & Sweden,385,230,1837,1,,1.5630311
3261<-Norway & Sweden,385,300,1837,1,,497.20688
2<-Norway & Sweden,385,2,1837,1,,8576.418
211<-Norway & Sweden,385,211,1837,1,,360.17252
220<-Cape Colony (Cape of Good Hope) & Mauritius,561,220,1837,1,,28.336388
220<-Cape Colony (Cape of Good Hope) & Mauritius,590,220,1837,1,,3917.4919
2<-Egypt Arab Republic (Egypt) & Levant & Turkey (Ottoman Empire),640,2,1837,1,,7825.6558
2<-Egypt Arab Republic (Egypt) & Levant & Turkey (Ottoman Empire),651,2,1837,1,,1643.3247
Livorno<-Ionian Is. & Malta,3349,337,1837,1,,160.63072
211<-Greece & Ionian Is.,3349,211,1837,1,,1.4496511
