id,newexporterId,newimporterId,year,importerLabel,importerReporting,exporterLabel,exporterReporting,valueToSplit,pred_trade
101<-Dutch Colonies & Netherlands,850,101,1842,Venezuela,1,Dutch Colonies & Netherlands,,58523.293,32859.141
101<-Dutch Colonies & Netherlands,68,101,1842,Venezuela,1,Dutch Colonies & Netherlands,,58523.293,8644.9521
101<-Dutch Colonies & Netherlands,210,101,1842,Venezuela,1,Dutch Colonies & Netherlands,,58523.293,17019.203
101<-Hanse Towns,276,101,1842,Venezuela,1,Hanse Towns,,118413.31,3.5648243
101<-Hanse Towns,248,101,1842,Venezuela,1,Hanse Towns,,118413.31,98733.945
101<-Hanse Towns,246,101,1842,Venezuela,1,Hanse Towns,,118413.31,19675.797
2->Egypt Arab Republic (Egypt) & Levant & Turkey (Ottoman Empire),2,640,1842,Egypt Arab Republic (Egypt) & Levant & Turkey (Ottoman Empire),,United States of America,1,26368.297,5569.521
2->Egypt Arab Republic (Egypt) & Levant & Turkey (Ottoman Empire),2,651,1842,Egypt Arab Republic (Egypt) & Levant & Turkey (Ottoman Empire),,United States of America,1,26368.297,20798.775
2->French West Indies,2,66,1842,French West Indies,,United States of America,1,104068.44,52537.168
2->French West Indies,2,65,1842,French West Indies,,United States of America,1,104068.44,51531.27
211<-Cuba & Puerto Rico,6,211,1842,Belgium,1,Cuba & Puerto Rico,,339591.53,107162.4
211<-Cuba & Puerto Rico,40,211,1842,Belgium,1,Cuba & Puerto Rico,,339591.53,232429.11
211<-Greece & Ionian Is.,3349,211,1842,Belgium,1,Greece & Ionian Is.,,0,0
211<-Greece & Ionian Is.,350,211,1842,Belgium,1,Greece & Ionian Is.,,0,0
211<-Hanse Towns,248,211,1842,Belgium,1,Hanse Towns,,62490.18,52104.801
211<-Hanse Towns,246,211,1842,Belgium,1,Hanse Towns,,62490.18,10383.496
211<-Hanse Towns,276,211,1842,Belgium,1,Hanse Towns,,62490.18,1.8812624
211<-India & People's Republic of China (China) & Singapore,710,211,1842,Belgium,1,India & People's Republic of China (China) & Singapore,,34642.578,13581.143
211<-India & People's Republic of China (China) & Singapore,827,211,1842,Belgium,1,India & People's Republic of China (China) & Singapore,,34642.578,9222.5166
211<-India & People's Republic of China (China) & Singapore,750,211,1842,Belgium,1,India & People's Republic of China (China) & Singapore,,34642.578,11838.919
211<-Norway & Sweden,380,211,1842,Belgium,1,Norway & Sweden,,81304.008,63283.754
211<-Norway & Sweden,385,211,1842,Belgium,1,Norway & Sweden,,81304.008,18020.254
220<-Cape Colony (Cape of Good Hope) & Mauritius,561,220,1842,France,1,Cape Colony (Cape of Good Hope) & Mauritius,,3927.7297,259.09555
220<-Cape Colony (Cape of Good Hope) & Mauritius,590,220,1842,France,1,Cape Colony (Cape of Good Hope) & Mauritius,,3927.7297,3668.634
220<-Hanse Towns,276,220,1842,France,1,Hanse Towns,,247446.97,7.4493737
220<-Hanse Towns,246,220,1842,France,1,Hanse Towns,,247446.97,41116.297
220<-Hanse Towns,248,220,1842,France,1,Hanse Towns,,247446.97,206323.22
220<-Spanish America,40,220,1842,France,1,Spanish America,,294579.72,201621.38
220<-Spanish America,6,220,1842,France,1,Spanish America,,294579.72,92958.359
2<-Egypt Arab Republic (Egypt) & Levant & Turkey (Ottoman Empire),651,2,1842,United States of America,1,Egypt Arab Republic (Egypt) & Levant & Turkey (Ottoman Empire),,77778.289,20546.592
2<-Egypt Arab Republic (Egypt) & Levant & Turkey (Ottoman Empire),640,2,1842,United States of America,1,Egypt Arab Republic (Egypt) & Levant & Turkey (Ottoman Empire),,77778.289,57231.699
2<-French West Indies,65,2,1842,United States of America,1,French West Indies,,41837.699,22666.424
2<-French West Indies,66,2,1842,United States of America,1,French West Indies,,41837.699,19171.275
