__origid,ipno,epno,exporter_part,importer_part,year,status,notes,importerLabel,importerId,exporterLabel,exporterId,ExportsImports,value,importerReporting,importerReportingByAggregateInto,importerReportingBySplit,exporterReporting,exporterReportingByAggregateInto,exporterReportingBySplit,partialImp,ImpReportedBy,partialExp,ExprReportedBy,ln_value,importer_lbl,exporter_lbl,importer,importer_coef,exporter,exporter_coef,importer_lat,importer_lng,exporter_lat,exporter_lng,distance_km,ln_distance,pred,sum_pred,pred_trade,success
1591,1,2,Puerto Rico,Belgium,1856,ok thanks to gravity,,Belgium,211,Puerto Rico,Cuba & Puerto Rico,FromImporter,419821.47,1,,,,,,,Belgium,,,12.947585,Belgium,Cuba & Puerto Rico,32,1.707331577768657,206,2.639314701232163,50.641109,4.6680555,18.25,-66.5,7136.674792545111,8.8730021,39.717518,125.98941,132346.58,287474.91
1591,1,1,Cuba,Belgium,1856,ok thanks to gravity,,Belgium,211,Cuba,Cuba & Puerto Rico,FromImporter,419821.47,1,,,,,,,Belgium,,,12.947585,Belgium,Cuba & Puerto Rico,32,1.707331577768657,72,3.415026283325003,50.641109,4.6680555,22,-79.5,7745.365064072016,8.9548502,86.271896,125.98941,287474.91,287474.91
1593,1,2,Ionian Is.,Belgium,1856,ok thanks to gravity,,Belgium,211,Ionian Is.,Greece & Ionian Is.,FromImporter,31289.58,1,,,,,,,Belgium,,,10.351041,Belgium,Greece & Ionian Is.,32,1.707331577768657,132,-.3861748788943401,50.641109,4.6680555,37.799999,20.700001,1909.292318386489,7.5544877,1.9276521,5.2604718,11465.782,19823.797
1593,1,1,Greece,Belgium,1856,ok thanks to gravity,,Belgium,211,Greece,Greece & Ionian Is.,FromImporter,31289.58,1,,,,,,,Belgium,,,10.351041,Belgium,Greece & Ionian Is.,32,1.707331577768657,108,.1613411119050997,50.641109,4.6680555,38.5,23,1974.98951174043,7.5883183,3.3328197,5.2604718,19823.797,19823.797
1594,1,1,Haiti,Belgium,1856,ok thanks to gravity,,Belgium,211,Haiti,Haiti & Venezuela,FromImporter,121707.84,1,,,,,,,Belgium,,,11.709379,Belgium,Haiti & Venezuela,32,1.707331577768657,118,1.788197022838627,50.641109,4.6680555,19,-72.800003,7520.526368681306,8.9253912,16.956896,30.378733,67935.266,67935.266
1594,1,2,Venezuela,Belgium,1856,ok thanks to gravity,,Belgium,211,Venezuela,Haiti & Venezuela,FromImporter,121707.84,1,,,,,,,Belgium,,,11.709379,Belgium,Haiti & Venezuela,32,1.707331577768657,259,1.554405370296275,50.641109,4.6680555,8,-67,8033.791969282752,8.9914122,13.421837,30.378733,53772.578,67935.266
1595,1,2,Oldenburg,Belgium,1856,ok thanks to gravity,,Belgium,211,Oldenburg,Hanover & Oldenburg,FromImporter,21996.811,1,,,,,,,Belgium,,,9.9986525,Belgium,Hanover & Oldenburg,32,1.707331577768657,189,-1.644232231117223,50.641109,4.6680555,53.14389,8.2138891,370.2243193823152,5.9141092,.54784954,2.5648241,4698.5454,17298.264
1595,1,1,Hanover,Belgium,1856,ok thanks to gravity,,Belgium,211,Hanover,Hanover & Oldenburg,FromImporter,21996.811,1,,,,,,,Belgium,,,9.9986525,Belgium,Hanover & Oldenburg,32,1.707331577768657,121,-.3408790172850467,50.641109,4.6680555,52.374443,9.7386112,401.2726248305669,5.9946408,2.0169744,2.5648241,17298.264,17298.264
1599,1,1,Norway,Belgium,1856,ok thanks to gravity,,Belgium,211,Norway,Norway & Sweden,FromImporter,144802.53,1,,,,,,,Belgium,,,11.883126,Belgium,Norway & Sweden,32,1.707331577768657,184,1.250952837270805,50.641109,4.6680555,65,11,1640.876114937946,7.4029856,9.9088717,20.080091,71455.336,73347.195
1599,1,2,Sweden,Belgium,1856,ok thanks to gravity,,Belgium,211,Sweden,Norway & Sweden,FromImporter,144802.53,1,,,,,,,Belgium,,,11.883126,Belgium,Norway & Sweden,32,1.707331577768657,243,1.277084513053799,50.641109,4.6680555,61,15,1319.171452507266,7.1847591,10.17122,20.080091,73347.195,73347.195
1604,2,1,Puerto Rico,Hamburg,1856,ok thanks to gravity,,Hamburg,Bremen & Hamburg,Puerto Rico,6,FromExporter,63163.777,,,,1,,,,,,,11.053486,Bremen & Hamburg,Puerto Rico,117,1.315859973767528,206,2.639314701232163,53.549999,10,18.25,-66.5,7507.033973214592,8.9235954,26.851473,46.763672,36268.332,36268.332
1604,1,1,Puerto Rico,Bremen,1856,ok thanks to gravity,,Bremen,Bremen & Hamburg,Puerto Rico,6,FromExporter,63163.777,,,,1,,,,,,,11.053486,Bremen & Hamburg,Puerto Rico,41,1.01687190209352,206,2.639314701232163,53.133335,8.7333336,18.25,-66.5,7422.802564088783,8.9123116,19.912201,46.763672,26895.447,36268.332
1643,1,1,Belgium,Cuba,1856,ok thanks to gravity,,Cuba,Cuba & Puerto Rico,Belgium,211,FromExporter,197265.52,,,,1,,,,,,,12.192306,Cuba & Puerto Rico,Belgium,72,2.954959200132884,29,1.000410969284547,22,-79.5,50.641109,4.6680555,7745.365064072016,8.9548502,26.856724,27.437334,193091.11,193091.11
1643,2,1,Belgium,Puerto Rico,1856,ok thanks to gravity,,Puerto Rico,Cuba & Puerto Rico,Belgium,211,FromExporter,197265.52,,,,1,,,,,,,12.192306,Cuba & Puerto Rico,Belgium,205,-.8792309632316906,29,1.000410969284547,18.25,-66.5,50.641109,4.6680555,7136.674792545111,8.8730021,.58061117,27.437334,4174.4058,193091.11
1653,1,1,Colombia (New Granada) (Gran Colombia),Dominican Republic (Santo Domingo),1856,ok thanks to gravity,,Dominican Republic (Santo Domingo),42,Colombia (New Granada) (Gran Colombia),Colombia (New Granada) (Gran Colombia) & Venezuela,FromImporter,85.889328,1,,,,,,,Dominican Republic (Santo Domingo),,,4.4530597,Dominican Republic (Santo Domingo),Colombia (New Granada) (Gran Colombia) & Venezuela,82,.0678688114266779,68,1.532019928447248,18.799999,-70.199997,4,-73.25,1670.514859226631,7.420887,2.547302,5.1522694,42.464016,43.425316
1653,1,2,Venezuela,Dominican Republic (Santo Domingo),1856,ok thanks to gravity,,Dominican Republic (Santo Domingo),42,Venezuela,Colombia (New Granada) (Gran Colombia) & Venezuela,FromImporter,85.889328,1,,,,,,,Dominican Republic (Santo Domingo),,,4.4530597,Dominican Republic (Santo Domingo),Colombia (New Granada) (Gran Colombia) & Venezuela,82,.0678688114266779,259,1.554405370296275,18.799999,-70.199997,8,-67,1243.961227826918,7.1260562,2.6049676,5.1522694,43.425316,43.425316
