__origid,ipno,epno,exporter_part,importer_part,year,status,notes,importerLabel,importerId,exporterLabel,exporterId,ExportsImports,value,importerReporting,importerReportingByAggregateInto,importerReportingBySplit,exporterReporting,exporterReportingByAggregateInto,exporterReportingBySplit,partialImp,ImpReportedBy,partialExp,ExprReportedBy,ln_value,importer_lbl,exporter_lbl,importer,importer_coef,exporter,exporter_coef,pred,sum_pred,pred_trade,success
1760,2,1,Norway,Brazil,1870,ok thanks to gravity,,Brazil,Argentina (La Plata) & Brazil,Norway,385,FromExporter,23206.775,,,,1,,,,,,,10.052199,Argentina (La Plata) & Brazil,Norway,33,2.990112631142459,172,1.728428357923326,112.00471,239.98022,10831.177,12375.6
1760,1,1,Norway,Argentina (La Plata),1870,ok thanks to gravity,,Argentina (La Plata),Argentina (La Plata) & Brazil,Norway,385,FromExporter,23206.775,,,,1,,,,,,,10.052199,Argentina (La Plata) & Brazil,Norway,9,3.123410640276598,172,1.728428357923326,127.97552,239.98022,12375.6,12375.6
1784,1,2,Puerto Rico,Belgium,1870,ok thanks to gravity,,Belgium,211,Puerto Rico,Cuba & Puerto Rico,FromImporter,237926.28,1,,,,,,,Belgium,,,12.379716,Belgium,Cuba & Puerto Rico,26,3.426891291628655,195,1.621143143853612,155.71609,279.815,132405.17,132405.17
1784,1,1,Cuba,Belgium,1870,ok thanks to gravity,,Belgium,211,Cuba,Cuba & Puerto Rico,FromImporter,237926.28,1,,,,,,,Belgium,,,12.379716,Belgium,Cuba & Puerto Rico,26,3.426891291628655,66,1.394187726394244,124.09892,279.815,105521.13,132405.17
1786,1,2,Malta,Belgium,1870,ok thanks to gravity,,Belgium,211,Malta,Gibraltar & Malta,FromImporter,6508.8599,1,,,,,,,Belgium,,,8.78092,Belgium,Gibraltar & Malta,26,3.426891291628655,149,-.2930162029812385,22.96279,31.282213,4777.8452,4777.8452
1786,1,1,Gibraltar,Belgium,1870,ok thanks to gravity,,Belgium,211,Gibraltar,Gibraltar & Malta,FromImporter,6508.8599,1,,,,,,,Belgium,,,8.78092,Belgium,Gibraltar & Malta,26,3.426891291628655,103,-1.308298293802793,8.3194237,31.282213,1731.0144,4777.8452
1787,1,1,Haiti,Belgium,1870,ok thanks to gravity,,Belgium,211,Haiti,Haiti & Venezuela,FromImporter,221771.77,1,,,,,,,Belgium,,,12.309404,Belgium,Haiti & Venezuela,26,3.426891291628655,116,.5791374775398118,54.928303,197.72852,61607.434,160164.33
1787,1,2,Venezuela,Belgium,1870,ok thanks to gravity,,Belgium,211,Venezuela,Haiti & Venezuela,FromImporter,221771.77,1,,,,,,,Belgium,,,12.309404,Belgium,Haiti & Venezuela,26,3.426891291628655,245,1.534555311497542,142.80022,197.72852,160164.33,160164.33
1789,1,2,Sweden,Belgium,1870,ok thanks to gravity,,Belgium,211,Sweden,Norway & Sweden,FromImporter,471853.13,1,,,,,,,Belgium,,,13.064423,Belgium,Norway & Sweden,26,3.426891291628655,231,1.774162560096169,181.46338,354.81458,241320.59,241320.59
1789,1,1,Norway,Belgium,1870,ok thanks to gravity,,Belgium,211,Norway,Norway & Sweden,FromImporter,471853.13,1,,,,,,,Belgium,,,13.064423,Belgium,Norway & Sweden,26,3.426891291628655,172,1.728428357923326,173.35121,354.81458,230532.56,241320.59
1791,1,1,Norway,Brazil,1870,ok thanks to gravity,,Brazil,140,Norway,Norway & Sweden,FromImporter,81818.688,1,,,,,,,Brazil,,,11.312261,Brazil,Norway & Sweden,33,2.990112631142459,172,1.728428357923326,112.00471,229.25082,39974.027,41844.66
1791,1,2,Sweden,Brazil,1870,ok thanks to gravity,,Brazil,140,Sweden,Norway & Sweden,FromImporter,81818.688,1,,,,,,,Brazil,,,11.312261,Brazil,Norway & Sweden,33,2.990112631142459,231,1.774162560096169,117.24611,229.25082,41844.66,41844.66
1854,1,1,Cochin China,France,1870,ok thanks to gravity,,France,220,Cochin China,Cochin China & Thailand (Siam),FromImporter,162717.78,1,,,,,,,France,,,11.999773,France,Cochin China & Thailand (Siam),86,5.068443572581672,60,.9352370192995759,404.91638,756.08759,87142.148,87142.148
1854,1,2,Thailand (Siam),France,1870,ok thanks to gravity,,France,220,Thailand (Siam),Cochin China & Thailand (Siam),FromImporter,162717.78,1,,,,,,,France,,,11.999773,France,Cochin China & Thailand (Siam),86,5.068443572581672,234,.7928302804905285,351.1712,756.08759,75575.633,87142.148
1884,1,1,United Kingdom,Guadeloupe,1870,ok thanks to gravity,,Guadeloupe,Guadeloupe & Martinique,United Kingdom,200,FromExporter,41851,,,,1,,,,,,,10.64187,Guadeloupe & Martinique,United Kingdom,105,1.964263532321758,241,5.463556186482764,1682.136,4535.3301,15522.37,26328.629
1884,2,1,United Kingdom,Martinique,1870,ok thanks to gravity,,Martinique,Guadeloupe & Martinique,United Kingdom,200,FromExporter,41851,,,,1,,,,,,,10.64187,Guadeloupe & Martinique,United Kingdom,144,2.492638204257793,241,5.463556186482764,2853.1941,4535.3301,26328.629,26328.629
1903,1,1,Denmark,Italy,1870,ok thanks to gravity,,Italy,325,Denmark,Denmark & Norway & Sweden,FromImporter,145594.73,1,,,,,,,Italy,,,11.888582,Italy,Denmark & Norway & Sweden,127,3.738320228641462,70,-.3288002428361666,30.250719,514.70563,8557.0186,70085.406
1903,1,2,Norway,Italy,1870,ok thanks to gravity,,Italy,325,Norway,Denmark & Norway & Sweden,FromImporter,145594.73,1,,,,,,,Italy,,,11.888582,Italy,Denmark & Norway & Sweden,127,3.738320228641462,172,1.728428357923326,236.68936,514.70563,66952.297,70085.406
1903,1,3,Sweden,Italy,1870,ok thanks to gravity,,Italy,325,Sweden,Denmark & Norway & Sweden,FromImporter,145594.73,1,,,,,,,Italy,,,11.888582,Italy,Denmark & Norway & Sweden,127,3.738320228641462,231,1.774162560096169,247.76552,514.70563,70085.406,70085.406
1912,1,2,Netherlands,Malta,1870,ok thanks to gravity,,Malta,338,Netherlands,Belgium & Netherlands,FromImporter,2437,1,,,,,,,Malta,,,7.7985229,Malta,Belgium & Netherlands,142,1.145987127130897,161,1.397608883511503,12.725349,34.942223,887.513,1549.4868
1912,1,1,Belgium,Malta,1870,ok thanks to gravity,,Malta,338,Belgium,Belgium & Netherlands,FromImporter,2437,1,,,,,,,Malta,,,7.7985229,Malta,Belgium & Netherlands,142,1.145987127130897,27,1.954864869028905,22.216871,34.942223,1549.4868,1549.4868
1929,2,1,Belgium,Sweden,1870,ok thanks to gravity,,Sweden,Norway & Sweden,Belgium,211,FromExporter,130765.35,,,,1,,,,,,,11.781159,Norway & Sweden,Belgium,225,2.296118209367963,27,1.954864869028905,70.174362,120.15329,76372.234,76372.234
1929,1,1,Belgium,Norway,1870,ok thanks to gravity,,Norway,Norway & Sweden,Belgium,211,FromExporter,130765.35,,,,1,,,,,,,11.781159,Norway & Sweden,Belgium,165,1.956736709517273,27,1.954864869028905,49.978931,120.15329,54393.121,76372.234
