year,id,importerLabel,exporterLabel,reportedByIX,CafFob,newimporterId,newimporterLabel,newexporterId,newexporterLabel,valueToSplit,pred_trade
1875,1048->French West Indies,French West Indies,Trinidad,X,FromExporter,65,Guadeloupe,1048,Trinidad,11507,2184.5586
1875,1048->French West Indies,French West Indies,Trinidad,X,FromExporter,66,Martinique,1048,Trinidad,11507,9322.4414
1875,1048->Spanish West Indies,Spanish West Indies,Trinidad,X,FromExporter,6,Puerto Rico,1048,Trinidad,1192,356.76407
1875,1048->Spanish West Indies,Spanish West Indies,Trinidad,X,FromExporter,40,Cuba,1048,Trinidad,1192,835.23596
1875,1055->20|21,,Windward Is.,X,FromExporter,21,Newfoundland and Labrador (Newfoundland),1055,Windward Is.,119866,34922.902
1875,1055->20|21,,Windward Is.,X,FromExporter,20,Canada (Province of Canada),1055,Windward Is.,119866,84943.102
1875,140->Norway & Sweden,Norway & Sweden,Brazil,X,FromExporter,380,Sweden,140,Brazil,80669.57,21369.467
1875,140->Norway & Sweden,Norway & Sweden,Brazil,X,FromExporter,385,Norway,140,Brazil,80669.57,59300.105
1875,2->British Colonies (other),British Colonies (other),United States of America,X,FromExporter,2249,Heligoland,2,United States of America,12068.375,2.6529679
1875,2->British Colonies (other),British Colonies (other),United States of America,X,FromExporter,338,Malta,2,United States of America,12068.375,12065.723
1875,2->Faeroe Is. & Greenland & Iceland,Faeroe Is. & Greenland & Iceland,United States of America,X,FromExporter,11,Faeroe Is.,2,United States of America,20.619833,1.7395616
1875,2->Faeroe Is. & Greenland & Iceland,Faeroe Is. & Greenland & Iceland,United States of America,X,FromExporter,10,Greenland,2,United States of America,20.619833,6.0299988
1875,2->Faeroe Is. & Greenland & Iceland,Faeroe Is. & Greenland & Iceland,United States of America,X,FromExporter,395,Iceland,2,United States of America,20.619833,12.850272
1875,2->French Guiana & French West Indies,French Guiana & French West Indies,United States of America,X,FromExporter,65,Guadeloupe,2,United States of America,239247.63,45420.219
1875,2->French Guiana & French West Indies,French Guiana & French West Indies,United States of America,X,FromExporter,66,Martinique,2,United States of America,239247.63,193827.41
1875,2->Norway & Sweden,Norway & Sweden,United States of America,X,FromExporter,380,Sweden,2,United States of America,169413.16,44877.75
1875,2->Norway & Sweden,Norway & Sweden,United States of America,X,FromExporter,385,Norway,2,United States of America,169413.16,124535.41
1875,2->Southern America (other),Southern America (other),United States of America,X,FromExporter,1163,Falkland Is.,2,United States of America,2590.4695,14.515519
1875,2->Southern America (other),Southern America (other),United States of America,X,FromExporter,150,Paraguay,2,United States of America,2590.4695,240.98582
1875,2->Southern America (other),Southern America (other),United States of America,X,FromExporter,115,Surinam (Dutch Guiana),2,United States of America,2590.4695,448.15298
1875,2->Southern America (other),Southern America (other),United States of America,X,FromExporter,130,Ecuador,2,United States of America,2590.4695,934.11072
1875,2->Southern America (other),Southern America (other),United States of America,X,FromExporter,145,Bolivia,2,United States of America,2590.4695,952.70441
1875,20->French West Indies,French West Indies,Canada (Province of Canada),X,FromExporter,65,Guadeloupe,20,Canada (Province of Canada),73946.102,14038.377
1875,20->French West Indies,French West Indies,Canada (Province of Canada),X,FromExporter,66,Martinique,20,Canada (Province of Canada),73946.102,59907.727
1875,20->Southern America,Southern America,Canada (Province of Canada),X,FromExporter,120,French Guiana,20,Canada (Province of Canada),132435.72,245.71405
1875,20->Southern America,Southern America,Canada (Province of Canada),X,FromExporter,1163,Falkland Is.,20,Canada (Province of Canada),132435.72,1220.4392
1875,20->Southern America,Southern America,Canada (Province of Canada),X,FromExporter,150,Paraguay,20,Canada (Province of Canada),132435.72,2020.9579
1875,20->Southern America,Southern America,Canada (Province of Canada),X,FromExporter,100,Colombia (New Granada) (Gran Colombia),20,Canada (Province of Canada),132435.72,6103.1294
1875,20->Southern America,Southern America,Canada (Province of Canada),X,FromExporter,101,Venezuela,20,Canada (Province of Canada),132435.72,7442.9458
1875,20->Southern America,Southern America,Canada (Province of Canada),X,FromExporter,130,Ecuador,20,Canada (Province of Canada),132435.72,7833.6494
1875,20->Southern America,Southern America,Canada (Province of Canada),X,FromExporter,145,Bolivia,20,Canada (Province of Canada),132435.72,7989.5801
1875,20->Southern America,Southern America,Canada (Province of Canada),X,FromExporter,165,Uruguay,20,Canada (Province of Canada),132435.72,21560.121
1875,20->Southern America,Southern America,Canada (Province of Canada),X,FromExporter,160,Argentina (La Plata),20,Canada (Province of Canada),132435.72,78019.18
1875,20->Spanish West Indies,Spanish West Indies,Canada (Province of Canada),X,FromExporter,6,Puerto Rico,20,Canada (Province of Canada),214581.94,64224.102
1875,20->Spanish West Indies,Spanish West Indies,Canada (Province of Canada),X,FromExporter,40,Cuba,20,Canada (Province of Canada),214581.94,150357.84
1875,200->Dominican Republic (Santo Domingo) & Haiti,Dominican Republic (Santo Domingo) & Haiti,United Kingdom,X,FromExporter,42,Dominican Republic (Santo Domingo),200,United Kingdom,693290,112700.82
1875,200->Dominican Republic (Santo Domingo) & Haiti,Dominican Republic (Santo Domingo) & Haiti,United Kingdom,X,FromExporter,41,Haiti,200,United Kingdom,693290,580589.19
1875,200->French West Indies,French West Indies,United Kingdom,X,FromExporter,65,Guadeloupe,200,United Kingdom,148368,28167.08
1875,200->French West Indies,French West Indies,United Kingdom,X,FromExporter,66,Martinique,200,United Kingdom,148368,120200.92
1875,200->Spanish West Indies,Spanish West Indies,United Kingdom,X,FromExporter,6,Puerto Rico,200,United Kingdom,2630634,787345.44
1875,200->Spanish West Indies,Spanish West Indies,United Kingdom,X,FromExporter,40,Cuba,200,United Kingdom,2630634,1843288.6
1875,210->Colombia (New Granada) (Gran Colombia) & Ecuador & Venezuela,Colombia (New Granada) (Gran Colombia) & Ecuador & Venezuela,Netherlands,X,FromExporter,100,Colombia (New Granada) (Gran Colombia),210,Netherlands,50.981712,14.553415
1875,210->Colombia (New Granada) (Gran Colombia) & Ecuador & Venezuela,Colombia (New Granada) (Gran Colombia) & Ecuador & Venezuela,Netherlands,X,FromExporter,101,Venezuela,210,Netherlands,50.981712,17.748316
1875,210->Colombia (New Granada) (Gran Colombia) & Ecuador & Venezuela,Colombia (New Granada) (Gran Colombia) & Ecuador & Venezuela,Netherlands,X,FromExporter,130,Ecuador,210,Netherlands,50.981712,18.679981
1875,211->Algeria (Regency of Algiers) & Morocco & Tunisia (Regency of Tunis) & Zanzibar,Algeria (Regency of Algiers) & Morocco & Tunisia (Regency of Tunis) & Zanzibar,Belgium,X,FromExporter,600,Morocco,211,Belgium,2236.1101,152.77667
1875,211->Algeria (Regency of Algiers) & Morocco & Tunisia (Regency of Tunis) & Zanzibar,Algeria (Regency of Algiers) & Morocco & Tunisia (Regency of Tunis) & Zanzibar,Belgium,X,FromExporter,616,Tunisia (Regency of Tunis),211,Belgium,2236.1101,166.88168
1875,211->Algeria (Regency of Algiers) & Morocco & Tunisia (Regency of Tunis) & Zanzibar,Algeria (Regency of Algiers) & Morocco & Tunisia (Regency of Tunis) & Zanzibar,Belgium,X,FromExporter,511,Zanzibar,211,Belgium,2236.1101,352.18835
1875,211->Algeria (Regency of Algiers) & Morocco & Tunisia (Regency of Tunis) & Zanzibar,Algeria (Regency of Algiers) & Morocco & Tunisia (Regency of Tunis) & Zanzibar,Belgium,X,FromExporter,615,Algeria (Regency of Algiers),211,Belgium,2236.1101,1564.2633
1875,211->Cuba & Puerto Rico,Cuba & Puerto Rico,Belgium,X,FromExporter,6,Puerto Rico,211,Belgium,237066.89,70953.82
1875,211->Cuba & Puerto Rico,Cuba & Puerto Rico,Belgium,X,FromExporter,40,Cuba,211,Belgium,237066.89,166113.08
1875,211->French West Indies,French West Indies,Belgium,X,FromExporter,65,Guadeloupe,211,Belgium,784.59998,148.9532
1875,211->French West Indies,French West Indies,Belgium,X,FromExporter,66,Martinique,211,Belgium,784.59998,635.64673
