year,id,importerLabel,exporterLabel,importerReporting,exporterReporting,CafFob,newimporterId,newexporterId,valueToSplit,pred_trade
1880,1048<-British Northern America,Trinidad,British Northern America,1,,FromImporter,1048,30,80358,1096.272
1880,1048<-British Northern America,Trinidad,British Northern America,1,,FromImporter,1048,21,80358,10522.129
1880,1048<-British Northern America,Trinidad,British Northern America,1,,FromImporter,1048,20,80358,68739.594
1880,1048<-French West Indies,Trinidad,French West Indies,1,,FromImporter,1048,65,56299,27221.559
1880,1048<-French West Indies,Trinidad,French West Indies,1,,FromImporter,1048,66,56299,29077.439
1880,1048<-Southern America (other),Trinidad,Southern America (other),1,,FromImporter,1048,120,3446,1.869224
1880,1048<-Southern America (other),Trinidad,Southern America (other),1,,FromImporter,1048,68,3446,10.910635
1880,1048<-Southern America (other),Trinidad,Southern America (other),1,,FromImporter,1048,1163,3446,38.877377
1880,1048<-Southern America (other),Trinidad,Southern America (other),1,,FromImporter,1048,130,3446,41.447971
1880,1048<-Southern America (other),Trinidad,Southern America (other),1,,FromImporter,1048,115,3446,75.3414
1880,1048<-Southern America (other),Trinidad,Southern America (other),1,,FromImporter,1048,145,3446,78.391113
1880,1048<-Southern America (other),Trinidad,Southern America (other),1,,FromImporter,1048,100,3446,111.76148
1880,1048<-Southern America (other),Trinidad,Southern America (other),1,,FromImporter,1048,150,3446,165.05579
1880,1048<-Southern America (other),Trinidad,Southern America (other),1,,FromImporter,1048,1055,3446,209.30124
1880,1048<-Southern America (other),Trinidad,Southern America (other),1,,FromImporter,1048,165,3446,239.8299
1880,1048<-Southern America (other),Trinidad,Southern America (other),1,,FromImporter,1048,155,3446,345.56482
1880,1048<-Southern America (other),Trinidad,Southern America (other),1,,FromImporter,1048,110,3446,430.923
1880,1048<-Southern America (other),Trinidad,Southern America (other),1,,FromImporter,1048,135,3446,437.21161
1880,1048<-Southern America (other),Trinidad,Southern America (other),1,,FromImporter,1048,140,3446,548.5614
1880,1048<-Southern America (other),Trinidad,Southern America (other),1,,FromImporter,1048,160,3446,710.953
1880,1048<-Spanish West Indies,Trinidad,Spanish West Indies,1,,FromImporter,1048,6,11836,4019.3252
1880,1048<-Spanish West Indies,Trinidad,Spanish West Indies,1,,FromImporter,1048,40,11836,7816.6753
1880,1049<-French West Indies,Tobago,French West Indies,1,,FromImporter,1055,66,0,0
1880,1049<-French West Indies,Tobago,French West Indies,1,,FromImporter,1055,65,0,0
1880,1075<-British Northern America,St. Kitts,British Northern America,1,,FromImporter,1063,30,9033,123.23135
1880,1075<-British Northern America,St. Kitts,British Northern America,1,,FromImporter,1063,21,9033,1182.787
1880,1075<-British Northern America,St. Kitts,British Northern America,1,,FromImporter,1063,20,9033,7726.9814
1880,165<-India & Japan & People's Republic of China (China),Uruguay,India & Japan & People's Republic of China (China),1,,FromImporter,165,740,18110.168,1961.6216
1880,165<-India & Japan & People's Republic of China (China),Uruguay,India & Japan & People's Republic of China (China),1,,FromImporter,165,710,18110.168,4819.6489
1880,165<-India & Japan & People's Republic of China (China),Uruguay,India & Japan & People's Republic of China (China),1,,FromImporter,165,750,18110.168,11328.896
1880,165<-Norway & Sweden,Uruguay,Norway & Sweden,1,,FromImporter,165,385,4808.6406,2227.1394
1880,165<-Norway & Sweden,Uruguay,Norway & Sweden,1,,FromImporter,165,380,4808.6406,2581.5012
1880,200<-Bulgaria & Kingdom of Serbia & Montenegro,United Kingdom,Bulgaria & Kingdom of Serbia & Montenegro,1,,FromImporter,200,341,1439252.4,119982.16
1880,200<-Bulgaria & Kingdom of Serbia & Montenegro,United Kingdom,Bulgaria & Kingdom of Serbia & Montenegro,1,,FromImporter,200,342,1439252.4,647732.19
1880,200<-Bulgaria & Kingdom of Serbia & Montenegro,United Kingdom,Bulgaria & Kingdom of Serbia & Montenegro,1,,FromImporter,200,355,1439252.4,671537.94
1880,200<-Dominican Republic (Santo Domingo) & Haiti,United Kingdom,Dominican Republic (Santo Domingo) & Haiti,1,,FromImporter,200,42,187212,42772.258
1880,200<-Dominican Republic (Santo Domingo) & Haiti,United Kingdom,Dominican Republic (Santo Domingo) & Haiti,1,,FromImporter,200,41,187212,144439.73
1880,200<-French West Indies,United Kingdom,French West Indies,1,,FromImporter,200,65,137,66.241913
1880,200<-French West Indies,United Kingdom,French West Indies,1,,FromImporter,200,66,137,70.758087
1880,200<-Portuguese Western Africa,United Kingdom,Portuguese Western Africa,1,,FromImporter,200,404,185072,11334.968
1880,200<-Portuguese Western Africa,United Kingdom,Portuguese Western Africa,1,,FromImporter,200,402,185072,173737.03
1880,200<-Spanish West Indies,United Kingdom,Spanish West Indies,1,,FromImporter,200,6,1752635,595168.13
1880,200<-Spanish West Indies,United Kingdom,Spanish West Indies,1,,FromImporter,200,40,1752635,1157466.9
1880,20<-900,Canada (Province of Canada),Australia,1,,FromImporter,20,902,388.95782,6.6717896
1880,20<-900,Canada (Province of Canada),Australia,1,,FromImporter,20,905,388.95782,13.012818
1880,20<-900,Canada (Province of Canada),Australia,1,,FromImporter,20,906,388.95782,16.961081
1880,20<-900,Canada (Province of Canada),Australia,1,,FromImporter,20,903,388.95782,72.363075
1880,20<-900,Canada (Province of Canada),Australia,1,,FromImporter,20,901,388.95782,134.33379
1880,20<-900,Canada (Province of Canada),Australia,1,,FromImporter,20,904,388.95782,145.61528
1880,20<-French West Indies,Canada (Province of Canada),French West Indies,1,,FromImporter,20,65,1837.0554,888.24866
1880,20<-French West Indies,Canada (Province of Canada),French West Indies,1,,FromImporter,20,66,1837.0554,948.80676
1880,210<-Colombia (New Granada) (Gran Colombia) & Ecuador & Venezuela,Netherlands,Colombia (New Granada) (Gran Colombia) & Ecuador & Venezuela,1,,FromImporter,210,130,19636.131,2820.3899
1880,210<-Colombia (New Granada) (Gran Colombia) & Ecuador & Venezuela,Netherlands,Colombia (New Granada) (Gran Colombia) & Ecuador & Venezuela,1,,FromImporter,210,100,19636.131,7604.9785
1880,210<-Colombia (New Granada) (Gran Colombia) & Ecuador & Venezuela,Netherlands,Colombia (New Granada) (Gran Colombia) & Ecuador & Venezuela,1,,FromImporter,210,101,19636.131,9210.7617
1880,211<-Algeria (Regency of Algiers) & Morocco & Tunisia (Regency of Tunis) & Zanzibar,Belgium,Algeria (Regency of Algiers) & Morocco & Tunisia (Regency of Tunis) & Zanzibar,1,,FromImporter,211,600,82042.922,1181.8326
1880,211<-Algeria (Regency of Algiers) & Morocco & Tunisia (Regency of Tunis) & Zanzibar,Belgium,Algeria (Regency of Algiers) & Morocco & Tunisia (Regency of Tunis) & Zanzibar,1,,FromImporter,211,616,82042.922,9305.2656
1880,211<-Algeria (Regency of Algiers) & Morocco & Tunisia (Regency of Tunis) & Zanzibar,Belgium,Algeria (Regency of Algiers) & Morocco & Tunisia (Regency of Tunis) & Zanzibar,1,,FromImporter,211,615,82042.922,11006.422
1880,211<-Algeria (Regency of Algiers) & Morocco & Tunisia (Regency of Tunis) & Zanzibar,Belgium,Algeria (Regency of Algiers) & Morocco & Tunisia (Regency of Tunis) & Zanzibar,1,,FromImporter,211,511,82042.922,60549.406
1880,211<-Cuba & Puerto Rico,Belgium,Cuba & Puerto Rico,1,,FromImporter,211,6,64137.66,21780.17
1880,211<-Cuba & Puerto Rico,Belgium,Cuba & Puerto Rico,1,,FromImporter,211,40,64137.66,42357.488
1880,211<-French West Indies,Belgium,French West Indies,1,,FromImporter,211,66,0,0
1880,211<-French West Indies,Belgium,French West Indies,1,,FromImporter,211,65,0,0
1880,211<-Gambia & Guinea (French Guinea) (Rivieres du Sud) & Senegal,Belgium,Gambia & Guinea (French Guinea) (Rivieres du Sud) & Senegal,1,,FromImporter,211,433,23508,3736.8237
1880,211<-Gambia & Guinea (French Guinea) (Rivieres du Sud) & Senegal,Belgium,Gambia & Guinea (French Guinea) (Rivieres du Sud) & Senegal,1,,FromImporter,211,451,23508,19771.178
1880,211<-Gibraltar & Malta,Belgium,Gibraltar & Malta,1,,FromImporter,211,231,39.18,10.512272
1880,211<-Gibraltar & Malta,Belgium,Gibraltar & Malta,1,,FromImporter,211,338,39.18,28.667728
1880,211<-Haiti & Venezuela,Belgium,Haiti & Venezuela,1,,FromImporter,211,101,81376.859,36647.008
1880,211<-Haiti & Venezuela,Belgium,Haiti & Venezuela,1,,FromImporter,211,41,81376.859,44729.852
1880,211<-Norway & Sweden,Belgium,Norway & Sweden,1,,FromImporter,211,385,1384151,641074.56
1880,211<-Norway & Sweden,Belgium,Norway & Sweden,1,,FromImporter,211,380,1384151,743076.44
1880,220<-900,France,Australia,1,,FromImporter,220,902,830827.69,14251.178
1880,220<-900,France,Australia,1,,FromImporter,220,905,830827.69,27795.84
1880,220<-900,France,Australia,1,,FromImporter,220,906,830827.69,36229.465
1880,220<-900,France,Australia,1,,FromImporter,220,903,830827.69,154570.08
1880,220<-900,France,Australia,1,,FromImporter,220,901,830827.69,286941.72
1880,220<-900,France,Australia,1,,FromImporter,220,904,830827.69,311039.38
1880,220<-British Mediterranean Sea,France,British Mediterranean Sea,1,,FromImporter,220,231,39563.223,10615.093
1880,220<-British Mediterranean Sea,France,British Mediterranean Sea,1,,FromImporter,220,338,39563.223,28948.129
1880,220<-Spanish America,France,Spanish America,1,,FromImporter,220,6,640924.19,217648.08
1880,220<-Spanish America,France,Spanish America,1,,FromImporter,220,40,640924.19,423276.09
1880,230<-Danish America,Spain,Danish America,1,,FromImporter,230,5,9489.1699,2469.1868
1880,230<-Danish America,Spain,Danish America,1,,FromImporter,230,10,9489.1699,7019.9834
1880,230<-French America,Spain,French America,1,,FromImporter,230,120,20136.619,391.01929
1880,230<-French America,Spain,French America,1,,FromImporter,230,1029,20136.619,3257.3469
1880,230<-French America,Spain,French America,1,,FromImporter,230,65,20136.619,7972.3613
1880,230<-French America,Spain,French America,1,,FromImporter,230,66,20136.619,8515.8926
1880,235<-Norway & Sweden,Portugal,Norway & Sweden,1,,FromImporter,235,385,265835.03,123122.47
1880,235<-Norway & Sweden,Portugal,Norway & Sweden,1,,FromImporter,235,380,265835.03,142712.56
1880,248<-900,Hamburg,Australia,1,,FromImporter,255,902,17892.314,306.90668
1880,248<-900,Hamburg,Australia,1,,FromImporter,255,905,17892.314,598.59814
1880,248<-900,Hamburg,Australia,1,,FromImporter,255,906,17892.314,780.22083
1880,248<-900,Hamburg,Australia,1,,FromImporter,255,903,17892.314,3328.7485
1880,248<-900,Hamburg,Australia,1,,FromImporter,255,901,17892.314,6179.4419
1880,248<-900,Hamburg,Australia,1,,FromImporter,255,904,17892.314,6698.3984
1880,248<-British Northern America,Hamburg,British Northern America,1,,FromImporter,255,30,29024.475,395.96207
1880,248<-British Northern America,Hamburg,British Northern America,1,,FromImporter,255,21,29024.475,3800.4836
1880,248<-British Northern America,Hamburg,British Northern America,1,,FromImporter,255,20,29024.475,24828.027
1880,248<-Denmark & Faeroe Is. & Iceland,Hamburg,Denmark & Faeroe Is. & Iceland,1,,FromImporter,255,390,37967.695,1308.5537
1880,248<-Denmark & Faeroe Is. & Iceland,Hamburg,Denmark & Faeroe Is. & Iceland,1,,FromImporter,255,11,37967.695,2897.9546
1880,248<-Denmark & Faeroe Is. & Iceland,Hamburg,Denmark & Faeroe Is. & Iceland,1,,FromImporter,255,395,37967.695,33761.188
1880,248<-European Turkey & Romania,Hamburg,European Turkey & Romania,1,,FromImporter,255,360,5.1595755e-12,2.1312140e-12
1880,248<-European Turkey & Romania,Hamburg,European Turkey & Romania,1,,FromImporter,255,640,5.1595755e-12,3.0283614e-12
1880,248<-Gibraltar & Spain,Hamburg,Gibraltar & Spain,1,,FromImporter,255,231,358268.22,22479.258
1880,248<-Gibraltar & Spain,Hamburg,Gibraltar & Spain,1,,FromImporter,255,230,358268.22,335788.97
1880,255<-Algeria (Regency of Algiers) & France & Tunisia (Regency of Tunis),Germany (Zollverein),Algeria (Regency of Algiers) & France & Tunisia (Regency of Tunis),1,,FromImporter,255,616,10281463,229384.86
1880,255<-Algeria (Regency of Algiers) & France & Tunisia (Regency of Tunis),Germany (Zollverein),Algeria (Regency of Algiers) & France & Tunisia (Regency of Tunis),1,,FromImporter,255,615,10281463,271320.22
1880,255<-Algeria (Regency of Algiers) & France & Tunisia (Regency of Tunis),Germany (Zollverein),Algeria (Regency of Algiers) & France & Tunisia (Regency of Tunis),1,,FromImporter,255,220,10281463,9780758
1880,255<-British Northern America,Germany (Zollverein),British Northern America,1,,FromImporter,255,30,327998.03,4474.6641
1880,255<-British Northern America,Germany (Zollverein),British Northern America,1,,FromImporter,255,21,327998.03,42948.277
1880,255<-British Northern America,Germany (Zollverein),British Northern America,1,,FromImporter,255,20,327998.03,280575.09
1880,255<-Cyprus & Gibraltar & Heligoland & Malta & United Kingdom,Germany (Zollverein),Cyprus & Gibraltar & Heligoland & Malta & United Kingdom,1,,FromImporter,255,2249,7964196,22.944117
1880,255<-Cyprus & Gibraltar & Heligoland & Malta & United Kingdom,Germany (Zollverein),Cyprus & Gibraltar & Heligoland & Malta & United Kingdom,1,,FromImporter,255,352,7964196,2557.8662
1880,255<-Cyprus & Gibraltar & Heligoland & Malta & United Kingdom,Germany (Zollverein),Cyprus & Gibraltar & Heligoland & Malta & United Kingdom,1,,FromImporter,255,231,7964196,2600.7708
1880,255<-Cyprus & Gibraltar & Heligoland & Malta & United Kingdom,Germany (Zollverein),Cyprus & Gibraltar & Heligoland & Malta & United Kingdom,1,,FromImporter,255,338,7964196,7092.4907
1880,255<-Cyprus & Gibraltar & Heligoland & Malta & United Kingdom,Germany (Zollverein),Cyprus & Gibraltar & Heligoland & Malta & United Kingdom,1,,FromImporter,255,200,7964196,7951922
1880,255<-Indonesia (Dutch East Indies) & Philippines,Germany (Zollverein),Indonesia (Dutch East Indies) & Philippines,1,,FromImporter,255,840,0,0
1880,255<-Indonesia (Dutch East Indies) & Philippines,Germany (Zollverein),Indonesia (Dutch East Indies) & Philippines,1,,FromImporter,255,850,0,0
1880,255<-Southern America (other),Germany (Zollverein),Southern America (other),1,,FromImporter,255,120,595056.31,492.06354
1880,255<-Southern America (other),Germany (Zollverein),Southern America (other),1,,FromImporter,255,1048,595056.31,2749.6106
1880,255<-Southern America (other),Germany (Zollverein),Southern America (other),1,,FromImporter,255,68,595056.31,2872.1687
