__origid,ipno,epno,exporter_part,importer_part,year,importerId,importerLabel,importerReporting,importerReportingByAggregateInto,importerReportingBySplit,exporterId,exporterLabel,exporterReporting,exporterReportingByAggregateInto,exporterReportingBySplit,value,reportedBy,partial,valueToSplit,originalReportedTradeFlowId,status,notes,ln_value,importer_lbl,exporter_lbl,importer,importer_coef,exporter,exporter_coef,importer_lat,importer_lng,exporter_lat,exporter_lng,distance_km,ln_distance,pred,sum_pred,pred_trade,success
75,1,1,United States of America,Norway,1890,Norway & Sweden,Norway,,,,2,United States of America,1,,,730379.38,2,,,,ok thanks to gravity,,13.501319,Norway & Sweden,United States of America,175,1.206770258379847,243,4.159358534177307,65,11,39.828175,-98.579498,6896.549393754876,8.8387766,63.535404,501.50919,92530.609,637848.75
75,2,1,United States of America,Sweden,1890,Norway & Sweden,Sweden,,,,2,United States of America,1,,,730379.38,2,,,,ok thanks to gravity,,13.501319,Norway & Sweden,United States of America,231,3.137332062393393,243,4.159358534177307,61,15,39.828175,-98.579498,7327.443612572308,8.8993816,437.97379,501.50919,637848.75,637848.75
96,1,2,Greenland,United States of America,1890,2,United States of America,1,,,Faeroe Is. & Greenland & Iceland,Greenland,,,,23692.125,2,,,,ok thanks to gravity,,10.072898,United States of America,Faeroe Is. & Greenland & Iceland,242,6.138746932608436,116,-5.70818856885742,39.828175,-98.579498,72,-40,4777.388982271336,8.4716492,.4565883,56.738659,190.65567,12040.558
96,1,1,Faeroe Is.,United States of America,1890,2,United States of America,1,,,Faeroe Is. & Greenland & Iceland,Faeroe Is.,,,,23692.125,2,,,,ok thanks to gravity,,10.072898,United States of America,Faeroe Is. & Greenland & Iceland,242,6.138746932608436,89,-1.562621622051415,39.828175,-98.579498,61.969944,-6.8444805,6280.085297128776,8.7451391,28.835112,56.738659,12040.558,12040.558
96,1,3,Iceland,United States of America,1890,2,United States of America,1,,,Faeroe Is. & Greenland & Iceland,Iceland,,,,23692.125,2,,,,ok thanks to gravity,,10.072898,United States of America,Faeroe Is. & Greenland & Iceland,242,6.138746932608436,128,-1.611960012803721,39.828175,-98.579498,65,-19,5603.766979229453,8.6311941,27.44696,56.738659,11460.913,12040.558
137,1,2,Sweden,United States of America,1890,2,United States of America,1,,,Norway & Sweden,Sweden,,,,726118.5,2,,,,ok thanks to gravity,,13.495468,United States of America,Norway & Sweden,242,6.138746932608436,231,1.033408473087337,39.828175,-98.579498,61,15,7327.443612572308,8.8993816,386.69022,487.12338,576410.25,576410.25
137,1,1,Norway,United States of America,1890,2,United States of America,1,,,Norway & Sweden,Norway,,,,726118.5,2,,,,ok thanks to gravity,,13.495468,United States of America,Norway & Sweden,242,6.138746932608436,176,-.3147228609266168,39.828175,-98.579498,65,11,6896.549393754876,8.8387766,100.43317,487.12338,149708.25,576410.25
166,1,1,Japan,Norway,1890,Norway & Sweden,Norway,,,,740,Japan,1,,,2.0058839,740,,,,ok thanks to gravity,,.69608486,Norway & Sweden,Japan,175,1.206770258379847,137,.0969094802846423,65,11,35,136,7943.248999645314,8.9800777,1.0932426,8.6293821,.25412223,1.7517617
166,2,1,Japan,Sweden,1890,Norway & Sweden,Sweden,,,,740,Japan,1,,,2.0058839,740,,,,ok thanks to gravity,,.69608486,Norway & Sweden,Japan,231,3.137332062393393,137,.0969094802846423,61,15,35,136,8105.561942667726,9.0003061,7.5361395,8.6293821,1.7517617,1.7517617
191,1,1,Norway,Japan,1890,740,Japan,1,,,Norway & Sweden,Norway,,,,249.73422,740,,,,ok thanks to gravity,,5.5203972,Japan,Norway & Sweden,137,3.077408841537087,176,-.3147228609266168,35,136,65,11,7943.248999645314,8.9800777,4.7027831,22.809551,51.489216,198.245
191,1,2,Sweden,Japan,1890,740,Japan,1,,,Norway & Sweden,Sweden,,,,249.73422,740,,,,ok thanks to gravity,,5.5203972,Japan,Norway & Sweden,137,3.077408841537087,231,1.033408473087337,35,136,61,15,8105.561942667726,9.0003061,18.106768,22.809551,198.245,198.245
227,1,1,Norway,Italy,1890,325,Italy,1,,,Norway & Sweden,Norway,,,,2156362.8,325,,,,ok thanks to gravity,,14.583934,Italy,Norway & Sweden,133,2.918934108915629,176,-.3147228609266168,42.5,12.5,65,11,2505.950044602609,7.8264232,4.0135646,19.466686,444590.38,1711772.4
227,1,2,Sweden,Italy,1890,325,Italy,1,,,Norway & Sweden,Sweden,,,,2156362.8,325,,,,ok thanks to gravity,,14.583934,Italy,Norway & Sweden,133,2.918934108915629,231,1.033408473087337,42.5,12.5,61,15,2065.176391170971,7.6329708,15.453122,19.466686,1711772.4,1711772.4
257,1,1,Italy,Norway,1890,Norway & Sweden,Norway,,,,325,Italy,1,,,79532.992,325,,,,ok thanks to gravity,,11.283927,Norway & Sweden,Italy,175,1.206770258379847,134,.5191821995804848,65,11,42.5,12.5,2505.950044602608,7.8264232,1.6676592,13.16347,10075.908,69457.086
257,2,1,Italy,Sweden,1890,Norway & Sweden,Sweden,,,,325,Italy,1,,,79532.992,325,,,,ok thanks to gravity,,11.283927,Norway & Sweden,Italy,231,3.137332062393393,134,.5191821995804848,61,15,42.5,12.5,2065.176391170972,7.6329708,11.495811,13.16347,69457.086,69457.086
307,1,1,Belgium,Malta,1890,338,Malta,1,,,Belgium & Netherlands,Belgium,,,,1954,338,,,,ok thanks to gravity,,7.5776339,Malta,Belgium & Netherlands,152,-.5636236820390568,29,1.3498917560861,35.883335,14.5,50.641109,4.6680555,1819.818185607546,7.5064917,.6516397,.96696126,1316.8097,1316.8097
307,1,2,Netherlands,Malta,1890,338,Malta,1,,,Belgium & Netherlands,Netherlands,,,,1954,338,,,,ok thanks to gravity,,7.5776339,Malta,Belgium & Netherlands,152,-.5636236820390568,166,.6239927918939604,35.883335,14.5,52.316666,5.5500002,1957.993985389258,7.5796757,.31532153,.96696126,637.19025,1316.8097
323,2,1,Malta,Netherlands,1890,Belgium & Netherlands,Netherlands,,,,338,Malta,1,,,95,338,,,,ok thanks to gravity,,4.5538769,Belgium & Netherlands,Malta,165,3.457585935427476,153,-3.11238111263554,52.316666,5.5500002,35.883335,14.5,1957.993985389258,7.5796757,.41923374,.82286853,48.400448,48.400448
323,1,1,Malta,Belgium,1890,Belgium & Netherlands,Belgium,,,,338,Malta,1,,,95,338,,,,ok thanks to gravity,,4.5538769,Belgium & Netherlands,Malta,31,3.419667852060166,153,-3.11238111263554,50.641109,4.6680555,35.883335,14.5,1819.818185607546,7.5064917,.40363479,.82286853,46.599552,48.400448
400,1,2,Sweden,Portugal,1890,235,Portugal,1,,,Norway & Sweden,Sweden,,,,269221.78,235,,,,ok thanks to gravity,,12.503291,Portugal,Norway & Sweden,190,2.420536625393889,231,1.033408473087337,38.700001,-9.1833334,61,15,2991.581785117985,8.0035572,9.3878241,11.826078,213714.69,213714.69
400,1,1,Norway,Portugal,1890,235,Portugal,1,,,Norway & Sweden,Norway,,,,269221.78,235,,,,ok thanks to gravity,,12.503291,Portugal,Norway & Sweden,190,2.420536625393889,176,-.3147228609266168,38.700001,-9.1833334,65,11,3206.612011917596,8.0729704,2.4382541,11.826078,55507.082,213714.69
401,2,1,Portugal,Sweden,1890,Norway & Sweden,Sweden,,,,235,Portugal,1,,,40783.906,235,,,,ok thanks to gravity,,10.616043,Norway & Sweden,Portugal,231,3.137332062393393,191,-1.21358333706128,61,15,38.700001,-9.1833334,2991.581785117985,8.0035572,2.0323997,2.3272331,35617.059,35617.059
401,1,1,Portugal,Norway,1890,Norway & Sweden,Norway,,,,235,Portugal,1,,,40783.906,235,,,,ok thanks to gravity,,10.616043,Norway & Sweden,Portugal,175,1.206770258379847,191,-1.21358333706128,65,11,38.700001,-9.1833334,3206.612011917596,8.0729704,.29483348,2.3272331,5166.8486,35617.059
536,1,2,Haiti,United Kingdom,1890,200,United Kingdom,1,,,Dominican Republic (Santo Domingo) & Haiti,Haiti,,,,89593,200,,,,ok thanks to gravity,,11.403032,United Kingdom,Dominican Republic (Santo Domingo) & Haiti,241,6.385223415706304,121,.5525659039997797,54.599998,-2,19,-72.800003,7072.534228050501,8.8639746,305.89987,366.6062,74757.297,74757.297
536,1,1,Dominican Republic (Santo Domingo),United Kingdom,1890,200,United Kingdom,1,,,Dominican Republic (Santo Domingo) & Haiti,Dominican Republic (Santo Domingo),,,,89593,200,,,,ok thanks to gravity,,11.403032,United Kingdom,Dominican Republic (Santo Domingo) & Haiti,241,6.385223415706304,74,-1.064643804126534,54.599998,-2,18.799999,-70.199997,6922.730514903225,8.8425655,60.706337,366.6062,14835.709,74757.297
1015,1,2,Guatemala,France,1890,220,France,1,,,Costa Rica & Guatemala & Honduras,Guatemala,,,,229930.63,220,,,,ok thanks to gravity,,12.345533,France,Costa Rica & Guatemala & Honduras,95,6.185408078166148,118,-1.049594281196923,47,2,15.5,-90.25,8932.539080812345,9.097456,50.465115,198.57367,58434.109,156293.19
1015,1,3,Honduras,France,1890,220,France,1,,,Costa Rica & Guatemala & Honduras,Honduras,,,,229930.63,220,,,,ok thanks to gravity,,12.345533,France,Costa Rica & Guatemala & Honduras,95,6.185408078166148,125,-.0657603721758701,47,2,14.633333,-86.816666,8745.135439966329,9.0762529,134.97859,198.57367,156293.19,156293.19
1015,1,1,Costa Rica,France,1890,220,France,1,,,Costa Rica & Guatemala & Honduras,Costa Rica,,,,229930.63,220,,,,ok thanks to gravity,,12.345533,France,Costa Rica & Guatemala & Honduras,95,6.185408078166148,64,-2.39597910138742,47,2,10,-84,8901.328057488096,9.093956,13.129971,198.57367,15203.337,156293.19
1383,1,2,Sweden,Uruguay,1890,165,Uruguay,1,,,Norway & Sweden,Sweden,,,,2297.0713,165,,,,ok thanks to gravity,,7.7393904,Uruguay,Norway & Sweden,243,3.499206149686235,231,1.033408473087337,-33,-56,61,15,12221.29454525355,9.4109354,27.60738,34.77771,1823.4702,1823.4702
1383,1,1,Norway,Uruguay,1890,165,Uruguay,1,,,Norway & Sweden,Norway,,,,2297.0713,165,,,,ok thanks to gravity,,7.7393904,Uruguay,Norway & Sweden,243,3.499206149686235,176,-.3147228609266168,-33,-56,65,11,12295.91409398489,9.4170227,7.1703305,34.77771,473.60107,1823.4702
1385,1,1,India,Uruguay,1890,165,Uruguay,1,,,India & Japan & People's Republic of China (China),India,,,,1706.1875,165,,,,ok thanks to gravity,,7.4420166,Uruguay,India & Japan & People's Republic of China (China),243,3.499206149686235,129,2.969847159424926,-33,-56,22.799999,83,15864.05402203308,9.6718111,191.42992,231.53607,1410.6455,1410.6455
1385,1,2,Japan,Uruguay,1890,165,Uruguay,1,,,India & Japan & People's Republic of China (China),Japan,,,,1706.1875,165,,,,ok thanks to gravity,,7.4420166,Uruguay,India & Japan & People's Republic of China (China),243,3.499206149686235,137,.0969094802846423,-33,-56,35,136,18896.20522812926,9.8467159,10.822033,231.53607,79.747475,1410.6455
1385,1,3,People's Republic of China (China),Uruguay,1890,165,Uruguay,1,,,India & Japan & People's Republic of China (China),People's Republic of China (China),,,,1706.1875,165,,,,ok thanks to gravity,,7.4420166,Uruguay,India & Japan & People's Republic of China (China),243,3.499206149686235,186,1.092370908376581,-33,-56,35.844723,103.45194,18114.56929037499,9.804472,29.284124,231.53607,215.79448,1410.6455
1507,1,1,Algeria (Regency of Algiers),Switzerland,1890,225,Switzerland,1,,,Algeria (Regency of Algiers) & Tunisia (Regency of Tunis),Algeria (Regency of Algiers),,,,23597.523,225,,,,ok thanks to gravity,,10.068897,Switzerland,Algeria (Regency of Algiers) & Tunisia (Regency of Tunis),232,2.530123245214757,5,0,46.798561,8.2319727,28,1,2180.080728166949,7.6871171,3.7269557,4.6521902,18904.412,18904.412
1507,1,2,Tunisia (Regency of Tunis),Switzerland,1890,225,Switzerland,1,,,Algeria (Regency of Algiers) & Tunisia (Regency of Tunis),Tunisia (Regency of Tunis),,,,23597.523,225,,,,ok thanks to gravity,,10.068897,Switzerland,Algeria (Regency of Algiers) & Tunisia (Regency of Tunis),232,2.530123245214757,239,-1.393299558691211,46.798561,8.2319727,34,10,1428.991111566596,7.2647238,.92523474,4.6521902,4693.1118,18904.412
1516,1,1,Chile,Switzerland,1890,225,Switzerland,1,,,Chile & Peru,Chile,,,,1273.6047,225,,,,ok thanks to gravity,,7.1496067,Switzerland,Chile & Peru,232,2.530123245214757,57,.1634142335674467,46.798561,8.2319727,-33,-71,11862.17985343838,9.3811102,4.3885813,15.829973,353.08447,920.52026
1516,1,2,Peru,Switzerland,1890,225,Switzerland,1,,,Chile & Peru,Peru,,,,1273.6047,225,,,,ok thanks to gravity,,7.1496067,Switzerland,Chile & Peru,232,2.530123245214757,188,1.121645922008918,46.798561,8.2319727,-9.3999996,-76,10329.15944234426,9.2427263,11.441392,15.829973,920.52026,920.52026
1920,1,3,Tunisia (Regency of Tunis),Belgium,1890,211,Belgium,1,,,Algeria (Regency of Algiers) & Morocco & Tunisia (Regency of Tunis) & Zanzibar,Tunisia (Regency of Tunis),,,,199759.16,211,,,,ok thanks to gravity,,12.204867,Belgium,Algeria (Regency of Algiers) & Morocco & Tunisia (Regency of Tunis) & Zanzibar,31,3.419667852060166,239,-1.393299558691211,50.641109,4.6680555,34,10,1898.764413089604,7.5489588,2.2520406,16.765572,26832.711,108085.36
1920,1,4,Zanzibar,Belgium,1890,211,Belgium,1,,,Algeria (Regency of Algiers) & Morocco & Tunisia (Regency of Tunis) & Zanzibar,Zanzibar,,,,199759.16,211,,,,ok thanks to gravity,,12.204867,Belgium,Algeria (Regency of Algiers) & Morocco & Tunisia (Regency of Tunis) & Zanzibar,31,3.419667852060166,255,-1.424958153573502,50.641109,4.6680555,-5.9000001,39.299999,7090.701540225119,8.86654,2.1818609,16.765572,25996.531,108085.36
1920,1,2,Morocco,Belgium,1890,211,Belgium,1,,,Algeria (Regency of Algiers) & Morocco & Tunisia (Regency of Tunis) & Zanzibar,Morocco,,,,199759.16,211,,,,ok thanks to gravity,,12.204867,Belgium,Algeria (Regency of Algiers) & Morocco & Tunisia (Regency of Tunis) & Zanzibar,31,3.419667852060166,162,-1.023353447107405,50.641109,4.6680555,32,-6,2249.316492677962,7.7183819,3.2601817,16.765572,38844.555,108085.36
1920,1,1,Algeria (Regency of Algiers),Belgium,1890,211,Belgium,1,,,Algeria (Regency of Algiers) & Morocco & Tunisia (Regency of Tunis) & Zanzibar,Algeria (Regency of Algiers),,,,199759.16,211,,,,ok thanks to gravity,,12.204867,Belgium,Algeria (Regency of Algiers) & Morocco & Tunisia (Regency of Tunis) & Zanzibar,31,3.419667852060166,5,0,50.641109,4.6680555,28,1,2532.757043949307,7.8370638,9.0714884,16.765572,108085.36,108085.36
1944,1,2,Puerto Rico,Belgium,1890,211,Belgium,1,,,Cuba & Puerto Rico,Puerto Rico,,,,24557.98,211,,,,ok thanks to gravity,,10.108792,Belgium,Cuba & Puerto Rico,31,3.419667852060166,198,-.598346184140553,50.641109,4.6680555,18.25,-66.5,7136.674792545111,8.8730021,4.9867787,11.692198,10474.097,14083.885
1944,1,1,Cuba,Belgium,1890,211,Belgium,1,,,Cuba & Puerto Rico,Cuba,,,,24557.98,211,,,,ok thanks to gravity,,10.108792,Belgium,Cuba & Puerto Rico,31,3.419667852060166,67,-.3022202433114964,50.641109,4.6680555,22,-79.5,7745.365064072016,8.9548502,6.7054195,11.692198,14083.885,14083.885
2099,1,1,Norway,Bulgaria,1890,355,Bulgaria,1,,,Norway & Sweden,Norway,,,,1293.8354,355,,,,ok thanks to gravity,,7.1653662,Bulgaria,Norway & Sweden,50,.8467843242704173,176,-.3147228609266168,42.75,25.5,65,11,2638.611623360674,7.8780084,.50536716,2.451144,266.75787,1027.0776
2099,1,2,Sweden,Bulgaria,1890,355,Bulgaria,1,,,Norway & Sweden,Sweden,,,,1293.8354,355,,,,ok thanks to gravity,,7.1653662,Bulgaria,Norway & Sweden,50,.8467843242704173,231,1.033408473087337,42.75,25.5,61,15,2149.175943224268,7.6728396,1.9457768,2.451144,1027.0776,1027.0776
2154,1,3,Venezuela,Netherlands,1890,210,Netherlands,1,,,Colombia (New Granada) (Gran Colombia) & Ecuador & Venezuela,Venezuela,,,,92541.094,210,,,,ok thanks to gravity,,11.435408,Netherlands,Colombia (New Granada) (Gran Colombia) & Ecuador & Venezuela,165,3.457585935427476,245,.2707211647911348,52.316666,5.5500002,8,-67,8123.43148691702,9.0025082,12.351477,18.462044,61911.844,61911.844
2154,1,1,Colombia (New Granada) (Gran Colombia),Netherlands,1890,210,Netherlands,1,,,Colombia (New Granada) (Gran Colombia) & Ecuador & Venezuela,Colombia (New Granada) (Gran Colombia),,,,92541.094,210,,,,ok thanks to gravity,,11.435408,Netherlands,Colombia (New Granada) (Gran Colombia) & Ecuador & Venezuela,165,3.457585935427476,60,-1.571669804729103,52.316666,5.5500002,4,-73.25,8896.169021487487,9.0933762,1.9569451,18.462044,9809.1973,61911.844
