year,id,full_id,importerLabel,exporterLabel,CafFob,newimporterId,newimporterLabel,newexporterId,newexporterLabel,valueToSplit,status,totreat_flows,pred_trade,treated_flows
1938,100<-Belgium & Luxemburg,100<-Belgium & LuxemburgFromImporter,Colombia (New Granada) (Gran Colombia),Belgium & Luxemburg,FromImporter,100,Colombia (New Granada) (Gran Colombia),212,Luxemburg,346375.38,ok thanks to gravity,1436,11590.773,520
1938,100<-Belgium & Luxemburg,100<-Belgium & LuxemburgFromImporter,Colombia (New Granada) (Gran Colombia),Belgium & Luxemburg,FromImporter,100,Colombia (New Granada) (Gran Colombia),211,Belgium,346375.38,ok thanks to gravity,1436,334784.63,520
1938,1029<-British Colonies (other),1029<-British Colonies (other)FromImporter,St. Pierre and Miquelon,British Colonies (other),FromImporter,1029,St. Pierre and Miquelon,570,Lesotho (Basutoland),14141.277,ok thanks to gravity,1436,.098881878,520
1938,1029<-British Colonies (other),1029<-British Colonies (other)FromImporter,St. Pierre and Miquelon,British Colonies (other),FromImporter,1029,St. Pierre and Miquelon,4050,St. Helena,14141.277,ok thanks to gravity,1436,.99779332,520
1938,1029<-British Colonies (other),1029<-British Colonies (other)FromImporter,St. Pierre and Miquelon,British Colonies (other),FromImporter,1029,St. Pierre and Miquelon,231,Gibraltar,14141.277,ok thanks to gravity,1436,1.1307392,520
1938,1029<-British Colonies (other),1029<-British Colonies (other)FromImporter,St. Pierre and Miquelon,British Colonies (other),FromImporter,1029,St. Pierre and Miquelon,30,Bermuda,14141.277,ok thanks to gravity,1436,1.5105214,520
1938,1029<-British Colonies (other),1029<-British Colonies (other)FromImporter,St. Pierre and Miquelon,British Colonies (other),FromImporter,1029,St. Pierre and Miquelon,590,Mauritius,14141.277,ok thanks to gravity,1436,1.8133827,520
1938,1029<-British Colonies (other),1029<-British Colonies (other)FromImporter,St. Pierre and Miquelon,British Colonies (other),FromImporter,1029,St. Pierre and Miquelon,1163,Falkland Is.,14141.277,ok thanks to gravity,1436,1.9067702,520
1938,1029<-British Colonies (other),1029<-British Colonies (other)FromImporter,St. Pierre and Miquelon,British Colonies (other),FromImporter,1029,St. Pierre and Miquelon,1055,Windward Is.,14141.277,ok thanks to gravity,1436,3.2185402,520
1938,1029<-British Colonies (other),1029<-British Colonies (other)FromImporter,St. Pierre and Miquelon,British Colonies (other),FromImporter,1029,St. Pierre and Miquelon,420,Gambia,14141.277,ok thanks to gravity,1436,3.735075,520
