line_number,gph_code,id_name,gph_continent,geo_name,geo_continent,included,partially_included,nbflowspartner
1,10,Greenland,America,America,America,1,,545
2,10,Greenland,America,Central America,America,0,,890
3,10,Greenland,America,Central America (West),America,0,,10
4,10,Greenland,America,Gulf of Mexico,America,0,,10
5,10,Greenland,America,Lesser Antilles,America,0,,1
6,10,Greenland,America,North Western America,America,0,,20
7,10,Greenland,America,Northern America,America,1,,145
8,10,Greenland,America,Southern America,America,0,,497
9,10,Greenland,America,West Indies,America,0,,848
10,10,Greenland,America,West Indies (East),America,0,,1
11,10,Greenland,America,West Indies (West),America,0,,1
12,10,Greenland,America,West Indies (continental),America,0,,14
13,10,Greenland,America,Western America,America,0,,37
14,10,Greenland,America,Antarctic,Antarctic,0,,33
15,10,Greenland,America,Arctic,Arctic,1,,16
16,10,Greenland,America,Atlantic Ocean,Atlantic,1,,5
17,10,Greenland,America,Transatlantic Ports,Atlantic,0,,4
18,10,Greenland,America,Pacific Islands,Pacific,0,,562
19,10,Greenland,America,Pacific Ports,Pacific,0,,3
20,10,Greenland,America,America & Europe,World,1,,1
21,10,Greenland,America,Black Sea,World,0,,
22,10,Greenland,America,Caucasus,World,0,,8
23,10,Greenland,America,Central Powers Occupied Territories,World,0,,7
24,10,Greenland,America,Free entrepots,World,0,,
25,10,Greenland,America,Free ports,World,0,,13
26,10,Greenland,America,International waters,World,0,,27
27,10,Greenland,America,Mediterranean Sea,World,0,,65
28,10,Greenland,America,Red Sea,World,0,,4
29,100,Colombia (New Granada) (Gran Colombia),America,America,America,1,,545
30,100,Colombia (New Granada) (Gran Colombia),America,Central America,America,0,,890
31,100,Colombia (New Granada) (Gran Colombia),America,Central America (West),America,0,,10
32,100,Colombia (New Granada) (Gran Colombia),America,Gulf of Mexico,America,1,1,10
33,100,Colombia (New Granada) (Gran Colombia),America,Lesser Antilles,America,0,,1
34,100,Colombia (New Granada) (Gran Colombia),America,North Western America,America,0,,20
35,100,Colombia (New Granada) (Gran Colombia),America,Northern America,America,0,,145
36,100,Colombia (New Granada) (Gran Colombia),America,Southern America,America,1,,497
37,100,Colombia (New Granada) (Gran Colombia),America,West Indies,America,0,,848
38,100,Colombia (New Granada) (Gran Colombia),America,West Indies (East),America,0,,1
39,100,Colombia (New Granada) (Gran Colombia),America,West Indies (West),America,0,,1
40,100,Colombia (New Granada) (Gran Colombia),America,West Indies (continental),America,0,,14
41,100,Colombia (New Granada) (Gran Colombia),America,Western America,America,0,,37
42,100,Colombia (New Granada) (Gran Colombia),America,Antarctic,Antarctic,0,,33
43,100,Colombia (New Granada) (Gran Colombia),America,Arctic,Arctic,0,,16
44,100,Colombia (New Granada) (Gran Colombia),America,Atlantic Ocean,Atlantic,0,,5
45,100,Colombia (New Granada) (Gran Colombia),America,Transatlantic Ports,Atlantic,1,,4
46,100,Colombia (New Granada) (Gran Colombia),America,Pacific Islands,Pacific,0,,562
47,100,Colombia (New Granada) (Gran Colombia),America,Pacific Ports,Pacific,1,1,3
48,100,Colombia (New Granada) (Gran Colombia),America,America & Europe,World,1,,1
49,100,Colombia (New Granada) (Gran Colombia),America,Black Sea,World,0,,
50,100,Colombia (New Granada) (Gran Colombia),America,Caucasus,World,0,,8
51,100,Colombia (New Granada) (Gran Colombia),America,Central Powers Occupied Territories,World,0,,7
52,100,Colombia (New Granada) (Gran Colombia),America,Free entrepots,World,0,,
53,100,Colombia (New Granada) (Gran Colombia),America,Free ports,World,0,,13
54,100,Colombia (New Granada) (Gran Colombia),America,International waters,World,0,,27
55,100,Colombia (New Granada) (Gran Colombia),America,Mediterranean Sea,World,0,,65
56,100,Colombia (New Granada) (Gran Colombia),America,Red Sea,World,0,,4
57,1008,Florida,America,America,America,1,,545
58,1008,Florida,America,Central America,America,0,,890
59,1008,Florida,America,Central America (West),America,0,,10
60,1008,Florida,America,Gulf of Mexico,America,1,,10
61,1008,Florida,America,Lesser Antilles,America,0,,1
62,1008,Florida,America,North Western America,America,0,,20
63,1008,Florida,America,Northern America,America,1,,145
64,1008,Florida,America,Southern America,America,0,,497
65,1008,Florida,America,West Indies,America,0,,848
66,1008,Florida,America,West Indies (East),America,0,,1
67,1008,Florida,America,West Indies (West),America,0,,1
68,1008,Florida,America,West Indies (continental),America,0,,14
69,1008,Florida,America,Western America,America,0,,37
70,1008,Florida,America,Antarctic,Antarctic,0,,33
71,1008,Florida,America,Arctic,Arctic,0,,16
72,1008,Florida,America,Atlantic Ocean,Atlantic,1,,5
73,1008,Florida,America,Transatlantic Ports,Atlantic,1,,4
74,1008,Florida,America,Pacific Islands,Pacific,0,,562
75,1008,Florida,America,Pacific Ports,Pacific,0,,3
76,1008,Florida,America,America & Europe,World,1,,1
77,1008,Florida,America,Black Sea,World,0,,
78,1008,Florida,America,Caucasus,World,0,,8
79,1008,Florida,America,Central Powers Occupied Territories,World,0,,7
80,1008,Florida,America,Free entrepots,World,0,,
81,1008,Florida,America,Free ports,World,0,,13
82,1008,Florida,America,International waters,World,0,,27
83,1008,Florida,America,Mediterranean Sea,World,0,,65
84,1008,Florida,America,Red Sea,World,0,,4
85,101,Venezuela,America,America,America,1,,545
86,101,Venezuela,America,Central America,America,0,,890
87,101,Venezuela,America,Central America (West),America,0,,10
88,101,Venezuela,America,Gulf of Mexico,America,1,,10
89,101,Venezuela,America,Lesser Antilles,America,0,,1
90,101,Venezuela,America,North Western America,America,0,,20
91,101,Venezuela,America,Northern America,America,0,,145
92,101,Venezuela,America,Southern America,America,1,,497
93,101,Venezuela,America,West Indies,America,0,,848
94,101,Venezuela,America,West Indies (East),America,0,,1
95,101,Venezuela,America,West Indies (West),America,0,,1
96,101,Venezuela,America,West Indies (continental),America,0,,14
97,101,Venezuela,America,Western America,America,0,,37
98,101,Venezuela,America,Antarctic,Antarctic,,,33
99,101,Venezuela,America,Arctic,Arctic,0,,16
100,101,Venezuela,America,Atlantic Ocean,Atlantic,,,5
101,101,Venezuela,America,Transatlantic Ports,Atlantic,,,4
102,101,Venezuela,America,Pacific Islands,Pacific,,,562
103,101,Venezuela,America,Pacific Ports,Pacific,,,3
104,101,Venezuela,America,America & Europe,World,1,,1
105,101,Venezuela,America,Black Sea,World,,,
106,101,Venezuela,America,Caucasus,World,0,,8
107,101,Venezuela,America,Central Powers Occupied Territories,World,,,7
108,101,Venezuela,America,Free entrepots,World,0,,
109,101,Venezuela,America,Free ports,World,,,13
110,101,Venezuela,America,International waters,World,,,27
111,101,Venezuela,America,Mediterranean Sea,World,,,65
112,101,Venezuela,America,Red Sea,World,,,4
113,1013,Louisiana,America,America,America,1,,545
114,1013,Louisiana,America,Central America,America,0,,890
115,1013,Louisiana,America,Central America (West),America,0,,10
116,1013,Louisiana,America,Gulf of Mexico,America,1,,10
117,1013,Louisiana,America,Lesser Antilles,America,0,,1
118,1013,Louisiana,America,North Western America,America,0,,20
119,1013,Louisiana,America,Northern America,America,1,,145
120,1013,Louisiana,America,Southern America,America,0,,497
121,1013,Louisiana,America,West Indies,America,0,,848
122,1013,Louisiana,America,West Indies (East),America,0,,1
123,1013,Louisiana,America,West Indies (West),America,0,,1
124,1013,Louisiana,America,West Indies (continental),America,0,,14
125,1013,Louisiana,America,Western America,America,0,,37
126,1013,Louisiana,America,Antarctic,Antarctic,0,,33
127,1013,Louisiana,America,Arctic,Arctic,0,,16
128,1013,Louisiana,America,Atlantic Ocean,Atlantic,,,5
129,1013,Louisiana,America,Transatlantic Ports,Atlantic,,,4
130,1013,Louisiana,America,Pacific Islands,Pacific,,,562
131,1013,Louisiana,America,Pacific Ports,Pacific,,,3
132,1013,Louisiana,America,America & Europe,World,1,,1
133,1013,Louisiana,America,Black Sea,World,,,
134,1013,Louisiana,America,Caucasus,World,0,,8
135,1013,Louisiana,America,Central Powers Occupied Territories,World,,,7
136,1013,Louisiana,America,Free entrepots,World,0,,
137,1013,Louisiana,America,Free ports,World,,,13
138,1013,Louisiana,America,International waters,World,,,27
139,1013,Louisiana,America,Mediterranean Sea,World,,,65
140,1013,Louisiana,America,Red Sea,World,,,4
141,1014,California (Great Bear Republic),America,America,America,1,,545
142,1014,California (Great Bear Republic),America,Central America,America,0,,890
143,1014,California (Great Bear Republic),America,Central America (West),America,0,,10
144,1014,California (Great Bear Republic),America,Gulf of Mexico,America,0,,10
145,1014,California (Great Bear Republic),America,Lesser Antilles,America,0,,1
146,1014,California (Great Bear Republic),America,North Western America,America,1,,20
147,1014,California (Great Bear Republic),America,Northern America,America,1,,145
148,1014,California (Great Bear Republic),America,Southern America,America,0,,497
149,1014,California (Great Bear Republic),America,West Indies,America,0,,848
150,1014,California (Great Bear Republic),America,West Indies (East),America,0,,1
151,1014,California (Great Bear Republic),America,West Indies (West),America,0,,1
152,1014,California (Great Bear Republic),America,West Indies (continental),America,0,,14
153,1014,California (Great Bear Republic),America,Western America,America,1,,37
154,1014,California (Great Bear Republic),America,Antarctic,Antarctic,0,,33
155,1014,California (Great Bear Republic),America,Arctic,Arctic,0,,16
156,1014,California (Great Bear Republic),America,Atlantic Ocean,Atlantic,,,5
157,1014,California (Great Bear Republic),America,Transatlantic Ports,Atlantic,,,4
158,1014,California (Great Bear Republic),America,Pacific Islands,Pacific,,,562
159,1014,California (Great Bear Republic),America,Pacific Ports,Pacific,,,3
160,1014,California (Great Bear Republic),America,America & Europe,World,1,,1
161,1014,California (Great Bear Republic),America,Black Sea,World,,,
162,1014,California (Great Bear Republic),America,Caucasus,World,0,,8
163,1014,California (Great Bear Republic),America,Central Powers Occupied Territories,World,,,7
164,1014,California (Great Bear Republic),America,Free entrepots,World,0,,
165,1014,California (Great Bear Republic),America,Free ports,World,0,,13
166,1014,California (Great Bear Republic),America,International waters,World,,,27
167,1014,California (Great Bear Republic),America,Mediterranean Sea,World,,,65
168,1014,California (Great Bear Republic),America,Red Sea,World,,,4
169,1016,Oregon (Oregon Country),America,America,America,1,,545
170,1016,Oregon (Oregon Country),America,Central America,America,0,,890
171,1016,Oregon (Oregon Country),America,Central America (West),America,0,,10
172,1016,Oregon (Oregon Country),America,Gulf of Mexico,America,0,,10
173,1016,Oregon (Oregon Country),America,Lesser Antilles,America,0,,1
174,1016,Oregon (Oregon Country),America,North Western America,America,1,,20
175,1016,Oregon (Oregon Country),America,Northern America,America,1,,145
176,1016,Oregon (Oregon Country),America,Southern America,America,0,,497
177,1016,Oregon (Oregon Country),America,West Indies,America,0,,848
178,1016,Oregon (Oregon Country),America,West Indies (East),America,0,,1
179,1016,Oregon (Oregon Country),America,West Indies (West),America,0,,1
180,1016,Oregon (Oregon Country),America,West Indies (continental),America,0,,14
181,1016,Oregon (Oregon Country),America,Western America,America,1,,37
182,1016,Oregon (Oregon Country),America,Antarctic,Antarctic,,,33
183,1016,Oregon (Oregon Country),America,Arctic,Arctic,0,,16
184,1016,Oregon (Oregon Country),America,Atlantic Ocean,Atlantic,,,5
185,1016,Oregon (Oregon Country),America,Transatlantic Ports,Atlantic,,,4
186,1016,Oregon (Oregon Country),America,Pacific Islands,Pacific,,,562
187,1016,Oregon (Oregon Country),America,Pacific Ports,Pacific,,,3
188,1016,Oregon (Oregon Country),America,America & Europe,World,1,,1
189,1016,Oregon (Oregon Country),America,Black Sea,World,,,
190,1016,Oregon (Oregon Country),America,Caucasus,World,0,,8
191,1016,Oregon (Oregon Country),America,Central Powers Occupied Territories,World,,,7
192,1016,Oregon (Oregon Country),America,Free entrepots,World,,,
193,1016,Oregon (Oregon Country),America,Free ports,World,,,13
194,1016,Oregon (Oregon Country),America,International waters,World,,,27
195,1016,Oregon (Oregon Country),America,Mediterranean Sea,World,,,65
196,1016,Oregon (Oregon Country),America,Red Sea,World,,,4
197,1019,Rupert's Land,America,America,America,1,,545
198,1019,Rupert's Land,America,Central America,America,0,,890
199,1019,Rupert's Land,America,Central America (West),America,0,,10
200,1019,Rupert's Land,America,Gulf of Mexico,America,0,,10
201,1019,Rupert's Land,America,Lesser Antilles,America,0,,1
202,1019,Rupert's Land,America,North Western America,America,0,,20
203,1019,Rupert's Land,America,Northern America,America,1,,145
204,1019,Rupert's Land,America,Southern America,America,0,,497
205,1019,Rupert's Land,America,West Indies,America,0,,848
206,1019,Rupert's Land,America,West Indies (East),America,0,,1
207,1019,Rupert's Land,America,West Indies (West),America,0,,1
208,1019,Rupert's Land,America,West Indies (continental),America,0,,14
209,1019,Rupert's Land,America,Western America,America,0,,37
210,1019,Rupert's Land,America,Antarctic,Antarctic,,,33
211,1019,Rupert's Land,America,Arctic,Arctic,1,,16
212,1019,Rupert's Land,America,Atlantic Ocean,Atlantic,,,5
213,1019,Rupert's Land,America,Transatlantic Ports,Atlantic,,,4
214,1019,Rupert's Land,America,Pacific Islands,Pacific,,,562
215,1019,Rupert's Land,America,Pacific Ports,Pacific,,,3
216,1019,Rupert's Land,America,America & Europe,World,1,,1
217,1019,Rupert's Land,America,Black Sea,World,,,
218,1019,Rupert's Land,America,Caucasus,World,0,,8
219,1019,Rupert's Land,America,Central Powers Occupied Territories,World,,,7
220,1019,Rupert's Land,America,Free entrepots,World,,,
221,1019,Rupert's Land,America,Free ports,World,,,13
222,1019,Rupert's Land,America,International waters,World,,,27
223,1019,Rupert's Land,America,Mediterranean Sea,World,,,65
224,1019,Rupert's Land,America,Red Sea,World,,,4
225,10200,North-Western Territory,America,America,America,1,,545
226,10200,North-Western Territory,America,Central America,America,0,,890
227,10200,North-Western Territory,America,Central America (West),America,0,,10
228,10200,North-Western Territory,America,Gulf of Mexico,America,0,,10
229,10200,North-Western Territory,America,Lesser Antilles,America,0,,1
230,10200,North-Western Territory,America,North Western America,America,1,,20
231,10200,North-Western Territory,America,Northern America,America,1,,145
232,10200,North-Western Territory,America,Southern America,America,0,,497
233,10200,North-Western Territory,America,West Indies,America,0,,848
234,10200,North-Western Territory,America,West Indies (East),America,0,,1
235,10200,North-Western Territory,America,West Indies (West),America,0,,1
236,10200,North-Western Territory,America,West Indies (continental),America,0,,14
237,10200,North-Western Territory,America,Western America,America,1,,37
238,10200,North-Western Territory,America,Antarctic,Antarctic,,,33
239,10200,North-Western Territory,America,Arctic,Arctic,1,,16
240,10200,North-Western Territory,America,Atlantic Ocean,Atlantic,,,5
241,10200,North-Western Territory,America,Transatlantic Ports,Atlantic,,,4
242,10200,North-Western Territory,America,Pacific Islands,Pacific,,,562
243,10200,North-Western Territory,America,Pacific Ports,Pacific,,,3
244,10200,North-Western Territory,America,America & Europe,World,1,,1
245,10200,North-Western Territory,America,Black Sea,World,,,
246,10200,North-Western Territory,America,Caucasus,World,0,,8
247,10200,North-Western Territory,America,Central Powers Occupied Territories,World,,,7
248,10200,North-Western Territory,America,Free entrepots,World,,,
249,10200,North-Western Territory,America,Free ports,World,,,13
250,10200,North-Western Territory,America,International waters,World,,,27
251,10200,North-Western Territory,America,Mediterranean Sea,World,,,65
252,10200,North-Western Territory,America,Red Sea,World,,,4
253,10201,Northwest Territories,America,America,America,1,,545
254,10201,Northwest Territories,America,Central America,America,0,,890
255,10201,Northwest Territories,America,Central America (West),America,0,,10
256,10201,Northwest Territories,America,Gulf of Mexico,America,0,,10
257,10201,Northwest Territories,America,Lesser Antilles,America,0,,1
258,10201,Northwest Territories,America,North Western America,America,1,,20
259,10201,Northwest Territories,America,Northern America,America,1,,145
260,10201,Northwest Territories,America,Southern America,America,0,,497
261,10201,Northwest Territories,America,West Indies,America,0,,848
262,10201,Northwest Territories,America,West Indies (East),America,0,,1
263,10201,Northwest Territories,America,West Indies (West),America,0,,1
264,10201,Northwest Territories,America,West Indies (continental),America,0,,14
265,10201,Northwest Territories,America,Western America,America,1,,37
266,10201,Northwest Territories,America,Antarctic,Antarctic,,,33
267,10201,Northwest Territories,America,Arctic,Arctic,1,,16
268,10201,Northwest Territories,America,Atlantic Ocean,Atlantic,,,5
269,10201,Northwest Territories,America,Transatlantic Ports,Atlantic,,,4
270,10201,Northwest Territories,America,Pacific Islands,Pacific,,,562
271,10201,Northwest Territories,America,Pacific Ports,Pacific,,,3
272,10201,Northwest Territories,America,America & Europe,World,1,,1
273,10201,Northwest Territories,America,Black Sea,World,,,
274,10201,Northwest Territories,America,Caucasus,World,0,,8
275,10201,Northwest Territories,America,Central Powers Occupied Territories,World,,,7
276,10201,Northwest Territories,America,Free entrepots,World,,,
277,10201,Northwest Territories,America,Free ports,World,,,13
278,10201,Northwest Territories,America,International waters,World,,,27
279,10201,Northwest Territories,America,Mediterranean Sea,World,,,65
280,10201,Northwest Territories,America,Red Sea,World,,,4
281,10204,Manitoba,America,America,America,1,,545
282,10204,Manitoba,America,Central America,America,0,,890
283,10204,Manitoba,America,Central America (West),America,0,,10
284,10204,Manitoba,America,Gulf of Mexico,America,0,,10
285,10204,Manitoba,America,Lesser Antilles,America,0,,1
286,10204,Manitoba,America,North Western America,America,0,,20
287,10204,Manitoba,America,Northern America,America,1,,145
288,10204,Manitoba,America,Southern America,America,0,,497
289,10204,Manitoba,America,West Indies,America,0,,848
290,10204,Manitoba,America,West Indies (East),America,0,,1
291,10204,Manitoba,America,West Indies (West),America,0,,1
292,10204,Manitoba,America,West Indies (continental),America,0,,14
293,10204,Manitoba,America,Western America,America,0,,37
294,10204,Manitoba,America,Antarctic,Antarctic,0,,33
295,10204,Manitoba,America,Arctic,Arctic,0,,16
296,10204,Manitoba,America,Atlantic Ocean,Atlantic,,,5
297,10204,Manitoba,America,Transatlantic Ports,Atlantic,,,4
298,10204,Manitoba,America,Pacific Islands,Pacific,,,562
299,10204,Manitoba,America,Pacific Ports,Pacific,,,3
300,10204,Manitoba,America,America & Europe,World,1,,1
301,10204,Manitoba,America,Black Sea,World,,,
302,10204,Manitoba,America,Caucasus,World,0,,8
303,10204,Manitoba,America,Central Powers Occupied Territories,World,,,7
304,10204,Manitoba,America,Free entrepots,World,,,
305,10204,Manitoba,America,Free ports,World,,,13
306,10204,Manitoba,America,International waters,World,,,27
307,10204,Manitoba,America,Mediterranean Sea,World,,,65
308,10204,Manitoba,America,Red Sea,World,,,4
309,1021,Cape Breton I.,America,America,America,1,,545
310,1021,Cape Breton I.,America,Central America,America,0,,890
311,1021,Cape Breton I.,America,Central America (West),America,0,,10
312,1021,Cape Breton I.,America,Gulf of Mexico,America,0,,10
313,1021,Cape Breton I.,America,Lesser Antilles,America,0,,1
314,1021,Cape Breton I.,America,North Western America,America,0,,20
315,1021,Cape Breton I.,America,Northern America,America,1,,145
316,1021,Cape Breton I.,America,Southern America,America,0,,497
317,1021,Cape Breton I.,America,West Indies,America,0,,848
318,1021,Cape Breton I.,America,West Indies (East),America,0,,1
319,1021,Cape Breton I.,America,West Indies (West),America,0,,1
320,1021,Cape Breton I.,America,West Indies (continental),America,0,,14
321,1021,Cape Breton I.,America,Western America,America,0,,37
322,1021,Cape Breton I.,America,Antarctic,Antarctic,0,,33
323,1021,Cape Breton I.,America,Arctic,Arctic,0,,16
324,1021,Cape Breton I.,America,Atlantic Ocean,Atlantic,,,5
325,1021,Cape Breton I.,America,Transatlantic Ports,Atlantic,,,4
326,1021,Cape Breton I.,America,Pacific Islands,Pacific,,,562
327,1021,Cape Breton I.,America,Pacific Ports,Pacific,,,3
328,1021,Cape Breton I.,America,America & Europe,World,1,,1
329,1021,Cape Breton I.,America,Black Sea,World,,,
330,1021,Cape Breton I.,America,Caucasus,World,0,,8
331,1021,Cape Breton I.,America,Central Powers Occupied Territories,World,,,7
332,1021,Cape Breton I.,America,Free entrepots,World,,,
333,1021,Cape Breton I.,America,Free ports,World,,,13
334,1021,Cape Breton I.,America,International waters,World,,,27
335,1021,Cape Breton I.,America,Mediterranean Sea,World,,,65
336,1021,Cape Breton I.,America,Red Sea,World,,,4
337,10210,Labrador,America,America,America,1,,545
338,10210,Labrador,America,Central America,America,0,,890
339,10210,Labrador,America,Central America (West),America,0,,10
340,10210,Labrador,America,Gulf of Mexico,America,0,,10
341,10210,Labrador,America,Lesser Antilles,America,0,,1
342,10210,Labrador,America,North Western America,America,0,,20
343,10210,Labrador,America,Northern America,America,1,,145
344,10210,Labrador,America,Southern America,America,0,,497
345,10210,Labrador,America,West Indies,America,0,,848
346,10210,Labrador,America,West Indies (East),America,0,,1
347,10210,Labrador,America,West Indies (West),America,0,,1
348,10210,Labrador,America,West Indies (continental),America,0,,14
349,10210,Labrador,America,Western America,America,0,,37
350,10210,Labrador,America,Antarctic,Antarctic,0,,33
351,10210,Labrador,America,Arctic,Arctic,0,,16
352,10210,Labrador,America,Atlantic Ocean,Atlantic,,,5
353,10210,Labrador,America,Transatlantic Ports,Atlantic,,,4
354,10210,Labrador,America,Pacific Islands,Pacific,,,562
355,10210,Labrador,America,Pacific Ports,Pacific,,,3
356,10210,Labrador,America,America & Europe,World,1,,1
357,10210,Labrador,America,Black Sea,World,,,
358,10210,Labrador,America,Caucasus,World,0,,8
359,10210,Labrador,America,Central Powers Occupied Territories,World,,,7
360,10210,Labrador,America,Free entrepots,World,,,
361,10210,Labrador,America,Free ports,World,,,13
362,10210,Labrador,America,International waters,World,,,27
363,10210,Labrador,America,Mediterranean Sea,World,,,65
364,10210,Labrador,America,Red Sea,World,,,4
365,1022,Nova Scotia,America,America,America,1,,545
366,1022,Nova Scotia,America,Central America,America,0,,890
367,1022,Nova Scotia,America,Central America (West),America,0,,10
368,1022,Nova Scotia,America,Gulf of Mexico,America,0,,10
369,1022,Nova Scotia,America,Lesser Antilles,America,0,,1
370,1022,Nova Scotia,America,North Western America,America,0,,20
371,1022,Nova Scotia,America,Northern America,America,1,,145
372,1022,Nova Scotia,America,Southern America,America,0,,497
373,1022,Nova Scotia,America,West Indies,America,0,,848
374,1022,Nova Scotia,America,West Indies (East),America,0,,1
375,1022,Nova Scotia,America,West Indies (West),America,0,,1
376,1022,Nova Scotia,America,West Indies (continental),America,0,,14
377,1022,Nova Scotia,America,Western America,America,0,,37
378,1022,Nova Scotia,America,Antarctic,Antarctic,,,33
379,1022,Nova Scotia,America,Arctic,Arctic,0,,16
380,1022,Nova Scotia,America,Atlantic Ocean,Atlantic,,,5
381,1022,Nova Scotia,America,Transatlantic Ports,Atlantic,,,4
382,1022,Nova Scotia,America,Pacific Islands,Pacific,,,562
383,1022,Nova Scotia,America,Pacific Ports,Pacific,,,3
384,1022,Nova Scotia,America,America & Europe,World,1,,1
385,1022,Nova Scotia,America,Black Sea,World,,,
386,1022,Nova Scotia,America,Caucasus,World,0,,8
387,1022,Nova Scotia,America,Central Powers Occupied Territories,World,,,7
388,1022,Nova Scotia,America,Free entrepots,World,,,
389,1022,Nova Scotia,America,Free ports,World,,,13
390,1022,Nova Scotia,America,International waters,World,,,27
391,1022,Nova Scotia,America,Mediterranean Sea,World,,,65
392,1022,Nova Scotia,America,Red Sea,World,,,4
393,1023,New Brunswick,America,America,America,1,,545
394,1023,New Brunswick,America,Central America,America,0,,890
395,1023,New Brunswick,America,Central America (West),America,0,,10
396,1023,New Brunswick,America,Gulf of Mexico,America,0,,10
397,1023,New Brunswick,America,Lesser Antilles,America,0,,1
398,1023,New Brunswick,America,North Western America,America,0,,20
399,1023,New Brunswick,America,Northern America,America,1,,145
400,1023,New Brunswick,America,Southern America,America,0,,497
401,1023,New Brunswick,America,West Indies,America,0,,848
402,1023,New Brunswick,America,West Indies (East),America,0,,1
403,1023,New Brunswick,America,West Indies (West),America,0,,1
404,1023,New Brunswick,America,West Indies (continental),America,0,,14
405,1023,New Brunswick,America,Western America,America,0,,37
406,1023,New Brunswick,America,Antarctic,Antarctic,,,33
407,1023,New Brunswick,America,Arctic,Arctic,0,,16
408,1023,New Brunswick,America,Atlantic Ocean,Atlantic,,,5
409,1023,New Brunswick,America,Transatlantic Ports,Atlantic,,,4
410,1023,New Brunswick,America,Pacific Islands,Pacific,,,562
411,1023,New Brunswick,America,Pacific Ports,Pacific,,,3
412,1023,New Brunswick,America,America & Europe,World,1,,1
413,1023,New Brunswick,America,Black Sea,World,,,
414,1023,New Brunswick,America,Caucasus,World,0,,8
415,1023,New Brunswick,America,Central Powers Occupied Territories,World,,,7
416,1023,New Brunswick,America,Free entrepots,World,,,
417,1023,New Brunswick,America,Free ports,World,,,13
418,1023,New Brunswick,America,International waters,World,,,27
419,1023,New Brunswick,America,Mediterranean Sea,World,,,65
420,1023,New Brunswick,America,Red Sea,World,,,4
421,1024,Prince Edward Is.,America,America,America,1,,545
